Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ganglio Sphingolipid Metabolism_Homo sapiens_WP1423	4/13	0.0003802302687743736443574948946633185187238268554210662841796875	0.0878331920868803128765733845284557901322841644287109375	0.00099879924967709136918170287344764801673591136932373046875	0.230722626675408104546249887789599597454071044921875	-1.4943901876565588	3.634828876442016	ST8SIA1;B3GALT4;FUT1;ST6GALNAC6
EGFR1 Signaling Pathway_Mus musculus_WP572	12/171	0.00372561282376429429852304764381187851540744304656982421875	0.2151541405723879918365781804823200218379497528076171875	0.004430029225220260234718860914426841191016137599945068359375	0.298692762908145781342028612925787456333637237548828125	-2.1216594949407632	3.2597188676274484	TGIF1;EPS8;GRB7;CEBPA;RPS6KA3;SH3KBP1;CAMK2A;PIK3CD;RBBP7;PRKD1;PRKCZ;PLEC
Ectoderm Differentiation_Homo sapiens_WP2858	11/139	0.0021388849713509759664642473353524110279977321624755859375	0.2151541405723879918365781804823200218379497528076171875	0.0027139231754513847873211407346616397262550890445709228515625	0.298692762908145781342028612925787456333637237548828125	-1.8227796640588287	2.8005197236543746	TFAP2C;EDA;TSC22D1;ARX;PAX6;ROR2;BCOR;TBL1X;ANKS1B;WDR44;PHF8
Globo Sphingolipid Metabolism_Homo sapiens_WP1424	4/22	0.0031736018531079673681005726137982492218725383281707763671875	0.2151541405723879918365781804823200218379497528076171875	0.005172169054686506957374536597171754692681133747100830078125	0.298692762908145781342028612925787456333637237548828125	-1.7998431319945085	2.7652800226060714	ST6GALNAC2;ST8SIA1;FUT1;ST6GALNAC6
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	5/49	0.012550934911619494871448665662683197297155857086181640625	0.449709956650643061237815345521084964275360107421875	0.015921287085555346774157214895240031182765960693359375	0.56543614988885415595376571218366734683513641357421875	-1.7896930421786978	1.4302375700983412	LDHB;TPI1;PDHA1;PGK1;ALDOC
Glycolysis and Gluconeogenesis_Mus musculus_WP157	5/48	0.01153336743713180741199852974432360497303307056427001953125	0.449709956650643061237815345521084964275360107421875	0.01476687408364167619634343964207801036536693572998046875	0.56543614988885415595376571218366734683513641357421875	-1.7896642098469828	1.430214528669962	LDHB;TPI1;PDHA1;PGK1;ALDOC
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	5/50	0.013627574443958880012761625266648479737341403961181640625	0.449709956650643061237815345521084964275360107421875	0.0171344287845107308421166436573912505991756916046142578125	0.56543614988885415595376571218366734683513641357421875	-1.5816673764202849	1.2639933507263945	LYL1;NOL4L;NSD1;PIM2;SLC7A3
Type II diabetes mellitus_Homo sapiens_WP1584	3/22	0.023702896232634447504228347725074854679405689239501953125	0.6844211287173196378574857590137980878353118896484375	0.03027799675129826117991882483693188987672328948974609375	0.84318539220854271665217538611614145338535308837890625	-1.5236403849479596	0.5777368036021825	GK;PDX1;PRKCZ
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	32/808	0.038598789241152064999340609574574045836925506591796875	0.85497605346771987644416412877035327255725860595703125	0.032851378917215949548857878426133538596332073211669921875	0.84318539220854271665217538611614145338535308837890625	-2.0136386176266075	0.31550055956118694	GRB7;CEBPA;RTKN;ITGB4;SH3KBP1;CAMK2A;PIK3CD;PRKX;PRKCZ;SLC6A2;FGD1;EPS8;PORCN;EFNB3;NSD1;NRIP3;PAK3;SPTBN1;UBQLN2;MAGI2;AGTRAP;CASK;PAX6;DICER1;SORBS3;CLDN5;CLDN4;CTTN;HAND1;CLDN7;LMX1B;PLEC
Wnt Signaling Pathway_Homo sapiens_WP428	5/67	0.042100477143736998730805254353981581516563892364501953125	0.85497605346771987644416412877035327255725860595703125	0.04762966333412728403562397261339356191456317901611328125	0.92801588838262716318894263167749159038066864013671875	-1.700432445944058	0.26642684714881143	WNT7B;WNT5A;ROR2;PRKD1;PRKCZ
G Protein Signaling Pathways_Mus musculus_WP232	6/88	0.03978274751443706958031754084004205651581287384033203125	0.85497605346771987644416412877035327255725860595703125	0.0444922987577880124643314729837584309279918670654296875	0.92801588838262716318894263167749159038066864013671875	-1.6782793695726503	0.26295586286692535	GNGT2;GNAS;AKAP6;PRKD1;PDE8A;PRKCZ
Heart Development_Homo sapiens_WP1591	4/47	0.044414340439881551392264924515984603203833103179931640625	0.85497605346771987644416412877035327255725860595703125	0.050997143430080264792092492598385433666408061981201171875	0.92801588838262716318894263167749159038066864013671875	-1.504314972913679	0.23569880491760897	TBX1;FOXC1;HAND1;NFATC2
Wnt Signaling Pathway and Pluripotency_Mus musculus_WP723	6/94	0.0519905682854629180855710046671447344124317169189453125	0.89469500990805472806499665239243768155574798583984375	0.057059389062484665300356567740891478024423122406005859375	0.92801588838262716318894263167749159038066864013671875	-1.6884350862857531	0.18787620713292794	FOXD3;WNT7B;WNT5A;ZBTB33;PRKD1;PRKCZ
G Protein Signaling Pathways_Homo sapiens_WP35	6/95	0.054223939994427559907475000500198802910745143890380859375	0.89469500990805472806499665239243768155574798583984375	0.059341861110273612378573915293600293807685375213623046875	0.92801588838262716318894263167749159038066864013671875	-1.6039057826896501	0.17847042951066885	GNGT2;GNAS;AKAP6;PRKD1;PDE8A;PRKCZ
Wnt Signaling Pathway and Pluripotency_Homo sapiens_WP399	6/102	0.07146487495357310704147124624796560965478420257568359375	0.93266822734710697062610051943920552730560302734375	0.07683191523839282000007955275577842257916927337646484375	0.92801588838262716318894263167749159038066864013671875	-1.7027663035674918	0.11869258365937449	FOXD3;WNT7B;WNT5A;PRKD1;ZBTB33;PRKCZ
Fatty Acid Beta Oxidation_Homo sapiens_WP143	3/34	0.0718449348666156673015592559750075452029705047607421875	0.93266822734710697062610051943920552730560302734375	0.0807095937246356254224366466587525792419910430908203125	0.92801588838262716318894263167749159038066864013671875	-1.4607676979110213	0.10182389199736916	TPI1;GK;ACSL4
ESC Pluripotency Pathways_Mus musculus_WP339	6/117	0.117736769691483333932779942188062705099582672119140625	0.93266822734710697062610051943920552730560302734375	0.123042914470314734831646319435094483196735382080078125	0.92801588838262716318894263167749159038066864013671875	-1.4410946097693853	0.10045256484860118	FGF16;WNT7B;WNT5A;PIK3CD;FGF13;FGF11
Wnt Signaling Pathway_Mus musculus_WP403	4/58	0.0831738343402129987058657434317865408957004547119140625	0.93266822734710697062610051943920552730560302734375	0.090637327161271485920224222354590892791748046875	0.92801588838262716318894263167749159038066864013671875	-1.435466101012915	0.10006022548585058	WNT7B;WNT5A;PRKD1;PRKCZ
