Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pyruvate metabolism_Homo sapiens_hsa00620	6/40	0.002685632635519091641895794708716493914835155010223388671875	0.400340275627244557288264559247181750833988189697265625	0.0025656662952291951242111966990933069610036909580230712890625	0.23520938422648185461838465926120989024639129638671875	-1.9643246805879089	1.7982221800428058	LDHB;PDHA2;PDHA1;LDHD;ACOT12;PCK1
cAMP signaling pathway_Homo sapiens_hsa04024	15/199	0.005058008821701313016683254630834198906086385250091552734375	0.400340275627244557288264559247181750833988189697265625	0.002249142148311266027616017737500442308373749256134033203125	0.23520938422648185461838465926120989024639129638671875	-1.918708471437807	1.7564632590895577	BDNF;CAMK2A;PIK3CD;ATP2B2;HTR4;ADCY7;ADCY5;LIPE;HTR6;CREB3L3;FXYD2;GNAS;PDE4B;DRD2;RAPGEF3
Glucagon signaling pathway_Homo sapiens_hsa04922	9/101	0.00975941898062452316275905417342073633335530757904052734375	0.400340275627244557288264559247181750833988189697265625	0.006328503611474848265794346247048451914452016353607177734375	0.23520938422648185461838465926120989024639129638671875	-1.8323813578032027	1.677435931270024	LDHB;PDHA2;PDHA1;CREB3L3;CAMK2A;GNAS;PYGM;PCK1;PHKA2
Cocaine addiction_Homo sapiens_hsa05030	6/49	0.007479828058069720904399435568166154553182423114776611328125	0.400340275627244557288264559247181750833988189697265625	0.006325298814703800114045417757324685226194560527801513671875	0.23520938422648185461838465926120989024639129638671875	-1.8005407020826278	1.6482877085196446	CREB3L3;BDNF;GNAS;DRD2;ADCY5;CDK5R1
Insulin signaling pathway_Homo sapiens_hsa04910	11/139	0.01077148723660747813013482954147548298351466655731201171875	0.400340275627244557288264559247181750833988189697265625	0.006084218937196245700904650988150024204514920711517333984375	0.23520938422648185461838465926120989024639129638671875	-1.6495151007363504	1.5100327709428802	PTPN1;LIPE;SHC1;ARAF;IRS4;CBLC;PIK3CD;PYGM;PCK1;PHKA2;PRKCZ
Tight junction_Homo sapiens_hsa04530	11/139	0.01077148723660747813013482954147548298351466655731201171875	0.400340275627244557288264559247181750833988189697265625	0.006084218937196245700904650988150024204514920711517333984375	0.23520938422648185461838465926120989024639129638671875	-1.601917020794309	1.4664595653903174	CLDN3;CTTN;CLDN14;PARD3;SHROOM2;CASK;CLDN18;PRKCZ;SHROOM4;TJP3;LLGL2
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	6/56	0.0141125343529872292192006710820351145230233669281005859375	0.449585022959450297808103869101614691317081451416015625	0.01124816693586968598117525885982104227878153324127197265625	0.358334460956991396329840426915325224399566650390625	-1.7134449513549388	1.3697797992961918	LIPE;GNAS;IRS4;PIK3CD;ADCY7;ADCY5
Calcium signaling pathway_Homo sapiens_hsa04020	12/180	0.027290891216333636182245214740760275162756443023681640625	0.52507588725167086973755203871405683457851409912109375	0.01443772314868950988608897745280046365223824977874755859375	0.369555402436937796561977620513061992824077606201171875	-1.7562013667294976	1.1313668372964891	P2RX7;HTR6;CAMK2A;GNAS;HTR2C;ATP2B2;NOS1;HTR4;SLC25A5;ADCY7;PHKA2;NTSR1
Rap1 signaling pathway_Homo sapiens_hsa04015	13/211	0.03855465875730053337822056391814840026199817657470703125	0.52507588725167086973755203871405683457851409912109375	0.0195413936162678845975815278279696940444409847259521484375	0.369555402436937796561977620513061992824077606201171875	-1.6598317077992293	1.0692843003501022	PIK3CD;ITGAL;ADCY7;PRKCZ;ADCY5;FGF4;FGF16;PARD3;GNAS;FGF13;DRD2;RAPGEF3;F2RL3
ErbB signaling pathway_Homo sapiens_hsa04012	7/87	0.034970460990857821226285295779234729707241058349609375	0.52507588725167086973755203871405683457851409912109375	0.024530715591008271647677219107208657078444957733154296875	0.369555402436937796561977620513061992824077606201171875	-1.6325662851089737	1.0517195747890058	SHC1;CAMK2A;ARAF;CBLC;PAK6;PIK3CD;PAK3
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	10/148	0.03846974911470303626348510306343086995184421539306640625	0.52507588725167086973755203871405683457851409912109375	0.0226721187269108524764416046082260436378419399261474609375	0.369555402436937796561977620513061992824077606201171875	-1.584418122029983	1.020701927259351	CREB3L3;FXYD2;CAMK2A;GNAS;PIK3CD;ATP2B2;SCN5A;ADCY7;RAPGEF3;ADCY5
Gap junction_Homo sapiens_hsa04540	7/88	0.036878856667064023600044464501479524187743663787841796875	0.52507588725167086973755203871405683457851409912109375	0.0258199793425822853032425285846329643391072750091552734375	0.369555402436937796561977620513061992824077606201171875	-1.5045977507871788	0.9692806479712154	GNAS;HTR2C;DRD2;ADCY7;TUBB4A;TUBA4A;ADCY5
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	13/214	0.042382807042735760882923301551272743381559848785400390625	0.52507588725167086973755203871405683457851409912109375	0.0215522025974269858250575992997255525551736354827880859375	0.369555402436937796561977620513061992824077606201171875	-1.500462983170771	0.9666169790721058	LIMK2;ARAF;MSN;PIK3CD;ITGAL;SSH3;FGD1;FGF4;FGF16;DIAPH2;PAK6;PAK3;FGF13
Salivary secretion_Homo sapiens_hsa04970	7/89	0.038854584490897910165063677823127363808453083038330078125	0.52507588725167086973755203871405683457851409912109375	0.027154889766871755096833140896706026978790760040283203125	0.369555402436937796561977620513061992824077606201171875	-1.4673004570105814	0.945253265861652	FXYD2;GNAS;ATP2B2;AQP5;NOS1;ADCY7;ADCY5
Insulin resistance_Homo sapiens_hsa04931	8/109	0.04027864841459909139853579063128563575446605682373046875	0.52507588725167086973755203871405683457851409912109375	0.0264939751934219758222610607845126651227474212646484375	0.369555402436937796561977620513061992824077606201171875	-1.4638882280802177	0.9430550654011511	PTPN1;RPS6KA3;CREB3L3;GFPT2;PIK3CD;PYGM;PCK1;PRKCZ
Dilated cardiomyopathy_Homo sapiens_hsa05414	7/90	0.04089833607106564683508764801445067860186100006103515625	0.52507588725167086973755203871405683457851409912109375	0.028536087064871130947185662307674647308886051177978515625	0.369555402436937796561977620513061992824077606201171875	-1.4125771710333912	0.9099998421054791	DES;SGCD;LMNA;GNAS;ADCY7;EMD;ADCY5
Thyroid hormone synthesis_Homo sapiens_hsa04918	6/71	0.040075728681929372043679649095793138258159160614013671875	0.52507588725167086973755203871405683457851409912109375	0.0298295840532057411620403541974155814386904239654541015625	0.369555402436937796561977620513061992824077606201171875	-1.3954825956355508	0.8989873032991818	CREB3L3;FXYD2;GNAS;ADCY7;ADCY5;SLC5A5
Proteoglycans in cancer_Homo sapiens_hsa05205	12/203	0.05882556250713615042524651244093547575175762176513671875	0.55530100686060379633346428818185813724994659423828125	0.03172569303190049538887507196704973466694355010986328125	0.372359449795463703924980336523731239140033721923828125	-1.4697907355022835	0.8645969888174337	CD63;CTTN;WNT7B;CAMK2A;ARAF;TWIST2;GPC3;CBLC;MSN;PIK3CD;PTPN6;ANK1
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	7/98	0.059763337061230902003128306887447251938283443450927734375	0.55530100686060379633346428818185813724994659423828125	0.041320954513574224831184977801967761479318141937255859375	0.423299935640328695019007909650099463760852813720703125	-1.3416932338883554	0.7892442794178945	CAMK2A;GNAS;HTR2C;PIK3CD;ADCY7;ASIC3;ADCY5
Citrate cycle (TCA cycle)_Homo sapiens_hsa00020	4/30	0.0207358677629031450118102242186068906448781490325927734375	0.52507588725167086973755203871405683457851409912109375	0.0191994212787703656675208918613861897028982639312744140625	0.369555402436937796561977620513061992824077606201171875	-1.1886123318786197	0.7657188977101209	PDHA2;PDHA1;IDH3G;PCK1
Estrogen signaling pathway_Homo sapiens_hsa04915	7/99	0.0624419422090018716442472168637323193252086639404296875	0.556982124504296738365383134805597364902496337890625	0.043143554426711971938601664078305475413799285888671875	0.423299935640328695019007909650099463760852813720703125	-1.2480606318072258	0.7303927038385967	CREB3L3;SHC1;GNAS;PIK3CD;HSPA2;ADCY7;ADCY5
Leukocyte transendothelial migration_Homo sapiens_hsa04670	8/118	0.059185331840162003214089736502501182258129119873046875	0.55530100686060379633346428818185813724994659423828125	0.03876139548027159043019906903282389976084232330322265625	0.423299935640328695019007909650099463760852813720703125	-1.1621388094718144	0.6836222946485208	CLDN3;CLDN14;MSN;CLDN18;PIK3CD;CYBA;ITGAL;RAPGEF3
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	6/81	0.0679419495490996838693575909928767941892147064208984375	0.5827328749788165396239492110908031463623046875	0.049602566102535237957393832175512216053903102874755859375	0.4424548896346143234126202514744363725185394287109375	-1.2114924893085768	0.6542379131677344	LIPE;CREB3L3;CAMK2A;GNAS;ADCY7;ADCY5
Insulin secretion_Homo sapiens_hsa04911	6/85	0.08159283980811422865020432482197065837681293487548828125	0.637479371368842695488865501829423010349273681640625	0.059332769956788676546377558906897320412099361419677734375	0.4562485413918577759062600307515822350978851318359375	-1.0664702089348943	0.4801604666926732	CREB3L3;FXYD2;CAMK2A;GNAS;ADCY7;ADCY5
Axon guidance_Homo sapiens_hsa04360	8/127	0.08290090479684501800772267188222031109035015106201171875	0.637479371368842695488865501829423010349273681640625	0.0543592984738245632581055133414338342845439910888671875	0.4562485413918577759062600307515822350978851318359375	-1.0571818838262603	0.4759785528599285	EFNB1;FES;SEMA4B;LIMK2;LRRC4;PAK6;PAK3;EPHB3
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	5/64	0.07660015144776320672459490879191434942185878753662109375	0.6326605101055997604220237917616032063961029052734375	0.05916705026252999655156372682540677487850189208984375	0.4562485413918577759062600307515822350978851318359375	-1.0313640675392455	0.47218045844753614	IRS4;PIK3CD;HSPA2;ADCY7;ADCY5
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	5/67	0.0892047958899037929381137246309663169085979461669921875	0.6630889827816182080510998275713063776493072509765625	0.06855000799291742497043600224060355685651302337646484375	0.50955505941401957326064575681812129914760589599609375	-0.9062487544100011	0.3723287532038415	LDHB;PDHA2;PDHA1;PGK1;PCK1
Serotonergic synapse_Homo sapiens_hsa04726	7/112	0.103812205288999315211384555368567816913127899169921875	0.70151884180141965696719807965564541518688201904296875	0.0716098128346534801291767280417843721807003021240234375	0.51512865361702342426042378065176308155059814453125	-1.0020254623319802	0.3552255621259755	HTR6;ARAF;GNAS;HTR2C;HTR4;RAPGEF3;ADCY5
Melanoma_Homo sapiens_hsa05218	5/71	0.10756653626098290621460051852409378625452518463134765625	0.70550992900585851597128339562914334237575531005859375	0.082267306514696991737167763858451507985591888427734375	0.53957674566992441800294955100980587303638458251953125	-0.8350601530785277	0.29129773591640085	FGF16;ARAF;PIK3CD;FGF13;FGF4
