Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Muscle contraction_Homo sapiens_R-HSA-397014	14/196	0.000415945361734879927306796076891259872354567050933837890625	0.11480091983882685646722876526837353594601154327392578125	0.000108733978051463064831531901699435138652916066348552703857421875	0.06002115588440760929334061302142799831926822662353515625	-2.0919022733192305	4.528039162337679	KCNJ4;WWTR1;TRIM72;MYBPC2;KCNIP3;NPR2;CAMK2A;LMOD1;DYSF;DES;SCN5A;NKX2-5;FGF12;FGF11
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	4/14	0.0003117039874827600928232362864633842036710120737552642822265625	0.11480091983882685646722876526837353594601154327392578125	0.000427907178903700930079623265811505916644819080829620361328125	0.10963468804015295832154919253298430703580379486083984375	-2.082658409934364	4.508030304394444	KLB;FGF6;FGF20;FGF4
Phospholipase C-mediated cascade; FGFR4_Homo sapiens_R-HSA-5654228	6/46	0.00093067329654912610108208337322821535053662955760955810546875	0.128781946636675248551995309753692708909511566162109375	0.0006584515580462489692248340134028694592416286468505859375	0.10963468804015295832154919253298430703580379486083984375	-2.0968387603213854	4.297753359746961	KLB;FGF6;ADCY9;FGF20;ADCY3;FGF4
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	5/31	0.000933202511859965492223289995621371417655609548091888427734375	0.128781946636675248551995309753692708909511566162109375	0.000794454261160528634778954515383020407170988619327545166015625	0.10963468804015295832154919253298430703580379486083984375	-2.0396203562893906	4.18047653674023	HS3ST3B1;NDST1;GPC3;HS6ST2;HS6ST3
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	4/23	0.002308778835725376100962424885665313922800123691558837890625	0.182063702474343946935420035515562631189823150634765625	0.0021229330040172145373233991705319567699916660785675048828125	0.16429625217650289936699437021161429584026336669921875	-2.0650973009625995	3.5176839329991303	KLB;FGF6;FGF20;FGF4
Physiological factors_Homo sapiens_R-HSA-5578768	3/12	0.0028548478886415390269604142048365247319452464580535888671875	0.196984504316266184620332069243886508047580718994140625	0.00327401951801002157049769181185183697380125522613525390625	0.16429625217650289936699437021161429584026336669921875	-2.01290578706807	3.2702275548375415	WWTR1;NPR2;NKX2-5
Negative regulation of FGFR4 signaling_Homo sapiens_R-HSA-5654733	4/31	0.0070144128583078148297946796674295910634100437164306640625	0.2337363148594543138525381209547049365937709808349609375	0.005571902314229749964002991191591718234121799468994140625	0.17206137214241035149342451404663734138011932373046875	-2.0833148753700113	3.028226625593549	KLB;FGF6;FGF20;FGF4
Signaling by activated point mutants of FGFR1_Homo sapiens_R-HSA-1839122	3/11	0.002181229155421646713486349966615307494066655635833740234375	0.182063702474343946935420035515562631189823150634765625	0.0026592895489065508651815861185241374187171459197998046875	0.16429625217650289936699437021161429584026336669921875	-1.764764569918406	3.006097567525961	FGF6;FGF20;FGF4
FGFR1c ligand binding and activation_Homo sapiens_R-HSA-190373	3/11	0.002181229155421646713486349966615307494066655635833740234375	0.182063702474343946935420035515562631189823150634765625	0.0026592895489065508651815861185241374187171459197998046875	0.16429625217650289936699437021161429584026336669921875	-1.7336153993617172	2.95303811277657	FGF6;FGF20;FGF4
Amine compound SLC transporters_Homo sapiens_R-HSA-425428	4/30	0.006229740555233987363281666915781897841952741146087646484375	0.2337363148594543138525381209547049365937709808349609375	0.00501461224336040289895066734970896504819393157958984375	0.17206137214241035149342451404663734138011932373046875	-2.0311026352087906	2.9523329151864695	SLC6A5;SLC44A3;SLC44A4;SLC44A2
