Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	17/139	0.00014498070572719487449260544753570911780116148293018341064453125	0.043494211718158461155159244526657857932150363922119140625	0.000526024190849688094186176190447667977423407137393951416015625	0.1578072572549064356284276300357305444777011871337890625	-1.848387204453858	5.794929395800203	TTC14;TFAP2C;EDA;TSC22D1;ARX;SORCS1;PAX6;FOXL1;CDH8;HDAC6;WDR44;PHF8;ROR2;BCOR;TBL1X;PGM1;ANKS1B
EGFR1 Signaling Pathway_Mus musculus_WP572	17/171	0.0016010043583669308041306234002831843099556863307952880859375	0.24015065375503963363001957986853085458278656005859375	0.0040685727948923944286008236304041929543018341064453125	0.6102859192338592198012747758184559643268585205078125	-2.1755624536954947	3.1034155361119207	TGIF1;NDUFA13;SH3KBP1;RGS16;CAMK2A;PIK3R1;PRKCZ;RPS6KA3;SH3BGRL;KRT18;GRB10;REPS2;PLCG2;RBBP7;SOS2;BCAR1;PLEC
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	47/808	0.035263773945451527824790360909901210106909275054931640625	0.9570043512836985399871991830877959728240966796875	0.0690026529011033840088629176534595899283885955810546875	0.96596772360196248019548193042282946407794952392578125	-2.0136386176266075	0.08849406246330052	FOXC2;COL18A1;RTKN;HOXD1;SH3KBP1;CAMK2A;PRKX;PIK3R1;PRKCZ;FGD1;PIK3R5;EFNB1;PORCN;CDH3;NSD1;CDH22;PLCG2;GRB10;PLCE1;NRIP3;EPHB2;SYNPO;MAP3K5;UBQLN2;KL;FBXW7;MAGI2;AGTRAP;CASK;PAX6;MAPK8IP2;SORBS3;EPOR;TIAM1;CLDN4;CLDN3;NR4A3;CTTN;RNF128;CCNE1;PARD3;KCNMA1;HAND1;TAB1;SOS2;BCAR1;PLEC
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	14/163	0.0138643591811032744487430790059079299680888652801513671875	0.9570043512836985399871991830877959728240966796875	0.0257750470814011416187394587495873565785586833953857421875	0.96596772360196248019548193042282946407794952392578125	-2.003431592800529	0.08804549086529051	NDUFA13;SH3KBP1;NOS3;LIMK2;CAMK2A;FOXO4;PIK3R1;PRKCZ;RPS6KA3;GRB10;REPS2;PLCE1;SOS2;BCAR1
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	12/150	0.035064671078872615417321156883190269581973552703857421875	0.9570043512836985399871991830877959728240966796875	0.056746336373245546969013020088823395781219005584716796875	0.96596772360196248019548193042282946407794952392578125	-1.962074294663734	0.08622794759183827	FGF16;FGF14;FGF8;LIMK1;PAK6;PIK3R1;FGF13;SOS2;FGD1;BCAR1;FGF4;PIK3R5
Regulation of Actin Cytoskeleton_Mus musculus_WP523	12/148	0.03209049640339443898451321501852362416684627532958984375	0.9570043512836985399871991830877959728240966796875	0.052541676430090687721641273810746497474610805511474609375	0.96596772360196248019548193042282946407794952392578125	-1.9133165104929735	0.08408517263698315	FGF16;FGF14;FGF8;LIMK1;PAK6;PIK3R1;FGF13;SOS2;FGD1;BCAR1;FGF4;PIK3R5
Kit Receptor Signaling Pathway_Mus musculus_WP407	7/67	0.028543318301518037782837922122780582867562770843505859375	0.9570043512836985399871991830877959728240966796875	0.0455564288091812319425599753230926580727100372314453125	0.96596772360196248019548193042282946407794952392578125	-1.7976079254544017	0.07900008802333365	PTPRU;FES;SH3KBP1;GRB10;PLCE1;PIK3R1;EPOR
Endochondral Ossification_Mus musculus_WP1270	6/59	0.045997276101982155493974602222806424833834171295166015625	0.9570043512836985399871991830877959728240966796875	0.06808464114231994879222753525027655996382236480712890625	0.96596772360196248019548193042282946407794952392578125	-1.6276602943963951	0.07153134157266047	ADAMTS4;ADAMTS5;IHH;ENPP1;SOX6;NKX3-2
mRNA processing_Mus musculus_WP310	24/398	0.0796998529660145338393562042256235145032405853271484375	0.9570043512836985399871991830877959728240966796875	0.1263586725479134142968717924304655753076076507568359375	0.96596772360196248019548193042282946407794952392578125	-1.602492179942029	0.07042526987086062	TTC14;ZRSR2;DDX4;FMR1;CELF5;SYNJ2;HTATSF1;ELAVL2;ENOX1;ELAVL3;RBMXL2;BOLL;SLC6A8;PCBP3;RBMX2;ADAD1;RBM41;HNRNPH2;PAPOLB;RPL39;EIF4G3;RBMX;CFB;RBM10
Gene regulatory network modelling somitogenesis _Homo sapiens_WP2854	3/11	0.01097907901410944721265483536853935220278799533843994140625	0.9570043512836985399871991830877959728240966796875	0.022060349648093856289587932906215428374707698822021484375	0.96596772360196248019548193042282946407794952392578125	-1.4961741023702926	0.06575287308861143	MESP2;LFNG;FGF8
Serotonin and anxiety-related events_Mus musculus_WP2140	3/13	0.017813408626011155433399579806064139120280742645263671875	0.9570043512836985399871991830877959728240966796875	0.031788979648733430016793732875157729722559452056884765625	0.96596772360196248019548193042282946407794952392578125	-1.4900722703764768	0.06548471379881902	ARC;HTR2C;CRHR1
Chemokine signaling pathway_Mus musculus_WP2292	11/165	0.1167730663249730571617845953369396738708019256591796875	0.9570043512836985399871991830877959728240966796875	0.1604188483966787759360528298202552832663059234619140625	0.96596772360196248019548193042282946407794952392578125	-1.4757934035990217	0.06485719557511778	TIAM1;ADCY9;GNGT2;PARD3;PRKX;PIK3R1;PRKCZ;SOS2;BCAR1;ADCY5;PIK3R5
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	5/47	0.056118295473120409500022987003831076435744762420654296875	0.9570043512836985399871991830877959728240966796875	0.08012953732347159740978526087928912602365016937255859375	0.96596772360196248019548193042282946407794952392578125	-1.4727201481347525	0.06472213417003743	LYL1;LMO2;NFATC2;GATA2;CBFA2T3
Insulin Signaling_Homo sapiens_WP481	11/160	0.0997316505507981343470191859523765742778778076171875	0.9570043512836985399871991830877959728240966796875	0.139787222444595904402575570202316157519817352294921875	0.96596772360196248019548193042282946407794952392578125	-1.4268930860911282	0.06270815665912835	RPS6KA3;GRB10;IRS4;FLOT2;ENPP1;MAP3K9;PIK3R1;SGK1;PRKCZ;SOS2;MAP3K5
Endochondral Ossification_Homo sapiens_WP474	6/64	0.0637922254895950391340164742359775118529796600341796875	0.9570043512836985399871991830877959728240966796875	0.09027771543621188055084303414332680404186248779296875	0.96596772360196248019548193042282946407794952392578125	-1.4165585814269248	0.06225398266123432	ADAMTS4;ADAMTS5;IHH;ENPP1;SOX6;NKX3-2
Fatty Acid Beta Oxidation_Homo sapiens_WP143	4/34	0.062162575710911611992504077761623193509876728057861328125	0.9570043512836985399871991830877959728240966796875	0.08688815437311155076560709176192176528275012969970703125	0.96596772360196248019548193042282946407794952392578125	-1.408229331216235	0.06188793426408647	GK;ACSL5;ACSL4;CPT1B
Heart Development_Homo sapiens_WP1591	5/47	0.056118295473120409500022987003831076435744762420654296875	0.9570043512836985399871991830877959728240966796875	0.08012953732347159740978526087928912602365016937255859375	0.96596772360196248019548193042282946407794952392578125	-1.390291609164969	0.06109961908093556	TBX1;FOXC2;FGF8;HAND1;NFATC2
Glycolysis and Gluconeogenesis_Mus musculus_WP157	5/48	0.060460441349257092180646822043854626826941967010498046875	0.9570043512836985399871991830877959728240966796875	0.0854272862790438625157918295371928252279758453369140625	0.96596772360196248019548193042282946407794952392578125	-1.3652752809361628	0.060000217980110564	PDHA1;PGK1;ALDOC;PCK1;FBP2
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	5/49	0.06498792852242445128307934965050662867724895477294921875	0.9570043512836985399871991830877959728240966796875	0.09090482329256631410796529735307558439671993255615234375	0.96596772360196248019548193042282946407794952392578125	-1.2980002371228787	0.05704365870610781	PDHA1;PGK1;ALDOC;PCK1;FBP2
