Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Melanoma_Homo sapiens_hsa05218	15/71	0.0002559459169304111460056805338325602861004881560802459716796875	0.043185574946121539630095043094115681014955043792724609375	0.0003151985602563947032328517394716982380487024784088134765625	0.0270020099952978133439618346756105893291532993316650390625	-1.957699769854494	6.151579660138572	PIK3CD;PIK3R1;PIK3R5;FGF4;FGF17;FGF16;FGF6;FGF8;CDH1;FGF20;MDM2;FGF13;FGF12;FGF11;FGF21
Rap1 signaling pathway_Homo sapiens_hsa04015	31/211	0.0003360745131993894056592064867317048992845229804515838623046875	0.043185574946121539630095043094115681014955043792724609375	0.00014756186172678966198566763434740778393461368978023529052734375	0.0270020099952978133439618346756105893291532993316650390625	-1.9362349887874888	6.0841319786021275	ADCY3;PIK3CD;PIK3R1;ITGAL;PRKCZ;RAP1GAP;ADCY5;FGF4;PIK3R5;FGF6;FGF8;CDH1;RASSF5;FGF20;PLCE1;DRD2;RALGDS;FGF21;GRIN2B;FGF17;FGF16;ADCY9;GNAS;PLCB1;FGF13;FGF12;FGF11;LAT;BCAR1;RAPGEF4;F2RL3
Ras signaling pathway_Homo sapiens_hsa04014	32/227	0.000570457555767697505229307797236515398253686726093292236328125	0.048869197277432753490078454206013702787458896636962890625	0.000227703484914629715983591662364915464422665536403656005859375	0.0270020099952978133439618346756105893291532993316650390625	-1.9568448237599776	5.906947427053682	SHC2;SHC3;SHC1;RASGRF1;PLA2G3;PIK3CD;RASAL1;PIK3R1;FOXO4;RELA;FGF4;PIK3R5;FGF6;GNGT2;FGF8;RASSF5;FGF20;PLCE1;PAK3;RALGDS;FGF21;PLA2G2F;PLA2G4E;GRIN2B;NFKB1;FGF17;FGF16;GNB3;FGF13;FGF12;FGF11;LAT
Insulin resistance_Homo sapiens_hsa04931	18/109	0.0014986840585192351578414093893343306262977421283721923828125	0.0785696991322194782103593979627476073801517486572265625	0.0011253805606932826451072049422919008065946400165557861328125	0.048203800683028937001939340234457631595432758331298828125	-1.7819764373640918	4.532936707169452	PTPN1;IRS1;NOS3;PIK3CD;IRS2;PIK3R1;PYGL;PRKCZ;CPT1B;RELA;NFKB1;PPP1CA;PIK3R5;RPS6KA3;RPS6KA6;PCK1;PPARA;SLC27A2
Pathways in cancer_Homo sapiens_hsa05200	46/397	0.0031246858336692515632770916766958180232904851436614990234375	0.1004329547544889067456352904628147371113300323486328125	0.0006492435982377712556934401533226264291442930698394775390625	0.04171390118677680003411722964301588945090770721435546875	-1.9496187290528424	4.480740275769914	CSF3R;WNT2B;CTBP2;LAMC3;LEF1;ADCY3;PIK3CD;XIAP;LAMC2;PIK3R1;RELA;ADCY5;FGF4;PIK3R5;FGF6;FGF8;GNGT2;CDH1;RASSF5;CTNNA1;FGF20;CTNNA2;RALGDS;FGF21;RUNX1T1;STAT5A;TGFB2;WNT3A;WNT7B;FZD6;WNT7A;NFKB1;RUNX1;FGF17;FGF16;ADCY9;CCNE1;RARA;MDM2;GNAS;GNB3;PLCB1;FGF13;FGF12;FGF11;F2RL3
Leukocyte transendothelial migration_Homo sapiens_hsa04670	19/118	0.00152859336833111839233645401492367454920895397663116455078125	0.0785696991322194782103593979627476073801517486572265625	0.001081564991714227368102552162554275128059089183807373046875	0.048203800683028937001939340234457631595432758331298828125	-1.6236250144688207	4.130127240992528	RHOH;PIK3CD;CYBA;PIK3R1;ITGAL;VAV1;PIK3R5;CLDN5;CLDN4;MYL7;CLDN3;RASSF5;CLDN7;CTNNA1;CLDN18;ESAM;CTNNA2;BCAR1;RAPGEF4
Acute myeloid leukemia_Homo sapiens_hsa05221	11/57	0.003517107364943191337436356747048193938098847866058349609375	0.1004329547544889067456352904628147371113300323486328125	0.003606018536513548762567626937425302457995712757110595703125	0.09267467638839819998874958173473714850842952728271484375	-1.7118409848756564	3.9342640344721955	STAT5A;LEF1;RARA;PIK3CD;PIK3R1;PIM2;RELA;NFKB1;RUNX1;PIK3R5;RUNX1T1
Chronic myeloid leukemia_Homo sapiens_hsa05220	13/73	0.00331641439680080592211641743460859288461506366729736328125	0.1004329547544889067456352904628147371113300323486328125	0.0030035276672342741018095768623652475071139633655548095703125	0.085767401164356493747931153848185203969478607177734375	-1.708435993611003	3.926438462594565	STAT5A;TGFB2;SHC2;SHC3;CTBP2;SHC1;PIK3CD;PIK3R1;RELA;NFKB1;RUNX1;PIK3R5;MDM2
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	14/78	0.0021792377824212676336312899394442865741439163684844970703125	0.09334401834704429690159344090716331265866756439208984375	0.0019765355160601444546586424877432364155538380146026611328125	0.07256708966106530100947935579824843443930149078369140625	-1.636236470100996	3.880275047795604	SHC2;SHC3;CAV3;SHC1;PIK3CD;PIK3R1;PIK3R5;SEPT9;SEPT6;CTTN;CDH1;CTNNA1;CTNNA2;BCAR1
cAMP signaling pathway_Homo sapiens_hsa04024	26/199	0.00509726283658743124782564137831286643631756305694580078125	0.1309996549002969967734344436394167132675647735595703125	0.0023025897116385469869104252182978598284535109996795654296875	0.073970694486388322008707518762093968689441680908203125	-1.7119262360016159	3.4795938005121805	CAMK2A;ADCY3;PIK3CD;PIK3R1;RELA;ADCY5;PIK3R5;HTR6;PDE4B;PLCE1;FFAR2;CNGA3;DRD2;BDNF;ATP2B3;GRIN2B;VAV1;NFKB1;PPP1CA;GRIN3B;ADCY9;FXYD1;GNAS;PPARA;HCN2;RAPGEF4
