Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	7/14	0.000031976849956639934809306258234329334300127811729907989501953125	0.035622210851696888000983420852207927964627742767333984375	0.00017301201852776051915393240587803802554844878613948822021484375	0.0385470777279850462804233757196925580501556396484375	-2.082658409934364	6.945219973567694	KLB;FGF17;FGF6;FGF16;FGF8;FGF20;FGF4
Neuronal System_Homo sapiens_R-HSA-112316	41/301	0.00022134476294952883123658138320166699486435391008853912353515625	0.04931561318515502445603004844087990932166576385498046875	0.000026328384720028196711201495805454442233894951641559600830078125	0.00977660685937047080340533966591465286910533905029296875	-2.193763245082928	6.602162406657107	KCNG1;KCNK9;GRIK5;RASGRF1;CAMK2A;GRIK3;ADCY3;AKAP5;SLC6A1;CPLX1;ADCY5;RPS6KA3;RPS6KA6;GNGT2;KCNMB1;TSPAN7;FLOT2;KCNN2;KCNN3;GABRQ;KCNJ4;KCNJ10;KCNH5;KCNB1;GABRA5;KCNJ12;KCNH8;CASK;GRIN2B;SYN1;ARHGEF9;ADCY9;GNAL;DLG3;KCNQ1;KCNMA1;MDM2;GNB3;PLCB1;HCN2;HCN1
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	8/23	0.00019814760910278838798061207260303717703209258615970611572265625	0.04931561318515502445603004844087990932166576385498046875	0.0004303809471365079041861589903561480241478420794010162353515625	0.06849205358715283742387924803551868535578250885009765625	-2.1412991969755275	6.444271090494302	KLB;FGF17;FGF6;FGF16;FGF8;SHC1;FGF20;FGF4
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell_Homo sapiens_R-HSA-112314	24/142	0.00018812642071191861188085570066874652184196747839450836181640625	0.04931561318515502445603004844087990932166576385498046875	0.000072541920307063638482907019788825664363685064017772674560546875	0.0202029248055172229447951082192957983352243900299072265625	-2.0969084971235663	6.310676633378335	GABRQ;KCNJ4;KCNJ10;KCNJ12;GABRA5;GRIK5;RASGRF1;CAMK2A;GRIK3;ADCY3;AKAP5;GRIN2B;ADCY5;RPS6KA3;ARHGEF9;RPS6KA6;ADCY9;GNAL;GNGT2;DLG3;TSPAN7;MDM2;GNB3;PLCB1
Developmental Biology_Homo sapiens_R-HSA-1266738	86/786	0.0004618062434172269027123081119867720190086401998996734619140625	0.07349316502382725879716218742032651789486408233642578125	0.000004766250264284417151338692220097215113128186203539371490478515625	0.00434635030601972748021122328054843819700181484222412109375	-2.331378791076058	6.086210907796672	KLB;RARG;CHD9;IRS1;RASGRF1;IRS2;ARHGAP39;FGF4;MED12;FGF6;RPS6KA3;MED14;RPS6KA6;FGF8;DPYSL4;CDH2;ZIC3;NRCAM;SCN5A;EPHB3;HOXA4;FOXD3;TRPC5;EPHA6;TRPC3;TSC22D1;CSNK2A2;FOXH1;UNC5C;HNF1B;GFRA3;DUSP9;ANK1;CNKSR2;STX1B;SCN8A;RARA;NUMB;DCX;HOXB3;EVL;COL6A5;PPARA;PSMD10;SHC2;SHC3;SHC1;HOXD1;KMT2C;CAMK2A;PSEN2;AGAP2;CRMP1;PRDM14;RASAL1;RELA;EFNB2;EFNB1;GSC;FGF20;SLIT1;CTNNA1;SLIT3;MYH11;RBBP7;TBL1X;CTNNA2;PCK1;PAK3;SPTBN1;NKX2-2;EGR2;LIMK2;DAB2IP;NR2F2;MAFA;GRIN2B;NFKB1;FGF17;FGF16;DLG3;FES;LEP;TDGF1;FOXA3;LAT
FGFR2c ligand binding and activation_Homo sapiens_R-HSA-190375	6/13	0.00021207858002413599164508173355869757870095781981945037841796875	0.04931561318515502445603004844087990932166576385498046875	0.000711093057254597754081315574836708037764765322208404541015625	0.07274862948024114761569336451429990120232105255126953125	-1.999348970230652	6.017069817644076	FGF17;FGF6;FGF16;FGF8;FGF20;FGF4
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	69/594	0.00032176978794358599041125490458625790779478847980499267578125	0.059741923961525798814076182452481589280068874359130859375	0.00000780314238064583031166850102255949650498223491013050079345703125	0.00434635030601972748021122328054843819700181484222412109375	-2.090795881505736	5.891280008001346	SLC44A3;SLC44A4;SLC44A2;AQP4;TCIRG1;AQP5;SLC6A1;SLC7A10;SLC6A2;BEST3;GNGT2;SLC22A17;SLC16A7;SLC12A6;SLC16A3;ABCD1;SLC15A1;TRPC5;ATP6AP1;TRPC3;SLC30A3;MMGT1;TSC22D3;SLC6A14;ABCC6;ATP11C;ATP11A;SLC39A14;ANO2;RUNX1;ARHGEF9;ADCY9;SLC7A7;SLC9A6;SLC7A9;SLC9A7;SLC9A9;SCNN1A;SLC29A4;SGK1;SLC22A3;SLC47A1;CAMK2A;ADCY3;CLCN2;ADCY5;SLC5A5;SLC7A3;GLRA1;PDZD11;SLC17A8;SLC15A3;ASIC2;ASIC3;TRPM3;FGF21;SLC35A2;GABRQ;DMTN;GABRA5;ATP2B3;MCOLN2;SLC6A5;CLCN5;FXYD1;WNK3;GNAS;GNB3;FXYD6
Muscle contraction_Homo sapiens_R-HSA-397014	28/196	0.00099227541332447244913639305963215520023368299007415771484375	0.09671258024746599846199757166687049902975559234619140625	0.0002491829367469305402636725599307965239859186112880706787109375	0.046264965256013430849879597417384502477943897247314453125	-2.0195247541402708	4.717633634564165	TRIM72;KCNK9;KCNE4;NPR2;CAMK2A;LMOD1;DYSF;MYH11;SCN5A;NKX2-5;KCNJ4;MYBPC2;KCNIP1;CAV3;KCNJ12;KCNIP3;ATP2B3;SORBS1;SORBS3;DES;MYL7;KCNQ1;SCN8A;FXYD1;FXYD6;FGF13;FGF12;FGF11
GABA receptor activation_Homo sapiens_R-HSA-977443	12/55	0.00076344084362625044999639545295622156118042767047882080078125	0.09029090127169710211507691610677284188568592071533203125	0.0006846173290175985338967823423672598437406122684478759765625	0.07274862948024114761569336451429990120232105255126953125	-1.9317354049799897	4.6452800291686	GABRQ;KCNJ4;ARHGEF9;KCNJ10;ADCY9;GNGT2;GNAL;KCNJ12;GABRA5;ADCY3;GNB3;ADCY5
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	6/17	0.0011716494171341469698877091332178679294884204864501953125	0.09671258024746599846199757166687049902975559234619140625	0.00214349150660424030145900786692436668090522289276123046875	0.114623344279249084198823993574478663504123687744140625	-1.9408550683024148	4.533860320982148	FGF17;FGF6;FGF16;FGF8;FGF20;FGF4
Potassium Channels_Homo sapiens_R-HSA-1296071	17/99	0.00129064126185651230870055083954639485455118119716644287109375	0.09671258024746599846199757166687049902975559234619140625	0.00068101695827717224039632437637692419230006635189056396484375	0.07274862948024114761569336451429990120232105255126953125	-1.8566713774742647	4.337206226736247	KCNG1;KCNJ4;KCNJ10;KCNH5;KCNK9;KCNB1;KCNJ12;KCNH8;GNGT2;KCNMB1;KCNQ1;KCNMA1;GNB3;KCNN2;KCNN3;HCN2;HCN1
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	6/18	0.00164463259668841768092184540961397942737676203250885009765625	0.10952857352633631193850050067339907400310039520263671875	0.0027119453294578081507804068195355284842662513256072998046875	0.12293748848907194715085466896198340691626071929931640625	-1.9165850623933944	4.23866167823205	FGF17;FGF16;FGF8;SHC1;FGF20;FGF4
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	28/211	0.00300686969699878563211381532482846523635089397430419921875	0.124111337121350417955767397870658896863460540771484375	0.000718343738135235744361739573804470637696795165538787841796875	0.07274862948024114761569336451429990120232105255126953125	-1.997376702012226	4.167678761196873	GRIK5;RASGRF1;CAMK2A;GRIK3;ADCY3;AKAP5;SLC6A1;CPLX1;ADCY5;RPS6KA3;RPS6KA6;GNGT2;TSPAN7;GABRQ;KCNJ4;KCNJ10;GABRA5;KCNJ12;CASK;GRIN2B;SYN1;ARHGEF9;ADCY9;GNAL;DLG3;MDM2;GNB3;PLCB1
