Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	91/808	0.0001180437414267407705316392796390800867811776697635650634765625	0.04037095956794534146183650591410696506500244140625	0.00038703336382323212661038525084222783334553241729736328125	0.1323654104275453768924108999271993525326251983642578125	-2.229522461485681	7.155974673498576	DDR1;ACVRL1;COL18A1;RTKN;ITGB4;LAMC3;IRS1;SH3KBP1;PIK3CD;LAMC2;IRS2;SLC6A2;CDH3;CDH2;CDH1;MCF2L;GRB10;PLCE1;MYOZ1;SNTA1;EPHA6;FBXW7;IGFBP2;AGTRAP;CASK;KRT7;SYTL4;CLDN5;CLDN4;CLDN3;CTTN;RNF128;CCNE1;KCNMA1;HAND1;CLDN7;RARA;SLC29A4;PPARA;DBN1;PLEC;ENG;CRB2;FOXC2;SHC2;TAGLN;SHC1;HOXD1;LEF1;CAMK2A;HTRA1;PSEN2;PRKX;PIK3R1;PRKCZ;LTBP1;NID2;FGD1;PIK3R5;EFNB2;EFNB1;PORCN;EFS;KCNMB1;NSD1;TSPAN7;CDH22;CTNNA1;NDN;NRIP3;CTNNA2;PAK3;SPTBN1;UBQLN2;TGFB2;TIE1;ESRRB;NR2F2;SORBS1;GRIN2B;SORBS3;SHCBP1;PPP1CA;MYO1E;NR4A3;KIF26A;GJB6;MDM2;SNAI1;PTPN6;BCAR1
ESC Pluripotency Pathways_Mus musculus_WP339	19/117	0.0013791920233547174702570803361822981969453394412994384765625	0.22338307420643399581194898928515613079071044921875	0.0041443202914273995218774615523216198198497295379638671875	0.61614789300056471699207349956850521266460418701171875	-2.1216289069507757	3.1800398937759704	ACVR1;WNT2B;WNT3A;WNT7B;FZD6;LIF;WNT7A;PIK3CD;FGF4;FGF17;FGF16;FGF6;FGF8;FGF20;MDM2;FGF13;FGF12;FGF11;FGF21
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	10/47	0.0025116217478662471347672369148540383321233093738555908203125	0.22338307420643399581194898928515613079071044921875	0.0072064081052697626095238092602812685072422027587890625	0.61614789300056471699207349956850521266460418701171875	-1.917471663348068	2.874035305917566	STAT5A;LYL1;EPO;MIR130A;LMO2;NFATC2;NCKAP1L;CBFA2T3;VAV1;RUNX1
G Protein Signaling Pathways_Mus musculus_WP232	15/88	0.0026126675345781755037399829433297782088629901409149169921875	0.22338307420643399581194898928515613079071044921875	0.00703529584283664466415331162352231331169605255126953125	0.61614789300056471699207349956850521266460418701171875	-1.846155755703402	2.7671422339821814	ADCY3;AKAP6;AKAP5;PRKCZ;AKAP2;ADCY5;AKAP12;ADCY9;GNGT2;GNAL;PDE4B;GNAS;GNB3;PDE7A;PDE8A
Neural Crest Differentiation_Homo sapiens_WP2064	16/101	0.004093354558852156828419044387601388734765350818634033203125	0.27998545182548750798190440036705695092678070068359375	0.00999175141823238806282336810227207024581730365753173828125	0.68343579700709533586433508389745838940143585205078125	-1.8174427503695614	2.313636671694052	FOXD3;CTBP2;WNT3A;COL11A2;SOX10;NFKB1;HDAC6;DLL3;FGF8;CDH2;GBX2;CDH1;TLX2;HAND1;SNAI1;MBP
G Protein Signaling Pathways_Homo sapiens_WP35	15/95	0.005509421390280489806701158528312589623965322971343994140625	0.31403701924598792505349820203264243900775909423828125	0.0127135971569936924441268644159208633936941623687744140625	0.72467503794864052135693555101170204579830169677734375	-1.8199545978079081	2.1079522290550825	ADCY3;AKAP6;AKAP5;PRKCZ;AKAP2;ADCY5;AKAP12;ADCY9;GNGT2;GNAL;PDE4B;GNAS;GNB3;PDE7A;PDE8A
IL-4 Signaling Pathway_Homo sapiens_WP395	10/54	0.007138830559310744942880244678917733835987746715545654296875	0.348782864469182107836076056628371588885784149169921875	0.0160646483863952187209900301922971266321837902069091796875	0.7848728211638806850913852031226269900798797607421875	-1.9991706896189574	2.1057379131345773	STAT5A;FES;SHC1;IRS1;PIK3CD;PTPN6;IRS2;PIK3R1;RELA;NFKB1
BDNF signaling pathway_Homo sapiens_WP2380	19/144	0.01369910988707518338658442047517382889054715633392333984375	0.453454311749935390363219767095870338380336761474609375	0.0264126627106879806328176840679589076898992061614990234375	0.8648048136923449646928929723799228668212890625	-1.9752321661186418	1.562133612799495	STAT5A;EGR2;SHC2;SHC3;CDKL5;IRS1;BDNF;SHC1;RASGRF1;CAMK2A;IRS2;PIK3R1;GRIN2B;RELA;NFKB1;SYN1;RPS6KA3;CDH2;KCNN2
Ectoderm Differentiation_Homo sapiens_WP2858	19/139	0.00957238510037085495174569160781175014562904834747314453125	0.409219463040854047886085709251346997916698455810546875	0.0197051160582012128974493947453083819709718227386474609375	0.84239371148810182621247122369823046028614044189453125	-1.6691344216886526	1.4913777521949472	TTC14;TFAP2C;EDA;TSC22D1;ARX;NR2F2;CDH8;HDAC6;WDR44;PHF8;TOX3;ARHGEF9;ROR2;BCOR;TBL1X;KIFC3;CTNNA2;PDE7A;LY6E
Chemokine signaling pathway_Mus musculus_WP2292	21/165	0.01458478780482248306216153110881350585259497165679931640625	0.453454311749935390363219767095870338380336761474609375	0.0278153595047245481841624581420546746812760829925537109375	0.8648048136923449646928929723799228668212890625	-1.8694761034201806	1.4784952926402868	SHC2;SHC3;SHC1;ADCY3;PIK3CD;PRKX;PIK3R1;PRKCZ;RELA;NFKB1;VAV1;CX3CL1;ADCY5;PIK3R5;ADCY9;GNGT2;GNB3;DOCK2;PLCB1;BCAR1;PF4
Mesodermal Commitment Pathway_Homo sapiens_WP2857	12/76	0.01228707786738951479588166648682090453803539276123046875	0.453454311749935390363219767095870338380336761474609375	0.024376332592445239255685152102159918285906314849853515625	0.8648048136923449646928929723799228668212890625	-1.6234925439186088	1.2839565477348995	ACVR1;FOXC2;FOXC1;FGF8;WNT3A;FOXH1;MIR141;LEF1;HAND1;SNAI1;CHRD;TEAD2
