Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	46/594	0.0028161767883524931911642941173568033264018595218658447265625	0.8094072138544612382560217156424187123775482177734375	0.0000981432473436535056897367379491470273933373391628265380859375	0.09156764977162872021221318163952673785388469696044921875	-2.12252379981951	0.44881430942959566	SLC44A3;SLC47A1;SLC44A2;ABCB7;AQP4;TCIRG1;AQP5;SLC4A2;SLC7A10;SLC6A2;SLC6A3;SLC7A3;SLC22A17;PDZD11;SLC16A7;SLC17A7;EMB;ATP7A;SLC12A6;ASIC2;SLC16A3;ASIC3;ABCD1;SLC35A2;GABRQ;SLC15A1;TRPC5;SLC12A5;SLC30A3;MMGT1;TSC22D3;ABCC6;ATP11C;ATP2B3;ATP11A;SLC6A5;ARHGEF9;CLCN5;ADCY9;SLC7A7;SLC9A6;SLC9A7;TRPV4;GNAS;ATP13A4;FXYD6
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	6/31	0.004100252943663445538702294612676269025541841983795166015625	0.8094072138544612382560217156424187123775482177734375	0.003451581005228105715476605297453716048039495944976806640625	0.54076480485443967349823424228816293179988861083984375	-2.0560481260573567	0.4347578198788236	NDST1;GPC3;GPC4;HS6ST2;HS3ST2;HS6ST3
Nephrin interactions_Homo sapiens_R-HSA-373753	5/22	0.00420646845868776105004105403395442408509552478790283203125	0.8094072138544612382560217156424187123775482177734375	0.004155365898640622258908283725986620993353426456451416015625	0.54076480485443967349823424228816293179988861083984375	-1.9301708044752346	0.4081406657326457	KIRREL2;NPHS1;CASK;PIK3R1;SPTBN1
Bile salt and organic anion SLC transporters_Homo sapiens_R-HSA-425471	4/14	0.00433765923823398354131075649320337106473743915557861328125	0.8094072138544612382560217156424187123775482177734375	0.00521638075422289036742196088880518800579011440277099609375	0.54076480485443967349823424228816293179988861083984375	-1.7120126436435994	0.36201043892039175	SLC47A1;SLC16A7;EMB;SLC16A3
Proton-coupled monocarboxylate transport_Homo sapiens_R-HSA-433692	3/6	0.0023021229545982062336673124036678927950561046600341796875	0.8094072138544612382560217156424187123775482177734375	0.00465450410430168215469848291832022368907928466796875	0.54076480485443967349823424228816293179988861083984375	-1.531456269312372	0.3238312277070841	SLC16A7;EMB;SLC16A3
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	8/54	0.005489087816614879149212935516288780490867793560028076171875	0.853553155483613767984252262976951897144317626953125	0.0034154707534850927731773229112377521232701838016510009765625	0.54076480485443967349823424228816293179988861083984375	-1.9514387680645222	0.3090053708410946	NDST1;GPC3;IDS;CSPG4;GPC4;HS6ST2;HS3ST2;HS6ST3
Cell-Cell communication_Homo sapiens_R-HSA-1500931	14/131	0.006569258910301889985150491924059679149650037288665771484375	0.87558836618738045132204206311143934726715087890625	0.0022667198936860114173719171759557866607792675495147705078125	0.54076480485443967349823424228816293179988861083984375	-1.9748755041156822	0.26238037976734885	KIRREL2;ITGB4;CASK;PIK3R1;CLDN5;CLDN4;CLDN3;CDH3;CDH2;NPHS1;CDH1;CLDN7;SPTBN1;PLEC
Neuronal System_Homo sapiens_R-HSA-112316	24/301	0.019005568500141567511718676541931927204132080078125	0.99999999402808648074625352819566614925861358642578125	0.003362958669650186090127608196098663029260933399200439453125	0.54076480485443967349823424228816293179988861083984375	-2.1529746125965996	0.000000012857378233967307	GABRQ;KCNH4;KCNH5;KCNJ12;CACNA2D1;KCNB2;KCNC4;RASGRF1;CACNA2D3;GRIK3;CASK;AKAP5;SLC6A3;RPS6KA3;ARHGEF9;ADCY9;DLG3;KCNS3;TSPAN7;MDM2;KCNMB4;SLC17A7;KCNN3;GRIA3
Amine compound SLC transporters_Homo sapiens_R-HSA-425428	5/30	0.0163079448820601380365502564018242992460727691650390625	0.99999999402808648074625352819566614925861358642578125	0.012819409138126798552992369195635546930134296417236328125	0.92260006951432094179921250542975030839443206787109375	-2.1438077369251243	0.000000012802634445052041	SLC6A5;SLC44A3;SLC44A2;SLC6A2;SLC6A3
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	17/211	0.03980652408523717433741495597132598049938678741455078125	0.99999999402808648074625352819566614925861358642578125	0.01151357143716547591638654779444550513289868831634521484375	0.92260006951432094179921250542975030839443206787109375	-2.0140774777428736	0.000000012027896554071933	GABRQ;KCNJ12;CACNA2D1;RASGRF1;CACNA2D3;GRIK3;CASK;AKAP5;SLC6A3;RPS6KA3;ARHGEF9;ADCY9;DLG3;TSPAN7;MDM2;SLC17A7;GRIA3
