Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pyruvate metabolism_Homo sapiens_hsa00620	6/40	0.00276177269347084412831616617722829687409102916717529296875	0.4180892016683628309436926429043523967266082763671875	0.002622599719537321849571753773489035665988922119140625	0.24296339878674622081433653875137679278850555419921875	-1.9643246805879089	1.713009900461095	LDHB;PDHA2;PDHA1;LDHD;ACOT12;PCK1
cAMP signaling pathway_Homo sapiens_hsa04024	15/199	0.005320318666183466993491180119235650636255741119384765625	0.4180892016683628309436926429043523967266082763671875	0.002346932079475105674404300515334398369304835796356201171875	0.24296339878674622081433653875137679278850555419921875	-1.918708471437807	1.673229807756542	BDNF;CAMK2A;PIK3CD;ATP2B2;HTR4;ADCY7;ADCY5;LIPE;HTR6;CREB3L3;FXYD2;GNAS;PDE4B;DRD2;RAPGEF3
Glucagon signaling pathway_Homo sapiens_hsa04922	9/101	0.01010072953686656262173304554607966565527021884918212890625	0.4180892016683628309436926429043523967266082763671875	0.006507948181787845572110473568727684323675930500030517578125	0.24296339878674622081433653875137679278850555419921875	-1.8323813578032027	1.5979473446303096	LDHB;PDHA2;PDHA1;CREB3L3;CAMK2A;GNAS;PYGM;PCK1;PHKA2
Cocaine addiction_Homo sapiens_hsa05030	6/49	0.007680369100904009364849667207408856484107673168182373046875	0.4180892016683628309436926429043523967266082763671875	0.00645915679099685023645260883995433687232434749603271484375	0.24296339878674622081433653875137679278850555419921875	-1.8005407020826278	1.5701803674978974	CREB3L3;BDNF;GNAS;DRD2;ADCY5;CDK5R1
Insulin signaling pathway_Homo sapiens_hsa04910	11/139	0.0111988179018311477530556174997400376014411449432373046875	0.4180892016683628309436926429043523967266082763671875	0.00628321902963368227046370151356313726864755153656005859375	0.24296339878674622081433653875137679278850555419921875	-1.6495151007363504	1.4384769108922235	PTPN1;LIPE;SHC1;ARAF;IRS4;CBLC;PIK3CD;PYGM;PCK1;PHKA2;PRKCZ
Tight junction_Homo sapiens_hsa04530	11/139	0.0111988179018311477530556174997400376014411449432373046875	0.4180892016683628309436926429043523967266082763671875	0.00628321902963368227046370151356313726864755153656005859375	0.24296339878674622081433653875137679278850555419921875	-1.601917020794309	1.3969685070171307	CLDN3;CTTN;CLDN14;PARD3;SHROOM2;CASK;CLDN18;PRKCZ;SHROOM4;TJP3;LLGL2
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	6/56	0.01447428971282772869333399512470350600779056549072265625	0.463177270810487318186687843990512192249298095703125	0.01147732980311194812828023970041613210923969745635986328125	0.367274553699582340104967670413316227495670318603515625	-1.7134449513549388	1.318745065834124	LIPE;GNAS;IRS4;PIK3CD;ADCY7;ADCY5
Calcium signaling pathway_Homo sapiens_hsa04020	12/180	0.0283300229025080195499608493037158041261136531829833984375	0.54732606901606895011269671158515848219394683837890625	0.0149025691849545664779963516366478870622813701629638671875	0.378160470876234777737323611290776170790195465087890625	-1.7562013667294976	1.0584810915215908	P2RX7;HTR6;CAMK2A;GNAS;HTR2C;ATP2B2;NOS1;HTR4;SLC25A5;ADCY7;PHKA2;NTSR1
Rap1 signaling pathway_Homo sapiens_hsa04015	13/211	0.040029081010643723093078705232983338646590709686279296875	0.54732606901606895011269671158515848219394683837890625	0.02018400500357810101181854633978218771517276763916015625	0.378160470876234777737323611290776170790195465087890625	-1.6347041368002966	0.9852534292565274	PIK3CD;ITGAL;ADCY7;PRKCZ;ADCY5;FGF4;FGF16;PARD3;GNAS;FGF13;DRD2;RAPGEF3;F2RL3
ErbB signaling pathway_Homo sapiens_hsa04012	7/87	0.03588301438238407359282433617408969439566135406494140625	0.54732606901606895011269671158515848219394683837890625	0.0250514823606409579859199965312654967419803142547607421875	0.378160470876234777737323611290776170790195465087890625	-1.6325662851089737	0.9839649234879908	SHC1;CAMK2A;ARAF;CBLC;PAK6;PIK3CD;PAK3
