Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Muscle contraction_Homo sapiens_R-HSA-397014	14/196	0.0004592894000767853263621220971657521658926270902156829833984375	0.1292899661216150575260286359480232931673526763916015625	0.0001281799884870024499976259857447757894988171756267547607421875	0.072165333518182384064942880286253057420253753662109375	-2.0919022733192305	4.279399455256453	KCNJ4;WWTR1;TRIM72;MYBPC2;KCNIP3;NPR2;CAMK2A;LMOD1;DYSF;DES;SCN5A;NKX2-5;FGF12;FGF11
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	4/14	0.0003237946294569977252926495925322569746640510857105255126953125	0.1292899661216150575260286359480232931673526763916015625	0.00045371578064121328120739118361370856291614472866058349609375	0.11988325200970313677562018028766033239662647247314453125	-2.082658409934364	4.260489306136105	KLB;FGF6;FGF20;FGF4
Phospholipase C-mediated cascade; FGFR4_Homo sapiens_R-HSA-5654228	6/46	0.000980001057375321817100033428005190216936171054840087890625	0.13793514882557655898409620931488461792469024658203125	0.000714089243481488985219873821819192016846500337123870849609375	0.11988325200970313677562018028766033239662647247314453125	-2.084632398813734	4.1295976625548265	KLB;FGF6;ADCY9;FGF20;ADCY3;FGF4
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	5/31	0.00097586850615408366783898319596346482285298407077789306640625	0.13793514882557655898409620931488461792469024658203125	0.0008517460178309281537689656715883756987750530242919921875	0.11988325200970313677562018028766033239662647247314453125	-2.0560481260573567	4.072973028865099	HS3ST3B1;NDST1;GPC3;HS6ST2;HS6ST3
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	4/23	0.00239404069949723970200938794050671276636421680450439453125	0.192549273402420839662596563357510603964328765869140625	0.0022458259107861404217654222037481304141692817211151123046875	0.1750404301471318035954283232058514840900897979736328125	-2.0650973009625995	3.4020478859768164	KLB;FGF6;FGF20;FGF4
Physiological factors_Homo sapiens_R-HSA-5578768	3/12	0.002936877200260178295831980932462101918645203113555908203125	0.2066827329683100511470428273241850547492504119873046875	0.003419972880316962844660100273586067487485706806182861328125	0.1750404301471318035954283232058514840900897979736328125	-2.01290578706807	3.1734875861936818	WWTR1;NPR2;NKX2-5
Negative regulation of FGFR4 signaling_Homo sapiens_R-HSA-5654733	4/31	0.007262067338684769120249473672856765915639698505401611328125	0.239983189546081721044146206622826866805553436279296875	0.005882619816627973098610571156541482196189463138580322265625	0.182568594643045700731676106443046592175960540771484375	-2.0833148753700113	2.9732786604859593	KLB;FGF6;FGF20;FGF4
FGFR1c ligand binding and activation_Homo sapiens_R-HSA-190373	3/11	0.00224432306474226135606375720499272574670612812042236328125	0.192549273402420839662596563357510603964328765869140625	0.002778501973389180083884308913866334478370845317840576171875	0.1750404301471318035954283232058514840900897979736328125	-1.7680107577103006	2.9126265662392297	FGF6;FGF20;FGF4
Amine compound SLC transporters_Homo sapiens_R-HSA-425428	4/30	0.006450944908574275833690325754332661745138466358184814453125	0.239983189546081721044146206622826866805553436279296875	0.005295574697101130233478638587030218332074582576751708984375	0.182568594643045700731676106443046592175960540771484375	-2.0311026352087906	2.8987620613281133	SLC6A5;SLC44A3;SLC44A4;SLC44A2
FGFR1 ligand binding and activation_Homo sapiens_R-HSA-190242	3/15	0.0057427963509726377699937671650332049466669559478759765625	0.239983189546081721044146206622826866805553436279296875	0.0058566400065370449734558633281267248094081878662109375	0.182568594643045700731676106443046592175960540771484375	-2.000328566938871	2.854841729569795	FGF6;FGF20;FGF4
Signaling by activated point mutants of FGFR1_Homo sapiens_R-HSA-1839122	3/11	0.00224432306474226135606375720499272574670612812042236328125	0.192549273402420839662596563357510603964328765869140625	0.002778501973389180083884308913866334478370845317840576171875	0.1750404301471318035954283232058514840900897979736328125	-1.7302316926925567	2.8503892139276044	FGF6;FGF20;FGF4
Aquaporin-mediated transport_Homo sapiens_R-HSA-445717	5/51	0.00895141559585740063942349564740652567707002162933349609375	0.239983189546081721044146206622826866805553436279296875	0.00616128472152374477566194599376103724353015422821044921875	0.182568594643045700731676106443046592175960540771484375	-1.976484265429389	2.820811466698589	ADCY9;GNAS;ADCY3;AQP4;AQP5
Constitutive Signaling by Aberrant PI3K in Cancer_Homo sapiens_R-HSA-2219530	6/61	0.004235210954059604425425700213736490695737302303314208984375	0.2384423767135557259422284914762713015079498291015625	0.0027016786739678150426613445489465448190458118915557861328125	0.1750404301471318035954283232058514840900897979736328125	-1.890792645707835	2.7106925320598116	KLB;FGF6;FGF20;PIK3CD;VAV1;FGF4
Phospholipase C-mediated cascade: FGFR1_Homo sapiens_R-HSA-5654219	5/47	0.006342248047112771132394204443016860750503838062286376953125	0.239983189546081721044146206622826866805553436279296875	0.004483126044896549623752779467622531228698790073394775390625	0.182568594643045700731676106443046592175960540771484375	-1.8909923889994633	2.6987986232061454	FGF6;ADCY9;FGF20;ADCY3;FGF4
FGFR2c ligand binding and activation_Homo sapiens_R-HSA-190375	3/13	0.0037471530654239067724409206761038149124942719936370849609375	0.234405241759295501768889380400651134550571441650390625	0.004144843094266045975537782197761771385557949542999267578125	0.182568594643045700731676106443046592175960540771484375	-1.8503993552194629	2.684381485446735	FGF6;FGF20;FGF4
Phospholipase C-mediated cascade; FGFR2_Homo sapiens_R-HSA-5654221	5/49	0.00756881699661565536529916897734437952749431133270263671875	0.239983189546081721044146206622826866805553436279296875	0.005275085119876570145802663347467387211509048938751220703125	0.182568594643045700731676106443046592175960540771484375	-1.8659494407696275	2.663057668035266	FGF6;ADCY9;FGF20;ADCY3;FGF4
PI3K/AKT Signaling in Cancer_Homo sapiens_R-HSA-2219528	7/86	0.005937152021890937207693195176716471905820071697235107421875	0.239983189546081721044146206622826866805553436279296875	0.0032947908249576045303097515670742723159492015838623046875	0.1750404301471318035954283232058514840900897979736328125	-1.8344513460129275	2.6181040155205797	KLB;FGF6;FGF20;PIK3CD;FOXO4;VAV1;FGF4
Cardiac conduction_Homo sapiens_R-HSA-5576891	9/135	0.007176462377442352318090978968712079222314059734344482421875	0.239983189546081721044146206622826866805553436279296875	0.0032235447948445986217358427694534839247353374958038330078125	0.1750404301471318035954283232058514840900897979736328125	-1.8019417153584614	2.5717067127278193	KCNJ4;WWTR1;KCNIP3;NPR2;CAMK2A;SCN5A;NKX2-5;FGF12;FGF11
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	3/17	0.00826876344465342187628476011695966008119285106658935546875	0.239983189546081721044146206622826866805553436279296875	0.007934678058226542207709286458339192904531955718994140625	0.19326229805641215175882052790257148444652557373046875	-1.7756015001487235	2.5341143157639126	FGF6;FGF20;FGF4
PKA activation in glucagon signalling_Homo sapiens_R-HSA-164378	3/17	0.00826876344465342187628476011695966008119285106658935546875	0.239983189546081721044146206622826866805553436279296875	0.007934678058226542207709286458339192904531955718994140625	0.19326229805641215175882052790257148444652557373046875	-1.662099067028027	2.372125186659718	ADCY9;GNAS;ADCY3
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	5/54	0.01133752472903389214853309141517456737346947193145751953125	0.283911167384768570176589719267212785780429840087890625	0.007679423240098349513760300766307409503497183322906494140625	0.19326229805641215175882052790257148444652557373046875	-1.771335982984205	2.230278296748634	HS3ST3B1;NDST1;GPC3;HS6ST2;HS6ST3
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	11/211	0.0181675759332442822435726981211701058782637119293212890625	0.32013901504341324422142633920884691178798675537109375	0.006957301478988510250178745053517559426836669445037841796875	0.19326229805641215175882052790257148444652557373046875	-1.9556247626856067	2.2274565176963295	KCNJ4;ADCY9;SYT1;GABRA5;GRIK5;RASGRF1;CAMK2A;KCNJ15;ADCY3;CPLX1;LIN7B
GABA receptor activation_Homo sapiens_R-HSA-977443	5/55	0.0122204368570760120438212226190444198437035083770751953125	0.283911167384768570176589719267212785780429840087890625	0.00823853490826623700848951870057135238312184810638427734375	0.19326229805641215175882052790257148444652557373046875	-1.7679094874557109	2.225964017196636	KCNJ4;ADCY9;GABRA5;KCNJ15;ADCY3
SHC-mediated cascade:FGFR1_Homo sapiens_R-HSA-5654688	3/21	0.015015959989700032595205669849747209809720516204833984375	0.3044850185415974852531917349551804363727569580078125	0.01325108347088767291044320018045254983007907867431640625	0.2094263348630366061708940605967654846608638763427734375	-1.8493618551344733	2.1991379381142333	FGF6;FGF20;FGF4
Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	14/325	0.03634755919671518731295378756840364076197147369384765625	0.35901185662720436209127683468977920711040496826171875	0.0117887996850426259032307285679053165949881076812744140625	0.2094263348630366061708940605967654846608638763427734375	-2.053509496130519	2.103614849015731	KLB;PTPRU;RASGRF1;CAMK2A;DAB2IP;PIK3CD;FOXO4;VAV1;FGF4;FGF6;FER;FES;FGF20;PTPN6
