Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Metapathway biotransformation_Mus musculus_WP1251	10/132	0.0018745809288199556663645495291348197497427463531494140625	0.2178738876961904546991632969366037286818027496337890625	0.0021011474173124205545859499721927932114340364933013916015625	0.327375557060553823429671638223226182162761688232421875	-2.0154758692258876	3.0712604920209956	HS3ST3B1;NDST1;CYP26C1;GSR;CYP2R1;CHST13;SULT4A1;HS6ST2;GAL3ST4;HS6ST3
Globo Sphingolipid Metabolism_Homo sapiens_WP1424	4/22	0.0020173508120017633570009163435088339610956609249114990234375	0.2178738876961904546991632969366037286818027496337890625	0.003177923162800168344066520376145490445196628570556640625	0.327375557060553823429671638223226182162761688232421875	-1.874308472842873	2.8561441247686576	ST6GALNAC2;ST8SIA1;A4GALT;FUT1
Metapathway biotransformation_Homo sapiens_WP702	11/178	0.005513559689173645576854010386114168795756995677947998046875	0.2739851156352717254094386589713394641876220703125	0.005605184454259407901555167796914247446693480014801025390625	0.327375557060553823429671638223226182162761688232421875	-2.1054913853064554	2.725940737740847	HS3ST3B1;NDST1;CYP26C1;GSR;CYP2R1;CHST13;CHST5;SULT4A1;HS6ST2;GAL3ST4;HS6ST3
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	5/47	0.006342248047112771132394204443016860750503838062286376953125	0.2739851156352717254094386589713394641876220703125	0.00786974990906437986415422614072667784057557582855224609375	0.339973196071581218458135253968066535890102386474609375	-1.8366077514911017	2.3778220723099825	LYL1;SPI1;NFATC2;CBFA2T3;VAV1
Ganglio Sphingolipid Metabolism_Homo sapiens_WP1423	3/13	0.0037471530654239067724409206761038149124942719936370849609375	0.2697950207105213049629810484475456178188323974609375	0.00606251031593618185111527196795577765442430973052978515625	0.327375557060553823429671638223226182162761688232421875	-1.3007172193362688	1.7040602520030312	ST8SIA1;ST8SIA5;FUT1
ESC Pluripotency Pathways_Mus musculus_WP339	7/117	0.028449455325008581041412725198824773542582988739013671875	0.76281724986377053010500048912945203483104705810546875	0.029324214041673159203416076934445300139486789703369140625	0.784865581365552511527994283824227750301361083984375	-1.958300675627242	0.5301840419792369	FGF6;FGF20;LIF;PIK3CD;FGF12;FGF11;FGF4
IL-3 Signaling Pathway_Mus musculus_WP373	6/97	0.0356876061696656254884629788648453541100025177001953125	0.76281724986377053010500048912945203483104705810546875	0.03713554377703144615541219764054403640329837799072265625	0.784865581365552511527994283824227750301361083984375	-1.849964901894587	0.5008535621793819	SPI1;FES;KCNIP3;PIK3CD;PTPN6;VAV1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	13/303	0.04377971395929215747688800774994888342916965484619140625	0.78803485126725891785071098638582043349742889404296875	0.039970006458430913653945282248969306237995624542236328125	0.784865581365552511527994283824227750301361083984375	-2.067881195729019	0.49259610595131664	PFKFB3;LAMC3;COL11A2;OSM;PIK3CD;ITGAL;THBS4;FGF4;FGF6;COL4A4;FGF20;FGF12;FGF11
G Protein Signaling Pathways_Mus musculus_WP232	6/88	0.0235581975431243574592432565850685932673513889312744140625	0.76281724986377053010500048912945203483104705810546875	0.025157086257053616618062363841090700589120388031005859375	0.784865581365552511527994283824227750301361083984375	-1.790196960326485	0.4846721814365062	ADCY9;PDE4B;GNAS;ADCY3;AKAP6;PDE8A
G Protein Signaling Pathways_Homo sapiens_WP35	6/95	0.032704699560173640382476634158592787571251392364501953125	0.76281724986377053010500048912945203483104705810546875	0.03420780955084982977165708462052862159907817840576171875	0.784865581365552511527994283824227750301361083984375	-1.7389362921385614	0.47079403259415603	ADCY9;PDE4B;GNAS;ADCY3;AKAP6;PDE8A
