Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuronal System_Homo sapiens_R-HSA-112316	24/301	0.005256403230400371294483985451506669051013886928558349609375	0.68513360740847095708971892236149869859218597412109375	0.00077019537309362825182323941675122114247642457485198974609375	0.323867154385870659183410680270753800868988037109375	-2.193763245082928	0.8295527320272581	GABRB3;KCNH5;KCNK9;KCNB1;GABRA5;CACNA2D1;KCNC3;KCNH8;KCNC4;RASGRF1;CAMK2A;CACNA2D3;CASK;GRIN2C;GABRG3;ADCY5;RPS6KA3;ADCY9;GNGT2;DLG3;KCNMA1;FLOT2;KCNN3;HCN2
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	6/31	0.0023395299496402877613421278368832645355723798274993896484375	0.68513360740847095708971892236149869859218597412109375	0.0019915161699552244058131211801310200826264917850494384765625	0.33497301978646876197132087327190674841403961181640625	-2.0889036655932878	0.7899009825324889	NDST1;GPC3;GPC4;HS6ST2;HS3ST2;HS6ST3
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	40/594	0.0080083649019118408052264612706494517624378204345703125	0.68513360740847095708971892236149869859218597412109375	0.0004252448684756728568279182667311033583246171474456787109375	0.323867154385870659183410680270753800868988037109375	-2.0828639019272925	0.7876170977691009	GABRB3;SLC44A3;SLC47A1;SLC44A2;CAMK2A;TCIRG1;AQP5;ATP2C2;ADCY5;SLC5A5;SLC7A3;GNGT2;SLC22A17;PDZD11;ATP7A;SLC12A6;ASIC2;SLC16A3;SLC35A2;SLC15A1;TRPC5;DMTN;ATP6AP1;SLC30A3;GABRA5;MMGT1;TSC22D3;SLC6A14;ATP11C;MCOLN2;GABRG3;SLC9A3;CLCN5;ADCY9;SLC7A7;SLC9A6;SLC9A7;SCNN1A;FXYD6;SGK1
Signaling by FGFR3 in disease_Homo sapiens_R-HSA-5655332	4/22	0.0158222791152544083048692158399717300198972225189208984375	0.68513360740847095708971892236149869859218597412109375	0.01368600250227130880886772246185500989668071269989013671875	0.59403980983462323361976586966193281114101409912109375	-2.042826780736776	0.7724774042125868	FGF16;FGF8;PIK3R1;FGF4
FGFR4 ligand binding and activation_Homo sapiens_R-HSA-190322	4/14	0.002884697652917002884398467443816116428934037685394287109375	0.68513360740847095708971892236149869859218597412109375	0.0035210007389247428323530986205014414736069738864898681640625	0.493526936905951452150276281827245838940143585205078125	-2.02672513392078	0.7663887047431769	KLB;FGF16;FGF8;FGF4
EPHB-mediated forward signaling_Homo sapiens_R-HSA-3928662	6/42	0.0109510299103640351692234844449558295309543609619140625	0.68513360740847095708971892236149869859218597412109375	0.0075228805695588853164057496769601129926741123199462890625	0.59403980983462323361976586966193281114101409912109375	-2.0241641667427106	0.7654202969972812	TIAM1;EFNB1;LIMK2;LIMK1;EPHB2;EPHB3
Ion channel transport_Homo sapiens_R-HSA-983712	18/203	0.005043094847113848387676338091978323063813149929046630859375	0.68513360740847095708971892236149869859218597412109375	0.0011621446191807170526810732980038665118627250194549560546875	0.32578787491032767942300552022061310708522796630859375	-2.0115759455739575	0.7606601692645788	GABRB3;TRPC5;ATP6AP1;GABRA5;TSC22D3;CAMK2A;ATP11C;ATP2C2;TCIRG1;MCOLN2;GABRG3;CLCN5;PDZD11;SCNN1A;FXYD6;SGK1;ASIC2;ATP7A
Signaling by FGFR3 point mutants in cancer_Homo sapiens_R-HSA-8853338	4/22	0.0158222791152544083048692158399717300198972225189208984375	0.68513360740847095708971892236149869859218597412109375	0.01368600250227130880886772246185500989668071269989013671875	0.59403980983462323361976586966193281114101409912109375	-2.0100007617410105	0.7600645270251551	FGF16;FGF8;PIK3R1;FGF4
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	8/54	0.0027744622635192876629328662119178261491470038890838623046875	0.68513360740847095708971892236149869859218597412109375	0.00172616993894165039573340703071835378068499267101287841796875	0.33497301978646876197132087327190674841403961181640625	-1.9964644643346017	0.7549458924048567	NDST1;GPC3;IDS;CSPG4;GPC4;HS6ST2;HS3ST2;HS6ST3
Phospholipase C-mediated cascade; FGFR4_Homo sapiens_R-HSA-5654228	6/46	0.01680453864079566039801960641852929256856441497802734375	0.68513360740847095708971892236149869859218597412109375	0.0110585273959216377759329219543360522948205471038818359375	0.59403980983462323361976586966193281114101409912109375	-1.9503624222295692	0.7375128010874663	KLB;FGF16;ADCY9;FGF8;ADCY5;FGF4
