Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Melanoma_Homo sapiens_hsa05218	15/71	0.000280493019234169635618691973633076486294157803058624267578125	0.042314208942504059896005941254770732484757900238037109375	0.0003647276008051356967210043791283169412054121494293212890625	0.02343374835172996883958518310464569367468357086181640625	-1.957699769854494	6.191484605186817	PIK3CD;PIK3R1;PIK3R5;FGF4;FGF17;FGF16;FGF6;FGF8;CDH1;FGF20;MDM2;FGF13;FGF12;FGF11;FGF21
Rap1 signaling pathway_Homo sapiens_hsa04015	31/211	0.0003885259876533867797430976676054115159786306321620941162109375	0.042314208942504059896005941254770732484757900238037109375	0.00018864657176120177531526700409614250020240433514118194580078125	0.02343374835172996883958518310464569367468357086181640625	-1.9362349887874888	6.1235993944019445	ADCY3;PIK3CD;PIK3R1;ITGAL;PRKCZ;RAP1GAP;ADCY5;FGF4;PIK3R5;FGF6;FGF8;CDH1;RASSF5;FGF20;PLCE1;DRD2;RALGDS;FGF21;GRIN2B;FGF17;FGF16;ADCY9;GNAS;PLCB1;FGF13;FGF12;FGF11;LAT;BCAR1;RAPGEF4;F2RL3
Ras signaling pathway_Homo sapiens_hsa04014	32/227	0.000658586909610958128567792524421520283794961869716644287109375	0.042314208942504059896005941254770732484757900238037109375	0.00029107675141408040180024396903490924159996211528778076171875	0.02343374835172996883958518310464569367468357086181640625	-1.9309793741539634	6.106977817592603	SHC2;SHC3;SHC1;RASGRF1;PLA2G3;PIK3CD;RASAL1;PIK3R1;FOXO4;RELA;FGF4;PIK3R5;FGF6;GNGT2;FGF8;RASSF5;FGF20;PLCE1;PAK3;RALGDS;FGF21;PLA2G2F;PLA2G4E;GRIN2B;NFKB1;FGF17;FGF16;GNB3;FGF13;FGF12;FGF11;LAT
Pathways in cancer_Homo sapiens_hsa05200	48/397	0.00127695964955758006938169035748842361499555408954620361328125	0.04688266141947115828170211671022116206586360931396484375	0.00028141092070508764121095079957513007684610784053802490234375	0.02343374835172996883958518310464569367468357086181640625	-1.9496187290528424	5.966042630608438	SPI1;CSF3R;WNT2B;CTBP2;LAMC3;LEF1;ADCY3;PIK3CD;XIAP;LAMC2;PIK3R1;RELA;ADCY5;FGF4;PIK3R5;FGF6;FGF8;GNGT2;CDH1;RASSF5;CTNNA1;FGF20;CTNNA2;RALGDS;FGF21;RUNX1T1;STAT5A;TGFB2;TGFB3;WNT3A;WNT7B;FZD6;WNT7A;NFKB1;RUNX1;FGF17;FGF16;ADCY9;CCNE1;RARA;MDM2;GNAS;GNB3;PLCB1;FGF13;FGF12;FGF11;F2RL3
Acute myeloid leukemia_Homo sapiens_hsa05221	12/57	0.00114950142756082792673544279438146986649371683597564697265625	0.04688266141947115828170211671022116206586360931396484375	0.00142345363038111241520133898319500076468102633953094482421875	0.04067187437096884961018616877481690607964992523193359375	-1.8767452970563414	5.7430421046845375	STAT5A;SPI1;LEF1;RARA;PIK3CD;PIK3R1;PIM2;RELA;NFKB1;RUNX1;PIK3R5;RUNX1T1
Insulin resistance_Homo sapiens_hsa04931	19/109	0.000631999418991870446325742616267007178976200520992279052734375	0.042314208942504059896005941254770732484757900238037109375	0.00054606720764330761962168647727366987965069711208343505859375	0.0280678544728660099571992958544797147624194622039794921875	-1.808483788137748	5.719569315685742	PTPN1;IRS1;NOS3;PIK3CD;IRS2;PIK3R1;PYGL;PRKCZ;CPT1B;RELA;NFKB1;PPP1CA;PIK3R5;RPS6KA3;RPS6KA6;CREB3L4;PCK1;PPARA;SLC27A2
Chronic myeloid leukemia_Homo sapiens_hsa05220	14/73	0.00122089580111143310332810774099243644741363823413848876953125	0.04688266141947115828170211671022116206586360931396484375	0.00129684927430139397379338372928714306908659636974334716796875	0.04067187437096884961018616877481690607964992523193359375	-1.7739314843794554	5.428420799346704	STAT5A;TGFB2;SHC2;SHC3;CTBP2;TGFB3;SHC1;PIK3CD;PIK3R1;RELA;NFKB1;RUNX1;PIK3R5;MDM2
Leukocyte transendothelial migration_Homo sapiens_hsa04670	19/118	0.001685435582302954003741657373893758631311357021331787109375	0.05414461808148239574389748440808034501969814300537109375	0.00127015292347137345903285154946615875815041363239288330078125	0.04067187437096884961018616877481690607964992523193359375	-1.5467106469693195	4.510357812788433	RHOH;PIK3CD;CYBA;PIK3R1;ITGAL;VAV1;PIK3R5;CLDN5;CLDN4;MYL7;CLDN3;RASSF5;CLDN7;CTNNA1;CLDN18;ESAM;CTNNA2;BCAR1;RAPGEF4
cAMP signaling pathway_Homo sapiens_hsa04024	27/199	0.002901658906946584341735029255460176500491797924041748046875	0.0745726339085272249551650247667566873133182525634765625	0.00142430688458645786885481410166676141670905053615570068359375	0.04067187437096884961018616877481690607964992523193359375	-1.7119262360016159	4.444129140626842	CAMK2A;ADCY3;PIK3CD;PIK3R1;RELA;ADCY5;PIK3R5;HTR6;CREB3L4;PDE4B;PLCE1;FFAR2;CNGA3;DRD2;BDNF;ATP2B3;GRIN2B;VAV1;NFKB1;PPP1CA;GRIN3B;ADCY9;FXYD1;GNAS;PPARA;HCN2;RAPGEF4
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	14/78	0.00235703634379709481283526883999002166092395782470703125	0.06730648226176148829491552305626100860536098480224609375	0.0022435624036710503058367205397871657623909413814544677734375	0.05765955377434599238295476197890820913016796112060546875	-1.5421841858766798	4.161582064042393	SHC2;SHC3;CAV3;SHC1;PIK3CD;PIK3R1;PIK3R5;SEPT9;SEPT6;CTTN;CDH1;CTNNA1;CTNNA2;BCAR1
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	15/98	0.00793790050248399485510741868665718357078731060028076171875	0.185458220830762410269443307697656564414501190185546875	0.006046088532776410472135975027185850194655358791351318359375	0.1294870627436281174116317060907022096216678619384765625	-1.7221070394213922	2.901622317485879	IL1R1;PLA2G4E;CAMK2A;ADCY3;HTR2C;PIK3CD;PIK3R1;PPP1CA;ADCY5;PIK3R5;ADCY9;GNAS;ASIC2;PLCB1;ASIC3
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	22/167	0.00944553543150007147988223010770525434054434299468994140625	0.1873816746899048535368592638405971229076385498046875	0.00522796698427090145155915479335817508399486541748046875	0.12214431954160197280057076341108768247067928314208984375	-1.6566422648796666	2.7742258947345815	IRS1;NOS3;NPR2;IRS4;ADCY3;NFATC2;ATP2B3;PIK3CD;IRS2;PIK3R1;ADRA2B;PPP1CA;ADCY5;PIK3R5;ADCY9;CREB3L4;KCNMB1;KCNMA1;GTF2IRD1;SLC25A31;SLC25A5;PLCB1
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	10/56	0.00979062260514140629552581884809114853851497173309326171875	0.1873816746899048535368592638405971229076385498046875	0.0094680358117528971850784813568679965101182460784912109375	0.1650575732602108935953566515308921225368976593017578125	-1.4782134540375815	2.475427634000381	ADCY9;IRS1;GNAS;IRS4;ADCY3;PIK3CD;IRS2;PIK3R1;ADCY5;PIK3R5
Cocaine addiction_Homo sapiens_hsa05030	9/49	0.0116181373456788750164747625603922642767429351806640625	0.189411303458149438139201947706169448792934417724609375	0.011622114422607854322677667369134724140167236328125	0.1650575732602108935953566515308921225368976593017578125	-1.2433970584851775	2.068806823213753	GRIN3B;BDNF;CREB3L4;GNAS;DRD2;GRIN2B;RELA;NFKB1;ADCY5
Glycine, serine and threonine metabolism_Homo sapiens_hsa00260	8/40	0.01020756204536446727637599707350091193802654743194580078125	0.1873816746899048535368592638405971229076385498046875	0.01116696923505365070250494596848511719144880771636962890625	0.1650575732602108935953566515308921225368976593017578125	-1.17501871142688	1.9676953830915875	GAMT;AOC3;DMGDH;GCSH;GATM;DAO;CHDH;GNMT
Neurotrophin signaling pathway_Homo sapiens_hsa04722	16/120	0.021976469107042172212995723157291649840772151947021484375	0.25672511638681083656621240152162499725818634033203125	0.01448627974754418575031866822655501891858875751495361328125	0.1650575732602108935953566515308921225368976593017578125	-1.3274862706089574	1.8050485969739796	SHC2;SHC3;IRS1;MAGED1;BDNF;SHC1;CAMK2A;PSEN2;PIK3CD;PIK3R1;RELA;NFKB1;PIK3R5;RPS6KA3;RPS6KA6;IRAK1
Amoebiasis_Homo sapiens_hsa05146	14/100	0.02110048049104328027336663353707990609109401702880859375	0.25672511638681083656621240152162499725818634033203125	0.015151337600025828467042998681790777482092380523681640625	0.1650575732602108935953566515308921225368976593017578125	-1.3119043320758217	1.7838610661421397	TGFB2;TGFB3;IL1R1;LAMC3;PIK3CD;LAMC2;PIK3R1;RELA;NFKB1;PIK3R5;GNAL;GNAS;IL12A;PLCB1
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	25/214	0.0245347009911462583808816617647607927210628986358642578125	0.274148615422808161756762501681805588304996490478515625	0.01168711694983161873684363030179156339727342128753662109375	0.1650575732602108935953566515308921225368976593017578125	-1.3768009963902599	1.7816974177077243	ITGB4;PIK3CD;PIK3R1;ITGAL;FGD1;FGF4;PIK3R5;FGF6;FGF8;FGF20;NCKAP1L;PAK3;FGF21;LIMK2;SSH3;VAV1;PPP1CA;FGF17;FGF16;DIAPH2;MYL7;FGF13;FGF12;FGF11;BCAR1
Insulin signaling pathway_Homo sapiens_hsa04910	18/139	0.0207344703022338018583159424679251969791948795318603515625	0.25672511638681083656621240152162499725818634033203125	0.01270209256263568793621221431067169760353863239288330078125	0.1650575732602108935953566515308921225368976593017578125	-1.3051953072823357	1.7747384740229835	PTPN1;SHC2;SHC3;IRS1;SHC1;IRS4;PIK3CD;PHKA1;IRS2;PIK3R1;SORBS1;PYGL;PRKCZ;PPP1CA;PIK3R5;PPP1R3F;FLOT2;PCK1
Adipocytokine signaling pathway_Homo sapiens_hsa04920	11/70	0.0176577496599252536935154012098792009055614471435546875	0.2521134257000439138352021473110653460025787353515625	0.01485167839450131366252350062495679594576358795166015625	0.1650575732602108935953566515308921225368976593017578125	-1.2524532168104274	1.725725467473747	IRS1;LEP;ACSL6;IRS4;ACSL4;IRS2;PCK1;PPARA;CPT1B;RELA;NFKB1
Tight junction_Homo sapiens_hsa04530	18/139	0.0207344703022338018583159424679251969791948795318603515625	0.25672511638681083656621240152162499725818634033203125	0.01270209256263568793621221431067169760353863239288330078125	0.1650575732602108935953566515308921225368976593017578125	-1.2685738210958772	1.7249424318916813	CSNK2A2;SHROOM2;CASK;SHROOM3;PRKCZ;SHROOM4;CLDN5;CLDN4;MYL7;CLDN3;CTTN;CLDN7;CTNNA1;CLDN18;MYH11;CTNNA2;TJP3;LLGL2
Hippo signaling pathway_Homo sapiens_hsa04390	19/153	0.0264830296379926187488873523534493870101869106292724609375	0.283589109040170928022206453533726744353771209716796875	0.0154139368025099678105593881127788336016237735748291015625	0.1650575732602108935953566515308921225368976593017578125	-1.1832174152967074	1.4911247670680157	CRB2;TGFB2;WNT2B;TGFB3;WNT3A;WNT7B;LEF1;FZD6;BMP8B;WNT7A;LIMD1;PRKCZ;PPP1CA;DLG3;CDH1;CTNNA1;CTNNA2;TEAD2;LLGL2
Insulin secretion_Homo sapiens_hsa04911	12/85	0.0294826676258577898004364925554909859783947467803955078125	0.29142482999405583399266106425784528255462646484375	0.0223307088376459329792655950086555094458162784576416015625	0.2295596868510001720142810199831728823482990264892578125	-1.1286048900737997	1.3915395597556268	ADCY9;CREB3L4;KCNMB1;KCNMA1;CAMK2A;GNAS;ADCY3;KCNN2;KCNN3;PLCB1;RAPGEF4;ADCY5
Cholinergic synapse_Homo sapiens_hsa04725	14/111	0.0461541545071136039002368534056586213409900665283203125	0.373728931426836663565183016544324345886707305908203125	0.0311379579702482610359393078169887303374707698822021484375	0.27594673097771738046191103421733714640140533447265625	-1.204474767500332	1.185473607881334	KCNJ4;KCNJ12;CAMK2A;ADCY3;PIK3CD;PIK3R1;ADCY5;PIK3R5;ADCY9;GNGT2;CREB3L4;KCNQ1;GNB3;PLCB1
Estrogen signaling pathway_Homo sapiens_hsa04915	13/99	0.04055689628002880076085290284026996232569217681884765625	0.372254369427407194592660744092427194118499755859375	0.0286690346186437954034698094574196147732436656951904296875	0.272886736925609441062334781236131675541400909423828125	-1.1635373103303592	1.1497818205254753	SHC2;SHC3;SHC1;NOS3;ADCY3;PIK3CD;PIK3R1;ADCY5;PIK3R5;ADCY9;CREB3L4;GNAS;PLCB1
Melanogenesis_Homo sapiens_hsa04916	13/100	0.04346417679931492694667127807406359352171421051025390625	0.372343114580797884816121268158894963562488555908203125	0.03056348325356690598386677493181196041405200958251953125	0.27594673097771738046191103421733714640140533447265625	-1.1186165412735434	1.1051254651236173	WNT2B;WNT3A;WNT7B;LEF1;FZD6;CAMK2A;ADCY3;WNT7A;ADCY5;ADCY9;CREB3L4;GNAS;PLCB1
Type II diabetes mellitus_Homo sapiens_hsa04930	8/48	0.0291113394211687005752597912078272202052175998687744140625	0.29142482999405583399266106425784528255462646484375	0.026799981628267015298927589128652471117675304412841796875	0.26490751071017781814731506528914906084537506103515625	-0.8379175109682402	1.0331298176884833	IRS1;IRS4;PIK3CD;IRS2;PIK3R1;MAFA;PRKCZ;PIK3R5
Glutamatergic synapse_Homo sapiens_hsa04724	14/114	0.05559665292219591326006167264495161361992359161376953125	0.397286254979695663269723127086763270199298858642578125	0.037097426491233355394516735259458073414862155914306640625	0.281759259865939082345676069962792098522186279296875	-1.0335846532398167	0.9541001462186386	PLA2G4E;GRIK5;GRIK3;ADCY3;GRIN2B;ADCY5;GRIN3B;ADCY9;GNGT2;GNAS;GNB3;SLC17A8;PLCB1;SHANK2
Morphine addiction_Homo sapiens_hsa05032	12/91	0.04653434165625981722147486152607598342001438140869140625	0.373728931426836663565183016544324345886707305908203125	0.03383408648043693955909105852697393856942653656005859375	0.281759259865939082345676069962792098522186279296875	-0.9624979590442096	0.9473140981230602	GABRQ;ADCY9;GNGT2;GABRA5;PDE4B;GNAS;ADCY3;GNB3;PDE7A;GABRE;PDE8A;ADCY5
VEGF signaling pathway_Homo sapiens_hsa04370	9/61	0.043165512635521367801327841107195126824080944061279296875	0.372343114580797884816121268158894963562488555908203125	0.035910085539615159422321966076196986250579357147216796875	0.281759259865939082345676069962792098522186279296875	-0.944794931658607	0.9334002312418236	SHC2;MAPKAPK3;NOS3;PLA2G4E;SPHK1;NFATC2;PIK3CD;PIK3R1;PIK3R5
Prolactin signaling pathway_Homo sapiens_hsa04917	10/72	0.0488543017622610487027401404702686704695224761962890625	0.380471380390942137683651935731177218258380889892578125	0.0383718836393302231702051585671142674982547760009765625	0.281759259865939082345676069962792098522186279296875	-0.8923786334877831	0.86234502402958	STAT5A;SHC2;SHC3;SHC1;LHB;PIK3CD;PIK3R1;RELA;NFKB1;PIK3R5
Maturity onset diabetes of the young_Homo sapiens_hsa04950	6/26	0.012529152368827005392670770334007102064788341522216796875	0.189411303458149438139201947706169448792934417724609375	0.01539786918838833944256361263569488073699176311492919921875	0.1650575732602108935953566515308921225368976593017578125	-0.508034566948921	0.8452853988675424	HNF1B;BHLHA15;MAFA;FOXA3;MNX1;NKX2-2
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601	6/26	0.012529152368827005392670770334007102064788341522216796875	0.189411303458149438139201947706169448792934417724609375	0.01539786918838833944256361263569488073699176311492919921875	0.1650575732602108935953566515308921225368976593017578125	-0.49525882891927125	0.8240286861972301	B4GALT3;ST8SIA1;B3GNT4;GCNT2;FUT1;FUT4
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	12/94	0.057196853829761633292161349118032376281917095184326171875	0.397286254979695663269723127086763270199298858642578125	0.04094789558174637134069229205124429427087306976318359375	0.29232247679191158962197505388758145272731781005859375	-0.8764191786920853	0.8090209775443724	ADCY9;CREB3L4;IRS1;IRS4;ADCY3;PIK3CD;IRS2;PIK3R1;RELA;NFKB1;ADCY5;PIK3R5
Chemokine signaling pathway_Homo sapiens_hsa04062	20/187	0.08525117423750318279562776524471701122820377349853515625	0.447273849386320365706382062853663228452205657958984375	0.04683747780542564520533943550617550499737262725830078125	0.30093079489985974372956434308434836566448211669921875	-0.864694320786643	0.6957194173077584	SHC2;SHC3;SHC1;ADCY3;PIK3CD;PIK3R1;PRKCZ;RELA;NFKB1;VAV1;CX3CL1;ADCY5;PIK3R5;ADCY9;GNGT2;GNB3;DOCK2;PLCB1;BCAR1;PF4
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	28/277	0.08548352509293048739902332044948707334697246551513671875	0.447273849386320365706382062853663228452205657958984375	0.038191655006267706540246109625513781793415546417236328125	0.281759259865939082345676069962792098522186279296875	-0.8545643547706617	0.6875690063653408	NPFFR1;GRIK5;LHB;GRIK3;HTR2C;CRHR1;GLRA1;HTR6;HRH3;CNR2;S1PR3;GABRE;DRD2;S1PR4;NTSR1;GABRQ;GABRA5;TACR3;GPR50;GRIN2B;ADRA2B;SSTR3;SSTR4;HCRTR1;P2RX7;GRIN3B;LEP;F2RL3
Vascular smooth muscle contraction_Homo sapiens_hsa04270	14/120	0.07824336747834705063642246614108444191515445709228515625	0.447273849386320365706382062853663228452205657958984375	0.051391033221068811720488866967571084387600421905517578125	0.31881941085471410257667912446777336299419403076171875	-0.8396465141659278	0.6755663470168052	PLA2G2F;RAMP2;PLA2G4E;NPR2;ADCY3;PLA2G3;PPP1CA;ADCY5;ADCY9;KCNMB1;KCNMA1;GNAS;MYH11;PLCB1
