Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	92/808	0.0000989912934307575985946880958721294518909417092800140380859375	0.03405300494018061174816836000900366343557834625244140625	0.0003355045115601591201003051079254646538174711167812347412109375	0.11541355197669474208499451606257935054600238800048828125	-2.229522461485681	7.535422506473268	DDR1;ACVRL1;COL18A1;RTKN;ITGB4;LAMC3;IRS1;SH3KBP1;PIK3CD;LAMC2;IRS2;SLC6A2;CDH3;CDH2;CDH1;MCF2L;GRB10;PLCE1;MYOZ1;SNTA1;EPHA6;FBXW7;IGFBP2;AGTRAP;CASK;KRT7;SYTL4;CLDN5;CLDN4;CLDN3;CTTN;RNF128;CCNE1;KCNMA1;HAND1;CLDN7;RARA;SLC29A4;PPARA;DBN1;PLEC;ENG;CRB2;FOXC2;SHC2;TAGLN;SHC1;HOXD1;LEF1;CAMK2A;HTRA1;PSEN2;PRKX;PIK3R1;PRKCZ;LTBP1;NID2;FGD1;PIK3R5;EFNB2;EFNB1;PORCN;EFS;KCNMB1;NSD1;TSPAN7;CDH22;CTNNA1;NDN;NRIP3;CTNNA2;PAK3;SPTBN1;UBQLN2;TGFB2;TGFB3;TIE1;ESRRB;NR2F2;SORBS1;GRIN2B;SORBS3;SHCBP1;PPP1CA;MYO1E;NR4A3;KIF26A;GJB6;MDM2;SNAI1;PTPN6;BCAR1
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	11/47	0.000720164219158655875309416050100708162062801420688629150390625	0.123868245695288814456347381565137766301631927490234375	0.0027957956992454356497102008205501988413743674755096435546875	0.480876860270214923076537161250598728656768798828125	-1.9579036192765513	4.089153785131148	STAT5A;LYL1;SPI1;EPO;MIR130A;LMO2;NFATC2;NCKAP1L;CBFA2T3;VAV1;RUNX1
ESC Pluripotency Pathways_Mus musculus_WP339	19/117	0.00152164962412058390843483390852952652494423091411590576171875	0.17448249023249362554821573212393559515476226806640625	0.004517310850218950006584872625126081402413547039031982421875	0.51798497749177296878286824721726588904857635498046875	-2.09440753506352	3.656690800995935	ACVR1;WNT2B;WNT3A;WNT7B;FZD6;LIF;WNT7A;PIK3CD;FGF4;FGF17;FGF16;FGF6;FGF8;FGF20;MDM2;FGF13;FGF12;FGF11;FGF21
G Protein Signaling Pathways_Mus musculus_WP232	15/88	0.002833352031689932715163848797601531259715557098388671875	0.243668274725334199626303188779274933040142059326171875	0.007552983007331853966548340650888349045999348163604736328125	0.64955653863053941510230515632429160177707672119140625	-1.846155755703402	2.6066750195725406	ADCY3;AKAP6;AKAP5;PRKCZ;AKAP2;ADCY5;AKAP12;ADCY9;GNGT2;GNAL;PDE4B;GNAS;GNB3;PDE7A;PDE8A
Neural Crest Differentiation_Homo sapiens_WP2064	16/101	0.004442703522653576771184180671525609795935451984405517578125	0.30565800235856610544971090348553843796253204345703125	0.01073463006370059709404518599740185891278088092803955078125	0.7385425483826011383570175894419662654399871826171875	-1.8174427503695614	2.154193884929175	FOXD3;CTBP2;WNT3A;COL11A2;SOX10;NFKB1;HDAC6;DLL3;FGF8;CDH2;GBX2;CDH1;TLX2;HAND1;SNAI1;MBP
IL-4 Signaling Pathway_Homo sapiens_WP395	10/54	0.00756466741214925804392965602573895012028515338897705078125	0.37174936996847784964614902492030523717403411865234375	0.016900936543035559311842774832257418893277645111083984375	0.83056031011489039883599616587162017822265625	-1.9991706896189574	1.9782501448607632	STAT5A;FES;SHC1;IRS1;PIK3CD;PTPN6;IRS2;PIK3R1;RELA;NFKB1
G Protein Signaling Pathways_Homo sapiens_WP35	15/95	0.00594951257675224547127879048957765917293727397918701171875	0.341105387733795450966312046148232184350490570068359375	0.0135984081682730510720613636976850102655589580535888671875	0.77964206831432159017225558272912167012691497802734375	-1.8199545978079081	1.9574772730513619	ADCY3;AKAP6;AKAP5;PRKCZ;AKAP2;ADCY5;AKAP12;ADCY9;GNGT2;GNAL;PDE4B;GNAS;GNB3;PDE7A;PDE8A
BDNF signaling pathway_Homo sapiens_WP2380	19/144	0.01486728302706671368815793954354376182891428470611572265625	0.49722018892819352942069599521346390247344970703125	0.0283745461455692203622813707397654070518910884857177734375	0.88484358961760545270180955412797629833221435546875	-1.9752321661186418	1.3801387916231365	STAT5A;EGR2;SHC2;SHC3;CDKL5;IRS1;BDNF;SHC1;RASGRF1;CAMK2A;IRS2;PIK3R1;GRIN2B;RELA;NFKB1;SYN1;RPS6KA3;CDH2;KCNN2
Ectoderm Differentiation_Homo sapiens_WP2858	19/139	0.0104198411701713657129264589684680686332285404205322265625	0.448053170317368743003072495412197895348072052001953125	0.021224810647544826991417465933409403078258037567138671875	0.88484358961760545270180955412797629833221435546875	-1.6691344216886526	1.340053503866826	TTC14;TFAP2C;EDA;TSC22D1;ARX;NR2F2;CDH8;HDAC6;WDR44;PHF8;TOX3;ARHGEF9;ROR2;BCOR;TBL1X;KIFC3;CTNNA2;PDE7A;LY6E
Chemokine signaling pathway_Mus musculus_WP2292	21/165	0.0158994827854945612599646409535125712864100933074951171875	0.49722018892819352942069599521346390247344970703125	0.029999459786020608864642866819849587045609951019287109375	0.88484358961760545270180955412797629833221435546875	-1.8694761034201806	1.3062446706772	SHC2;SHC3;SHC1;ADCY3;PIK3CD;PRKX;PIK3R1;PRKCZ;RELA;NFKB1;VAV1;CX3CL1;ADCY5;PIK3R5;ADCY9;GNGT2;GNB3;DOCK2;PLCB1;BCAR1;PF4
EGFR1 Signaling Pathway_Mus musculus_WP572	21/171	0.022845066545545029967900774181543965823948383331298828125	0.5141551211366823803672332360292784869670867919921875	0.04044681792421546406846033505644300021231174468994140625	0.88484358961760545270180955412797629833221435546875	-1.8521447011671053	1.2321027140102643	TGIF1;STAT5A;HIP1;SH3KBP1;SHC1;CAMK2A;KRT7;PIK3CD;PTK6;PIK3R1;PRKCZ;VAV1;RPS6KA3;SH3BGRL;GRB10;REPS2;PTPN6;RBBP7;RALGDS;BCAR1;PLEC
Mesodermal Commitment Pathway_Homo sapiens_WP2857	12/76	0.0130768132971573088074723756335515645332634449005126953125	0.49722018892819352942069599521346390247344970703125	0.0257427726106330030664270935858439770527184009552001953125	0.88484358961760545270180955412797629833221435546875	-1.6234925439186088	1.1343704685489697	ACVR1;FOXC2;FOXC1;FGF8;WNT3A;FOXH1;MIR141;LEF1;HAND1;SNAI1;CHRD;TEAD2
Notch Signaling Pathway_Homo sapiens_WP61	10/62	0.019491477815190727529426339970086701214313507080078125	0.5141551211366823803672332360292784869670867919921875	0.035622568353019808118364863958049681968986988067626953125	0.88484358961760545270180955412797629833221435546875	-1.6369479686865018	1.0889473342127707	NUMBL;RING1;FBXW7;FHL1;NUMB;PSEN2;DTX1;PIK3R1;NFKB1;DLL3
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	33/305	0.03042078563846521699343128375403466634452342987060546875	0.55077632945431764799337770455167628824710845947265625	0.052019174741434671960238489418770768679678440093994140625	0.88484358961760545270180955412797629833221435546875	-1.6880034445910068	1.006769966017141	DDR1;CRB2;COL18A1;FOXC2;TAGLN;SH3KBP1;SHC1;ITGB4;CAMK2A;PSEN2;PIK3CD;PIK3R1;NID2;EFNB1;CDH3;CTNNA1;PLCE1;CTNNA2;SPTBN1;TGFB2;TGFB3;IGFBP2;KRT7;CASK;NR2F2;MYO1E;CTTN;KCNMA1;SNAI1;RARA;SLC29A4;DBN1;BCAR1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	32/303	0.043334160620016264064968680713718640618026256561279296875	0.56160260189323019108798007437144406139850616455078125	0.069946101205674626744013266943511553108692169189453125	0.88484358961760545270180955412797629833221435546875	-1.701969812812433	0.9819698533397287	CSF3R;PFKFB3;EPO;IRS1;LAMC3;ITGB4;COL11A2;PIK3CD;IRS2;LAMC2;PIK3R1;ITGAL;THBS4;FGF4;PIK3R5;FGF6;GNGT2;FGF8;CREB3L4;CHAD;FGF20;FGF21;CMC4;NOS3;OSM;FGF17;FGF16;MDM2;GNB3;FGF13;FGF12;FGF11
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	10/64	0.0239141916807759265239941015579461236484348773956298828125	0.5141551211366823803672332360292784869670867919921875	0.041951536388473632810391933389837504364550113677978515625	0.88484358961760545270180955412797629833221435546875	-1.460928529148253	0.9718538754581811	RTKN;SHC1;IRS1;ITGB4;PIK3CD;RPSA;LAMC2;IRS2;PIK3R1;PLEC
AGE/RAGE pathway_Homo sapiens_WP2324	10/66	0.02901748763909660355775343987261294387280941009521484375	0.55077632945431764799337770455167628824710845947265625	0.04900875626802010665006292811085586436092853546142578125	0.88484358961760545270180955412797629833221435546875	-1.5512373708378857	0.9251990569849681	STAT5A;LGALS3;MMP14;SHC1;NOS3;IRS1;FOXO4;PRKCZ;RELA;NFKB1
Regulation of Actin Cytoskeleton_Mus musculus_WP523	18/148	0.03612723288715881386767847516239271499216556549072265625	0.56160260189323019108798007437144406139850616455078125	0.058877750429976082047200947044984786771237850189208984375	0.88484358961760545270180955412797629833221435546875	-1.5445243889162676	0.8911300166702123	PIK3CD;PIK3R1;SSH3;FGD1;VAV1;FGF4;PIK3R5;FGF17;FGF16;FGF6;FGF8;FGF20;PAK3;FGF13;FGF12;FGF11;BCAR1;FGF21
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	18/150	0.0404608230892311571125219415989704430103302001953125	0.56160260189323019108798007437144406139850616455078125	0.064669524989571403050803155565517954528331756591796875	0.88484358961760545270180955412797629833221435546875	-1.5338238891229465	0.8849562478209599	PIK3CD;PIK3R1;SSH3;FGD1;VAV1;FGF4;PIK3R5;FGF17;FGF16;FGF6;FGF8;FGF20;PAK3;FGF13;FGF12;FGF11;BCAR1;FGF21
Differentiation Pathway_Homo sapiens_WP2848	8/48	0.0291113394211687005752597912078272202052175998687744140625	0.55077632945431764799337770455167628824710845947265625	0.049402619786001543411568803776390268467366695404052734375	0.88484358961760545270180955412797629833221435546875	-1.4070417153636492	0.8391969486203191	IL11;WNT2B;FGF8;TGFB3;WNT3A;EPO;WNT7B;FGF4
TGF Beta Signaling Pathway_Mus musculus_WP113	8/52	0.044368221042771098516777072973127360455691814422607421875	0.56160260189323019108798007437144406139850616455078125	0.06923094085464172320332210119886440224945545196533203125	0.88484358961760545270180955412797629833221435546875	-1.2432747096763332	0.717320762760443	TGIF1;FOXH1;LEF1;TFE3;LIF;LTBP1;NFKB1;ENG
Type II diabetes mellitus_Homo sapiens_WP1584	5/22	0.023588928678292965523954904938364052213728427886962890625	0.5141551211366823803672332360292784869670867919921875	0.0433733462022727056517368282584357075393199920654296875	0.88484358961760545270180955412797629833221435546875	-1.0285382471034241	0.684214772701581	GK;IRS1;MAFA;PRKCZ;PIK3R5
