Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Acute myeloid leukemia_Homo sapiens_hsa05221	9/57	0.0023656559655269859820947431217064149677753448486328125	0.289792855777055768928818224594579078257083892822265625	0.0015758620477238772898676000266959817963652312755584716796875	0.1483582683818481517956655579837388359010219573974609375	-2.000423531191855	2.47770238433876	STAT5A;SPI1;LEF1;ARAF;PIK3CD;PIK3R1;PIM2;PIK3R5;RUNX1T1
Leukocyte transendothelial migration_Homo sapiens_hsa04670	15/118	0.00106840395636594834467836268032669977401383221149444580078125	0.261758969309657363311316657927818596363067626953125	0.0004136424892724842165316057052137921346002258360385894775390625	0.101342409871758631911831116667599417269229888916015625	-1.7261775044681553	2.313649502306783	MSN;PIK3CD;PIK3R1;ITGAL;VAV1;PIK3R5;CLDN5;CLDN4;MYL7;CLDN3;CLDN14;RASSF5;CLDN7;ESAM;BCAR1
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750	11/98	0.01190563397198111418584520748709110193885862827301025390625	0.383468574075124635225364500001887790858745574951171875	0.005683688577199807155648780820911269984208047389984130859375	0.242077236083391600374170593568123877048492431640625	-1.8976826419751014	1.8189242703773938	ADCY9;IL1R1;PLA2G4E;TRPV4;GNAS;HTR2C;PIK3CD;PIK3R1;ASIC2;ASIC3;PIK3R5
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	20/214	0.00738451100184027257877783512185487779788672924041748046875	0.383468574075124635225364500001887790858745574951171875	0.001816631857736916190459997011430459679104387760162353515625	0.1483582683818481517956655579837388359010219573974609375	-1.8714489435123043	1.7937793331891188	ITGB4;LIMK2;ARAF;MSN;PIK3CD;PIK3R1;ITGAL;SSH3;VAV1;FGD1;FGF4;PIK3R5;FGF16;DIAPH2;MYL7;MYH14;PAK6;PAK3;FGF13;BCAR1
Melanoma_Homo sapiens_hsa05218	9/71	0.01034832152021010302778147860180979478172957897186279296875	0.383468574075124635225364500001887790858745574951171875	0.005928422108164692512499716059437560033984482288360595703125	0.242077236083391600374170593568123877048492431640625	-1.8556416228748607	1.778628054191721	FGF16;CDH1;ARAF;MDM2;PIK3CD;PIK3R1;FGF13;PIK3R5;FGF4
VEGF signaling pathway_Homo sapiens_hsa04370	8/61	0.012521422826942844863662429588657687418162822723388671875	0.383468574075124635225364500001887790858745574951171875	0.0077586332583417828845373520607608952559530735015869140625	0.271552164041962418306042081894702278077602386474609375	-1.7538421626543437	1.6810535152194424	SHC2;MAPKAPK3;NOS3;PLA2G4E;NFATC2;PIK3CD;PIK3R1;PIK3R5
Tight junction_Homo sapiens_hsa04530	14/139	0.01243678685141773841704715408695847145281732082366943359375	0.383468574075124635225364500001887790858745574951171875	0.00470200694359132649602361908591774408705532550811767578125	0.242077236083391600374170593568123877048492431640625	-1.5542965636945332	1.489789536213328	SHROOM2;CASK;SHROOM3;PRKCZ;SHROOM4;CLDN5;CLDN4;MYL7;CLDN3;CTTN;CLDN14;CLDN7;MYH14;TJP3
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	9/78	0.018466512377014403234465333980551804415881633758544921875	0.50269950359650328319816026123589836061000823974609375	0.01017397506689377527366868747549233376048505306243896484375	0.3115779864236218887896257001557387411594390869140625	-1.5421841858766798	1.0606567530350208	SEPT9;SEPT6;SHC2;CTTN;CDH1;PIK3CD;PIK3R1;BCAR1;PIK3R5
Chronic myeloid leukemia_Homo sapiens_hsa05220	8/73	0.033509248719054397780414689123062998987734317779541015625	0.58711588250803725674842326043290086090564727783203125	0.0194330263279406910414959241961696534417569637298583984375	0.35869948591243294711006228681071661412715911865234375	-1.5774450120740982	0.8400416252605302	STAT5A;SHC2;MECOM;ARAF;MDM2;PIK3CD;PIK3R1;PIK3R5
ErbB signaling pathway_Homo sapiens_hsa04012	9/87	0.034670184593826917918146790498212794773280620574951171875	0.58711588250803725674842326043290086090564727783203125	0.0185844243013340328085636343757869326509535312652587890625	0.35869948591243294711006228681071661412715911865234375	-1.5434725995301282	0.8219501923237114	STAT5A;SHC2;ERBB4;ARAF;PAK6;PIK3CD;PIK3R1;PAK3;PIK3R5
