Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601	2/26	0.004144079448504795100405306840229968656785786151885986328125	0.128466462903648659388267105896375142037868499755859375	0.0027807133338297912623915397745122390915639698505401611328125	0.08620211334872353303726555395769537426531314849853515625	-1.5214621277899716	3.122173258648151	GCNT2;FUT1
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	2/24	0.003536133423981601027474841458797527593560516834259033203125	0.128466462903648659388267105896375142037868499755859375	0.00239898845135446021903380398043736931867897510528564453125	0.08620211334872353303726555395769537426531314849853515625	-1.5043131146301585	3.0869819848584132	HS3ST3B1;NDST1
Glutamatergic synapse_Homo sapiens_hsa04724	2/114	0.06673216646354925007944558501549181528389453887939453125	0.49689462497959879794251492057810537517070770263671875	0.04226628725441720912936460763376089744269847869873046875	0.403319444820709971377681313242646865546703338623046875	-1.829392933460162	1.279435885940737	GNAS;SHANK2
TGF-beta signaling pathway_Homo sapiens_hsa04350	2/84	0.03874313849154853439671342130168341100215911865234375	0.49689462497959879794251492057810537517070770263671875	0.02436510980286400729344364890494034625589847564697265625	0.403319444820709971377681313242646865546703338623046875	-1.8139119572926843	1.2686088426654571	TGIF1;BMP8B
Jak-STAT signaling pathway_Homo sapiens_hsa04630	2/158	0.11605975782483134162159643665290786884725093841552734375	0.49689462497959879794251492057810537517070770263671875	0.0748552962159064472213998442384763620793819427490234375	0.403319444820709971377681313242646865546703338623046875	-1.7782158936951786	1.2436438261738452	IL22RA1;FHL1
RNA transport_Homo sapiens_hsa03013	2/172	0.13326019357781537788554260259843431413173675537109375	0.49689462497959879794251492057810537517070770263671875	0.08651993103149761832337816258586826734244823455810546875	0.403319444820709971377681313242646865546703338623046875	-1.6973752994098399	1.1871057498110995	THOC2;MAGOHB
Spliceosome_Homo sapiens_hsa03040	2/134	0.0881318573207414690529049039469100534915924072265625	0.49689462497959879794251492057810537517070770263671875	0.056244769954027780400895863976984401233494281768798828125	0.403319444820709971377681313242646865546703338623046875	-1.6733706591183857	1.1703174493556607	THOC2;MAGOHB
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962	1/44	0.15064482965649828027920875683776102960109710693359375	0.49689462497959879794251492057810537517070770263671875	0.120682028375513450413336613564752042293548583984375	0.403319444820709971377681313242646865546703338623046875	-1.5853307695141026	1.108744349288565	GNAS
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961	1/47	0.1600589353271096582087551496442756615579128265380859375	0.49689462497959879794251492057810537517070770263671875	0.128214694136275564328997234042617492377758026123046875	0.403319444820709971377681313242646865546703338623046875	-1.5661545664517433	1.0953329482137486	GNAS
Ovarian steroidogenesis_Homo sapiens_hsa04913	1/50	0.1693700913073303837563798879273235797882080078125	0.49689462497959879794251492057810537517070770263671875	0.1356860315546557782528935831578564830124378204345703125	0.403319444820709971377681313242646865546703338623046875	-1.516836904805498	1.0608412952906432	GNAS
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	1/56	0.187687984657093409612826917509664781391620635986328125	0.49689462497959879794251492057810537517070770263671875	0.1504466108584355532595822069197311066091060638427734375	0.403319444820709971377681313242646865546703338623046875	-1.4390082044846886	1.0064096691892848	GNAS
Vibrio cholerae infection_Homo sapiens_hsa05110	1/51	0.1724511245559841865482297862399718724191188812255859375	0.49689462497959879794251492057810537517070770263671875	0.1381629307340640766543771178476163186132907867431640625	0.403319444820709971377681313242646865546703338623046875	-1.430682141195539	1.0005866095469789	GNAS
Cocaine addiction_Homo sapiens_hsa05030	1/49	0.1662777427071578661976758439777768217027187347412109375	0.49689462497959879794251492057810537517070770263671875	0.1332023707248820298953972951494506560266017913818359375	0.403319444820709971377681313242646865546703338623046875	-1.4291116063509943	0.9994882131317099	GNAS
Amphetamine addiction_Homo sapiens_hsa05031	1/67	0.22024165193822919928123837962630204856395721435546875	0.49689462497959879794251492057810537517070770263671875	0.176887836581272328562164375398424454033374786376953125	0.403319444820709971377681313242646865546703338623046875	-1.4266634107198366	0.9977760006873434	GNAS
Long-term depression_Homo sapiens_hsa04730	1/60	0.1996779232940529558160136502920067869126796722412109375	0.49689462497959879794251492057810537517070770263671875	0.1601536130258068013620942338093300350010395050048828125	0.403319444820709971377681313242646865546703338623046875	-1.4166396920781956	0.9907656394324589	GNAS
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060	2/265	0.25699145708170478830112415380426682531833648681640625	0.49689462497959879794251492057810537517070770263671875	0.1748932707404571018638961277247290126979351043701171875	0.403319444820709971377681313242646865546703338623046875	-1.347197501404908	0.9421993477841709	IL22RA1;TNFRSF25
