Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010	3/67	0.046186486870727343212461590837847325019538402557373046875	0.9212697001363128190831730535137467086315155029296875	0.04017324175844159961368262656833394430577754974365234375	0.89179519593589373638309325542650185525417327880859375	-1.9228826954473859	0.15768109510844192	PDHA1;PGK1;ALDOC
Choline metabolism in cancer_Homo sapiens_hsa05231	4/101	0.03303839884104368962436382162195513956248760223388671875	0.9212697001363128190831730535137467086315155029296875	0.02698229352698160166124097258943947963416576385498046875	0.89179519593589373638309325542650185525417327880859375	-1.9162705046777964	0.15713887925508627	LYPLA1;SLC44A3;PLA2G4E;SLC44A2
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	6/214	0.044004557257151334648259677351234131492674350738525390625	0.9212697001363128190831730535137467086315155029296875	0.031843445184430059502478371769029763527214527130126953125	0.89179519593589373638309325542650185525417327880859375	-1.8714489435123043	0.15346340135631595	FGF16;DIAPH2;ITGB4;MSN;PAK3;FGD1
Jak-STAT signaling pathway_Homo sapiens_hsa04630	4/158	0.12137244545245277904665925916560809127986431121826171875	0.9212697001363128190831730535137467086315155029296875	0.09905575813452414946080892832469544373452663421630859375	0.89179519593589373638309325542650185525417327880859375	-1.7019497385566797	0.13956405101076885	IL22RA1;FHL1;IL12A;IL13RA1
Carbon metabolism_Homo sapiens_hsa01200	4/113	0.046735811103322970339046804610916296951472759246826171875	0.9212697001363128190831730535137467086315155029296875	0.03799967079427289673443368656080565415322780609130859375	0.89179519593589373638309325542650185525417327880859375	-1.5828749117040004	0.12979962328856184	PRPS2;PDHA1;PGK1;ALDOC
Biosynthesis of amino acids_Homo sapiens_hsa01230	3/74	0.058874836851516947067164409190809237770736217498779296875	0.9212697001363128190831730535137467086315155029296875	0.050897992434834331276771735019792686216533184051513671875	0.89179519593589373638309325542650185525417327880859375	-1.578342394611077	0.12942794577515868	PRPS2;PGK1;ALDOC
Long-term depression_Homo sapiens_hsa04730	2/60	0.160976125561423100140956421455484814941883087158203125	0.9212697001363128190831730535137467086315155029296875	0.1455583562159707133876196394339785911142826080322265625	0.89179519593589373638309325542650185525417327880859375	-1.5319256191951827	0.12562165639707576	PLA2G4E;CRHR1
Tight junction_Homo sapiens_hsa04530	4/139	0.08559802589999154776023715385235846042633056640625	0.9212697001363128190831730535137467086315155029296875	0.069557300718321724009030049273860640823841094970703125	0.89179519593589373638309325542650185525417327880859375	-1.5304863351446452	0.1255036315764259	CLDN4;SHROOM2;CASK;SHROOM4
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	3/118	0.1676467037957626582400649795090430416166782379150390625	0.9212697001363128190831730535137467086315155029296875	0.143997253765551780357867528437054716050624847412109375	0.89179519593589373638309325542650185525417327880859375	-1.5127729682516562	0.12405109206563986	MED12;MED14;SLC16A2
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	2/24	0.033024218855150777596207944952766411006450653076171875	0.9212697001363128190831730535137467086315155029296875	0.03200246264288242326045974550652317702770233154296875	0.89179519593589373638309325542650185525417327880859375	-1.5043131146301585	0.1233573633287527	NDST1;HS6ST2
