Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
EGFR1 Signaling Pathway_Mus musculus_WP572	6/171	0.0170301723993886537644737444452402996830642223358154296875	0.65725840882368391504542159964330494403839111328125	0.01957963210302782197658189033973030745983123779296875	0.687242254167605981507449541823007166385650634765625	-2.2025139330728605	0.9243466897668303	TGIF1;RPS6KA3;KRT18;SH3KBP1;RBBP7;PLEC
Glycolysis and Gluconeogenesis_Mus musculus_WP157	3/48	0.019637860634488975286604528491807286627590656280517578125	0.65725840882368391504542159964330494403839111328125	0.023321454259942385467407888199886656366288661956787109375	0.687242254167605981507449541823007166385650634765625	-1.905406645004479	0.7996572909358974	PDHA1;PGK1;ALDOC
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	3/49	0.02073829943578202328335891024835291318595409393310546875	0.65725840882368391504542159964330494403839111328125	0.0245390784923802673933579399090376682579517364501953125	0.687242254167605981507449541823007166385650634765625	-1.9031606125761944	0.7987146804901613	PDHA1;PGK1;ALDOC
Fatty Acid Beta Oxidation_Homo sapiens_WP143	2/34	0.062134897868324871772482964615846867673099040985107421875	0.65725840882368391504542159964330494403839111328125	0.069761229363695054228600156420725397765636444091796875	0.687242254167605981507449541823007166385650634765625	-1.881074631469312	0.789445679636252	GK;ACSL4
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	3/64	0.04121444284110793720987686583612230606377124786376953125	0.65725840882368391504542159964330494403839111328125	0.04682963920614680031206944477162323892116546630859375	0.687242254167605981507449541823007166385650634765625	-1.7735682941817927	0.744327632704293	RTKN;ITGB4;PLEC
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	4/150	0.10560805951914710443251266269726329483091831207275390625	0.65725840882368391504542159964330494403839111328125	0.1151377102760196835529171721645980142056941986083984375	0.687242254167605981507449541823007166385650634765625	-1.721183441547041	0.7223428613937661	FGF16;MSN;PAK3;FGD1
TCA Cycle_Mus musculus_WP434	2/30	0.049686760976577766524275858728287857957184314727783203125	0.65725840882368391504542159964330494403839111328125	0.05662941661785790559147102385395555756986141204833984375	0.687242254167605981507449541823007166385650634765625	-1.7175823745582552	0.7208315727246095	PDHA1;PDK3
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	3/50	0.0218719944321763871963870684567154967226088047027587890625	0.65725840882368391504542159964330494403839111328125	0.02579060177467161485420632516252226196229457855224609375	0.687242254167605981507449541823007166385650634765625	-1.6842891708069003	0.7068591468447141	LYL1;PIM2;SLC7A3
Regulation of Actin Cytoskeleton_Mus musculus_WP523	4/148	0.10182258184358150554515987096237950026988983154296875	0.65725840882368391504542159964330494403839111328125	0.111141246709822005822587698276038281619548797607421875	0.687242254167605981507449541823007166385650634765625	-1.6762358609079482	0.7034793496797639	FGF16;MSN;PAK3;FGD1
Globo Sphingolipid Metabolism_Homo sapiens_WP1424	2/22	0.028072883107815700676201942087573115713894367218017578125	0.65725840882368391504542159964330494403839111328125	0.033511574285758849445215901141637004911899566650390625	0.687242254167605981507449541823007166385650634765625	-1.6509124502977799	0.6928516708171572	ST6GALNAC2;ST6GALNAC4
TGF-beta Receptor Signaling_Homo sapiens_WP560	2/56	0.14431731306118045221609236250515095889568328857421875	0.65725840882368391504542159964330494403839111328125	0.155022305656352943348252892974414862692356109619140625	0.687242254167605981507449541823007166385650634765625	-1.5663943085016976	0.6573812642869897	TGIF1;TFE3
G13 Signaling Pathway_Mus musculus_WP298	2/35	0.06539638383085992490162396961750346235930919647216796875	0.65725840882368391504542159964330494403839111328125	0.0731870208346908912577788441922166384756565093994140625	0.687242254167605981507449541823007166385650634765625	-1.548653565129808	0.6499358642086663	RTKN;PAK3
TGF Beta Signaling Pathway_Mus musculus_WP113	2/52	0.12805851112806865277349288589903153479099273681640625	0.65725840882368391504542159964330494403839111328125	0.1382806319549313156525016665909788571298122406005859375	0.687242254167605981507449541823007166385650634765625	-1.5428705462617867	0.6475088582918154	TGIF1;TFE3
