Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	17/139	0.0028196375598826639401195404133204647223465144634246826171875	0.4328143654419889241324881368200294673442840576171875	0.0033279141405229794963005485186613441328518092632293701171875	0.52565922163340983441770504214218817651271820068359375	-1.8227796640588287	1.5264801949835825	TTC14;TFAP2C;EDA;TSC22D1;ARX;ARHGDIG;EDA2R;HDAC6;WDR44;PHF8;MECP2;TOX3;ARHGEF9;CTNNB1;ROR2;BCOR;TBL1X
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	9/50	0.002068063989562974290536967458820072351954877376556396484375	0.4328143654419889241324881368200294673442840576171875	0.0034244900432143961233055762249932740814983844757080078125	0.52565922163340983441770504214218817651271820068359375	-1.786910965193516	1.4964420836762562	LYL1;CCND3;MAVS;NSD1;SLC6A14;SLC4A10;IGF2BP1;PIM2;SLC7A3
BDNF signaling pathway_Homo sapiens_WP2380	15/144	0.0198316139625350530695246931145447888411581516265869140625	0.9942558274300286047520103238639421761035919189453125	0.01999543198190308068706855237905983813107013702392578125	0.98533211888223670715802882114076055586338043212890625	-2.142153194241344	0.01234037426795491	SHC4;CDKL5;BDNF;SHC1;CAMK2A;EIF2S2;SYN1;MAPK10;GRIP1;RPS6KA3;DOK5;IGF2BP1;CTNNB1;IKBKG;GRIA3
Fatty Acid Beta Oxidation_Homo sapiens_WP143	5/34	0.0444371861532510958880948237492702901363372802734375	0.9942558274300286047520103238639421761035919189453125	0.052254791151205404187152225858881138265132904052734375	0.98533211888223670715802882114076055586338043212890625	-1.9861513648588847	0.011441689259692939	LIPE;TPI1;GK;ACSL4;CPT1B
EGFR1 Signaling Pathway_Mus musculus_WP572	15/171	0.0714587706976631820143808226930559612810611724853515625	0.9942558274300286047520103238639421761035919189453125	0.065337926276577196205153086339123547077178955078125	0.98533211888223670715802882114076055586338043212890625	-1.906047659921837	0.010980233140760659	GRB7;SH3KBP1;SHC1;CAMK2A;ARAF;KRT7;CBLC;PIK3CD;RPS6KA3;SH3BGRL;KRT18;REPS2;PTPN6;RBBP7;PLEC
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	7/49	0.0219075801188697953658657269215837004594504833221435546875	0.9942558274300286047520103238639421761035919189453125	0.02665912771290034066762331121935858391225337982177734375	0.98533211888223670715802882114076055586338043212890625	-1.8275155656445299	0.010527830652444921	LDHB;PDHA2;TPI1;PDHA1;PGK1;ALDOC;FBP2
Focal Adhesion_Homo sapiens_WP306	16/191	0.08836442822858305012889701401945785619318485260009765625	0.9942558274300286047520103238639421761035919189453125	0.07881600587519875522612977647440857253968715667724609375	0.98533211888223670715802882114076055586338043212890625	-1.7789217277294285	0.010247894488868597	TNXB;SHC1;ITGA2B;TNK1;COL11A2;ARAF;XIAP;PIK3CD;LAMC2;PARVB;ITGAL;THBS4;PIK3R5;CCND3;CTNNB1;PAK3
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	10/75	0.0109802790247614766305783717825761414133012294769287109375	0.9942558274300286047520103238639421761035919189453125	0.01337153462750750344822936455102535546757280826568603515625	0.98533211888223670715802882114076055586338043212890625	-1.723507483841721	0.009928667782212715	CACNG6;TCF7L2;CACNB3;DES;SGCD;ITGA2B;LMNA;CTNNA1;CTNNB1;EMD
Glycolysis and Gluconeogenesis_Mus musculus_WP157	6/48	0.057408052907024602340424479507419164292514324188232421875	0.9942558274300286047520103238639421761035919189453125	0.06314582727100027936817383533707470633089542388916015625	0.98533211888223670715802882114076055586338043212890625	-1.6739217746894866	0.00964301771249525	LDHB;TPI1;PDHA1;PGK1;ALDOC;FBP2
G Protein Signaling Pathways_Mus musculus_WP232	9/88	0.06808754492346734410457287367535172961652278900146484375	0.9942558274300286047520103238639421761035919189453125	0.0687704011439092821600382876567891798913478851318359375	0.98533211888223670715802882114076055586338043212890625	-1.6502999718841918	0.009506938795130798	ADCY9;GNAL;PDE4B;GNAS;ADCY3;AKAP7;AKAP6;ADCY7;PDE8A
