Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	6/288	0.03503640654275237686920974056192790158092975616455078125	0.61916624555693189346783356086234562098979949951171875	0.0199606966706321366233911618337515392340719699859619140625	0.5460130440939690021906471883994527161121368408203125	-2.3121023154448013	1.1083790095011399	AMER1;FGF16;PORCN;TBL1X;MAMLD1;PSMA8
Glycolysis_Homo sapiens_R-HSA-70171	2/32	0.0295032167498719029297138405354417045600712299346923828125	0.61916624555693189346783356086234562098979949951171875	0.0253505239012376711038587728808124666102230548858642578125	0.5460130440939690021906471883994527161121368408203125	-2.241904264756558	1.0747273646881041	TPI1;PGK1
Disease_Homo sapiens_R-HSA-1643685	11/725	0.042621133017280966870377056920915492810308933258056640625	0.61916624555693189346783356086234562098979949951171875	0.0166987122248675352864655252460579504258930683135986328125	0.5460130440939690021906471883994527161121368408203125	-2.2324545437812593	1.0701973435447065	AMER1;FGF16;PORCN;AP1S2;GPC3;TBL1X;TAF9B;SLC25A5;MAMLD1;FGD1;PSMA8
Metabolism of carbohydrates_Homo sapiens_R-HSA-71387	6/282	0.032109872400344734166832694199911202304065227508544921875	0.61916624555693189346783356086234562098979949951171875	0.0182239838592586599064215846510705887340009212493896484375	0.5460130440939690021906471883994527161121368408203125	-2.161225113564307	1.0360512744958512	PRPS2;CHST7;TPI1;GPC3;PGK1;HS6ST2
Metabolism of polyamines_Homo sapiens_R-HSA-351202	3/84	0.0338217255069303279757519931081333197653293609619140625	0.61916624555693189346783356086234562098979949951171875	0.0255064676102143943203781617512504453770816326141357421875	0.5460130440939690021906471883994527161121368408203125	-2.1101099984581744	1.0115476354166384	SLC6A8;SMS;PSMA8
Signaling by WNT in cancer_Homo sapiens_R-HSA-4791275	2/34	0.03300877919658155856819092832665774039924144744873046875	0.61916624555693189346783356086234562098979949951171875	0.028204861182689340559637258820657734759151935577392578125	0.5460130440939690021906471883994527161121368408203125	-2.008549147449534	0.9628612452456246	AMER1;PORCN
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	2/31	0.0278101717141195255156294052767407265491783618927001953125	0.61916624555693189346783356086234562098979949951171875	0.0239706594304123117578075863320918870158493518829345703125	0.5460130440939690021906471883994527161121368408203125	-2.0067648167534595	0.9620058701714653	GPC3;HS6ST2
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	2/40	0.04442605221427993467120387549584847874939441680908203125	0.61916624555693189346783356086234562098979949951171875	0.03748790013759985273456010190784581936895847320556640625	0.5460130440939690021906471883994527161121368408203125	-1.9971875659090021	0.9574147135717708	SUV39H1;RBBP7
Ion channel transport_Homo sapiens_R-HSA-983712	5/203	0.0285889215060740366214364627239774563349783420562744140625	0.61916624555693189346783356086234562098979949951171875	0.01766589334608763273148923644839669577777385711669921875	0.5460130440939690021906471883994527161121368408203125	-1.9874170450445503	0.9527309069055558	CLCN5;PDZD11;TSC22D3;ATP11C;ATP2B3
Metabolism_Homo sapiens_R-HSA-1430728	22/1908	0.0788928819793906777046998968216939829289913177490234375	0.61916624555693189346783356086234562098979949951171875	0.01597208736863735267785813221053103916347026824951171875	0.5460130440939690021906471883994527161121368408203125	-1.964132259766159	0.9415686122826445	PRPS2;CHST7;TPI1;PDHA1;GK;IDH3G;SLC44A2;HS6ST2;PSMA8;MED12;MED14;SLC6A8;PDZD11;SMS;PGK1;GPC3;PDK3;TBL1X;SLC25A5;ABCD1;SLC25A14;MBTPS2
Pyruvate metabolism_Homo sapiens_R-HSA-70268	2/27	0.02145489549392216865886240384497796185314655303955078125	0.61916624555693189346783356086234562098979949951171875	0.0187789362665521097905951819484471343457698822021484375	0.5460130440939690021906471883994527161121368408203125	-1.9551805747176259	0.9372773403345213	PDHA1;PDK3
Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	3/79	0.0289263957843855952500877748434504610486328601837158203125	0.61916624555693189346783356086234562098979949951171875	0.021863731629036653458797445637173950672149658203125	0.5460130440939690021906471883994527161121368408203125	-1.9472955615414655	0.9334974111178443	MED12;MED14;TBL1X
Gluconeogenesis_Homo sapiens_R-HSA-70263	2/32	0.0295032167498719029297138405354417045600712299346923828125	0.61916624555693189346783356086234562098979949951171875	0.0253505239012376711038587728808124666102230548858642578125	0.5460130440939690021906471883994527161121368408203125	-1.9418686918260142	0.9308958703297385	TPI1;PGK1
Regulation of pyruvate dehydrogenase (PDH) complex_Homo sapiens_R-HSA-204174	2/14	0.005973298114582450447918038349826019839383661746978759765625	0.61916624555693189346783356086234562098979949951171875	0.005898855943892544577422665241783761302940547466278076171875	0.5460130440939690021906471883994527161121368408203125	-1.9298839338225298	0.9251505994062684	PDHA1;PDK3
The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517	4/153	0.040284702376061576334365099683054722845554351806640625	0.61916624555693189346783356086234562098979949951171875	0.027481710294464722910134923949954099953174591064453125	0.5460130440939690021906471883994527161121368408203125	-1.8687829073577504	0.8958598994488547	PDHA1;IDH3G;PDK3;SLC25A14
Pyruvate metabolism and Citric Acid (TCA) cycle_Homo sapiens_R-HSA-71406	3/48	0.0076342525543295798595710976996997487731277942657470703125	0.61916624555693189346783356086234562098979949951171875	0.00603128230220638210379302535102397087030112743377685546875	0.5460130440939690021906471883994527161121368408203125	-1.8653455165024602	0.8942120779636182	PDHA1;IDH3G;PDK3
Ion transport by P-type ATPases_Homo sapiens_R-HSA-936837	3/55	0.01109647914189385888017458370313761406578123569488525390625	0.61916624555693189346783356086234562098979949951171875	0.00861887700624641706070860891486518085002899169921875	0.5460130440939690021906471883994527161121368408203125	-1.8524032350809623	0.8880077880553296	PDZD11;ATP11C;ATP2B3
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	3/116	0.07433825286357594042119245614230749197304248809814453125	0.61916624555693189346783356086234562098979949951171875	0.055985216438415245920889873332271235994994640350341796875	0.5460130440939690021906471883994527161121368408203125	-1.8432085174249209	0.8836000107782739	MED12;MED14;TBL1X
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	3/113	0.06990183092120040575512263103519217111170291900634765625	0.61916624555693189346783356086234562098979949951171875	0.052616348852324752727316337086449493654072284698486328125	0.5460130440939690021906471883994527161121368408203125	-1.8356243338572955	0.8799642937019115	MED12;MED14;TBL1X
Host Interactions of HIV factors_Homo sapiens_R-HSA-162909	3/129	0.09493790796337527038151193892190349288284778594970703125	0.61916624555693189346783356086234562098979949951171875	0.07173295113706425196742344496669829823076725006103515625	0.5460130440939690021906471883994527161121368408203125	-1.8164176024602934	0.87075694254822	AP1S2;SLC25A5;PSMA8
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	2/50	0.06611099353942602452338661578323808498680591583251953125	0.61916624555693189346783356086234562098979949951171875	0.055126645170058184708405946139464504085481166839599609375	0.5460130440939690021906471883994527161121368408203125	-1.8143192949193756	0.8697510527922626	CHST7;GPC3
Rho GTPase cycle_Homo sapiens_R-HSA-194840	5/122	0.0037073233679416664997086083843669257475994527339935302734375	0.61916624555693189346783356086234562098979949951171875	0.0022798199967090028612848318090300381300039589405059814453125	0.5460130440939690021906471883994527161121368408203125	-1.8031285916094713	0.8643864369759999	ARHGAP30;OPHN1;ARHGAP36;ARHGAP6;FGD1
NOTCH1 Intracellular Domain Regulates Transcription_Homo sapiens_R-HSA-2122947	2/47	0.05928807094530609556048972308417432941496372222900390625	0.61916624555693189346783356086234562098979949951171875	0.049571785878006903447445807842086651362478733062744140625	0.5460130440939690021906471883994527161121368408203125	-1.7885221639101665	0.8573843861767942	TBL1X;MAMLD1
Signaling by Retinoic Acid_Homo sapiens_R-HSA-5362517	2/42	0.04851228857222224244427621897557401098310947418212890625	0.61916624555693189346783356086234562098979949951171875	0.0408090199483404914015949316308251582086086273193359375	0.5460130440939690021906471883994527161121368408203125	-1.7481183726856921	0.838015557298277	PDHA1;PDK3
HIV Infection_Homo sapiens_R-HSA-162906	4/222	0.1174654612953414112297423343989066779613494873046875	0.61916624555693189346783356086234562098979949951171875	0.08268991554214542849532421087133116088807582855224609375	0.5460130440939690021906471883994527161121368408203125	-1.6880189143715791	0.8092049905544189	AP1S2;TAF9B;SLC25A5;PSMA8
Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734	4/217	0.11053051706323395453335223237445461563766002655029296875	0.61916624555693189346783356086234562098979949951171875	0.0775895224924826043544356934944516979157924652099609375	0.5460130440939690021906471883994527161121368408203125	-1.6586969136850631	0.7951485667273184	MED12;MED14;GK;TBL1X
Heparan sulfate/heparin (HS-GAG) metabolism_Homo sapiens_R-HSA-1638091	2/54	0.0755896181608604056378908353508450090885162353515625	0.61916624555693189346783356086234562098979949951171875	0.06285535528913570313402914280231925658881664276123046875	0.5460130440939690021906471883994527161121368408203125	-1.6475153182414868	0.7897883170534153	GPC3;HS6ST2
Regulation of cholesterol biosynthesis by SREBP (SREBF)_Homo sapiens_R-HSA-1655829	2/55	0.078023321521929533961525748964049853384494781494140625	0.61916624555693189346783356086234562098979949951171875	0.06484226311684047894257076904978021048009395599365234375	0.5460130440939690021906471883994527161121368408203125	-1.6297490109901018	0.7812714785457757	TBL1X;MBTPS2
NRAGE signals death through JNK_Homo sapiens_R-HSA-193648	2/45	0.054885115757481055254185520198006997816264629364013671875	0.61916624555693189346783356086234562098979949951171875	0.045990135835445485057437764453425188548862934112548828125	0.5460130440939690021906471883994527161121368408203125	-1.6154662421413268	0.7744245838024981	MAGED1;FGD1
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	3/121	0.0820025098930331763913414988564909435808658599853515625	0.61916624555693189346783356086234562098979949951171875	0.061824072320632160459918935657697147689759731292724609375	0.5460130440939690021906471883994527161121368408203125	-1.6040143727890666	0.768934769824628	CHST7;GPC3;HS6ST2
MAP kinase activation in TLR cascade_Homo sapiens_R-HSA-450294	2/60	0.09054699783625337616843609112038393504917621612548828125	0.61916624555693189346783356086234562098979949951171875	0.07508486939573223717392380649471306242048740386962890625	0.5460130440939690021906471883994527161121368408203125	-1.5598210920381188	0.7477493298818814	RPS6KA3;TAB3
Signaling by NOTCH1 PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2644602	2/57	0.0829634659446967515084025990290683694183826446533203125	0.61916624555693189346783356086234562098979949951171875	0.06887888675147270378662511802758672274649143218994140625	0.5460130440939690021906471883994527161121368408203125	-1.495426364848146	0.7168796908251914	TBL1X;MAMLD1
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer_Homo sapiens_R-HSA-2894858	2/57	0.0829634659446967515084025990290683694183826446533203125	0.61916624555693189346783356086234562098979949951171875	0.06887888675147270378662511802758672274649143218994140625	0.5460130440939690021906471883994527161121368408203125	-1.481445067437157	0.710177315903279	TBL1X;MAMLD1
HDACs deacetylate histones_Homo sapiens_R-HSA-3214815	2/60	0.09054699783625337616843609112038393504917621612548828125	0.61916624555693189346783356086234562098979949951171875	0.07508486939573223717392380649471306242048740386962890625	0.5460130440939690021906471883994527161121368408203125	-1.4813220135773273	0.7101183261629193	RBBP7;TBL1X
Chromatin organization_Homo sapiens_R-HSA-4839726	4/226	0.12314726999714287192233541645691730082035064697265625	0.61916624555693189346783356086234562098979949951171875	0.0868879466480496354119367197199608199298381805419921875	0.5460130440939690021906471883994527161121368408203125	-1.4707279973085738	0.7050397510582785	SUV39H1;MSL3;TBL1X;RBBP7
Constitutive Signaling by NOTCH1 PEST Domain Mutants_Homo sapiens_R-HSA-2644606	2/57	0.0829634659446967515084025990290683694183826446533203125	0.61916624555693189346783356086234562098979949951171875	0.06887888675147270378662511802758672274649143218994140625	0.5460130440939690021906471883994527161121368408203125	-1.4701126024993776	0.7047447421892883	TBL1X;MAMLD1
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants_Homo sapiens_R-HSA-2894862	2/57	0.0829634659446967515084025990290683694183826446533203125	0.61916624555693189346783356086234562098979949951171875	0.06887888675147270378662511802758672274649143218994140625	0.5460130440939690021906471883994527161121368408203125	-1.4627992318886631	0.7012388478266252	TBL1X;MAMLD1
Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509	4/226	0.12314726999714287192233541645691730082035064697265625	0.61916624555693189346783356086234562098979949951171875	0.0868879466480496354119367197199608199298381805419921875	0.5460130440939690021906471883994527161121368408203125	-1.4624200750905474	0.7010570870829358	SUV39H1;MSL3;TBL1X;RBBP7
Signaling by NOTCH1 in Cancer_Homo sapiens_R-HSA-2644603	2/57	0.0829634659446967515084025990290683694183826446533203125	0.61916624555693189346783356086234562098979949951171875	0.06887888675147270378662511802758672274649143218994140625	0.5460130440939690021906471883994527161121368408203125	-1.4488350197476734	0.6945446632665805	TBL1X;MAMLD1
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	8/594	0.12822393030331824537171314659644849598407745361328125	0.61916624555693189346783356086234562098979949951171875	0.07054855374907247067550741803643177263438701629638671875	0.5460130440939690021906471883994527161121368408203125	-1.3927816786027123	0.6676737301238449	CLCN5;SLC44A2;PDZD11;TSC22D3;ATP11C;ATP2B3;ABCD1;SLC7A3
Cell death signalling via NRAGE, NRIF and NADE_Homo sapiens_R-HSA-204998	2/61	0.093118838922103375210781450732611119747161865234375	0.61916624555693189346783356086234562098979949951171875	0.07719224855107427452072244022929226048290729522705078125	0.5460130440939690021906471883994527161121368408203125	-1.3341869989616306	0.6395845263940677	MAGED1;FGD1
Signalling by NGF_Homo sapiens_R-HSA-166520	6/450	0.1786710018009094735891295613328111357986927032470703125	0.61916624555693189346783356086234562098979949951171875	0.1146024190256625663320022567859268747270107269287109375	0.5460130440939690021906471883994527161121368408203125	-1.323333901142324	0.6343817523945667	CNKSR2;FGF16;RPS6KA3;MAGED1;FGD1;PSMA8
Infectious disease_Homo sapiens_R-HSA-5663205	5/348	0.1696861043453058159879986988016753457486629486083984375	0.61916624555693189346783356086234562098979949951171875	0.11466763968309078014495838715447462163865566253662109375	0.5460130440939690021906471883994527161121368408203125	-1.3110970104170845	0.6285156137160086	AP1S2;TAF9B;SLC25A5;FGD1;PSMA8
Degradation of beta-catenin by the destruction complex_Homo sapiens_R-HSA-195253	2/82	0.151234881044759073009942085263901390135288238525390625	0.61916624555693189346783356086234562098979949951171875	0.1252238315630594123195606925946776755154132843017578125	0.5460130440939690021906471883994527161121368408203125	-1.2856549483300186	0.6163191605628082	AMER1;PSMA8
TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	2/72	0.12268822447950041010233945826257695443928241729736328125	0.61916624555693189346783356086234562098979949951171875	0.10152848818936109631660968943833722732961177825927734375	0.5460130440939690021906471883994527161121368408203125	-1.26569417139217	0.6067503339484075	RPS6KA3;TAB3
Signaling by NOTCH1_Homo sapiens_R-HSA-1980143	2/72	0.12268822447950041010233945826257695443928241729736328125	0.61916624555693189346783356086234562098979949951171875	0.10152848818936109631660968943833722732961177825927734375	0.5460130440939690021906471883994527161121368408203125	-1.179412319100144	0.5653884126603517	TBL1X;MAMLD1
SUMOylation of DNA damage response and repair proteins_Homo sapiens_R-HSA-3108214	2/75	0.1311079730661117992429609557802905328571796417236328125	0.61916624555693189346783356086234562098979949951171875	0.10849613897943204132712224918577703647315502166748046875	0.5460130440939690021906471883994527161121368408203125	-1.0973717498722653	0.526059683887286	STAG2;CETN2
Glucose metabolism_Homo sapiens_R-HSA-70326	2/79	0.1425326020241315105874235769078950397670269012451171875	0.61916624555693189346783356086234562098979949951171875	0.11797866007569013380162914472748525440692901611328125	0.5460130440939690021906471883994527161121368408203125	-1.090654278600928	0.5228394526266097	TPI1;PGK1
MyD88 cascade initiated on plasma membrane_Homo sapiens_R-HSA-975871	2/82	0.151234881044759073009942085263901390135288238525390625	0.61916624555693189346783356086234562098979949951171875	0.1252238315630594123195606925946776755154132843017578125	0.5460130440939690021906471883994527161121368408203125	-1.0661330528769422	0.5110844313638605	RPS6KA3;TAB3
Toll Like Receptor 10 (TLR10) Cascade_Homo sapiens_R-HSA-168142	2/82	0.151234881044759073009942085263901390135288238525390625	0.61916624555693189346783356086234562098979949951171875	0.1252238315630594123195606925946776755154132843017578125	0.5460130440939690021906471883994527161121368408203125	-1.0589485436234576	0.5076403107482047	RPS6KA3;TAB3
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138	2/83	0.154158943924534719283059303052141331136226654052734375	0.61916624555693189346783356086234562098979949951171875	0.127662659883518270209634692946565337479114532470703125	0.5460130440939690021906471883994527161121368408203125	-1.0570142373881761	0.5067130401794191	RPS6KA3;TAB3
Toll Like Receptor 5 (TLR5) Cascade_Homo sapiens_R-HSA-168176	2/82	0.151234881044759073009942085263901390135288238525390625	0.61916624555693189346783356086234562098979949951171875	0.1252238315630594123195606925946776755154132843017578125	0.5460130440939690021906471883994527161121368408203125	-1.04989217219659	0.5032988540900226	RPS6KA3;TAB3
MyD88 dependent cascade initiated on endosome_Homo sapiens_R-HSA-975155	2/85	0.16003965579722401191276048848521895706653594970703125	0.61916624555693189346783356086234562098979949951171875	0.132574209890221894614370512499590404331684112548828125	0.5460130440939690021906471883994527161121368408203125	-1.0438843499356234	0.5004188154159608	RPS6KA3;TAB3
Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138	2/88	0.16893645979104465748577013073372654616832733154296875	0.61916624555693189346783356086234562098979949951171875	0.140021978691636073133253148625954054296016693115234375	0.5460130440939690021906471883994527161121368408203125	-1.0396250866172032	0.4983770035002252	RPS6KA3;TAB3
Signaling by Rho GTPases_Homo sapiens_R-HSA-194315	5/367	0.196673817041562559726486369982012547552585601806640625	0.61916624555693189346783356086234562098979949951171875	0.13468763237028447132814790165866725146770477294921875	0.5460130440939690021906471883994527161121368408203125	-1.0393064311232625	0.49822424596073966	ARHGAP30;OPHN1;ARHGAP36;ARHGAP6;FGD1
Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181	2/85	0.16003965579722401191276048848521895706653594970703125	0.61916624555693189346783356086234562098979949951171875	0.132574209890221894614370512499590404331684112548828125	0.5460130440939690021906471883994527161121368408203125	-1.0357127596885805	0.4965015064614372	RPS6KA3;TAB3
TNFR2 non-canonical NF-kB pathway_Homo sapiens_R-HSA-5668541	2/95	0.1899981316973284040106051406837650574743747711181640625	0.61916624555693189346783356086234562098979949951171875	0.1577370268168093725424938611467950977385044097900390625	0.5460130440939690021906471883994527161121368408203125	-0.9588814945504913	0.45967002154676895	EDA;PSMA8
Developmental Biology_Homo sapiens_R-HSA-1266738	9/786	0.216537537703218985196684798211208544671535491943359375	0.61916624555693189346783356086234562098979949951171875	0.12259664737441348936197726970931398682296276092529296875	0.5460130440939690021906471883994527161121368408203125	-0.9440030015866581	0.4525375477007962	MED12;CNKSR2;FGF16;RPS6KA3;MED14;DLG3;RBBP7;TBL1X;PSMA8
MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166	2/97	0.19608108876388474772767267495510168373584747314453125	0.61916624555693189346783356086234562098979949951171875	0.16287562762439489194576935915392823517322540283203125	0.5460130440939690021906471883994527161121368408203125	-0.9191621841003847	0.44062932006886396	RPS6KA3;TAB3
TRIF-mediated TLR3/TLR4 signaling_Homo sapiens_R-HSA-937061	2/97	0.19608108876388474772767267495510168373584747314453125	0.61916624555693189346783356086234562098979949951171875	0.16287562762439489194576935915392823517322540283203125	0.5460130440939690021906471883994527161121368408203125	-0.9104275504233809	0.43644209852654636	RPS6KA3;TAB3
Toll Like Receptor 3 (TLR3) Cascade_Homo sapiens_R-HSA-168164	2/97	0.19608108876388474772767267495510168373584747314453125	0.61916624555693189346783356086234562098979949951171875	0.16287562762439489194576935915392823517322540283203125	0.5460130440939690021906471883994527161121368408203125	-0.9013315745473198	0.43208165622924466	RPS6KA3;TAB3
p75 NTR receptor-mediated signalling_Homo sapiens_R-HSA-193704	2/83	0.154158943924534719283059303052141331136226654052734375	0.61916624555693189346783356086234562098979949951171875	0.127662659883518270209634692946565337479114532470703125	0.5460130440939690021906471883994527161121368408203125	-0.8805465738015932	0.4221177119932401	MAGED1;FGD1
Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179	2/92	0.180924778528968099866602869951748289167881011962890625	0.61916624555693189346783356086234562098979949951171875	0.15009084842172537577198454528115689754486083984375	0.5460130440939690021906471883994527161121368408203125	-0.8742940996871804	0.4191203917537458	RPS6KA3;TAB3
Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188	2/92	0.180924778528968099866602869951748289167881011962890625	0.61916624555693189346783356086234562098979949951171875	0.15009084842172537577198454528115689754486083984375	0.5460130440939690021906471883994527161121368408203125	-0.8637873409762878	0.41408364630556427	RPS6KA3;TAB3
Signaling by Wnt_Homo sapiens_R-HSA-195721	4/295	0.2364119408666467692103907438649912364780902862548828125	0.61916624555693189346783356086234562098979949951171875	0.174013146278036268110867013092502020299434661865234375	0.5460130440939690021906471883994527161121368408203125	-0.8629074568507361	0.41366184615898766	AMER1;SOX3;PORCN;PSMA8
Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438	2/92	0.180924778528968099866602869951748289167881011962890625	0.61916624555693189346783356086234562098979949951171875	0.15009084842172537577198454528115689754486083984375	0.5460130440939690021906471883994527161121368408203125	-0.8551622607290641	0.4099489426475877	RPS6KA3;TAB3
MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058	2/92	0.180924778528968099866602869951748289167881011962890625	0.61916624555693189346783356086234562098979949951171875	0.15009084842172537577198454528115689754486083984375	0.5460130440939690021906471883994527161121368408203125	-0.8491755261587345	0.4070790130216872	RPS6KA3;TAB3
CLEC7A (Dectin-1) signaling_Homo sapiens_R-HSA-5607764	2/99	0.2021882781181212618282216908482951112091541290283203125	0.61916624555693189346783356086234562098979949951171875	0.1680448242858533502985807217555702663958072662353515625	0.5460130440939690021906471883994527161121368408203125	-0.8241633682362138	0.3950886479593538	TAB3;PSMA8
SUMO E3 ligases SUMOylate target proteins_Homo sapiens_R-HSA-3108232	2/96	0.193036422300767840365409711012034676969051361083984375	0.61916624555693189346783356086234562098979949951171875	0.1603023798496064633578583880080259405076503753662109375	0.5460130440939690021906471883994527161121368408203125	-0.7872898953879477	0.377412188297764	STAG2;CETN2
TCF dependent signaling in response to WNT_Homo sapiens_R-HSA-201681	3/199	0.2344856994850361975313290940903243608772754669189453125	0.61916624555693189346783356086234562098979949951171875	0.1828870601249904803697887700764113105833530426025390625	0.5460130440939690021906471883994527161121368408203125	-0.7576693887178182	0.36321266623308235	AMER1;SOX3;PSMA8
