Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Calcium signaling pathway_Homo sapiens_hsa04020	24/180	0.000103746790594257736416693160830249098580679856240749359130859375	0.024192983429898340386188237971509806811809539794921875	0.0000494724720989025428690734342840329418322653509676456451416015625	0.01023983375955675283186518953471022541634738445281982421875	-1.9578581057733178	7.286546080441554	OXTR;LHCGR;CAMK2A;ADCY3;HTR2C;ATP2B3;PHKA1;ATP2B2;ADCY7;PHKA2;P2RX7;ITPKC;HTR6;GRIN2A;ADCY9;GNAL;P2RX2;GNAS;PLCE1;SLC25A31;NOS1;SLC25A5;NTSR1;DRD5
cAMP signaling pathway_Homo sapiens_hsa04024	25/199	0.00019589460267124161169625951028905319617479108273983001708984375	0.024192983429898340386188237971509806811809539794921875	0.0000829136336806214819562799167584898896166123449802398681640625	0.01023983375955675283186518953471022541634738445281982421875	-1.918708471437807	7.140843174915895	OXTR;CAMK2A;ADCY3;PIK3CD;ADCY7;PIK3R5;HCAR2;LIPE;HTR6;GRIN2A;CREB3L3;PDE4B;PLCE1;FFAR2;DRD2;GRIA3;DRD5;BDNF;ATP2B3;ATP2B2;MAPK10;ADCY9;GNAS;RAPGEF3;RAPGEF4
Leukocyte transendothelial migration_Homo sapiens_hsa04670	16/118	0.00117001187953903328271831885132314710062928497791290283203125	0.09633097808204706125057015242418856360018253326416015625	0.00075813169833539883514517132567789303720928728580474853515625	0.0624195098296145001182111400339636020362377166748046875	-1.674901259468488	3.9192108763397893	MSN;RHOH;PIK3CD;CYBA;ITGAL;PIK3R5;CLDN4;CLDN14;CLDN24;CLDN7;CTNNA1;CLDN18;CTNNB1;CLDN16;RAPGEF3;RAPGEF4
Rap1 signaling pathway_Homo sapiens_hsa04015	22/211	0.005066914747742027637367190351369572454132139682769775390625	0.20858799044871345618190616733045317232608795166015625	0.0021289400153787787182968482824207967496477067470550537109375	0.1314620459496395887821762471503461711108684539794921875	-1.835724704791758	2.8773044574330493	ITGA2B;ADCY3;PIK3CD;SIPA1L2;ITGAL;ADCY7;RAP1GAP;PIK3R5;FGF16;GRIN2A;ADCY9;GNAS;PLCE1;CTNNB1;FGF13;DRD2;FGF12;RAPGEF3;FGF11;LAT;RAPGEF4;F2RL3
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923	9/56	0.0043588440517265923668244198552201851271092891693115234375	0.20858799044871345618190616733045317232608795166015625	0.003981609713168083285184106756560140638612210750579833984375	0.140493942736073795796158947268850170075893402099609375	-1.8310607000136174	2.869994122880922	LIPE;ADCY9;GNAS;IRS4;ADCY3;PIK3CD;ADCY7;PRKG1;PIK3R5
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	17/148	0.00498300172767981823518379513870968366973102092742919921875	0.20858799044871345618190616733045317232608795166015625	0.002702777934603301825122745327689699479378759860992431640625	0.133517229969403128375660116944345645606517791748046875	-1.7592926763017989	2.7575053308588084	KCNE1;CAMK2A;ADCY3;ATP2B3;PIK3CD;ATP2B2;ADCY7;PIK3R5;CACNG6;CACNB3;ADCY9;CREB3L3;PPP2R2C;GNAS;SCN5A;RAPGEF3;RAPGEF4
Tight junction_Homo sapiens_hsa04530	16/139	0.006199048663037988633750519085197083768434822559356689453125	0.2187378599671976064922063187623280100524425506591796875	0.0035006309811965734442307240925629230332560837268829345703125	0.140493942736073795796158947268850170075893402099609375	-1.5542965636945332	2.3623462081045714	SHROOM2;CASK;SHROOM4;CLDN4;PPP2R2C;CTTN;EPB41L1;CLDN14;CLDN24;CLDN7;CTNNA1;CLDN18;CTNNB1;CLDN16;TJP3;LLGL2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	10/74	0.0095156942976174808956901784995352500118315219879150390625	0.261152943501279766191913722650497220456600189208984375	0.007351502863303692632268582229926323634572327136993408203125	0.204303534768349226435901755394297651946544647216796875	-1.5440867699502498	2.0731666392049357	CACNG6;TCF7L2;CACNB3;DES;SGCD;ITGA2B;LMNA;CTNNA1;CTNNB1;EMD
Dilated cardiomyopathy_Homo sapiens_hsa05414	11/90	0.0139352416649300703266334267027559690177440643310546875	0.286833724269810630413957142081926576793193817138671875	0.0097772887554226049766636919002849026583135128021240234375	0.2084338035359539487156865789074799977242946624755859375	-1.563877146464057	1.9530520233335442	CACNG6;CACNB3;DES;ADCY9;SGCD;ITGA2B;LMNA;GNAS;ADCY3;ADCY7;EMD
Insulin signaling pathway_Homo sapiens_hsa04910	15/139	0.01386436987389657628233496922121048555709421634674072265625	0.286833724269810630413957142081926576793193817138671875	0.00788396032346312149174938355145059176720678806304931640625	0.204303534768349226435901755394297651946544647216796875	-1.5265437459313451	1.9064281094198494	SHC4;PTPN1;SHC1;ARAF;IRS4;CBLC;PIK3CD;PHKA1;PYGM;PHKA2;PIK3R5;MAPK10;PPP1R3F;LIPE;FBP2
