Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	17/139	0.0026019386959996149664975373383413170813582837581634521484375	0.394193712443941690626303397948504425585269927978515625	0.003136777977061195286923034331039161770604550838470458984375	0.499298097173453359065575796194025315344333648681640625	-1.8227796640588287	1.6968489838442267	TTC14;TFAP2C;EDA;TSC22D1;ARX;ARHGDIG;EDA2R;HDAC6;WDR44;PHF8;MECP2;TOX3;ARHGEF9;CTNNB1;ROR2;BCOR;TBL1X
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	9/50	0.00196050259064855202095767339187659672461450099945068359375	0.394193712443941690626303397948504425585269927978515625	0.0032956970110458966120858814718985740910284221172332763671875	0.499298097173453359065575796194025315344333648681640625	-1.786910965193516	1.6634583517116004	LYL1;CCND3;MAVS;NSD1;SLC6A14;SLC4A10;IGF2BP1;PIM2;SLC7A3
BDNF signaling pathway_Homo sapiens_WP2380	15/144	0.018626567549034689363907091319561004638671875	0.993412288013626021410118482890538871288299560546875	0.0190865776851359726651313764023143448866903781890869140625	0.98491029276016039961660908375051803886890411376953125	-2.142153194241344	0.014158575958425708	SHC4;CDKL5;BDNF;SHC1;CAMK2A;EIF2S2;SYN1;MAPK10;GRIP1;RPS6KA3;DOK5;IGF2BP1;CTNNB1;IKBKG;GRIA3
Fatty Acid Beta Oxidation_Homo sapiens_WP143	5/34	0.043201587226921960016579049579377169720828533172607421875	0.993412288013626021410118482890538871288299560546875	0.05120353978504878222910434715231531299650669097900390625	0.98491029276016039961660908375051803886890411376953125	-1.9861513648588847	0.013127480816909854	LIPE;TPI1;GK;ACSL4;CPT1B
EGFR1 Signaling Pathway_Mus musculus_WP572	15/171	0.06782257595607921185631994376308284699916839599609375	0.993412288013626021410118482890538871288299560546875	0.0628134361928820716958199454893474467098712921142578125	0.98491029276016039961660908375051803886890411376953125	-1.906047659921837	0.0125980348398661	GRB7;SH3KBP1;SHC1;CAMK2A;ARAF;KRT7;CBLC;PIK3CD;RPS6KA3;SH3BGRL;KRT18;REPS2;PTPN6;RBBP7;PLEC
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	7/49	0.02108893225217629840972932697695796377956867218017578125	0.993412288013626021410118482890538871288299560546875	0.0259359894738225051080693361882367753423750400543212890625	0.98491029276016039961660908375051803886890411376953125	-1.8275155656445299	0.012078976434058065	LDHB;PDHA2;TPI1;PDHA1;PGK1;ALDOC;FBP2
Focal Adhesion_Homo sapiens_WP306	16/191	0.083883037401366877805486410579760558903217315673828125	0.993412288013626021410118482890538871288299560546875	0.0757580481937691063709650052260258235037326812744140625	0.98491029276016039961660908375051803886890411376953125	-1.7789217277294285	0.01175779513522194	TNXB;SHC1;ITGA2B;TNK1;COL11A2;ARAF;XIAP;PIK3CD;LAMC2;PARVB;ITGAL;THBS4;PIK3R5;CCND3;CTNNB1;PAK3
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	10/75	0.0104307474682631372286945037330951890908181667327880859375	0.993412288013626021410118482890538871288299560546875	0.012882188352176589252184868428230402059853076934814453125	0.98491029276016039961660908375051803886890411376953125	-1.723507483841721	0.011391534317194543	CACNG6;TCF7L2;CACNB3;DES;SGCD;ITGA2B;LMNA;CTNNA1;CTNNB1;EMD
Glycolysis and Gluconeogenesis_Mus musculus_WP157	6/48	0.05566587892358358657940442526523838751018047332763671875	0.993412288013626021410118482890538871288299560546875	0.0617494232947803090016947180629358626902103424072265625	0.98491029276016039961660908375051803886890411376953125	-1.6739217746894866	0.011063797238739258	LDHB;TPI1;PDHA1;PGK1;ALDOC;FBP2
G Protein Signaling Pathways_Mus musculus_WP232	9/88	0.06549767821808445689146793711188365705311298370361328125	0.993412288013626021410118482890538871288299560546875	0.06683409323800999779496834207748179323971271514892578125	0.98491029276016039961660908375051803886890411376953125	-1.6502999718841918	0.010907668774074447	ADCY9;GNAL;PDE4B;GNAS;ADCY3;AKAP7;AKAP6;ADCY7;PDE8A
G13 Signaling Pathway_Mus musculus_WP298	5/35	0.04811056987358409975374939904213533736765384674072265625	0.993412288013626021410118482890538871288299560546875	0.056116409893860207114268945360890938900411128997802734375	0.98491029276016039961660908375051803886890411376953125	-1.6472815411992514	0.010887718436142101	MAPK10;RTKN;ARHGDIG;PIK3CD;PAK3
Kit Receptor Signaling Pathway_Mus musculus_WP407	7/67	0.08904723008616279023019757232759729959070682525634765625	0.993412288013626021410118482890538871288299560546875	0.09156574102481439270118102058404474519193172454833984375	0.98491029276016039961660908375051803886890411376953125	-1.4674990281803417	0.00969944470603832	GRB7;FES;SHC1;SH3KBP1;PLCE1;PTPN6;CSF2RB
Cardiac Progenitor Differentiation_Homo sapiens_WP2406	6/53	0.0821898413701696861632939317132695578038692474365234375	0.993412288013626021410118482890538871288299560546875	0.0870231363889064912786608374517527408897876739501953125	0.98491029276016039961660908375051803886890411376953125	-1.4415857569235255	0.009528170765216892	MESP2;ANPEP;IGF2;ROR2;SCN5A;POU5F1
G13 Signaling Pathway_Homo sapiens_WP524	5/40	0.07738558095518426049874705086040194146335124969482421875	0.993412288013626021410118482890538871288299560546875	0.0845889311417797051806388708428130485117435455322265625	0.98491029276016039961660908375051803886890411376953125	-1.4190797440150862	0.009379417121386905	MAPK10;RTKN;ARHGDIG;PIK3CD;PAK3
G Protein Signaling Pathways_Homo sapiens_WP35	9/95	0.0952975344637085886034810755518265068531036376953125	0.993412288013626021410118482890538871288299560546875	0.0940556398281804373340264646685682237148284912109375	0.98491029276016039961660908375051803886890411376953125	-1.4148630694611743	0.00935154698253595	ADCY9;GNAL;PDE4B;GNAS;ADCY3;AKAP7;AKAP6;ADCY7;PDE8A
