Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	6/288	0.030104244409953913319544227533697267062962055206298828125	0.5979861725722124266013679516618140041828155517578125	0.01619773002623807467426075845651212148368358612060546875	0.52249470427218280832448726869188249111175537109375	-2.3296755907609743	1.197890412820903	AMER1;FGF16;PORCN;TBL1X;MAMLD1;PSMA8
Disease_Homo sapiens_R-HSA-1643685	11/725	0.0341223313295282715262857209381763823330402374267578125	0.5979861725722124266013679516618140041828155517578125	0.01197157744859393170566708164415103965438902378082275390625	0.52249470427218280832448726869188249111175537109375	-2.268366454619172	1.166366012301856	AMER1;FGF16;PORCN;AP1S2;GPC3;TBL1X;TAF9B;SLC25A5;MAMLD1;FGD1;PSMA8
Glycolysis_Homo sapiens_R-HSA-70171	2/32	0.0275900926831220937029964801467940560542047023773193359375	0.5979861725722124266013679516618140041828155517578125	0.0232577069089459943784792272936101653613150119781494140625	0.52249470427218280832448726869188249111175537109375	-2.241904264756558	1.152759481133146	TPI1;PGK1
Metabolism of carbohydrates_Homo sapiens_R-HSA-71387	6/282	0.027550945979382616968234032128748367540538311004638671875	0.5979861725722124266013679516618140041828155517578125	0.0147647479904802446382117153689250699244439601898193359375	0.52249470427218280832448726869188249111175537109375	-2.1774861386827356	1.1196364763930249	PRPS2;CHST7;TPI1;GPC3;PGK1;HS6ST2
Metabolism of polyamines_Homo sapiens_R-HSA-351202	3/84	0.030847753675064544520711962150016915984451770782470703125	0.5979861725722124266013679516618140041828155517578125	0.0226118752440929750291420674557230086065828800201416015625	0.52249470427218280832448726869188249111175537109375	-2.1101099984581744	1.084992497313725	SLC6A8;SMS;PSMA8
PKMTs methylate histone lysines_Homo sapiens_R-HSA-3214841	2/40	0.041609075214892828065149643634867970831692218780517578125	0.5979861725722124266013679516618140041828155517578125	0.034451484115257509366347932200369541533291339874267578125	0.52249470427218280832448726869188249111175537109375	-2.05457600211622	1.05643760234574	SUV39H1;RBBP7
Ion channel transport_Homo sapiens_R-HSA-983712	5/203	0.024948092659794342262902233642307692207396030426025390625	0.5979861725722124266013679516618140041828155517578125	0.0146980419209457140172769840091859805397689342498779296875	0.52249470427218280832448726869188249111175537109375	-1.995470011887686	1.0260460322422307	CLCN5;PDZD11;TSC22D3;ATP11C;ATP2B3
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	2/31	0.02600181037834030373101512623179587535560131072998046875	0.5979861725722124266013679516618140041828155517578125	0.0219870686395893522036004696929012425243854522705078125	0.52249470427218280832448726869188249111175537109375	-1.9903370469854937	1.0234067250914554	GPC3;HS6ST2
Signaling by WNT in cancer_Homo sapiens_R-HSA-4791275	2/34	0.0308802373701340948652926954309805296361446380615234375	0.5979861725722124266013679516618140041828155517578125	0.0258874217438349006614739522547097294591367244720458984375	0.52249470427218280832448726869188249111175537109375	-1.9779074219471455	1.017015565426374	AMER1;PORCN
Regulation of pyruvate dehydrogenase (PDH) complex_Homo sapiens_R-HSA-204174	2/14	0.005566339437344888611824966773156120325438678264617919921875	0.5979861725722124266013679516618140041828155517578125	0.005390937375713681679878508390402203076519072055816650390625	0.52249470427218280832448726869188249111175537109375	-1.9628116247450116	1.0092534929669985	PDHA1;PDK3
Pyruvate metabolism_Homo sapiens_R-HSA-70268	2/27	0.0200442404725088285655232311910367570817470550537109375	0.5979861725722124266013679516618140041828155517578125	0.017210236222667020522525405112901353277266025543212890625	0.52249470427218280832448726869188249111175537109375	-1.9551805747176259	1.005329701300977	PDHA1;PDK3
Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	3/79	0.02635500371623865356607296916990890167653560638427734375	0.5979861725722124266013679516618140041828155517578125	0.0193597389207017349377348836014789412729442119598388671875	0.52249470427218280832448726869188249111175537109375	-1.9472955615414655	1.0012753249207857	MED12;MED14;TBL1X
