Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526	12/245	0.0119198649634734664404245307878227322362363338470458984375	0.550167259341451941878631259896792471408843994140625	0.005166825949045351744348675282481053727678954601287841796875	0.32165763423560711498083719561691395938396453857421875	-2.453147596613513	1.4658364934346384	CNKSR2;KLB;PSMD10;FGF16;SHC1;ARAF;FGF20;PIK3CD;PTPN6;CSF2RB;DUSP9;PSMA8
Signaling by Interleukins_Homo sapiens_R-HSA-449147	17/392	0.01009256357279587380804120044786031940020620822906494140625	0.550167259341451941878631259896792471408843994140625	0.003159871016539235986930744815026628202758729457855224609375	0.32165763423560711498083719561691395938396453857421875	-2.4274698806228256	1.450493212329515	KLB;PSMD10;SHC1;ARAF;LIF;PIK3CD;CSF2RB;DUSP9;PSMA8;CNKSR2;FGF16;IRAK1;FGF20;TAB3;PTPN6;IL12A;IKBKG
Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557	14/325	0.019475719643889201349029605125906527973711490631103515625	0.550167259341451941878631259896792471408843994140625	0.007611286265270067290245048496899471501819789409637451171875	0.32165763423560711498083719561691395938396453857421875	-2.4168337520222085	1.4441377751462117	KLB;PSMD10;SHC1;ARAF;PIK3CD;CSF2RB;FOXO4;DUSP9;PSMA8;CNKSR2;FGF16;FGF20;GRB10;PTPN6
Interleukin-2 signaling_Homo sapiens_R-HSA-451927	12/252	0.01461034707977805317813402297133507090620696544647216796875	0.550167259341451941878631259896792471408843994140625	0.006372184269032139802835246200629626400768756866455078125	0.32165763423560711498083719561691395938396453857421875	-2.409751761126916	1.4399060523119143	CNKSR2;KLB;PSMD10;FGF16;SHC1;ARAF;FGF20;PIK3CD;PTPN6;CSF2RB;DUSP9;PSMA8
Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	12/261	0.018719545857639734165456246728354017250239849090576171875	0.550167259341451941878631259896792471408843994140625	0.00823826611644485305718799139640395878814160823822021484375	0.32165763423560711498083719561691395938396453857421875	-2.39771602129053	1.4327143013133137	CNKSR2;KLB;PSMD10;FGF16;SHC1;ARAF;FGF20;PIK3CD;PTPN6;CSF2RB;DUSP9;PSMA8
Signalling by NGF_Homo sapiens_R-HSA-166520	18/450	0.0176208777312324184338709898156594135798513889312744140625	0.550167259341451941878631259896792471408843994140625	0.005432494748408155278707187818554302793927490711212158203125	0.32165763423560711498083719561691395938396453857421875	-2.359159041936081	1.4096752361170821	KLB;PSMD10;SHC1;MAGED1;ARAF;PIK3CD;CSF2RB;FOXO4;DUSP9;FGD1;ADCY5;PSMA8;CNKSR2;FGF16;RPS6KA3;ARHGEF9;IRAK1;FGF20
Signaling by the B Cell Receptor (BCR)_Homo sapiens_R-HSA-983705	11/233	0.020011487429227821366328754493224550969898700714111328125	0.550167259341451941878631259896792471408843994140625	0.00939789565428266436553084162142113200388848781585693359375	0.32165763423560711498083719561691395938396453857421875	-2.3191523046364386	1.3857698927948852	KLB;PSMD10;FGF16;SH3KBP1;SHC1;FGF20;PIK3CD;PTPN6;IKBKG;FOXO4;PSMA8
Diseases of signal transduction_Homo sapiens_R-HSA-5663202	13/288	0.0169481486882245187264306451879747328348457813262939453125	0.550167259341451941878631259896792471408843994140625	0.006982418871410885075068364358230610378086566925048828125	0.32165763423560711498083719561691395938396453857421875	-2.3121023154448013	1.3815572920326287	AMER1;KLB;PSMD10;SHC1;PIK3CD;FOXO4;HDAC6;PSMA8;FGF16;PORCN;FGF20;TBL1X;MAMLD1
Signaling by EGFR_Homo sapiens_R-HSA-177929	14/355	0.037244862365341670218388259172570542432367801666259765625	0.550167259341451941878631259896792471408843994140625	0.01523255869552715691117583673985791392624378204345703125	0.32165763423560711498083719561691395938396453857421875	-2.219548018771001	1.3262530511154005	KLB;PSMD10;SH3KBP1;SHC1;ARAF;PIK3CD;CSF2RB;FOXO4;DUSP9;ADCY5;PSMA8;CNKSR2;FGF16;FGF20
SHC-mediated cascade:FGFR4_Homo sapiens_R-HSA-5654719	4/23	0.00175613026525616648491900928519271474215202033519744873046875	0.550167259341451941878631259896792471408843994140625	0.00185422452212399379960217071783290521125309169292449951171875	0.32165763423560711498083719561691395938396453857421875	-2.1794001449819915	1.3022633740918987	KLB;FGF16;SHC1;FGF20
