Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Melanoma_Homo sapiens_hsa05218	3/71	0.01305619407875427580301153085429177735932171344757080078125	0.688168404381280129911147014354355633258819580078125	0.01217196946111308818172513923627775511704385280609130859375	0.670703220193547888783314192551188170909881591796875	-1.957699769854494	0.7316348805804803	FGF16;ARAF;FGF13
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	4/214	0.061088010227872836799267730611973092891275882720947265625	0.688168404381280129911147014354355633258819580078125	0.052683134262487059384927334804160636849701404571533203125	0.670703220193547888783314192551188170909881591796875	-1.8961813408684065	0.7086441088912748	FGF16;ARAF;FGF13;FGD1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.1469063467770941044943100450836936943233013153076171875	0.688168404381280129911147014354355633258819580078125	0.138017558578987287187800347965094260871410369873046875	0.670703220193547888783314192551188170909881591796875	-1.7724469843902357	0.6624018951874148	RPS6KA3;ARAF
Long-term potentiation_Homo sapiens_hsa04720	2/66	0.07618275955648008690435091239123721607029438018798828125	0.688168404381280129911147014354355633258819580078125	0.072226952713664693828121698970790021121501922607421875	0.670703220193547888783314192551188170909881591796875	-1.7521115202195519	0.6548020910043797	RPS6KA3;ARAF
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.206933082541371493601189968103426508605480194091796875	0.688168404381280129911147014354355633258819580078125	0.1884392527785422044583896195035777054727077484130859375	0.670703220193547888783314192551188170909881591796875	-1.6723248780938205	0.6249840916959792	FGF16;FOXO4;FGF13
Serotonergic synapse_Homo sapiens_hsa04726	2/112	0.180945941948675692589887376016122289001941680908203125	0.688168404381280129911147014354355633258819580078125	0.169879274759454024223970236562308855354785919189453125	0.670703220193547888783314192551188170909881591796875	-1.6359311465276178	0.6113829645679438	ARAF;HTR2C
Tight junction_Homo sapiens_hsa04530	3/139	0.07165430473229324193074063487074454315006732940673828125	0.688168404381280129911147014354355633258819580078125	0.06469310864491563395350937071270891465246677398681640625	0.670703220193547888783314192551188170909881591796875	-1.625727249344197	0.6075695467945932	SHROOM2;CASK;SHROOM4
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.0692523099034416389496726651486824266612529754638671875	0.688168404381280129911147014354355633258819580078125	0.06253188990995599272348925978803890757262706756591796875	0.670703220193547888783314192551188170909881591796875	-1.5974617831499636	0.597006128796589	HUWE1;UBA1;UBE2A
Neurotrophin signaling pathway_Homo sapiens_hsa04722	2/120	0.20089170061229244534928284338093362748622894287109375	0.688168404381280129911147014354355633258819580078125	0.1886185980684007557073300631600432097911834716796875	0.670703220193547888783314192551188170909881591796875	-1.5664176825285585	0.5854042748245889	RPS6KA3;MAGED1
MAPK signaling pathway_Homo sapiens_hsa04010	3/255	0.25790679037631747405612259171903133392333984375	0.688168404381280129911147014354355633258819580078125	0.2361054897176848854645214714764733798801898956298828125	0.670703220193547888783314192551188170909881591796875	-1.564972330505588	0.5848641154135259	FGF16;RPS6KA3;FGF13
Wnt signaling pathway_Homo sapiens_hsa04310	2/142	0.256745931647992808866121094979462213814258575439453125	0.688168404381280129911147014354355633258819580078125	0.24138508871403463462712579712388105690479278564453125	0.670703220193547888783314192551188170909881591796875	-1.4731982571141862	0.5505661529475585	PORCN;TBL1X
FoxO signaling pathway_Homo sapiens_hsa04068	2/133	0.2337829639639738832368465182298677973449230194091796875	0.688168404381280129911147014354355633258819580078125	0.2196386059809199708947602402986376546323299407958984375	0.670703220193547888783314192551188170909881591796875	-1.4704571245678135	0.5495417322401025	ARAF;FOXO4
