Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.00600632969337473558713025312272293376736342906951904296875	0.252265847121738884251129775293520651757717132568359375	0.00978322538450726586489736291696317493915557861328125	0.4108954661493051663256892425124533474445343017578125	-1.949196462281421	2.6845733175138595	FMR1;HTR2C
Ectoderm Differentiation_Homo sapiens_WP2858	5/139	0.0027937676175746294082724574536769068799912929534912109375	0.234676479876268884172674233923316933214664459228515625	0.005493334776370485152130473949227962293662130832672119140625	0.4108954661493051663256892425124533474445343017578125	-1.848387204453858	2.679324856635056	ARHGEF9;EDA;BCOR;TBL1X;WDR44
EGFR1 Signaling Pathway_Mus musculus_WP572	4/171	0.0308702787527845023962669301909045316278934478759765625	0.495047113356517465287964796516462229192256927490234375	0.049977718008765263657533495234019937925040721893310546875	0.6157663255476084618322829555836506187915802001953125	-2.148610974318129	1.5106934090452886	RPS6KA3;SH3KBP1;ARAF;RBBP7
ESC Pluripotency Pathways_Mus musculus_WP339	3/117	0.04736832705442696467290630835123010911047458648681640625	0.495047113356517465287964796516462229192256927490234375	0.07009432178431225513026703310970333404839038848876953125	0.6157663255476084618322829555836506187915802001953125	-2.0671861631762645	1.453443433598333	FGF16;ARAF;FGF13
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	3/150	0.0855168516287856395052813240909017622470855712890625	0.495047113356517465287964796516462229192256927490234375	0.1221851933834223469244051329951616935431957244873046875	0.6157663255476084618322829555836506187915802001953125	-1.962074294663734	1.379539032628442	FGF16;FGF13;FGD1
Regulation of Actin Cytoskeleton_Mus musculus_WP523	3/148	0.0829163037912856448752307869654032401740550994873046875	0.495047113356517465287964796516462229192256927490234375	0.11869597907088987043255912112726946361362934112548828125	0.6157663255476084618322829555836506187915802001953125	-1.9396588048913097	1.3637786492624073	FGF16;FGF13;FGD1
Signaling Pathways in Glioblastoma_Homo sapiens_WP2261	2/83	0.11222282523360745110085900932972435839474201202392578125	0.495047113356517465287964796516462229192256927490234375	0.147071226582353997702767856026184745132923126220703125	0.6157663255476084618322829555836506187915802001953125	-1.9057038266645607	1.339904824533524	ARAF;FOXO4
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	3/163	0.10324019991124532003023972492883331142365932464599609375	0.495047113356517465287964796516462229192256927490234375	0.14576061795954087241256047491333447396755218505859375	0.6157663255476084618322829555836506187915802001953125	-1.848331685243131	1.299566337509053	RPS6KA3;SH3KBP1;FOXO4
Proteasome Degradation_Mus musculus_WP519	2/56	0.057154377476205504848838501175123383291065692901611328125	0.495047113356517465287964796516462229192256927490234375	0.07777059609542601170684150702072656713426113128662109375	0.6157663255476084618322829555836506187915802001953125	-1.7707805966634445	1.2450399854695453	UBA1;UBE2A
Parkin-Ubiquitin Proteasomal System pathway_Homo sapiens_WP2359	2/70	0.0842826591407611347417372371637611649930477142333984375	0.495047113356517465287964796516462229192256927490234375	0.11222135021298880463991309852644917555153369903564453125	0.6157663255476084618322829555836506187915802001953125	-1.7618956106769081	1.238792931009824	CASK;UBA1
mRNA processing_Mus musculus_WP310	5/398	0.141442032387576410723539765967871062457561492919921875	0.495047113356517465287964796516462229192256927490234375	0.21668411716806212918839946723892353475093841552734375	0.6435817373662031659620197387994267046451568603515625	-1.5516696151444664	1.0909825411082126	ZRSR2;SLC6A8;RBMX2;FMR1;RBMX
Cytoplasmic Ribosomal Proteins_Homo sapiens_WP477	2/89	0.1258265424917526520420807401023921556770801544189453125	0.495047113356517465287964796516462229192256927490234375	0.1638418407580723989980242549791000783443450927734375	0.6157663255476084618322829555836506187915802001953125	-1.5158186145614347	1.0657756186192997	RPS4X;RPS6KA3
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	2/90	0.1281310857998753938158387200019205920398235321044921875	0.495047113356517465287964796516462229192256927490234375	0.1666710014629038116851234008208848536014556884765625	0.6157663255476084618322829555836506187915802001953125	-1.4511470836399265	1.0203049137389077	SUV39H1;RBBP7
Serotonin and anxiety-related events_Mus musculus_WP2140	1/13	0.08610354734415774646816288395712035708129405975341796875	0.495047113356517465287964796516462229192256927490234375	0.1062324087110171622061471907727536745369434356689453125	0.6157663255476084618322829555836506187915802001953125	-1.0016139570670608	0.7042371194390731	HTR2C
BDNF signaling pathway_Homo sapiens_WP2380	2/144	0.261857696938486927962230765842832624912261962890625	0.56450024899579565040852457968867383897304534912109375	0.32572302699988398000385814157198183238506317138671875	0.65890059906195663774752802055445499718189239501953125	-1.2240875395664823	0.6999509484546556	RPS6KA3;CDKL5
Apoptosis Modulation by HSP70_Mus musculus_WP166	1/16	0.10490404166378390626856997869253973476588726043701171875	0.495047113356517465287964796516462229192256927490234375	0.12751520420774575814704121512477286159992218017578125	0.6157663255476084618322829555836506187915802001953125	-0.9592221822245233	0.6744313632469001	AIFM1
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	2/141	0.254190732621479564823374630577745847404003143310546875	0.56450024899579565040852457968867383897304534912109375	0.316855420131567255825899565024883486330509185791015625	0.65890059906195663774752802055445499718189239501953125	-1.1665156819912794	0.6670305281321587	OTUD5;TAB3
Metapathway biotransformation_Mus musculus_WP1251	2/132	0.231238280680771957076302669520373456180095672607421875	0.56450024899579565040852457968867383897304534912109375	0.290133630146799992299833093056804500520229339599609375	0.65890059906195663774752802055445499718189239501953125	-1.1592058348317842	0.6628506518676235	CHST7;HS6ST2
Small Ligand GPCRs_Homo sapiens_WP247	1/19	0.1233205212711463161223690576662193052470684051513671875	0.495047113356517465287964796516462229192256927490234375	0.148301515704762909564351502922363579273223876953125	0.6157663255476084618322829555836506187915802001953125	-0.9156000012566755	0.6437605056258633	GPR50
Nucleotide Metabolism_Mus musculus_WP87	1/19	0.1233205212711463161223690576662193052470684051513671875	0.495047113356517465287964796516462229192256927490234375	0.148301515704762909564351502922363579273223876953125	0.6157663255476084618322829555836506187915802001953125	-0.9057128233993533	0.6368088077142136	PRPS2
PluriNetWork_Mus musculus_WP1763	3/284	0.312254173995814010567073637503199279308319091796875	0.56450024899579565040852457968867383897304534912109375	0.4036083885594214937242441010312177240848541259765625	0.65890059906195663774752802055445499718189239501953125	-1.078294449137618	0.6165843520101237	ZIC3;RBBP7;ZFX
Interactome of polycomb repressive complex 2 (PRC2) _Homo sapiens_WP2916	1/16	0.10490404166378390626856997869253973476588726043701171875	0.495047113356517465287964796516462229192256927490234375	0.12751520420774575814704121512477286159992218017578125	0.6157663255476084618322829555836506187915802001953125	-0.8417997394140022	0.5918713686512536	RBBP7
