Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Melanoma_Homo sapiens_hsa05218	3/71	0.015172621095099793342431127030067727901041507720947265625	0.71099088735719961906767139225848950445652008056640625	0.0136535081847958782164109692303100018762052059173583984375	0.6878124802512870505921682706684805452823638916015625	-1.957699769854494	0.6677629066651938	FGF16;ARAF;FGF13
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	4/214	0.0719542719011304343634805036344914697110652923583984375	0.71099088735719961906767139225848950445652008056640625	0.059888569134619575040634487095303484238684177398681640625	0.6878124802512870505921682706684805452823638916015625	-1.8961813408684065	0.6467792371639816	FGF16;ARAF;FGF13;FGD1
MAPK signaling pathway_Homo sapiens_hsa04010	4/255	0.11685771477197715029205937753431499004364013671875	0.71099088735719961906767139225848950445652008056640625	0.098247714871618152532306567081832326948642730712890625	0.6878124802512870505921682706684805452823638916015625	-1.8704893197591406	0.6380158001149482	FGF16;RPS6KA3;FGF13;DUSP9
Long-term potentiation_Homo sapiens_hsa04720	2/66	0.08390862514528892035503560009601642377674579620361328125	0.71099088735719961906767139225848950445652008056640625	0.07773077871532085847405824097222648561000823974609375	0.6878124802512870505921682706684805452823638916015625	-1.7521115202195519	0.5976376457511354	RPS6KA3;ARAF
RNA transport_Homo sapiens_hsa03013	3/172	0.131440711764564566177426740978262387216091156005859375	0.71099088735719961906767139225848950445652008056640625	0.1155495587632872911409975813512573949992656707763671875	0.6878124802512870505921682706684805452823638916015625	-1.7216295701926212	0.5872403847082334	FMR1;THOC2;GEMIN8
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	2/98	0.1605553247682183493072471947016310878098011016845703125	0.71099088735719961906767139225848950445652008056640625	0.1477166530329844518210080650533200241625308990478515625	0.6878124802512870505921682706684805452823638916015625	-1.7164889159497445	0.5854869298260074	RPS6KA3;ARAF
Tight junction_Homo sapiens_hsa04530	3/139	0.08170379013346552865559857536936760880053043365478515625	0.71099088735719961906767139225848950445652008056640625	0.071590820380682707035902012648875825107097625732421875	0.6878124802512870505921682706684805452823638916015625	-1.625727249344197	0.5545285187153997	SHROOM2;CASK;SHROOM4
Ras signaling pathway_Homo sapiens_hsa04014	3/227	0.230636860602228654926193485152907669544219970703125	0.71099088735719961906767139225848950445652008056640625	0.2051201016583331926401712053120718337595462799072265625	0.6878124802512870505921682706684805452823638916015625	-1.6205939788817918	0.5527775824086906	FGF16;FOXO4;FGF13
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	3/137	0.0790077348779732735462033588191843591630458831787109375	0.71099088735719961906767139225848950445652008056640625	0.069226095758081196418487479604664258658885955810546875	0.6878124802512870505921682706684805452823638916015625	-1.5974617831499636	0.544887290701407	HUWE1;UBA1;UBE2A
Serotonergic synapse_Homo sapiens_hsa04726	2/112	0.197110012181748450732499122750596143305301666259765625	0.71099088735719961906767139225848950445652008056640625	0.1813910412420006446065912086851312778890132904052734375	0.6878124802512870505921682706684805452823638916015625	-1.5532477964151434	0.5298060914532229	ARAF;HTR2C
