Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.006698829174010440500042218303633489995263516902923583984375	0.281350825308438523553178356451098807156085968017578125	0.010177172454950922375616073622950352728366851806640625	0.42744124310793873977587509216391481459140777587890625	-1.949196462281421	2.471879145766403	FMR1;HTR2C
Ectoderm Differentiation_Homo sapiens_WP2858	5/139	0.00355808911642401491659537526857093325816094875335693359375	0.281350825308438523553178356451098807156085968017578125	0.00599792351793045595831355143445762223564088344573974609375	0.42744124310793873977587509216391481459140777587890625	-1.848387204453858	2.344037593133745	ARHGEF9;EDA;BCOR;TBL1X;WDR44
EGFR1 Signaling Pathway_Mus musculus_WP572	4/171	0.036818714118065247464794964571410673670470714569091796875	0.5210781318306365594850149136618711054325103759765625	0.053207024882404495291776669319006032310426235198974609375	0.60228335151434919669810597042669542133808135986328125	-2.148610974318129	1.4005834154654009	RPS6KA3;SH3KBP1;ARAF;RBBP7
ESC Pluripotency Pathways_Mus musculus_WP339	3/117	0.05433776431079172242188946029273211024701595306396484375	0.5210781318306365594850149136618711054325103759765625	0.073593111789571119540909194256528280675411224365234375	0.60228335151434919669810597042669542133808135986328125	-2.0671861631762645	1.347506222127091	FGF16;ARAF;FGF13
mRNA processing_Mus musculus_WP310	6/398	0.071970081550725095720366653040400706231594085693359375	0.5210781318306365594850149136618711054325103759765625	0.10798079708022929878996620800535310991108417510986328125	0.60228335151434919669810597042669542133808135986328125	-2.0090726983225298	1.3096246530286169	ENOX2;ZRSR2;SLC6A8;RBMX2;FMR1;RBMX
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	3/150	0.09722203658368662460009801407068152911961078643798828125	0.5210781318306365594850149136618711054325103759765625	0.1278114707538504923878264207814936526119709014892578125	0.60228335151434919669810597042669542133808135986328125	-1.9085429939711356	1.2440938341139056	FGF16;FGF13;FGD1
Signaling Pathways in Glioblastoma_Homo sapiens_WP2261	2/83	0.12309039488820416874403917972813360393047332763671875	0.5210781318306365594850149136618711054325103759765625	0.15194954389205983513733144718571566045284271240234375	0.60228335151434919669810597042669542133808135986328125	-1.8755250976818107	1.2225709439727246	ARAF;FOXO4
Regulation of Actin Cytoskeleton_Mus musculus_WP523	3/148	0.09431611868047674873682950646980316378176212310791015625	0.5210781318306365594850149136618711054325103759765625	0.124188932208985358673913879101746715605258941650390625	0.60228335151434919669810597042669542133808135986328125	-1.8606319216963012	1.212862748520762	FGF16;FGF13;FGD1
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	3/163	0.1169657082553829108295673222528421320021152496337890625	0.5210781318306365594850149136618711054325103759765625	0.152256127674435137731023814922082237899303436279296875	0.60228335151434919669810597042669542133808135986328125	-1.770781731464432	1.154293427308436	RPS6KA3;SH3KBP1;FOXO4
Proteasome Degradation_Mus musculus_WP519	2/56	0.06310764496788656696679709057207219302654266357421875	0.5210781318306365594850149136618711054325103759765625	0.08056943395870684587745103044653660617768764495849609375	0.60228335151434919669810597042669542133808135986328125	-1.7707805966634445	1.1542926875824167	UBA1;UBE2A
Parkin-Ubiquitin Proteasomal System pathway_Homo sapiens_WP2359	2/70	0.0927383070473522808097044389796792529523372650146484375	0.5210781318306365594850149136618711054325103759765625	0.11609431091619441811513269158240291289985179901123046875	0.60228335151434919669810597042669542133808135986328125	-1.731527449951175	1.1287053165100511	CASK;UBA1
Cytoplasmic Ribosomal Proteins_Homo sapiens_WP477	2/89	0.137812201815568802221179112166282720863819122314453125	0.5210781318306365594850149136618711054325103759765625	0.1691765207113040958564198490421404130756855010986328125	0.60228335151434919669810597042669542133808135986328125	-1.428367540644429	0.931088927929623	RPS4X;RPS6KA3
Retinoblastoma (RB) in Cancer_Homo sapiens_WP2446	2/90	0.14030264002069803286332216885057277977466583251953125	0.5210781318306365594850149136618711054325103759765625	0.1720809575755283538089912553914473392069339752197265625	0.60228335151434919669810597042669542133808135986328125	-1.3675080097058305	0.8914173211453118	SUV39H1;RBBP7
