Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Signal Transduction_Homo sapiens_R-HSA-162582	6/2465	0.0227706360401792005931920215289210318587720394134521484375	0.09769596909116075311718674356598057784140110015869140625	0.0163028008226227295873744793652804219163954257965087890625	0.10697139411150013987850115881883539259433746337890625	-2.077321059355689	4.83163062132638	USP9X;TAB3;GPC4;ARHGAP36;S1PR4;UCHL5
TRAF6 mediated induction of TAK1 complex_Homo sapiens_R-HSA-937072	1/16	0.015097800855745246995098796105594374239444732666015625	0.09769596909116075311718674356598057784140110015869140625	0.0169131527318330913967070472381237777881324291229248046875	0.10697139411150013987850115881883539259433746337890625	-1.9605805267887015	4.560104402805517	TAB3
TAK1 activates NFkB by phosphorylation and activation of IKKs complex_Homo sapiens_R-HSA-445989	1/26	0.0244239922727901882792966858914951444603502750396728515625	0.09769596909116075311718674356598057784140110015869140625	0.0267428485278750349696252897047088481485843658447265625	0.10697139411150013987850115881883539259433746337890625	-1.920547809850352	4.466992507490589	TAB3
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	2/73	0.00215850996059859141784631475502465036697685718536376953125	0.09769596909116075311718674356598057784140110015869140625	0.0023845545375844501463646896155523791094310581684112548828125	0.10697139411150013987850115881883539259433746337890625	-1.8988819220598279	4.416599927867203	USP9X;UCHL5
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1_Homo sapiens_R-HSA-450321	1/16	0.015097800855745246995098796105594374239444732666015625	0.09769596909116075311718674356598057784140110015869140625	0.0169131527318330913967070472381237777881324291229248046875	0.10697139411150013987850115881883539259433746337890625	-1.8963893388299564	4.4108024410485855	TAB3
NOD1/2 Signaling Pathway_Homo sapiens_R-HSA-168638	1/31	0.029055654125732792436576090722155640833079814910888671875	0.10492819117029102138349827555430238135159015655517578125	0.031624855498509872597789893688968732021749019622802734375	0.11409524196297600451277531874438864178955554962158203125	-1.9519008249408067	4.400519530004407	TAB3
Miscellaneous transport and binding events_Homo sapiens_R-HSA-5223345	1/18	0.01696976980081854602389057617983780801296234130859375	0.09769596909116075311718674356598057784140110015869140625	0.018886121718614250208911897743746521882712841033935546875	0.10697139411150013987850115881883539259433746337890625	-1.8379966039529534	4.2749870721993295	MMGT1
HS-GAG degradation_Homo sapiens_R-HSA-2024096	1/21	0.0197714042735543105155926468796678818762302398681640625	0.09769596909116075311718674356598057784140110015869140625	0.0218389761540309645937441018759272992610931396484375	0.10697139411150013987850115881883539259433746337890625	-1.818860541687965	4.230478601063046	GPC4
IRAK2 mediated activation of TAK1 complex_Homo sapiens_R-HSA-937042	1/10	0.0094616101772955381321583701037525315769016742706298828125	0.09769596909116075311718674356598057784140110015869140625	0.01097306823631283810571712677983668982051312923431396484375	0.10697139411150013987850115881883539259433746337890625	-1.7918575486221984	4.167672475078607	TAB3
activated TAK1 mediates p38 MAPK activation_Homo sapiens_R-HSA-450302	1/17	0.0160342070688025591096437239002625574357807636260986328125	0.09769596909116075311718674356598057784140110015869140625	0.01790007762049537765047801940454519353806972503662109375	0.10697139411150013987850115881883539259433746337890625	-1.7745049890161664	4.12731224382148	TAB3
