Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TAK1 activates NFkB by phosphorylation and activation of IKKs complex_Homo sapiens_R-HSA-445989	1/26	0.01035460678445748565479345160156299243681132793426513671875	0.0420655900618585321115716624262859113514423370361328125	0.01197856962058631118128726456006916123442351818084716796875	0.048662939083631888415037991535427863709628582000732421875	-2.0552978232375065	6.5122629684144275	TAB3
TRAF6 mediated induction of TAK1 complex_Homo sapiens_R-HSA-937072	1/16	0.00638322266472114187296771348201218643225729465484619140625	0.0420655900618585321115716624262859113514423370361328125	0.007554682446278736251965568726518540643155574798583984375	0.048662939083631888415037991535427863709628582000732421875	-2.0068566804093098	6.358775986128412	TAB3
NOD1/2 Signaling Pathway_Homo sapiens_R-HSA-168638	1/31	0.01233508523291303171642852021250291727483272552490234375	0.0435526153998331277961142404819838702678680419921875	0.0141849587688494017945206593367402092553675174713134765625	0.050035606853389473502868867171855526976287364959716796875	-2.0203813357598226	6.331441779694176	TAB3
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1_Homo sapiens_R-HSA-450321	1/16	0.00638322266472114187296771348201218643225729465484619140625	0.0420655900618585321115716624262859113514423370361328125	0.007554682446278736251965568726518540643155574798583984375	0.048662939083631888415037991535427863709628582000732421875	-1.95382730398958	6.190751070035068	TAB3
HS-GAG degradation_Homo sapiens_R-HSA-2024096	1/21	0.00837065433603846609234011566513800062239170074462890625	0.0420655900618585321115716624262859113514423370361328125	0.00976847889297131899422055312243173830211162567138671875	0.048662939083631888415037991535427863709628582000732421875	-1.890408286163881	5.98980631321683	GPC4
Defective B3GAT3 causes JDSSDHD_Homo sapiens_R-HSA-3560801	1/19	0.007576099466951805548597942419064565910957753658294677734375	0.0420655900618585321115716624262859113514423370361328125	0.00888340523227616231383141354172039427794516086578369140625	0.048662939083631888415037991535427863709628582000732421875	-1.8469843058926774	5.8522163369788025	GPC4
A tetrasaccharide linker sequence is required for GAG synthesis_Homo sapiens_R-HSA-1971475	1/26	0.01035460678445748565479345160156299243681132793426513671875	0.0420655900618585321115716624262859113514423370361328125	0.01197856962058631118128726456006916123442351818084716796875	0.048662939083631888415037991535427863709628582000732421875	-1.8457841514796622	5.848413617464438	GPC4
Diseases associated with glycosaminoglycan metabolism_Homo sapiens_R-HSA-3560782	1/26	0.01035460678445748565479345160156299243681132793426513671875	0.0420655900618585321115716624262859113514423370361328125	0.01197856962058631118128726456006916123442351818084716796875	0.048662939083631888415037991535427863709628582000732421875	-1.8421614187485755	5.8369348974743795	GPC4
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation_Homo sapiens_R-HSA-975163	1/10	0.003993704723571723201602789998787557124160230159759521484375	0.0420655900618585321115716624262859113514423370361328125	0.004893229334133623355251874187388239079155027866363525390625	0.048662939083631888415037991535427863709628582000732421875	-1.8338935828078102	5.810738050858175	TAB3
activated TAK1 mediates p38 MAPK activation_Homo sapiens_R-HSA-450302	1/17	0.006780987587020502992130044361829277477227151393890380859375	0.0420655900618585321115716624262859113514423370361328125	0.00799773839206762392206595535526503226719796657562255859375	0.048662939083631888415037991535427863709628582000732421875	-1.8258555212162164	5.785269250060092	TAB3
Defective B4GALT7 causes EDS, progeroid type_Homo sapiens_R-HSA-3560783	1/19	0.007576099466951805548597942419064565910957753658294677734375	0.0420655900618585321115716624262859113514423370361328125	0.00888340523227616231383141354172039427794516086578369140625	0.048662939083631888415037991535427863709628582000732421875	-1.8180301031429489	5.760474215610716	GPC4
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	1/31	0.01233508523291303171642852021250291727483272552490234375	0.0435526153998331277961142404819838702678680419921875	0.0141849587688494017945206593367402092553675174713134765625	0.050035606853389473502868867171855526976287364959716796875	-1.8260593493058366	5.722478351864237	GPC4
Defective B3GALT6 causes EDSP2 and SEMDJL1_Homo sapiens_R-HSA-4420332	1/19	0.007576099466951805548597942419064565910957753658294677734375	0.0420655900618585321115716624262859113514423370361328125	0.00888340523227616231383141354172039427794516086578369140625	0.048662939083631888415037991535427863709628582000732421875	-1.7933465153904473	5.682263645526515	GPC4
IRAK2 mediated activation of TAK1 complex_Homo sapiens_R-HSA-937042	1/10	0.003993704723571723201602789998787557124160230159759521484375	0.0420655900618585321115716624262859113514423370361328125	0.004893229334133623355251874187388239079155027866363525390625	0.048662939083631888415037991535427863709628582000732421875	-1.7918575486221984	5.6775458167834305	TAB3
Defective EXT2 causes exostoses 2_Homo sapiens_R-HSA-3656237	1/12	0.00479076877405600586035117061101118451915681362152099609375	0.0420655900618585321115716624262859113514423370361328125	0.005780974390612717873916270860945587628521025180816650390625	0.048662939083631888415037991535427863709628582000732421875	-1.7743385646353826	5.622036474355444	GPC4
TNF signaling_Homo sapiens_R-HSA-75893	1/41	0.016285640984600092961986916861860663630068302154541015625	0.050555908092325303748726383901157532818615436553955078125	0.018586648863025752309585669763691839762032032012939453125	0.057433955577660143754226140799801214598119258880615234375	-1.8713523664100022	5.585379492778521	TAB3
Chondroitin sulfate/dermatan sulfate metabolism_Homo sapiens_R-HSA-1793185	1/50	0.019829312335023059621352814474448678083717823028564453125	0.050555908092325303748726383901157532818615436553955078125	0.022535552005388002905217348370570107363164424896240234375	0.057433955577660143754226140799801214598119258880615234375	-1.8652531213540446	5.567175225710246	GPC4
