Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
FGFR3c ligand binding and activation_Homo sapiens_R-HSA-190372	1/13	0.007128584290099855037825538062179475673474371433258056640625	0.106398087533994101239187557439436204731464385986328125	0.006224624112269060149937871528891264460980892181396484375	0.08896130931157476828818886360750184394419193267822265625	-2.1611175526545234	4.842130133682468	FGF16
FGFR3 ligand binding and activation_Homo sapiens_R-HSA-190239	1/13	0.007128584290099855037825538062179475673474371433258056640625	0.106398087533994101239187557439436204731464385986328125	0.006224624112269060149937871528891264460980892181396484375	0.08896130931157476828818886360750184394419193267822265625	-2.1555906406910816	4.829746713386094	FGF16
SHC-mediated cascade:FGFR2_Homo sapiens_R-HSA-5654699	1/26	0.014210941590347581087172557090525515377521514892578125	0.106398087533994101239187557439436204731464385986328125	0.01197856962058631118128726456006916123442351818084716796875	0.08896130931157476828818886360750184394419193267822265625	-2.1426854609799215	4.80083178486532	FGF16
Negative regulation of FGFR3 signaling_Homo sapiens_R-HSA-5654732	1/29	0.0158387954930035816658584479910132358781993389129638671875	0.106398087533994101239187557439436204731464385986328125	0.0133028470340351874512396790350976516492664813995361328125	0.08896130931157476828818886360750184394419193267822265625	-2.1025556600092514	4.7109182499444255	FGF16
Signaling by FGFR3 in disease_Homo sapiens_R-HSA-5655332	1/22	0.0120366620659012844851698531556394300423562526702880859375	0.106398087533994101239187557439436204731464385986328125	0.01021079336323599089098035364031602512113749980926513671875	0.08896130931157476828818886360750184394419193267822265625	-2.1007066510956958	4.706775420339077	FGF16
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	1/18	0.00985802374008277505768038651012830086983740329742431640625	0.106398087533994101239187557439436204731464385986328125	0.00844064597586406499540867542918931576423346996307373046875	0.08896130931157476828818886360750184394419193267822265625	-2.097339368636544	4.699230796103318	FGF16
Negative regulation of FGFR2 signaling_Homo sapiens_R-HSA-5654727	1/34	0.018546455625191630989245794580710935406386852264404296875	0.106398087533994101239187557439436204731464385986328125	0.01550701721944881296411100635168622829951345920562744140625	0.08896130931157476828818886360750184394419193267822265625	-2.092295013393201	4.687928576796096	FGF16
Negative regulation of FGFR4 signaling_Homo sapiens_R-HSA-5654733	1/31	0.0169226733913822834087792301716035581193864345550537109375	0.106398087533994101239187557439436204731464385986328125	0.0141849587688494017945206593367402092553675174713134765625	0.08896130931157476828818886360750184394419193267822265625	-2.0833148753700113	4.667807969810463	FGF16
FGFR3 mutant receptor activation_Homo sapiens_R-HSA-2033514	1/12	0.00658187629745509740486486549571054638363420963287353515625	0.106398087533994101239187557439436204731464385986328125	0.005780974390612717873916270860945587628521025180816650390625	0.08896130931157476828818886360750184394419193267822265625	-2.0727027603229504	4.6440308078562875	FGF16
Signaling by FGFR3 point mutants in cancer_Homo sapiens_R-HSA-8853338	1/22	0.0120366620659012844851698531556394300423562526702880859375	0.106398087533994101239187557439436204731464385986328125	0.01021079336323599089098035364031602512113749980926513671875	0.08896130931157476828818886360750184394419193267822265625	-2.0676109832180702	4.632622336658943	FGF16
