Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Detoxification of Reactive Oxygen Species_Homo sapiens_R-HSA-3299685	1/33	0.009860479780294202634127742612690781243145465850830078125	0.03697679917610326161270251077439752407371997833251953125	0.00756267099088940054907315158061464899219572544097900390625	0.0283600162158352507579817114446996129117906093597412109375	-2.291792881745364	7.557105926299409	GSR
Synthesis and interconversion of nucleotide di- and triphosphates_Homo sapiens_R-HSA-499943	1/25	0.007477533351700594611843886383439894416369497776031494140625	0.03697679917610326161270251077439752407371997833251953125	0.005785801507646375595184107254453920177184045314788818359375	0.0283600162158352507579817114446996129117906093597412109375	-2.100460673813913	6.926194741450301	GSR
TGF-beta receptor signaling activates SMADs_Homo sapiens_R-HSA-2173789	1/32	0.00956287247062916068163218596964725293219089508056640625	0.03697679917610326161270251077439752407371997833251953125	0.007340649217248439162286643977495259605348110198974609375	0.0283600162158352507579817114446996129117906093597412109375	-1.930655713833012	6.366268894918556	UCHL5
Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788	1/26	0.007775662753786986847170936698603327386081218719482421875	0.03697679917610326161270251077439752407371997833251953125	0.006007997104587668550645940257481925073079764842987060546875	0.0283600162158352507579817114446996129117906093597412109375	-1.894858122304127	6.248227603646127	UCHL5
Metabolism of nucleotides_Homo sapiens_R-HSA-15869	1/87	0.0258209961334462216597795958250571857206523418426513671875	0.055330706000241904052305841332781710661947727203369140625	0.0195149714462634349398939548336784355342388153076171875	0.04181779595627878320929227129454375244677066802978515625	-1.9859329329701028	5.74813842237613	GSR
TP53 Regulates Metabolic Genes_Homo sapiens_R-HSA-5628897	1/84	0.024939962065910155353254396004558657296001911163330078125	0.055330706000241904052305841332781710661947727203369140625	0.018852854392786395909542562776550767011940479278564453125	0.04181779595627878320929227129454375244677066802978515625	-1.969689450356098	5.701122843462738	GSR
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	1/73	0.0217038207776643864155285967854069895111024379730224609375	0.055330706000241904052305841332781710661947727203369140625	0.0164231798083444048563794837036766693927347660064697265625	0.04181779595627878320929227129454375244677066802978515625	-1.8620298048312178	5.389509830401196	UCHL5
Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522	1/111	0.0328454163759081818607654668085160665214061737060546875	0.0615851557048278375194882983123534359037876129150390625	0.0248038623504600978797451915625060792081058025360107421875	0.04650724190711268135611788920869003050029277801513671875	-1.8844711681693043	5.252651343564222	GSR
Cellular responses to stress_Homo sapiens_R-HSA-2262752	1/367	0.10518359889844643151324277141611673869192600250244140625	0.14343218031606330686855699241277761757373809814453125	0.0803287243311103515974735955751384608447551727294921875	0.109539169542423209247061777205090038478374481201171875	-2.284784671029715	4.436807282722202	GSR
Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989	1/348	0.0999745506733431543722190326661802828311920166015625	0.14343218031606330686855699241277761757373809814453125	0.07626364744240941850872417262507951818406581878662109375	0.109539169542423209247061777205090038478374481201171875	-2.230512024442016	4.331415612038247	GSR
Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	1/335	0.0963959252063218696715551914167008362710475921630859375	0.14343218031606330686855699241277761757373809814453125	0.0734771140158453628377088762135826982557773590087890625	0.109539169542423209247061777205090038478374481201171875	-2.2064023236626507	4.284597153669507	GSR
Generic Transcription Pathway_Homo sapiens_R-HSA-212436	1/812	0.2201977242173408233494313890332705341279506683349609375	0.275247155271676036125683140198816545307636260986328125	0.1729734615601732083955965890709194354712963104248046875	0.2162168269502165174333896402458776719868183135986328125	-2.1746416952364025	2.805474454844528	GSR
Gene Expression_Homo sapiens_R-HSA-74160	1/1631	0.399788676715130131267272872719331644475460052490234375	0.461294626978996313848568888715817593038082122802734375	0.33062824016658876047358717187307775020599365234375	0.3814941232691408945498778848559595644474029541015625	-2.0607065812536485	1.594406467134056	GSR
Metabolism_Homo sapiens_R-HSA-1430728	1/1908	0.452095152263124855362974585659685544669628143310546875	0.48438766313906234106667625383124686777591705322265625	0.38018044080213642121890416092355735599994659423828125	0.40733618657371761795360498581430874764919281005859375	-2.1380225525785086	1.5497878431671364	GSR
Signal Transduction_Homo sapiens_R-HSA-162582	1/2465	0.5458400328015236002698884476558305323123931884765625	0.5458400328015236002698884476558305323123931884765625	0.474053834264373030737971248527173884212970733642578125	0.474053834264373030737971248527173884212970733642578125	-2.0857140722901457	1.2627524658106424	UCHL5
