Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Detoxification of Reactive Oxygen Species_Homo sapiens_R-HSA-3299685	1/33	0.01312630506116834426533213076027095667086541652679443359375	0.037738127050858986943904227473467472009360790252685546875	0.018796456603193102685711579624694422818720340728759765625	0.061759785981920188591143272560657351277768611907958984375	-2.2224138960239452	7.283037837811415	GSR
Signaling by Rho GTPases_Homo sapiens_R-HSA-194315	2/367	0.00873950309906462892428624655849489499814808368682861328125	0.037738127050858986943904227473467472009360790252685546875	0.01551249455459240318699887239972667885012924671173095703125	0.061759785981920188591143272560657351277768611907958984375	-2.1889303046562567	7.173309283956988	STARD8;ARHGAP36
Signal Transduction_Homo sapiens_R-HSA-162582	4/2465	0.01067975586806393754890631697662684018723666667938232421875	0.037738127050858986943904227473467472009360790252685546875	0.0222744190185935435344344313080000574700534343719482421875	0.06403895467845643896254159699310548603534698486328125	-2.1612511887002577	7.0826024857384535	STARD8;ARHGAP36;S1PR4;UCHL5
Rho GTPase cycle_Homo sapiens_R-HSA-194840	2/122	0.00100886281318360369711750745835843190434388816356658935546875	0.02320384470322288394950049905673949979245662689208984375	0.00184148890519903753702768423039515255368314683437347412109375	0.0423542448195778631347963028019876219332218170166015625	-1.8031285916094713	6.785961387673139	STARD8;ARHGAP36
Synthesis and interconversion of nucleotide di- and triphosphates_Homo sapiens_R-HSA-499943	1/25	0.00995809438188844688044643049806836643256247043609619140625	0.037738127050858986943904227473467472009360790252685546875	0.01439940531458418042365376976476909476332366466522216796875	0.061759785981920188591143272560657351277768611907958984375	-2.041071236390216	6.688762642680266	GSR
TGF-beta receptor signaling activates SMADs_Homo sapiens_R-HSA-2173789	1/32	0.01273076450148968342956923294195803464390337467193603515625	0.037738127050858986943904227473467472009360790252685546875	0.018247685046758076177209062507245107553899288177490234375	0.061759785981920188591143272560657351277768611907958984375	-1.8733884101021478	6.13925187387521	UCHL5
Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788	1/26	0.01035460678445748565479345160156299243681132793426513671875	0.037738127050858986943904227473467472009360790252685546875	0.0149498971567987616604344935922199510969221591949462890625	0.061759785981920188591143272560657351277768611907958984375	-1.8456995192525432	6.048513042505642	UCHL5
Lysosphingolipid and LPA receptors_Homo sapiens_R-HSA-419408	1/14	0.00558727464292616514407452399382236762903630733489990234375	0.037738127050858986943904227473467472009360790252685546875	0.008327735288555966619572501485890825279057025909423828125	0.061759785981920188591143272560657351277768611907958984375	-1.7963623225546428	5.886830886447669	S1PR4
Metabolism of nucleotides_Homo sapiens_R-HSA-15869	1/87	0.03428066297102742854274737283049034886062145233154296875	0.07167774984851189856716047188456286676228046417236328125	0.04806781735819794232345003592854482121765613555908203125	0.10050543629441387183387490722452639602124691009521484375	-1.9494296523681756	5.137867865835402	GSR
TP53 Regulates Metabolic Genes_Homo sapiens_R-HSA-5628897	1/84	0.033115917923476574646901582354985293932259082794189453125	0.07167774984851189856716047188456286676228046417236328125	0.04646018621289686734154855685119400732219219207763671875	0.10050543629441387183387490722452639602124691009521484375	-1.932789834014321	5.09401237820098	GSR
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	1/73	0.0288346628277189875877439817486447282135486602783203125	0.07167774984851189856716047188456286676228046417236328125	0.040546945685261605307747601045775809325277805328369140625	0.10050543629441387183387490722452639602124691009521484375	-1.825177687602608	4.810392505921591	UCHL5
Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522	1/111	0.04355451225469590681438347701259772293269634246826171875	0.08347948182150048690441934695627423934638500213623046875	0.060850964819284654450104454781467211432754993438720703125	0.11663101590362891235574949178044334985315799713134765625	-1.852436300208417	4.599885357009954	GSR
G alpha (i) signalling events_Homo sapiens_R-HSA-418594	1/240	0.0920787726841432452307145695158396847546100616455078125	0.162908597825791867652611699668341316282749176025390625	0.127228963366410485757995729727554135024547576904296875	0.22509739672518780384535830307868309319019317626953125	-2.0695723010696736	3.7553755009968848	S1PR4
Cellular responses to stress_Homo sapiens_R-HSA-2262752	1/367	0.1377325364703846644065521331867785193026065826416015625	0.1863440199305204381108325151217286475002765655517578125	0.1888576629782454663342150524840690195560455322265625	0.255513308735273281246946908140671439468860626220703125	-2.2333275325298607	3.7523492488689474	GSR
Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989	1/348	0.131032950022290817226888748336932621896266937255859375	0.1863440199305204381108325151217286475002765655517578125	0.1798660911262042194636023850762285292148590087890625	0.255513308735273281246946908140671439468860626220703125	-2.1804162920509658	3.6634498596948024	GSR
Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	1/335	0.1264228206303212032057814440122456289827823638916015625	0.1863440199305204381108325151217286475002765655517578125	0.173668153340326203437626872982946224510669708251953125	0.255513308735273281246946908140671439468860626220703125	-2.1574605745071365	3.6248805642250685	GSR
Class A/1 (Rhodopsin-like receptors)_Homo sapiens_R-HSA-373076	1/323	0.12214833626940325983500912343515665270388126373291015625	0.1863440199305204381108325151217286475002765655517578125	0.167913775391904163125644799947622232139110565185546875	0.255513308735273281246946908140671439468860626220703125	-2.0388456961489623	3.4255885019417565	S1PR4
