Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	101/397	0.0000000009591033004994505621986829128748121287006966895205550827085971832275390625	0.000000154165806793437059848779686378750231057210839935578405857086181640625	0.00000000734991863945194686298292214882317552326895793157746084034442901611328125	0.0000019771281140125735795837723374201999604338197968900203704833984375	-2.109779148854536	33.09238627596244	SPI1;ARAF;CBLC;CBLB;FZD10;FGF3;FGF4;FGF5;EDNRA;FGF8;PDGFRA;WNT5B;DAPK1;WNT5A;PRKCA;RUNX1;BCR;ADCY9;COL4A2;SMO;CCNE2;COL4A4;RAF1;EPAS1;TCF7;PDGFB;LPAR2;TGFA;LPAR3;PLD1;CSF2RA;FOXO1;PIK3R5;WNT6;GNG10;ABL1;DVL2;FGF20;DVL3;RALGDS;WNT2;FGF22;WNT4;FZD1;SMAD2;SMAD3;FZD4;WNT3A;FZD8;GNG11;NFKB1;GNG13;FGF17;NFKBIA;FGF16;BMP2;FGF14;GNAS;FGF13;FGF12;FGF11;FGFR2;FGF10;FGFR1;LAMC3;PIK3CD;LAMC2;GLI3;GLI2;MECOM;RAC3;ITGA3;MMP2;WNT9B;AXIN2;PLCB3;RARA;PPARG;PTGER4;CEBPA;LAMA5;HDAC1;LEF1;ADCY2;ADCY8;ADCY7;EGFR;ADCY5;GNA13;MAPK9;RXRA;ERBB2;CTNNA2;RUNX1T1;TCF7L2;TCF7L1;EGF;CDKN2A;WNT7B;WNT7A;MTOR
Axon guidance_Homo sapiens_hsa04360	45/127	0.00000000114621417690287771611705932846107802713930823301780037581920623779296875	0.000000154165806793437059848779686378750231057210839935578405857086181640625	0.0000000934155020474443015198902080624410171338922737049870193004608154296875	0.000012564385025381257714009730630522199135157279670238494873046875	-1.7509304293668342	27.463759011175554	SEMA5A;SEMA5B;ROBO3;SEMA3C;NTN4;LRRC4;SEMA3F;EFNA5;NTN1;NTN3;EFNB2;EFNB1;PPP3CA;PPP3R1;EFNB3;RGS3;PAK7;SLIT1;PLXNA2;ABL1;NCK2;PAK6;PLXNA1;RAC3;SLIT3;PAK3;EPHB2;EPHB1;EPHB3;SEMA6B;NTNG1;EPHA6;SEMA4D;UNC5A;EPHA8;SEMA4B;SEMA6D;NFATC2;UNC5C;UNC5D;NFATC4;RASA1;PLXNB2;PLXNB1;EPHA2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	45/142	0.0000000576627945910332519329388918649659245829752762801945209503173828125	0.0000050832805776176575394812752473061578939450555481016635894775390625	0.000001226881289521706705776646524619355460572478477843105792999267578125	0.000098718069683760402226700703121053948052576743066310882568359375	-1.7789128034559	21.68415318413491	ONECUT1;PIK3CD;FZD10;PIK3R5;WNT6;ZIC3;HESX1;DVL2;DVL3;OTX1;SKIL;WNT2;WNT4;ACVR1;SMAD2;FZD1;ZFHX3;SMAD3;WNT5B;FZD4;WNT3A;WNT7B;WNT5A;ESRRB;WNT9B;FZD8;WNT7A;INHBB;PAX6;AXIN2;MAPK14;KLF4;MAPK12;TBX3;BMP2;HAND1;ID4;LHX5;RAF1;FGFR4;BMPR1B;NEUROG1;FGFR2;FGFR1;BMPR1A
Basal cell carcinoma_Homo sapiens_hsa05217	24/55	0.0000000944847691006999465409988011276032349172737667686305940151214599609375	0.0000050832805776176575394812752473061578939450555481016635894775390625	0.00000614447602670404135582864213471765424401382915675640106201171875	0.000275477341863897859201848472565643533016555011272430419921875	-1.7419945394453198	21.23413602166211	FZD1;TCF7L2;TCF7L1;WNT5B;FZD4;WNT3A;WNT7B;WNT5A;LEF1;TCF7;WNT9B;FZD8;WNT7A;AXIN2;FZD10;GLI3;GLI2;WNT6;BMP2;SMO;DVL2;DVL3;WNT2;WNT4
Hippo signaling pathway_Homo sapiens_hsa04390	47/153	0.0000000858386183774138823556482526082322959126713612931780517101287841796875	0.0000050832805776176575394812752473061578939450555481016635894775390625	0.000001467926686747366589244211294851272242567574721761047840118408203125	0.000098718069683760402226700703121053948052576743066310882568359375	-1.664311085449464	20.28720938588415	CRB2;WWC1;LEF1;TCF7;FZD10;LIMD1;PRKCZ;GLI2;WNT6;DVL2;DVL3;CTNNA2;TEAD1;WNT2;TEAD2;WNT4;YWHAH;SMAD2;FZD1;WWTR1;TCF7L2;TCF7L1;SMAD3;WNT5B;FZD4;WNT3A;WNT7B;WNT5A;BMP8A;WNT9B;FZD8;BMP8B;WNT7A;AXIN2;WTIP;BMP6;SMAD7;GDF7;BMP2;DLG3;PPP2R2C;PPP2R2B;PARD3;PPP2R2D;BMPR1B;AJUBA;BMPR1A
Rap1 signaling pathway_Homo sapiens_hsa04015	57/211	0.0000005206895727245754039422850727170111184705092455260455608367919921875	0.000023344249177151797647322695183902396820485591888427734375	0.000003550561242675770670814382190538793793166405521333217620849609375	0.0001910201948559564814021649592490348368301056325435638427734375	-1.835724704791758	19.57829749448149	FLT1;PIK3CD;ITGAL;FGF3;FGF4;FGF5;SIPA1L1;FGF8;RAC3;MAGI1;PDGFRA;MAGI2;PRKCA;NGF;PLCB3;ADCY9;ADORA2A;PARD3;PFN1;RAF1;RAPGEF3;EPHA2;PDGFB;LPAR2;ADCY2;LPAR3;ADCY8;EFNA5;ADCY7;PRKCZ;EGFR;RAP1GAP;ADCY5;PIK3R5;CNR1;FGF20;DRD2;RALGDS;FGF22;EGF;MAPK14;GRIN2B;MAPK12;FGF17;GNAO1;FGF16;FGF14;GNAS;FGF13;FGFR4;FGF12;FGF11;FGFR2;LAT;BCAR1;FGF10;FGFR1
Calcium signaling pathway_Homo sapiens_hsa04020	50/180	0.000001043748862905287704664378072016983622916086460463702678680419921875	0.000040109777731646057319543630104163867144961841404438018798828125	0.000007471826287007848966842567250967732661592890508472919464111328125	0.0002871316101721587701021964900149896493530832231044769287109375	-1.8066155514904525	18.28997787375646	CHRM3;HTR2C;ADRA1D;PPP3CA;HTR6;EDNRA;HTR7;PDGFRA;LHCGR;SPHK1;TACR3;PRKCA;PHKA1;AVPR1A;TACR1;PHKA2;PLCB3;ADCY9;ADORA2A;SLC25A5;CAMK2B;CACNA1B;ADCY2;ADRB2;ADCY8;ADCY7;CACNA1E;EGFR;CACNA1H;CACNA1G;CACNA1I;GNA14;PPP3R1;HRH1;ERBB3;ERBB4;ERBB2;DRD1;NTSR1;DRD5;NOS3;ATP2B3;ATP2B2;GRIN2C;HTR5A;GNAL;P2RX2;CAMK4;GNAS;SLC25A31
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	56/214	0.0000019482519407366664484690908787367646937127574346959590911865234375	0.000065509971507270409012135825577161085675470530986785888671875	0.00000960392187166069999045871219411907304674969054758548736572265625	0.0003229318729345910282853282513571002709795720875263214111328125	-1.7477869567317932	16.836970404935162	CHRM3;NCKAP1;ITGB4;ARPC1B;CHRM4;ARAF;PIK3CD;ITGAL;ARHGAP35;FGF3;FGF4;FGF5;FGF8;RAC3;PDGFRA;PPP1R12A;ITGA3;ENAH;ITGA7;PFN1;ARHGEF7;RAF1;DOCK1;ITGA9;PDGFB;IQGAP2;FGD1;EGFR;PIK3R5;GNA13;SCIN;FGF20;PAK7;MYH14;PAK6;PAK3;WASF1;FGF22;GSN;EGF;MSN;ARPC5;BAIAP2;FGF17;FGF16;DIAPH2;FGF14;ABI2;FGF13;FGFR4;FGF12;FGF11;FGFR2;BCAR1;FGF10;FGFR1
Wnt signaling pathway_Homo sapiens_hsa04310	41/142	0.00000328986464280137734546966520043920212401644675992429256439208984375	0.000098330398768174502588390595292366924695670604705810546875	0.00002337984659216397773724878395018578203234937973320484161376953125	0.00062891787332921091947801617294544485048390924930572509765625	-1.6763535382747285	15.468011371759399	CAMK2B;LEF1;TCF7;FZD10;PRICKLE1;CXXC4;LRP6;WNT6;PPP3CA;MAPK9;PORCN;PPP3R1;DVL2;DVL3;RAC3;GPC4;TBL1X;WNT2;WNT4;FZD1;TCF7L2;TCF7L1;SMAD3;WNT5B;FZD4;WNT3A;WNT7B;WNT5A;WNT9B;FZD8;NFATC2;WNT7A;PRKCA;AXIN2;NFATC4;FOSL1;SFRP1;PLCB3;SFRP2;BAMBI;NOTUM
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	67/277	0.0000040963549927170511555786329427331082797536510042846202850341796875	0.000110191949304088682268405741115913087924127466976642608642578125	0.0000121189196362093422852657109700658111250959336757659912109375	0.000362221042460034755965103681063510521198622882366180419921875	-1.675956557957513	15.273472641642185	GABRB3;CHRM3;NPFFR1;CHRM4;GRIK3;HTR2C;ADRA1D;PTH1R;NR3C1;HTR6;EDNRA;HTR7;GRM4;CHRNB2;LHCGR;GRID2;NPY5R;GRID1;TACR3;AVPR1A;TACR1;ADRA2C;ADRA2B;SSTR3;GABRG3;ADRA2A;SSTR4;SSTR5;ADORA2A;PARD3;OPRD1;PTGER4;CHRNA4;LHB;LPAR2;LPAR3;GPR83;ADRB2;CRHR1;HRH1;CALCR;HRH3;CNR1;NPBWR1;S1PR2;DRD1;S1PR5;DRD2;S1PR4;NTSR1;GRIA4;DRD5;GABRA2;GABBR2;GABRA1;GABRA5;SCTR;GPR50;GRIN2C;HTR5A;GRIN2B;HCRTR1;GRIN3B;GRIN3A;GLRB;P2RX2;F2RL1
