Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuronal System_Homo sapiens_R-HSA-112316	69/301	0.00000000000167890666985482881132246483296761155649089169994425674303784035146236419677734375	0.0000000017510996566585863554955350963296574484662215809294139035046100616455078125	0.0000000000002715862177405788819650417579482698225722993312647446373375714756548404693603515625	0.000000000283264425103423763236760889435502004662925656930383411236107349395751953125	-2.2263941510719905	44.890833961803885	GABRB3;KCNK6;KCNG3;KCNC1;KCNK9;KCNC3;GRIK5;KCNC4;GRIK3;GRIK4;SLC6A1;RPS6KA3;RPS6KA6;SLC18A3;KCNH1;UNC13B;KCNH3;KCNH5;KCNH7;CACNA2D1;CACNA2D3;CACNA2D2;KCNK18;GABRG3;ADCY9;CACNB4;KCNMA1;KCNQ4;HCN4;CAMK2B;CHRNA3;CHRNA4;CHRNA7;KCNA2;SLC1A1;ADCY4;SLC1A2;ADCY2;ADCY1;KCNA7;ADCY7;CPLX1;CACNA1E;ADCY6;ADCY5;KCNN2;GRIA3;CACNG4;KCNJ4;GABBR2;GABRA1;KCNF1;KCNJ6;KCNJ11;KCNB1;GABRA5;KCNJ12;GABRA4;GAD1;GRIN2C;GRIN2B;PTPRD;LRFN4;GNAL;DLG3;KCNS2;KCNS3;KCNK2;KCNK4
Developmental Biology_Homo sapiens_R-HSA-1266738	119/786	0.0000000901537432980606059502486017594169442901375077781267464160919189453125	0.00002350758856496930432832502544382435871739289723336696624755859375	0.0000000000846659158208736228366331842457004862312341941787963151000440120697021484375	0.00000004415327510058559595074073361904709589254025559057481586933135986328125	-2.3578891564803137	25.130824194693695	KLB;SEMA5A;FGF3;FGF4;FGF5;RPS6KA3;CDH4;RPS6KA6;FGF8;DPYSL4;CDH2;EPHB2;EPHB1;SCN1B;HOXA4;EPHA6;SEMA6A;UNC5A;EPHA8;SEMA6D;UNC5C;HNF1B;UNC5D;ANK1;DKK1;BTC;TIAM1;CACNB4;COL4A2;SCN8A;HOXB3;AJUBA;SPTBN4;SHC2;SHC3;EPHA10;HOXD1;AGAP2;PRDM14;RASAL1;EFNA5;CSF2RA;CACNA1H;EFNB2;CACNA1I;EFNB1;EFNB3;FGF20;PLXNA1;MYH14;WNT1;FGF22;KL;ST8SIA2;NR2F2;GRIN2C;MAFA;GRIN2B;NFKB1;FGF17;EFNA1;FGF16;MAFB;DLG3;GDNF;FES;CNTN1;CNTN2;COL9A3;FGFR4;FGFR3;LAT;RARG;ONECUT1;HNF4G;CLTB;MED12;SCN5A;NEO1;FOXD3;TRPC5;ARHGEF12;MMP2;PPP2R5A;PAX6;RGMB;RHOC;GFRA2;RGMA;CNKSR2;DNM3;NRG3;RARA;EVL;PPARA;ARHGEF7;SCN4B;ITGA9;CAMK2B;CEBPA;CEBPB;CRMP1;NTN3;RXRA;GSC;ADAM23;SLIT1;SLIT3;SLIT2;PAK3;CACNG4;LGI2;MAPK12;PSMC5;NFASC;LEP;INSM1;PTF1A;NEUROG3
Axon guidance_Homo sapiens_R-HSA-422475	84/515	0.00000033530124586462021784007895945645127966372456285171210765838623046875	0.0000582865332394664822511683166528229094183188863098621368408203125	0.000000003672573781788229396275273743919208280228616558815701864659786224365234375	0.0000012768314848017078591796251429979491831545601598918437957763671875	-2.321271366141008	22.63271959553344	SEMA5A;KLB;CLTB;FGF3;FGF4;FGF5;RPS6KA3;RPS6KA6;FGF8;DPYSL4;SCN5A;EPHB2;EPHB1;NEO1;SCN1B;TRPC5;SEMA6A;EPHA6;ARHGEF12;UNC5A;EPHA8;SEMA6D;MMP2;PPP2R5A;UNC5C;UNC5D;RHOC;RGMB;ANK1;GFRA2;RGMA;CNKSR2;BTC;DNM3;TIAM1;CACNB4;COL4A2;NRG3;SCN8A;EVL;ARHGEF7;SCN4B;ITGA9;CAMK2B;SPTBN4;SHC2;SHC3;EPHA10;AGAP2;CRMP1;RASAL1;EFNA5;CSF2RA;CACNA1H;EFNB2;EFNB1;CACNA1I;EFNB3;FGF20;SLIT1;PLXNA1;MYH14;SLIT3;SLIT2;PAK3;FGF22;KL;ST8SIA2;GRIN2C;GRIN2B;FGF17;EFNA1;FGF16;PSMC5;NFASC;DLG3;GDNF;FES;CNTN1;CNTN2;COL9A3;FGFR4;FGFR3;LAT
Potassium Channels_Homo sapiens_R-HSA-1296071	28/99	0.0000000656061383965697975565009754383982709668998722918331623077392578125	0.00002280906744920743482100793098066304764870437793433666229248046875	0.000000108065685571625907067383476345412418595515191555023193359375	0.0000225425020102411655695089087725335730283404700458049774169921875	-1.942917086973344	20.76658252106036	HCN4;KCNK6;KCNG3;KCNC1;KCNK9;KCNC3;KCNC4;KCNA2;KCNA7;KCNN2;KCNH1;KCNJ4;KCNF1;GABBR2;KCNH3;KCNJ6;KCNH5;KCNJ11;KCNB1;KCNJ12;KCNH7;KCNK18;KCNS2;KCNS3;KCNMA1;KCNQ4;KCNK2;KCNK4
Cardiac conduction_Homo sapiens_R-HSA-5576891	34/135	0.0000000643074833336496526518536918058666085329377892776392400264739990234375	0.00002280906744920743482100793098066304764870437793433666229248046875	0.00000005328311683368673084377096170992371693131417487165890634059906005859375	0.0000138935727143838153702613824602707381927757523953914642333984375	-1.9047071011657277	20.35818072732324	CAMK2B;KCNK6;KCNK9;NPR1;NPR2;GATA4;SCN5A;SCN1B;CACNG4;KCNJ4;WWTR1;KCNJ11;KCNIP1;KCNJ12;KCNIP2;CACNA2D1;KCNK12;KCNIP4;CACNA2D3;CACNA2D2;ATP2B3;ATP2B2;ATP1B2;KCNK18;TBX5;CACNB4;SCN8A;FXYD7;FXYD6;FGF12;SCN4B;KCNK2;FGF11;KCNK4
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	43/211	0.000000836061467619766818921110684836861537405638955533504486083984375	0.0001245731586753452712658385426180984723032452166080474853515625	0.00000018469044083821808984913919772508084093942670733667910099029541015625	0.0000321053549657102457216828472752467860118485987186431884765625	-2.156034071453379	19.38407742650005	GABRB3;CAMK2B;CHRNA3;CHRNA4;GRIK5;CHRNA7;SLC1A1;ADCY4;GRIK3;SLC1A2;GRIK4;ADCY2;ADCY1;SLC6A1;ADCY7;CPLX1;CACNA1E;ADCY6;ADCY5;RPS6KA3;RPS6KA6;GRIA3;CACNG4;SLC18A3;UNC13B;KCNJ4;GABBR2;GABRA1;KCNJ6;GABRA5;KCNJ12;CACNA2D1;GABRA4;GAD1;CACNA2D3;CACNA2D2;GRIN2C;GRIN2B;GABRG3;ADCY9;GNAL;CACNB4;DLG3
Phospholipase C-mediated cascade; FGFR3_Homo sapiens_R-HSA-5654227	15/44	0.0000059613533864184066433391205597214224098934209905564785003662109375	0.0004327800856678446308513363849357347135082818567752838134765625	0.00001634053891463366195891011856122787548883934505283832550048828125	0.00113621213919752714512079183606374499504454433917999267578125	-2.039398064115061	15.79571075983755	ADCY4;ADCY2;ADCY1;ADCY7;ADCY6;ADCY5;FGF4;FGF17;FGF5;FGF16;ADCY9;FGF8;PRKAR1B;FGF20;FGFR3
Muscle contraction_Homo sapiens_R-HSA-397014	39/196	0.000004876861647270278209338224828517383002690621651709079742431640625	0.0004327800856678446308513363849357347135082818567752838134765625	0.0000011623366355752970356120766515228837079121149145066738128662109375	0.00017318815870071926931762773538281408036709763109683990478515625	-2.0275667007157105	15.70407352753893	CAMK2B;TRIM72;KCNK6;KCNK9;NPR1;NPR2;LMOD1;GATA4;SCN5A;SCN1B;CACNG4;KCNJ4;WWTR1;ACTN3;KCNJ11;KCNIP1;KCNJ12;KCNIP2;CACNA2D1;KCNK12;KCNIP4;CACNA2D3;CACNA2D2;ATP2B3;ATP2B2;ATP1B2;KCNK18;TBX5;SORBS3;DES;CACNB4;SCN8A;FXYD7;FXYD6;FGF12;SCN4B;KCNK2;FGF11;KCNK4
G alpha (s) signalling events_Homo sapiens_R-HSA-418555	31/142	0.0000063642913760420122485229714459631367162728565745055675506591796875	0.0004327800856678446308513363849357347135082818567752838134765625	0.0000028595170106006894867353533562503997700332547537982463836669921875	0.0002982476242056519215133103539727699171635322272777557373046875	-2.0010825541285393	15.498946374300397	GPR27;PTGER4;RAMP2;LHB;ADCY4;ADCY2;GPR83;ADM;ADCY1;PTH1R;ADCY7;ADCY6;CRHR1;PTHLH;ADCY5;HTR6;GPR176;PDE11A;HTR7;CALCR;PDE8B;PDE8A;DRD5;LHCGR;PDE2A;GPBAR1;ADCY9;ADORA2A;GNAS;PDE3A;RLN3
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell_Homo sapiens_R-HSA-112314	31/142	0.0000063642913760420122485229714459631367162728565745055675506591796875	0.0004327800856678446308513363849357347135082818567752838134765625	0.0000028595170106006894867353533562503997700332547537982463836669921875	0.0002982476242056519215133103539727699171635322272777557373046875	-1.9980393541903332	15.475375936113718	GABRB3;CAMK2B;CHRNA3;CHRNA4;CHRNA7;GRIK5;ADCY4;GRIK3;GRIK4;ADCY2;ADCY1;ADCY7;ADCY6;ADCY5;RPS6KA3;RPS6KA6;GRIA3;CACNG4;KCNJ4;GABBR2;GABRA1;KCNJ6;KCNJ12;GABRA5;GABRA4;GRIN2C;GRIN2B;GABRG3;ADCY9;GNAL;DLG3
