Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	125/808	0.0000000118733026801886938379955267947908625902897483683773316442966461181640625	0.000004108162727345287799939933803816671797903836704790592193603515625	0.00001528714003776033658436872553210150726954452693462371826171875	0.0026446752265325383646210610777416150085628032684326171875	-2.229522461485681	27.651729591291186	RTKN;WIPF1;RPH3A;CDH4;EDNRA;CDH3;CDH2;GRB10;PITX2;EPHB2;SYNPO;MAGI1;RBFOX1;EPHA6;IGFBP3;CTNNBIP1;IGFBP2;MAGI2;KRT7;HSPG2;OLFM1;TIAM1;CLDN5;CLDN3;RNF128;PARD3;CLDN7;LMX1B;AJUBA;SHC2;NRN1;NPR1;HOXD1;HTRA1;GATA4;PRKCZ;LTBP1;NID2;EFNB2;EFNB1;EFNB3;CDH22;DVL2;PLXNA1;IGFBP7;WNT1;KL;ESRRB;NR2F2;GRIN2B;BMP7;BMP6;CYP26A1;CXCL12;MAFB;NR4A3;LHX3;GJB6;SNAI1;PDE3A;CNTN2;BCL2L2;DDR1;COL18A1;FLT1;SH2D4A;LAMC3;SH3KBP1;PTPRO;PTEN;PIK3CD;LAMC2;PKD2;SLC6A2;CYR61;CALB2;RSPO2;NEO1;RAB8A;ABCC3;GRID2;PAX6;NGF;F3;DNM3;KCNMA1;HAND1;RARA;SLC29A4;PPARA;ARHGEF7;PLEC;CRB2;PTGER4;CAMK2B;FOXC2;LAMA5;CEBPA;KCNA2;PRKX;ADCY1;DLL1;FGD1;ARNTL;RXRA;EFS;CHN2;NSD1;PDPN;NRIP3;PAK3;CACNG4;JAM3;UBQLN2;NTRK2;TCF7L2;TCF7L1;BIK;CDKN2A;GABRA4;WTIP;SULF1;SORBS3;WT1;BCAR1
Neural Crest Differentiation_Homo sapiens_WP2064	29/101	0.00000002655148271266171054709803798880851655184187620761804282665252685546875	0.000004593406509290476116553862684366293933635461144149303436279296875	0.00000846838067291720398926078983148357792742899619042873382568359375	0.0026446752265325383646210610777416150085628032684326171875	-1.8966563507688983	23.311592015125555	CTBP2;TWIST1;DLL1;HDAC6;DLL3;CDH6;FGF8;CDH2;GBX2;DVL2;MBP;SOX9;WNT1;FOXD3;TCF7L1;MSX2;WNT3A;PAX3;BMP7;NFKB1;COL2A1;LHX2;TLX2;PAX7;HAND1;PMP22;SNAI1;LHX5;FGFR3
ESC Pluripotency Pathways_Mus musculus_WP339	30/117	0.00000024643598723053831026715172758390082208279636688530445098876953125	0.00002842228386058875150180051682990978179077501408755779266357421875	0.00003736959304223902889226238688280545829911716282367706298828125	0.004309959730871567619436834917223677621223032474517822265625	-2.09440753506352	21.9249640546799	PTEN;PIK3CD;FGF3;FGF4;FGF5;FGF8;WNT11;MAPK7;FGF20;DVL2;WNT1;FGF22;WNT3;MAPK4;WNT4;FZD1;WNT10A;WNT5B;WNT3A;WNT7B;WNT5A;NOG;WNT9B;MAPK12;FGF17;FGF16;FGFR4;FGF12;FGFR3;FGF11
Monoamine GPCRs_Mus musculus_WP570	13/32	0.0000026105525605210911838419650388143367081283940933644771575927734375	0.0002258127964850743861317805549759896166506223380565643310546875	0.0001847596174452220099855559443113861561869271099567413330078125	0.015981706909011704487166838362099952064454555511474609375	-1.9321530197477914	16.22197850796702	CHRM3;CHRM4;HTR1D;ADRA1D;ADRA2C;ADRA1B;ADRA2B;ADRA2A;HTR6;HRH1;HTR7;DRD2;DRD5
Monoamine GPCRs_Homo sapiens_WP58	13/33	0.0000039382758408545076711363731869486315417816513217985630035400390625	0.000272528688187131918306549405173200284480117261409759521484375	0.0002356108432377475065018501698688169199158437550067901611328125	0.016304270352052126213937555121447076089680194854736328125	-1.9496179886657081	16.00200954982233	CHRM3;CHRM4;HTR1D;ADRA1D;ADRA2C;ADRA1B;ADRA2B;ADRA2A;HTR6;HRH1;HTR7;DRD2;DRD5
Wnt Signaling Pathway and Pluripotency_Homo sapiens_WP399	24/102	0.0000185205622938287663473665156654845986849977634847164154052734375	0.00091544493623782192785742761742540096747688949108123779296875	0.00064408419662150494765240349437362965545617043972015380859375	0.03183616171872009903420774890037137083709239959716796875	-1.9217840680544092	13.444994175317618	FZD1;FOXD3;TCF7L2;WNT10A;TCF7L1;PRKCH;WNT5B;CTBP2;WNT3A;WNT7B;WNT5A;ESRRB;TCF7;WNT9B;FZD10;ZBTB33;PRKCZ;FOSL1;WNT11;PPP2R2C;DVL2;WNT1;WNT3;WNT4
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	14/42	0.00001631401904234877623029766058326828215285786427557468414306640625	0.00091544493623782192785742761742540096747688949108123779296875	0.000551183913387508542768011832180263809277676045894622802734375	0.031784939005346325713308175409110845066606998443603515625	-1.8781657171177317	13.13983581542222	GABBR2;KCNJ6;CADM3;CADM1;CLSTN1;EFNA5;PRKCZ;GRIN2B;RAP1GAP;DAB1;CDH2;KCNMA1;NEO1;MAPK4
Non-odorant GPCRs_Mus musculus_WP1396	45/256	0.00002748318875984680098741551323993093092212802730500698089599609375	0.00118864791386337422147978504227694429573602974414825439453125	0.0012285430305978913174957956044863749411888420581817626953125	0.05313448607335879980695381163968704640865325927734375	-1.863911230286435	12.553328110591815	OPRD1;PTGER4;CHRM3;OXTR;CHRM4;ADRA1D;PTH1R;ADRA1B;CRHR1;CELSR3;HTR6;PROKR2;HRH1;EDNRA;HTR7;CALCR;HRH3;GRM7;CNR1;GRM8;BDKRB1;FFAR2;FFAR1;S1PR5;DRD2;S1PR4;NTSR1;DRD5;FZD1;GABBR2;LHCGR;HTR1D;GPBAR1;TACR3;GPR50;AVPR1A;TACR1;ADRA2C;ADRA2B;ADRA2A;SSTR4;SSTR5;HCRTR1;ADORA2A;F2RL1
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	50/305	0.000067300010639656713509922092431025930636678822338581085205078125	0.002587311520146802490405235630532843060791492462158203125	0.0025020394399720394425223890522147485171444714069366455078125	0.08041244289198561101539297624185564927756786346435546875	-1.9518152949160144	11.627229091355485	DDR1;COL18A1;SH2D4A;SH3KBP1;PTPRO;PIK3CD;PKD2;CYR61;RPH3A;CDH3;SYNPO;MAGI1;IGFBP3;IGFBP2;MAGI2;KRT7;HSPG2;F3;DNM3;OLFM1;PARD3;KCNMA1;RARA;SLC29A4;LMX1B;CRB2;PTGER4;CAMK2B;FOXC2;LAMA5;NRN1;ADCY1;NID2;EFNB1;RXRA;PDPN;DVL2;IGFBP7;WNT1;CDKN2A;NR2F2;WTIP;SULF1;BMP7;CYP26A1;CXCL12;MAFB;WT1;SNAI1;BCAR1
Wnt Signaling Pathway and Pluripotency_Mus musculus_WP723	21/94	0.00013380745444220389409571703165369171983911655843257904052734375	0.00462973792370025526154986295068738400004804134368896484375	0.0023760551755037267497583375330805210978724062442779541015625	0.08041244289198561101539297624185564927756786346435546875	-1.7710810465455782	9.520012279963245	FZD1;FOXD3;TCF7L1;WNT10A;PRKCH;WNT5B;CTBP2;WNT3A;WNT7B;WNT5A;WNT9B;HNF1B;ZBTB33;PRKCZ;FOSL1;WNT11;PPP2R2C;DVL2;WNT1;WNT3;WNT4
