Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	58/277	0.000000152498479420283544667982940888639742382792974240146577358245849609375	0.000040107100087534574444671220394553756705136038362979888916015625	0.000000176178155697046901736050922467058388320992889930494129657745361328125	0.0000463348549483233324301940936340571397522580809891223907470703125	-1.8933839058599151	19.16853758782066	GABRB3;OXTR;GRIK5;GRIK3;HTR2C;ADRA1D;PTH1R;HTR4;ADRA1B;NR3C1;HTR6;EDNRA;HTR7;GRM7;LHCGR;NPY5R;GRID1;TACR3;AVPR1A;ADRA2C;SSTR2;ADRA2B;GABRG3;ADRA2A;SSTR4;ADORA2A;PARD3;OPRD1;CHRNA4;LHB;PTGER3;LPAR3;GPR83;MCHR1;CRHR1;GRIN2A;CALCR;HRH3;GALR2;GABRE;S1PR5;DRD2;S1PR4;NTSR1;GRIA3;DRD5;GABRQ;GABBR2;GABRA5;HTR1A;GPR50;GRIN2C;GRIN2B;GRIN3B;GRIN3A;GLRB;P2RX2;P2RX1
Calcium signaling pathway_Homo sapiens_hsa04020	41/180	0.00000103012871696290417042698485394769392087255255319178104400634765625	0.000135461926280621889305544325310393105610273778438568115234375	0.00000199461777763690052307234655548651147682903683744370937347412109375	0.000262292237759252405866761126418396088411100208759307861328125	-1.9326510133928403	17.2137745908552	CAMK2B;OXTR;CAMK2A;PTGER3;HTR2C;ADCY2;ADRA1D;CACNA1C;HTR4;ADRA1B;ADCY7;CACNA1G;CACNA1I;HTR6;GRIN2A;EDNRA;HTR7;ERBB4;NTSR1;DRD5;PDGFRA;LHCGR;NOS3;SPHK1;TACR3;ATP2B3;PHKA1;ATP2B2;AVPR1A;GRIN2C;PHKA2;ADCY9;GNAL;ADORA2A;P2RX2;P2RX1;GNAS;SLC25A31;PLCD3;SLC25A5;PLCB1
cAMP signaling pathway_Homo sapiens_hsa04024	43/199	0.000002515069573452651357212996041656793977381312288343906402587890625	0.00022048776593934908706907960240783950212062336504459381103515625	0.0000036510123277803678524416376716121845902307541109621524810791015625	0.0003200720807354122464209733589513007245841436088085174560546875	-1.892860692008283	15.93725925545762	HCN4;CAMK2B;OXTR;NPR1;PTGER3;CAMK2A;PIK3CD;ADCY2;CACNA1C;HTR4;PLD1;ADCY7;RELA;ADCY5;PLD2;LIPE;HTR6;GRIN2A;EDNRA;CREB3L4;RAC3;FFAR2;DRD2;GRIA3;DRD5;GABBR2;BDNF;HTR1A;ATP2B3;ATP2B2;GRIN2C;SSTR2;GRIN2B;NFKB1;NFKBIA;GRIN3B;GRIN3A;ADCY9;ADORA2A;PPP1R1B;GNAS;PPARA;RAPGEF3
Rap1 signaling pathway_Homo sapiens_hsa04015	42/211	0.0000272881985707631381419223381978866882491274736821651458740234375	0.0014353592448221410594888514111744370893575251102447509765625	0.00002669978625211935651696804061572265709401108324527740478515625	0.0014834363995915741084308248076695235795341432094573974609375	-1.8608522757906907	12.181771903475433	FLT1;SRC;ITGA2B;PIK3CD;ADCY2;LPAR3;ITGAL;ADCY7;PRKCZ;FGF3;RAP1GAP;ADCY5;FGF4;FGF5;GRIN2A;FGF8;CDH1;RASSF5;FGF20;RAC3;DRD2;RALGDS;FGF22;PDGFRA;MAGI2;GRIN2B;EFNA1;FGF16;ADCY9;MRAS;ADORA2A;PARD3;GNAS;PLCB1;FGF13;FGF12;RAPGEF3;FGF11;LAT;BCAR1;EPHA2;FGF10
Pathways in cancer_Homo sapiens_hsa05200	66/397	0.000083052579435367326031458556911957202828489243984222412109375	0.0032724602786718677387145515211841484415344893932342529296875	0.0000282022129199919051345014919807141495766700245440006256103515625	0.0014834363995915741084308248076695235795341432094573974609375	-1.9763121323531245	11.308879367453121	SPI1;ITGA2B;ARAF;PIK3CD;CBLC;LAMC2;FZD10;LAMC1;FGF3;GLI2;FGF4;FGF5;EDNRA;FGF8;MECOM;CDH1;RASSF5;RAC3;IKBKG;PDGFRA;WNT5B;DAPK2;WNT5A;TRAF1;AR;ADCY9;RARA;COL4A5;PLCB1;LAMA5;LAMA1;PTGER3;LAMA3;XIAP;ADCY2;LPAR3;PLD1;ADCY7;RELA;ADCY5;WNT6;RXRA;FGF20;CTNNA2;RALGDS;FGF22;RUNX1T1;WNT4;NTRK1;WNT10A;TCF7L1;WNT3A;WNT7B;FZD8;GNG11;NFKB1;GNG13;NFKBIA;FGF16;BMP2;GNAS;GNB3;FGF13;FGF12;FGF11;FGF10
Maturity onset diabetes of the young_Homo sapiens_hsa04950	11/26	0.00002624870361961549017522365989663057916914112865924835205078125	0.0014353592448221410594888514111744370893575251102447509765625	0.00020234698415350611615769194084890614249161444604396820068359375	0.008656704738151888012254175919224508106708526611328125	-1.5904304359762054	10.411498565180219	NR5A2;PDX1;HNF1B;PAX6;MAFA;NKX6-1;FOXA3;MNX1;NEUROG3;FOXA2;NKX2-2
Cocaine addiction_Homo sapiens_hsa05030	15/49	0.000087099703234612443187266650479472218648879788815975189208984375	0.0032724602786718677387145515211841484415344893932342529296875	0.000288690068048613160574256131241099865292198956012725830078125	0.008656704738151888012254175919224508106708526611328125	-1.614826154216811	9.240379532408378	BDNF;MAOA;GRIN2C;GRIN2B;RELA;NFKB1;SLC6A3;ADCY5;GRIN3B;GRIN2A;GRIN3A;CREB3L4;PPP1R1B;GNAS;DRD2
Glutamatergic synapse_Homo sapiens_hsa04724	25/114	0.000234751431886349331591701261601201622397638857364654541015625	0.00685995850956776405393799933563059312291443347930908203125	0.0003291522714126193034818446125910895716515369713306427001953125	0.008656704738151888012254175919224508106708526611328125	-1.7196262741194246	8.567270760465222	GRIK5;SLC1A2;GRIK3;ADCY2;CACNA1C;PLD1;ADCY7;ADCY5;PLD2;GRIN2A;GRM7;SLC38A3;GRIA3;GRIN2C;GNG11;GRIN2B;GNG13;GRIN3B;GRIN3A;ADCY9;GNAS;GNB3;PLCB1;SHANK2;SHANK1
Axon guidance_Homo sapiens_hsa04360	27/127	0.0002316957302787883113577571680963274047826416790485382080078125	0.00685995850956776405393799933563059312291443347930908203125	0.00029660056343053416150201684331477736122906208038330078125	0.008656704738151888012254175919224508106708526611328125	-1.5967640859133734	7.955164718340758	SEMA5A;SEMA5B;NTN4;NTN3;EFNB1;ABLIM1;EFNB3;SLIT1;PAK6;PLXNA1;RAC3;SLIT3;PAK3;EPHB2;EPHB1;EPHA6;UNC5A;SEMA4B;SEMA6D;NFATC2;UNC5C;NFATC4;EFNA1;FES;PLXNB2;PLXNB1;EPHA2
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550	29/142	0.0002865967721723699547509145446611000807024538516998291015625	0.007537495108133329506372444228645690600387752056121826171875	0.00032237558325423805449805314538025413639843463897705078125	0.008656704738151888012254175919224508106708526611328125	-1.604304848769855	7.841626106700415	PIK3CD;FZD10;WNT6;ZIC3;HESX1;OTX1;WNT4;ACVR1;WNT10A;ZFHX3;WNT5B;WNT3A;WNT7B;PCGF2;ESX1;WNT5A;ESRRB;FZD8;INHBB;PAX6;ISL1;DUSP9;BMP2;HAND1;ID4;LHX5;BMPR1B;NEUROG1;BMPR1A
