Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921	14/248	0.00798037101639492880977844180279134889133274555206298828125	0.469915713548597346882473857476725243031978607177734375	0.00219867194014081342168243082824119483120739459991455078125	0.239299022760008972543488425799296237528324127197265625	-2.5301887676729597	1.9108034487971652	PSMD10;PDGFRA;KL;SHC3;SPHK1;ARAF;GRIN2C;PRKCZ;FGF3;FGF4;CNKSR2;FGF16;GDNF;NRG3
Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526	13/245	0.01659957400110691205785684587681316770613193511962890625	0.469915713548597346882473857476725243031978607177734375	0.005155196463420151122003520782755003892816603183746337890625	0.239299022760008972543488425799296237528324127197265625	-2.388733562025381	1.8039762040258998	PSMD10;PDGFRA;KL;SHC3;ARAF;PIK3CD;GRIN2C;FGF3;FGF4;CNKSR2;FGF16;GDNF;NRG3
Interleukin-2 signaling_Homo sapiens_R-HSA-451927	13/252	0.0204239753332384234296714708989384234882891178131103515625	0.469915713548597346882473857476725243031978607177734375	0.0064258564101840436044721371899868245236575603485107421875	0.239299022760008972543488425799296237528324127197265625	-2.3461368769609043	1.7718071051157867	PSMD10;PDGFRA;KL;SHC3;ARAF;PIK3CD;GRIN2C;FGF3;FGF4;CNKSR2;FGF16;GDNF;NRG3
Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988	13/261	0.026267045681879520879764555729707353748381137847900390625	0.469915713548597346882473857476725243031978607177734375	0.00841372062993071302694492175078266882337629795074462890625	0.239299022760008972543488425799296237528324127197265625	-2.333318386935972	1.7621265566677986	PSMD10;PDGFRA;KL;SHC3;ARAF;PIK3CD;GRIN2C;FGF3;FGF4;CNKSR2;FGF16;GDNF;NRG3
Developmental Biology_Homo sapiens_R-HSA-1266738	32/786	0.0148750997717291798261296520422547473572194576263427734375	0.469915713548597346882473857476725243031978607177734375	0.0011894521077705486923614675021099174045957624912261962890625	0.216182920587297211501009996936772949993610382080078125	-2.2783580602675455	1.7206204117165529	PSMD10;RARG;SHC3;ARAF;FGF3;FGF4;MED12;CACNA1I;EFNB1;RPS6KA3;MED14;CDH4;DPYSL4;CDH2;ZIC3;SLIT1;TBL1X;EPHB1;NKX2-2;KL;FOXD3;PDGFRA;TRPC5;MSN;GRIN2C;MAFA;ANK1;CNKSR2;FGF16;NRG3;GDNF;FOXA2
GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812	12/235	0.02706839093728689860096636721209506504237651824951171875	0.469915713548597346882473857476725243031978607177734375	0.009359420223795163196189861309903790242969989776611328125	0.239299022760008972543488425799296237528324127197265625	-2.217185868401593	1.6744230541591374	CNKSR2;PSMD10;PDGFRA;FGF16;KL;SHC3;GDNF;NRG3;ARAF;GRIN2C;FGF3;FGF4
FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712	12/236	0.0278481697050275110727479699335162877105176448822021484375	0.469915713548597346882473857476725243031978607177734375	0.00964727450492059400433131344243520288728177547454833984375	0.239299022760008972543488425799296237528324127197265625	-2.211082211877745	1.6698135609525224	CNKSR2;PSMD10;PDGFRA;FGF16;KL;SHC3;GDNF;NRG3;ARAF;GRIN2C;FGF3;FGF4
Neuronal System_Homo sapiens_R-HSA-112316	17/301	0.00366521870347814859858459612951264716684818267822265625	0.469915713548597346882473857476725243031978607177734375	0.000751953455798788118757958187643453129567205905914306640625	0.216182920587297211501009996936772949993610382080078125	-2.210078698077459	1.6690557053905182	UNC13B;KCNF1;KCNH5;KCNK9;GABRA5;GAD1;KCNA2;GRIK3;CACNA2D2;CASK;GRIN2C;SLC6A1;GNG11;RPS6KA3;GNAL;KCNK2;SLC18A3
SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347	12/235	0.02706839093728689860096636721209506504237651824951171875	0.469915713548597346882473857476725243031978607177734375	0.009359420223795163196189861309903790242969989776611328125	0.239299022760008972543488425799296237528324127197265625	-2.20565949915067	1.6657183178176551	CNKSR2;PSMD10;PDGFRA;FGF16;KL;SHC3;GDNF;NRG3;ARAF;GRIN2C;FGF3;FGF4
FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693	12/236	0.0278481697050275110727479699335162877105176448822021484375	0.469915713548597346882473857476725243031978607177734375	0.00964727450492059400433131344243520288728177547454833984375	0.239299022760008972543488425799296237528324127197265625	-2.1998817855374657	1.6613549773272827	CNKSR2;PSMD10;PDGFRA;FGF16;KL;SHC3;GDNF;NRG3;ARAF;GRIN2C;FGF3;FGF4
