Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	37/808	0.0013758989007247794493504766677460793289355933666229248046875	0.0808175731034491418025567099903128109872341156005859375	0.008894252667679895807406609264944563619792461395263671875	0.3966836689785233627247862386866472661495208740234375	-2.202536981003297	5.54061579612077	FLT1;NRN1;SH3KBP1;KCNA2;PIK3CD;PRKX;PRKCZ;SLC6A2;FGD1;EFNB1;PORCN;CDH4;CDH3;CDH2;NSD1;CDH22;RSPO2;PITX2;UBQLN2;KIRREL3;KL;RBFOX1;TCF7L1;ESRRB;IGFBP2;CASK;MAPK8IP2;SORBS3;BMP6;OLFM1;SDK1;CLDN5;RNF128;LHX3;PARD3;FOXA2;PLEC
ESC Pluripotency Pathways_Mus musculus_WP339	10/117	0.00131303729047911577586249531890416619717143476009368896484375	0.0808175731034491418025567099903128109872341156005859375	0.004378407141072103610224264258476978284306824207305908203125	0.311456456672645043415315058155101723968982696533203125	-2.1488502788380313	5.405563630084944	PDGFRA;FGF16;WNT7B;ARAF;FZD8;PIK3CD;FGF13;FGF3;FGF4;WNT4
Wnt Signaling Pathway and Pluripotency_Homo sapiens_WP399	9/102	0.00181205320859751457980568734029702682164497673511505126953125	0.0808175731034491418025567099903128109872341156005859375	0.00558666289995775854071435873038353747688233852386474609375	0.311456456672645043415315058155101723968982696533203125	-1.9765385091761385	4.972102888639724	FOXD3;TCF7L1;WNT7B;ESRRB;FZD8;FZD10;ZBTB33;PRKCZ;WNT4
Mecp2 and Associated Rett Syndrome_Homo sapiens_WP3584	6/48	0.001799509763665700472212716221065420540980994701385498046875	0.0808175731034491418025567099903128109872341156005859375	0.0050478452450071036039513927562438766472041606903076171875	0.311456456672645043415315058155101723968982696533203125	-1.8602532122707816	4.679580148523494	RBFOX1;BDNF;GAD1;POU3F2;FGF3;FGF4
Mecp2 and Associated Rett Syndrome_Mus musculus_WP2910	6/46	0.00143758006817061730585327605780321391648612916469573974609375	0.0808175731034491418025567099903128109872341156005859375	0.004178603573063846728097292526626915787346661090850830078125	0.311456456672645043415315058155101723968982696533203125	-1.8034208258513178	4.536614822337014	RBFOX1;BDNF;GAD1;POU3F2;FGF3;FGF4
Wnt Signaling Pathway and Pluripotency_Mus musculus_WP723	7/94	0.01394302622800027390004284910673959529958665370941162109375	0.286643033699840954486859345706761814653873443603515625	0.0303280791212163815251390275307130650617182254791259765625	0.64656345229541123398320223714108578860759735107421875	-1.7710810465455782	2.2129969783273236	FOXD3;TCF7L1;WNT7B;FZD8;ZBTB33;PRKCZ;WNT4
Ectoderm Differentiation_Homo sapiens_WP2858	9/139	0.0135566929940341973637174532996141351759433746337890625	0.286643033699840954486859345706761814653873443603515625	0.03189326446300234929598360622549080289900302886962890625	0.64656345229541123398320223714108578860759735107421875	-1.6947419620836819	2.117609947015596	TCF7L1;EDA;ARX;FZD8;BCOR;TBL1X;WDR44;FOXA2;PHF8
Nucleotide Metabolism_Mus musculus_WP87	3/19	0.01388183394964934667947797919396180077455937862396240234375	0.286643033699840954486859345706761814653873443603515625	0.0263396328504620393096136155008935020305216312408447265625	0.64656345229541123398320223714108578860759735107421875	-1.6271236187813964	2.033119635463043	PRPS2;POLA1;SAT1
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	5/50	0.011148768469379073675629143735932302661240100860595703125	0.286643033699840954486859345706761814653873443603515625	0.02312612916311794497570275552789098583161830902099609375	0.64656345229541123398320223714108578860759735107421875	-1.6158746412158234	2.019063839761068	PDGFRA;CASZ1;FLT1;NSD1;PIM2
Cardiac Progenitor Differentiation_Homo sapiens_WP2406	5/53	0.0141393424694988834033892999286763370037078857421875	0.286643033699840954486859345706761814653873443603515625	0.02837996059445979657454017797135747969150543212890625	0.64656345229541123398320223714108578860759735107421875	-1.581073415604985	1.975579095079797	PDGFRA;T;ANPEP;MIXL1;FOXA2
Nucleotide Metabolism_Homo sapiens_WP404	3/19	0.01388183394964934667947797919396180077455937862396240234375	0.286643033699840954486859345706761814653873443603515625	0.0263396328504620393096136155008935020305216312408447265625	0.64656345229541123398320223714108578860759735107421875	-1.5225862970302135	1.9024984097382125	PRPS2;POLA1;SAT1
Wnt Signaling Pathway_Mus musculus_WP403	5/58	0.0202409629038204537387901638112452928908169269561767578125	0.331014047578275405481207371849450282752513885498046875	0.0387062217013264542320172267864109016954898834228515625	0.65999832946936620725608690918306820094585418701171875	-1.6365003972362544	1.8093057806508204	WNT7B;FZD8;FZD10;PRKCZ;WNT4
Neural Crest Differentiation_Homo sapiens_WP2064	7/101	0.019974471887732846153706844916086993180215358734130859375	0.331014047578275405481207371849450282752513885498046875	0.041434872702112678088948172216987586580216884613037109375	0.65999832946936620725608690918306820094585418701171875	-1.6326110161044423	1.805005702400411	FOXD3;TCF7L1;CDH2;TLX2;PAX7;PMP22;LHX5
BDNF signaling pathway_Homo sapiens_WP2380	8/144	0.042594975905957462025686055540063534863293170928955078125	0.471233327177741190272541871308931149542331695556640625	0.082839573665909937982831934277783147990703582763671875	0.7876928519637065306824297294951975345611572265625	-1.7526707952883722	1.318712872975118	RPS6KA3;BMP2;SHC3;CDKL5;CDH2;BDNF;ALPL;EIF2S2
Type II diabetes mellitus_Homo sapiens_WP1584	3/22	0.0207811509690397112903870180389276356436312198638916015625	0.331014047578275405481207371849450282752513885498046875	0.036874511074684812594881577751948498189449310302734375	0.65999832946936620725608690918306820094585418701171875	-1.0992671239383578	1.2153436474442494	GK;MAFA;PRKCZ
Wnt Signaling Pathway_Homo sapiens_WP428	5/67	0.035088094001783941278116429884903482161462306976318359375	0.471233327177741190272541871308931149542331695556640625	0.062435970456760407631957576768400031141936779022216796875	0.7876928519637065306824297294951975345611572265625	-1.5453203198307985	1.162701976953755	WNT7B;FZD8;FZD10;PRKCZ;WNT4
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	8/150	0.051911513391332549105516847021135617978870868682861328125	0.471233327177741190272541871308931149542331695556640625	0.0982326926928892285584282717536552809178829193115234375	0.84253424886593453191352409703540615737438201904296875	-1.5338238891229465	1.1540520404063634	PDGFRA;FGF16;MSN;PIK3CD;FGF13;FGD1;FGF3;FGF4
Regulation of Actin Cytoskeleton_Mus musculus_WP523	8/148	0.0486721232247323831732188637033686973154544830322265625	0.471233327177741190272541871308931149542331695556640625	0.09293165302184445974997828443520120345056056976318359375	0.82895034495485264702807626235880888998508453369140625	-1.5181820945179314	1.1422831241001654	PDGFRA;FGF16;MSN;PIK3CD;FGF13;FGD1;FGF3;FGF4
Parkin-Ubiquitin Proteasomal System pathway_Homo sapiens_WP2359	5/70	0.041213122597887529019455854495390667580068111419677734375	0.471233327177741190272541871308931149542331695556640625	0.07183197958790356330016635411084280349314212799072265625	0.7876928519637065306824297294951975345611572265625	-1.458214003419577	1.0971630171686564	PSMD10;CASK;UBA1;HSPA2;TUBA4A
Id Signaling Pathway_Mus musculus_WP512	4/51	0.04904071126184970930150797130409046076238155364990234375	0.471233327177741190272541871308931149542331695556640625	0.0801444706606913304103301243230816908180713653564453125	0.7876928519637065306824297294951975345611572265625	-1.1199160559166594	0.8426269916512362	BMP2;FLT1;BMP6;ATF3
TCA Cycle_Mus musculus_WP434	3/30	0.046772134517393988695221906937149469740688800811767578125	0.471233327177741190272541871308931149542331695556640625	0.07372804064436688786798868022742681205272674560546875	0.7876928519637065306824297294951975345611572265625	-0.922309717667181	0.6939476031821725	PDHA1;IDH3G;PDK3
Dopaminergic Neurogenesis_Homo sapiens_WP2855	3/30	0.046772134517393988695221906937149469740688800811767578125	0.471233327177741190272541871308931149542331695556640625	0.07372804064436688786798868022742681205272674560546875	0.7876928519637065306824297294951975345611572265625	-0.850822136940947	0.6401602101275505	FOXA2;GLI2;NKX2-2
SIDS Susceptibility Pathways_Mus musculus_WP1266	4/59	0.0757085029585164159815491302651935257017612457275390625	0.58032370900383412060108412333647720515727996826171875	0.11714849993045285680981493214858346618711948394775390625	0.87080384948303291015037075339932925999164581298828125	-1.165172675882127	0.6340510970651492	TLX3;NR3C1;POU3F2;NKX2-2
Dopaminergic Neurogenesis_Mus musculus_WP1498	3/29	0.042930812910703199103412686099545680917799472808837890625	0.471233327177741190272541871308931149542331695556640625	0.06846457821761753326228472360526211559772491455078125	0.7876928519637065306824297294951975345611572265625	-0.825719193808593	0.6212727074960305	FOXA2;GLI2;NKX2-2
Endochondral Ossification_Mus musculus_WP1270	4/59	0.0757085029585164159815491302651935257017612457275390625	0.58032370900383412060108412333647720515727996826171875	0.11714849993045285680981493214858346618711948394775390625	0.87080384948303291015037075339932925999164581298828125	-1.0752775427439836	0.5851329332883464	FRZB;ALPL;PTH1R;BMP6
Monoamine Transport_Homo sapiens_WP727	3/32	0.054942002271844259109201402679900638759136199951171875	0.471233327177741190272541871308931149542331695556640625	0.08477411859699084117902856405635247938334941864013671875	0.7876928519637065306824297294951975345611572265625	-0.6373673413862576	0.4795564119396956	UNC13B;SLC6A1;SLC6A2
Endochondral Ossification_Homo sapiens_WP474	4/64	0.09539647819254591654125619015758275054395198822021484375	0.64464892839205278907144247568794526159763336181640625	0.14343330484832128579597565476433373987674713134765625	0.93337818845159559177915298278094269335269927978515625	-0.9442560927607837	0.4145750779948048	FRZB;ALPL;PTH1R;BMP6
Nuclear Receptors_Mus musculus_WP509	3/37	0.07807045412607634127244438104753498919308185577392578125	0.58032370900383412060108412333647720515727996826171875	0.11518015430965557188702774737976142205297946929931640625	0.87080384948303291015037075339932925999164581298828125	-0.6403159191432396	0.3484402092536901	RARG;ESRRB;NR3C1
Nuclear Receptors_Homo sapiens_WP170	3/38	0.0831327632901286417421715668751858174800872802734375	0.5980195552806029102299589794711209833621978759765625	0.121696969967300117065889253353816457092761993408203125	0.87543304202283633852488264892599545419216156005859375	-0.6440574027471176	0.33113040751076306	RARG;ESRRB;NR3C1
PluriNetWork_Mus musculus_WP1763	11/284	0.1507317370546437107492465656832791864871978759765625	0.7532028995524144843187741571455262601375579833984375	0.262409262448367430753393136910744942724704742431640625	0.93337818845159559177915298278094269335269927978515625	-1.078294449137618	0.30561089486247695	MED12;FOXD3;TCF7L1;T;SALL3;ZIC3;ESRRB;PIK3CD;SGK1;ZFX;FGF4
Metapathway biotransformation_Mus musculus_WP1251	6/132	0.1494106920742695743253847240339382551610469818115234375	0.7532028995524144843187741571455262601375579833984375	0.2279101034873875220032601873754174448549747467041015625	0.93337818845159559177915298278094269335269927978515625	-0.9183798876584427	0.2602878086922039	CHST7;CYP2R1;HS6ST2;HS3ST2;HS6ST3;CHST3
Adipogenesis_Homo sapiens_WP236	6/130	0.1420566881529634339909051732320222072303295135498046875	0.7532028995524144843187741571455262601375579833984375	0.2182639171410636069747823739817249588668346405029296875	0.93337818845159559177915298278094269335269927978515625	-0.9137216917542528	0.25896757986244157	BMP3;BMP2;FRZB;IRS4;NR3C1;MIXL1
Endoderm Differentiation_Homo sapiens_WP2853	4/71	0.1265182768029415871779974622768349945545196533203125	0.7532028995524144843187741571455262601375579833984375	0.1836630768083233611331905876795644871890544891357421875	0.93337818845159559177915298278094269335269927978515625	-0.9115926440263536	0.2583641638086461	NR3C1;HOXC11;MIXL1;FOXA2
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	3/42	0.1047121751343446371951273476952337659895420074462890625	0.686788678087025150631461656303144991397857666015625	0.1490309322041961370697293887133128009736537933349609375	0.93337818845159559177915298278094269335269927978515625	-0.5543548311861713	0.20828698409181784	CDH2;CASK;PRKCZ
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	4/75	0.145979674685627280883437606462393887341022491455078125	0.7532028995524144843187741571455262601375579833984375	0.2081480299574718639821213628238183446228504180908203125	0.93337818845159559177915298278094269335269927978515625	-0.6908905405771409	0.19581263404134722	TCF7L1;DES;CDH2;CACNA2D2
Allograft Rejection_Homo sapiens_WP2328	4/78	0.1612887786728799677238299636883311904966831207275390625	0.765263779660685816708109996397979557514190673828125	0.2270962202928802076140613053212291561067104339599609375	0.93337818845159559177915298278094269335269927978515625	-0.674075966072103	0.18033870770341034	PDGFRA;GDNF;IL12A;PRKCZ
mRNA processing_Mus musculus_WP310	14/398	0.194532701850305522750517184249474667012691497802734375	0.80955910894203431116267211109516210854053497314453125	0.342131121228539114564881629121373407542705535888671875	0.93337818845159559177915298278094269335269927978515625	-0.8147424255798094	0.17212695731921646	ZRSR2;RBFOX1;ANKRD33B;DDX4;RNPEPL1;FMR1;CSTF2;SMC1A;HTATSF1;RBMXL2;SLC6A8;RBM41;RBMX;RBM10
Signaling Pathways in Glioblastoma_Homo sapiens_WP2261	4/83	0.1880088735172498193293222357169725000858306884765625	0.80955910894203431116267211109516210854053497314453125	0.25957750272778190581135504544363357126712799072265625	0.93337818845159559177915298278094269335269927978515625	-0.7589121253200579	0.1603319416084654	PDGFRA;ARAF;PIK3CD;PRKCZ
Heart Development_Homo sapiens_WP1591	3/47	0.1343740944803978598631744034719304181635379791259765625	0.7532028995524144843187741571455262601375579833984375	0.185626251125862340440875186686753295361995697021484375	0.93337818845159559177915298278094269335269927978515625	-0.5541202750077611	0.15704911885802622	BMP2;PITX2;FOXA2
