Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuronal System_Homo sapiens_R-HSA-112316	96/301	0.0000000000030680742662648203775259075454066859389712362826685421168804168701171875	0.000000004065198402800887207016980635920777586989061092026531696319580078125	0.0000000000073397726707558972955414707575773889704218166940563605749048292636871337890625	0.0000000048625993943757822474863213436761799624008517639595083892345428466796875	-2.2263941510719905	43.015723433437394	GABRB3;KCNK6;KCNG3;PTPRS;KCNK9;KCNC3;KCNC4;RASGRF1;GRIK3;GRIK4;SLC6A1;SLC6A3;PTPRF;RPS6KA3;NEFL;SLC18A3;KCNH1;UNC13B;KCNH3;KCNH5;ABCC8;KCNH7;CACNA2D1;KCNH8;CACNA2D3;CACNA2D2;CASK;PRKCA;ABCC9;SYN2;GABRG3;ARHGEF9;PLCB3;CACNB3;ADCY9;CACNB4;KCNQ1;KCNMA1;PICK1;KCNQ4;HCN4;CAMK2B;CHRNA3;KCNA2;SLC1A2;ADCY3;ADCY2;LIN7A;ADCY1;AKAP5;ADCY8;KCNA7;SLC1A6;ADCY7;CPLX1;CACNA1E;CAMKK1;ADCY5;GJC1;GRIN2A;GNG2;KCNMB1;TSPAN7;KCNN2;KCNN3;CACNG2;GRIA3;CACNG4;GRIA4;GABRA2;KCNJ4;GABBR2;KCNF1;KCNJ6;KCNJ10;KCNJ11;KCNB1;GABRA5;KCNJ12;KCNB2;GAD1;GRIN2C;GNG11;GRIN2B;DLG1;GNAL;DLG3;KCNS2;KCNS3;CAMK4;LRFN1;KCNK1;KCNK2;HCN2;KCNK4;HCN1
Developmental Biology_Homo sapiens_R-HSA-1266738	188/786	0.0000000018497031698559940485976275549172449796930806087402743287384510040283203125	0.0000012254283500295960513022663906923526155878789722919464111328125	0.00000000000601211552774432140163376058957588163496332800406207752530463039875030517578125	0.0000000048625993943757822474863213436761799624008517639595083892345428466796875	-2.3755627334164844	32.33668279241317	KLB;TRIO;PLXND1;ARAF;PEBP1;FGF3;FGF4;FGF5;RPS6KA4;RPS6KA3;CDH4;FGF8;SALL1;DPYSL4;CDH2;NRCAM;EPHB2;EPHB1;SCN1B;EPHB3;PDGFRA;MED1;EPHA6;UNC5A;EPHA8;SEMA6D;CSNK2A2;FOXH1;UNC5C;HNF1B;UNC5D;ANK1;RBX1;EREG;CACNB3;CACNB4;COL4A2;SCN8A;PSME4;COL4A3;HOXB3;PFN1;MYL9;AJUBA;NGEF;PSMD10;SPTBN4;SHC2;SEMA7A;SHC3;EPHA10;SHC1;EPAS1;HOXD1;PDGFB;AGAP2;PDGFA;PRDM14;CACNA1D;EFNA5;CSF2RA;CACNA1H;CACNA1G;EFNB2;CACNA1I;EFNB1;GRIN2A;EFNB3;FGF20;ABL1;PLXNA1;MYH14;WNT1;NKX6-1;NKX2-2;SPTBN2;EGR2;ST8SIA2;MSN;NR2F2;ARPC5;GRIN2C;MAFA;GRIN2B;NFKB1;FGF17;EFNA1;FGF16;DLG1;MAFB;DLG3;GDNF;FES;CNTN2;COL9A3;HOXD4;COL9A2;FGFR4;FGFR3;LAT;FGFR2;FGF10;FGFR1;RARG;ONECUT3;RASGRF1;ONECUT1;CLTB;CTCF;LAMC1;PCSK6;MED12;SPRED3;MED14;ZIC3;NEFL;SCN5A;NEO1;FOXD3;LEFTY1;TRPC5;TSC22D1;DUSP1;PPP2R5A;PAX6;NRG2;DUSP8;RGMB;IL17RD;GFRA3;DUSP9;SPTB;CNKSR2;ENAH;NCOR2;CNKSR1;NR5A2;NRG3;DPPA4;MYOD1;IL3RA;RARA;RARB;PPARG;EVL;COL6A5;PPARA;ARHGEF7;SCN4B;CAMK2B;CEBPA;CRMP1;NTN1;EGFR;RELA;NTN3;RXRA;ACVR1C;ABLIM3;GPC1;GSC;PAK7;SLIT1;PAK6;SLIT3;NCAM1;RBBP7;TBL1X;CTNNA2;PAK3;CACNG2;POLR2I;CACNG4;PKLR;CDX2;EGF;LIMK2;DAB2IP;PDX1;MAPK14;KLF4;PSMC6;KLF5;INSM1;AGRN;FOXA3;FOXA2;NEUROG3
Axon guidance_Homo sapiens_R-HSA-422475	126/515	0.0000002443179754995134538960908053562004482728298171423375606536865234375	0.000064744263507371063270760813690429813505033962428569793701171875	0.0000000092957016138038826919891030966559830606144032572046853601932525634765625	0.000004105601546096714665376979647160027298014028929173946380615234375	-2.330060422627923	22.473585292192272	KLB;TRIO;PLXND1;ARAF;PEBP1;FGF3;FGF4;FGF5;RPS6KA4;RPS6KA3;FGF8;DPYSL4;NRCAM;EPHB2;EPHB1;SCN1B;EPHB3;PDGFRA;EPHA6;UNC5A;EPHA8;SEMA6D;CSNK2A2;UNC5C;UNC5D;ANK1;RBX1;EREG;CACNB3;CACNB4;COL4A2;SCN8A;PSME4;COL4A3;PFN1;MYL9;NGEF;PSMD10;SPTBN4;SEMA7A;SHC2;SHC3;EPHA10;SHC1;PDGFB;AGAP2;PDGFA;CACNA1D;EFNA5;CSF2RA;CACNA1H;CACNA1G;EFNB2;EFNB1;CACNA1I;GRIN2A;EFNB3;ABL1;FGF20;PLXNA1;MYH14;SPTBN2;ST8SIA2;MSN;ARPC5;GRIN2C;GRIN2B;FGF17;EFNA1;FGF16;DLG1;DLG3;GDNF;FES;CNTN2;COL9A3;COL9A2;FGFR4;FGFR3;LAT;FGFR2;FGFR1;FGF10;RASGRF1;CLTB;LAMC1;SPRED3;NEFL;SCN5A;NEO1;TRPC5;DUSP1;PPP2R5A;NRG2;DUSP8;IL17RD;RGMB;GFRA3;DUSP9;SPTB;CNKSR2;ENAH;CNKSR1;NRG3;IL3RA;EVL;COL6A5;ARHGEF7;SCN4B;CAMK2B;CRMP1;NTN1;EGFR;ABLIM3;GPC1;PAK7;SLIT1;PAK6;SLIT3;NCAM1;PAK3;EGF;LIMK2;DAB2IP;PSMC6;AGRN
Potassium Channels_Homo sapiens_R-HSA-1296071	38/99	0.000000053084804223274899376443561847815910681447348906658589839935302734375	0.00001776451616896848658007888877019553319769329391419887542724609375	0.0000004941095508309005472223802979403473045749706216156482696533203125	0.0001309390309701886543312931987514957654639147222042083740234375	-1.942917086973344	21.252224668534996	HCN4;KCNK6;KCNG3;KCNK9;KCNC3;KCNC4;KCNA2;KCNA7;GNG2;KCNMB1;KCNN2;KCNN3;KCNH1;KCNJ4;KCNF1;GABBR2;KCNH3;KCNJ6;KCNJ10;KCNH5;KCNJ11;KCNB1;KCNJ12;ABCC8;KCNH7;KCNB2;KCNH8;ABCC9;KCNS2;KCNS3;KCNQ1;KCNMA1;KCNQ4;KCNK1;KCNK2;HCN2;KCNK4;HCN1
Cardiac conduction_Homo sapiens_R-HSA-5576891	47/135	0.00000005362872805726335400040147489454656071217186763533391058444976806640625	0.00001776451616896848658007888877019553319769329391419887542724609375	0.00000023913079987381817827378819273087540153710506274364888668060302734375	0.000079212077458202273419311800761732911269064061343669891357421875	-1.8888970418107638	20.66133679992915	CAMK2B;KCNK6;KCNE1;KCNK9;NPR1;NPR2;ATP2A3;CACNA1D;GATA4;CACNG6;SCN5A;NOS1;NKX2-5;CACNG2;SCN1B;CACNG4;KCNJ4;WWTR1;KCNJ11;KCNIP1;KCNJ12;KCNIP2;CACNA2D1;KCNIP3;KCNK12;KCNIP4;CACNA2D3;CACNA2D2;KCNK15;ATP2B3;ATP1B3;ABCC9;ATP2B2;TBX5;CACNB3;CACNB4;FGF14;SCN8A;KCNQ1;FXYD6;FGF13;KCNK1;FGF12;SCN4B;KCNK2;FGF11;KCNK4
Muscle contraction_Homo sapiens_R-HSA-397014	58/196	0.0000009791012628063467762595285803772782173837185837328433990478515625	0.00021621819553640155985203830102392430489999242126941680908203125	0.00000091062379679464580225687307668547276762183173559606075286865234375	0.00020109608845881760965344786651343156336224637925624847412109375	-2.0597344870174705	17.382557617868045	TRIM72;KCNK6;KCNK9;ITGB5;LMOD1;DYSF;ATP2A3;SCN5A;NOS1;SCN1B;CACNA2D1;KCNK12;TMOD2;TPM1;CACNA2D3;CACNA2D2;KCNK15;ATP1B3;ABCC9;CACNB3;MYL7;CACNB4;KCNQ1;SCN8A;MYL9;SCN4B;CAMK2B;KCNE1;NPR1;NPR2;GATA4;CACNA1D;CACNG6;NKX2-5;CACNG2;CACNG4;KCNJ4;WWTR1;KCNJ11;KCNIP1;KCNJ12;KCNIP2;KCNIP3;KCNIP4;ATP2B3;ATP2B2;SORBS1;TBX5;SORBS3;DES;FGF14;FXYD6;FGF13;KCNK1;FGF12;KCNK2;FGF11;KCNK4
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	60/211	0.00000272323456911351550864216521097294076980688259936869144439697265625	0.000515469400582201152209715910856857590260915458202362060546875	0.000001759747557432976240441896594035586787185820867307484149932861328125	0.000333095073371241965319577982285181860788725316524505615234375	-2.156034071453379	16.322110653548435	GABRB3;RASGRF1;GRIK3;GRIK4;SLC6A1;SLC6A3;RPS6KA3;NEFL;SLC18A3;UNC13B;CACNA2D1;CACNA2D3;CACNA2D2;CASK;PRKCA;SYN2;GABRG3;ARHGEF9;PLCB3;CACNB3;ADCY9;CACNB4;PICK1;CAMK2B;CHRNA3;SLC1A2;ADCY3;ADCY2;LIN7A;ADCY1;AKAP5;ADCY8;SLC1A6;ADCY7;CPLX1;CACNA1E;CAMKK1;ADCY5;GRIN2A;GNG2;TSPAN7;CACNG2;GRIA3;CACNG4;GRIA4;GABRA2;KCNJ4;GABBR2;KCNJ6;KCNJ10;GABRA5;KCNJ12;GAD1;GRIN2C;GNG11;GRIN2B;DLG1;GNAL;DLG3;CAMK4
NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165	68/266	0.0000316033081932465533480346164818541865315637551248073577880859375	0.00322110641200397569694491295422267285175621509552001953125	0.000008207490004293504893911025133146353027768782339990139007568359375	0.0013593655319611118448275277614811784587800502777099609375	-2.4169209841997135	13.868366014624025	KLB;RASGRF1;ARAF;PEBP1;FGF3;FGF4;FGF5;SPRED3;FGF8;NEFL;PDGFRA;DUSP1;PPP2R5A;NRG2;IL17RD;DUSP8;GFRA3;DUSP9;SPTB;EREG;RBX1;CNKSR2;CNKSR1;CACNB3;CACNB4;COL4A2;NRG3;PSME4;COL4A3;IL3RA;COL6A5;PSMD10;CAMK2B;SPTBN4;SHC2;SHC3;SHC1;PDGFB;PDGFA;CACNA1D;CSF2RA;EGFR;CACNA1H;CACNA1G;CACNA1I;GRIN2A;FGF20;NCAM1;SPTBN2;EGF;ST8SIA2;DAB2IP;GRIN2C;GRIN2B;FGF17;FGF16;PSMC6;GDNF;CNTN2;COL9A3;COL9A2;AGRN;FGFR4;FGFR3;FGFR2;LAT;FGFR1;FGF10
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell_Homo sapiens_R-HSA-112314	43/142	0.000012523056256067763625564569218706623132675304077565670013427734375	0.0019874108492451210590534760314085360732860863208770751953125	0.000014523308132403295038384376247631024625661666505038738250732421875	0.0021381536972704851158610939165782838244922459125518798828125	-2.04747392565695	12.73717675185395	GABRB3;CAMK2B;CHRNA3;RASGRF1;GRIK3;ADCY3;GRIK4;ADCY2;ADCY1;AKAP5;ADCY8;ADCY7;CAMKK1;ADCY5;RPS6KA3;GRIN2A;GNG2;TSPAN7;NEFL;CACNG2;GRIA3;CACNG4;GRIA4;GABRA2;KCNJ4;GABBR2;KCNJ6;KCNJ10;KCNJ12;GABRA5;PRKCA;GRIN2C;GNG11;GRIN2B;GABRG3;DLG1;ARHGEF9;PLCB3;ADCY9;GNAL;DLG3;CAMK4;PICK1
Cell-cell junction organization_Homo sapiens_R-HSA-421270	23/61	0.0000306913094740799766700113659911863805973553098738193511962890625	0.00322110641200397569694491295422267285175621509552001953125	0.00010781126329623274564227519700665425261831842362880706787109375	0.00952332825783389243234910992441655253060162067413330078125	-1.9169299221688185	10.999402114845966	CADM3;CADM1;CADM2;PVR;CDH8;CDH6;CLDN22;CLDN10;CLDN5;CDH4;CLDN4;CLDN3;CDH3;CDH2;CLDN14;CDH1;PARD3;CDH11;CLDN23;CLDN19;CLDN18;CDH13;CLDN17
