Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TNF signaling pathway_Homo sapiens_hsa04668	1/110	0.1044848923461109413413083757404820062220096588134765625	0.1771693700651677250146320830026525072753429412841796875	0.11980099960005104187121816039507393725216388702392578125	0.202555258933704462886993269421509467065334320068359375	-1.8338747950423255	3.173793783569506	TAB3
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	1/57	0.055508460497363805441484174707511556334793567657470703125	0.1771693700651677250146320830026525072753429412841796875	0.06426568487544959129564858812955208122730255126953125	0.202555258933704462886993269421509467065334320068359375	-1.7690476348746185	3.061600716462117	TAB3
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	1/118	0.11166459122166925987951202614567591808736324310302734375	0.1771693700651677250146320830026525072753429412841796875	0.127928006224899248888249303490738384425640106201171875	0.202555258933704462886993269421509467065334320068359375	-1.7542848919341836	3.036051588517586	SLC16A2
NF-kappa B signaling pathway_Homo sapiens_hsa04064	1/93	0.08904457070177858313275720547608216293156147003173828125	0.1771693700651677250146320830026525072753429412841796875	0.1023107544066851615216506843353272415697574615478515625	0.202555258933704462886993269421509467065334320068359375	-1.7102212255661309	2.9597928434940584	TAB3
Wnt signaling pathway_Homo sapiens_hsa04310	1/142	0.1328770275488757868220801583447610028088092803955078125	0.1771693700651677250146320830026525072753429412841796875	0.1519164442002783610430327598805888555943965911865234375	0.202555258933704462886993269421509467065334320068359375	-1.6763535382747285	2.9011797605944443	GPC4
FoxO signaling pathway_Homo sapiens_hsa04068	1/133	0.12497938665078478504000258908490650355815887451171875	0.1771693700651677250146320830026525072753429412841796875	0.142989328593394804389760111007490195333957672119140625	0.202555258933704462886993269421509467065334320068359375	-1.6737707839986573	2.89670991920285	S1PR4
Sphingolipid signaling pathway_Homo sapiens_hsa04071	1/120	0.11345095259976363533116483495177817530930042266845703125	0.1771693700651677250146320830026525072753429412841796875	0.12994946906849091927682593450299464166164398193359375	0.202555258933704462886993269421509467065334320068359375	-1.6466098207784796	2.849703822354253	S1PR4
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	1/169	0.1561656614473374282692219594537164084613323211669921875	0.1873987937368049028208361050928942859172821044921875	0.1782115050486925422745798641699366271495819091796875	0.2138538060584310451783807138781412504613399505615234375	-1.5994429271584314	2.678293326077211	UBQLN2
Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534	1/24	0.0237395099691971069033602503850488574244081974029541015625	0.1771693700651677250146320830026525072753429412841796875	0.0281592263321624736160941893103881739079952239990234375	0.202555258933704462886993269421509467065334320068359375	-1.5043131146301585	2.603438154372522	HS6ST2
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	1/137	0.1284978486534253117046233683140599168837070465087890625	0.1771693700651677250146320830026525072753429412841796875	0.1469670348736047404969440322020091116428375244140625	0.202555258933704462886993269421509467065334320068359375	-1.4785517973327285	2.5588543534957244	UBE2A
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	1/277	0.243512775069697429142223654707777313888072967529296875	0.2656503000760335186924976369482465088367462158203125	0.27639636331724226625539131418918259441852569580078125	0.30152330543699157328063620298053137958049774169921875	-1.651797963746135	2.18958125410281	S1PR4
Metabolic pathways_Homo sapiens_hsa01100	1/1239	0.72187047125700198879627578207873739302158355712890625	0.72187047125700198879627578207873739302158355712890625	0.78906859725331301991246846228023059666156768798828125	0.78906859725331301991246846228023059666156768798828125	-1.7384261976974076	0.5665697152283605	CMBL
