Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Structural Pathway of Interleukin 1 (IL-1)_Homo sapiens_WP2637	1/47	0.04598673577360419539861169369032722897827625274658203125	0.152769025373763189801223916219896636903285980224609375	0.054941917551732437352551841058811987750232219696044921875	0.181860016711616834239606532719335518777370452880859375	-2.0531304843248064	3.8574793214885728	TAB3
Small Ligand GPCRs_Homo sapiens_WP247	1/19	0.01883836768544477902054268270148895680904388427734375	0.13186857379811345314379877891042269766330718994140625	0.0232162161014916774981475811046038870699703693389892578125	0.162513512710441732078692211871384643018245697021484375	-1.8843090513101421	3.817514990583021	S1PR4
IL-1 signaling pathway_Homo sapiens_WP195	1/55	0.053611367825080614990529426222565234638750553131103515625	0.152769025373763189801223916219896636903285980224609375	0.06384250174583316894683093778439797461032867431640625	0.181860016711616834239606532719335518777370452880859375	-2.0191289199592757	3.7935962256796714	TAB3
Small Ligand GPCRs_Mus musculus_WP353	1/18	0.0178553382978201939657036945163781638257205486297607421875	0.13186857379811345314379877891042269766330718994140625	0.0220664790095447781170800993777447729371488094329833984375	0.162513512710441732078692211871384643018245697021484375	-1.86621038090106	3.7808479982187624	S1PR4
Proteasome Degradation_Mus musculus_WP519	1/56	0.054560366204915423937737983806073316372931003570556640625	0.152769025373763189801223916219896636903285980224609375	0.06495000596843458762208456391817890107631683349609375	0.181860016711616834239606532719335518777370452880859375	-1.7707805966634445	3.326992408263227	UBE2A
TNF-alpha NF-kB Signaling Pathway_Mus musculus_WP246	1/179	0.1646393119552730655019701089258887805044651031494140625	0.209540942488529335907543327266466803848743438720703125	0.1928957811874550121178373274233308620750904083251953125	0.24550372151130639419847057070001028478145599365234375	-2.0110850641276063	3.142996397061417	TAB3
Metapathway biotransformation_Homo sapiens_WP702	1/178	0.163795598506423834006540118934935890138149261474609375	0.209540942488529335907543327266466803848743438720703125	0.1919195016768698025533268491926719434559345245361328125	0.24550372151130639419847057070001028478145599365234375	-1.9479843909362538	3.044380385222752	HS6ST2
Regulation of toll-like receptor signaling pathway_Homo sapiens_WP1449	1/141	0.1320028675865258793731271680371719412505626678466796875	0.2053377940234847043310395520165911875665187835693359375	0.1550782782322922270790144239072105847299098968505859375	0.2412328772502323748216923604559269733726978302001953125	-1.8903614866336813	2.992629152686325	TAB3
Metapathway biotransformation_Mus musculus_WP1251	1/132	0.12409766494948835935385744733139290474355220794677734375	0.2053377940234847043310395520165911875665187835693359375	0.14590234907707555489508877144544385373592376708984375	0.2412328772502323748216923604559269733726978302001953125	-1.8549252377769934	2.9365300668023764	HS6ST2
TGF-beta Signaling Pathway_Homo sapiens_WP366	1/132	0.12409766494948835935385744733139290474355220794677734375	0.2053377940234847043310395520165911875665187835693359375	0.14590234907707555489508877144544385373592376708984375	0.2412328772502323748216923604559269733726978302001953125	-1.8258527308250738	2.8905054136018267	UCHL5
TNF alpha Signaling Pathway_Homo sapiens_WP231	1/92	0.0881284851962939319580669916831539012491703033447265625	0.2053377940234847043310395520165911875665187835693359375	0.1040794223481623370641813153270049951970577239990234375	0.2412328772502323748216923604559269733726978302001953125	-1.8188905237482518	2.8794835513747032	TAB3
Non-odorant GPCRs_Mus musculus_WP1396	1/256	0.2272315124547719389358491071106982417404651641845703125	0.265103431197233951888136971319909207522869110107421875	0.265098329077324612601529452149407006800174713134765625	0.309281383923545372116592488964670337736606597900390625	-1.7643885184823578	2.342464343736969	S1PR4
mRNA processing_Mus musculus_WP310	1/398	0.33115735069036233984007822073181159794330596923828125	0.356630993051159472795319516080780886113643646240234375	0.383814086190796543984760091916541568934917449951171875	0.4133382466670116883733498980291187763214111328125	-1.8311937215310607	1.8880589973223392	ENOX2
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	1/808	0.56184177269153867673168178953346796333789825439453125	0.56184177269153867673168178953346796333789825439453125	0.63915836837557893357342209128546528518199920654296875	0.63915836837557893357342209128546528518199920654296875	-1.8787112152146868	1.0831427929757913	UBQLN2
