Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pathways in cancer_Homo sapiens_hsa05200	2/397	0.0305518231726873944198441535036181448958814144134521484375	0.1678981811960029990604681415788945741951465606689453125	0.0287730810961912587819799824728761450387537479400634765625	0.1731355733187594780897455848389654420316219329833984375	-2.109779148854536	3.764684739234994	FGF16;SPI1
Acute myeloid leukemia_Homo sapiens_hsa05221	1/57	0.039181713851421058614210579662540112622082233428955078125	0.1678981811960029990604681415788945741951465606689453125	0.040673422648145877988934415725452709011733531951904296875	0.1731355733187594780897455848389654420316219329833984375	-1.9591974531466838	3.4959871306975026	SPI1
Inositol phosphate metabolism_Homo sapiens_hsa00562	1/71	0.048584729159395080577699133073110715486109256744384765625	0.1678981811960029990604681415788945741951465606689453125	0.05028996577147175350841479257724131457507610321044921875	0.1731355733187594780897455848389654420316219329833984375	-1.8502483604005535	3.3015786367859277	MTMR1
Melanoma_Homo sapiens_hsa05218	1/71	0.048584729159395080577699133073110715486109256744384765625	0.1678981811960029990604681415788945741951465606689453125	0.05028996577147175350841479257724131457507610321044921875	0.1731355733187594780897455848389654420316219329833984375	-1.8216222405483162	3.2504982587237308	FGF16
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	1/57	0.039181713851421058614210579662540112622082233428955078125	0.1678981811960029990604681415788945741951465606689453125	0.040673422648145877988934415725452709011733531951904296875	0.1731355733187594780897455848389654420316219329833984375	-1.7690476348746185	3.1566842612925172	TAB3
TNF signaling pathway_Homo sapiens_hsa04668	1/110	0.0743302083180002182150047929098946042358875274658203125	0.1678981811960029990604681415788945741951465606689453125	0.07667290766171774851756026691873557865619659423828125	0.1731355733187594780897455848389654420316219329833984375	-1.726177727181519	3.080187303138272	TAB3
Phosphatidylinositol signaling system_Homo sapiens_hsa04070	1/98	0.06647826781897946124555431879343814216554164886474609375	0.1678981811960029990604681415788945741951465606689453125	0.06861834353228279947956025353050790727138519287109375	0.1731355733187594780897455848389654420316219329833984375	-1.696677268867437	3.02754675766897	MTMR1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919	1/118	0.07953071740863300320700801648854394443333148956298828125	0.1678981811960029990604681415788945741951465606689453125	0.082011587361517646055375507785356603562831878662109375	0.1731355733187594780897455848389654420316219329833984375	-1.6469462591863937	2.93880686595347	SLC16A2
Osteoclast differentiation_Homo sapiens_hsa04380	1/132	0.0885663790597004396687452754122205078601837158203125	0.1682761202134308298195009001574362628161907196044921875	0.09129483832790709352256186548402183689177036285400390625	0.1734601928230234679784160789495217613875865936279296875	-1.6312118833476306	2.9070627507780955	SPI1
NF-kappa B signaling pathway_Homo sapiens_hsa04064	1/93	0.06318840945299386557820753296255134046077728271484375	0.1678981811960029990604681415788945741951465606689453125	0.0652457308438324778965267114472226239740848541259765625	0.1731355733187594780897455848389654420316219329833984375	-1.6249750535229865	2.89960150044944	TAB3
Epstein-Barr virus infection_Homo sapiens_hsa05169	1/202	0.1325222012302557372809275193503708578646183013916015625	0.1858207445222491982494972262429655529558658599853515625	0.1365914153939602748710768764794920571148395538330078125	0.1916901783578970619448256229588878341019153594970703125	-1.6763325929330335	2.8212221729005957	SPI1
Rap1 signaling pathway_Homo sapiens_hsa04015	1/211	0.138028591203305073253915224995580501854419708251953125	0.1858207445222491982494972262429655529558658599853515625	0.142281698421447055924460300957434810698032379150390625	0.1916901783578970619448256229588878341019153594970703125	-1.6598317077992293	2.7934516318944564	FGF16
Ras signaling pathway_Homo sapiens_hsa04014	1/227	0.1477376682618299075233636585835483856499195098876953125	0.1858207445222491982494972262429655529558658599853515625	0.15232365806049419365564290274051018059253692626953125	0.1916901783578970619448256229588878341019153594970703125	-1.646459428487806	2.770946449417751	FGF16
MAPK signaling pathway_Homo sapiens_hsa04010	1/255	0.164484593908219844937690368169569410383701324462890625	0.1858207445222491982494972262429655529558658599853515625	0.169670635969778438312260959719424135982990264892578125	0.1916901783578970619448256229588878341019153594970703125	-1.6158918287145134	2.7195020101600997	FGF16
Regulation of actin cytoskeleton_Homo sapiens_hsa04810	1/214	0.1398568301220322052103028909186832606792449951171875	0.1858207445222491982494972262429655529558658599853515625	0.1441717777637077924079989088568254373967647552490234375	0.1916901783578970619448256229588878341019153594970703125	-1.5993925725951799	2.6917342107410205	FGF16
HTLV-I infection_Homo sapiens_hsa05166	1/258	0.1662606661514861305928292267708457075059413909912109375	0.1858207445222491982494972262429655529558658599853515625	0.1715122648465394750161294723511673510074615478515625	0.1916901783578970619448256229588878341019153594970703125	-1.5433196697189897	2.597365039873549	SPI1
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	1/180	0.1189243300150297499850893245820770971477031707763671875	0.1858207445222491982494972262429655529558658599853515625	0.12255462018219330511126230476293130777776241302490234375	0.1916901783578970619448256229588878341019153594970703125	-1.5141861571482973	2.54833413038374	SPI1
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	1/341	0.21403051194163513759605166342225857079029083251953125	0.2259210959383926298205125249296543188393115997314453125	0.2211828540164693934766404481706558726727962493896484375	0.2334707903507176884883023149086511693894863128662109375	-1.6262852815017896	2.419212340268424	FGF16
Metabolic pathways_Homo sapiens_hsa01100	1/1239	0.5916493340061121930517629152745939791202545166015625	0.5916493340061121930517629152745939791202545166015625	0.6220028094306184751616228822967968881130218505859375	0.6220028094306184751616228822967968881130218505859375	-1.5645959943707615	0.8211643778801333	MTMR1
