Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	11/150	0.002748527230311025200404362323070017737336456775665283203125	0.204307190786452874675660495995543897151947021484375	0.005097726749734654040635550842353040934540331363677978515625	0.3789310217302759298263481468893587589263916015625	-2.09590254639523	3.3285669278569583	FGF5;FGF16;GSN;EGF;FGF13;ARHGEF7;FGF12;FGD1;EGFR;FGF11;FGF3
Regulation of Actin Cytoskeleton_Mus musculus_WP523	11/148	0.002475773835369053134380923353319303714670240879058837890625	0.204307190786452874675660495995543897151947021484375	0.00463977765172869649479281406456721015274524688720703125	0.3789310217302759298263481468893587589263916015625	-2.0450279824846542	3.247771477136629	FGF5;FGF16;GSN;EGF;FGF13;ARHGEF7;FGF12;FGD1;EGFR;FGF11;FGF3
Small Ligand GPCRs_Homo sapiens_WP247	4/19	0.0015259774655407517575389508834859952912665903568267822265625	0.204307190786452874675660495995543897151947021484375	0.00340447726425187335852484693532460369169712066650390625	0.3789310217302759298263481468893587589263916015625	-1.9650348054812643	3.1207318664993693	PTGER4;CNR1;GPR50;S1PR4
ESC Pluripotency Pathways_Mus musculus_WP339	9/117	0.004748266113359943078886526990345373633317649364471435546875	0.26471583581981683597206256308709271252155303955078125	0.0082859425465640346164519769445178098976612091064453125	0.461941296970944936806091618564096279442310333251953125	-2.0671861631762645	2.7474937103535284	FGF5;FGF16;EGF;WNT7B;FGF13;FGF12;EGFR;FGF11;FGF3
Serotonin and anxiety_Mus musculus_WP2141	3/17	0.0102927636998314149530120431563773308880627155303955078125	0.449906647495522504787146544913412071764469146728515625	0.017098649351375498628424765001909690909087657928466796875	0.72653049852501994099185367304016835987567901611328125	-1.6655350278506136	1.3302880891606244	CAMK2B;FMR1;HTR2C
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	9/150	0.02190256268569205910790032021395745687186717987060546875	0.48842714789093288896282274436089210212230682373046875	0.0329542683634434230288690059751388616859912872314453125	0.734880184504788314114875902305357158184051513671875	-1.8053254305436894	1.2936329321574875	CAMK2B;ADCY9;KCNB1;GJB6;GNAS;ATP2B3;ADCY2;ATP2B2;ADCY5
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	9/149	0.02107653127447005336758678595288074575364589691162109375	0.48842714789093288896282274436089210212230682373046875	0.031823803134557564209483615513818222098052501678466796875	0.734880184504788314114875902305357158184051513671875	-1.8018891694371149	1.2911706278794062	CAMK2B;ADCY9;KCNB1;GJB6;GNAS;ATP2B3;ADCY2;ATP2B2;ADCY5
Small Ligand GPCRs_Mus musculus_WP353	3/18	0.0121051115918077815958309173538509639911353588104248046875	0.449906647495522504787146544913412071764469146728515625	0.0195479057899108528417730923365525086410343647003173828125	0.72653049852501994099185367304016835987567901611328125	-1.4431112136624618	1.1526348151000843	PTGER4;CNR1;S1PR4
Ectoderm Differentiation_Homo sapiens_WP2858	8/139	0.03672875928775505560697212104059872217476367950439453125	0.6262314851147656735719237985904328525066375732421875	0.052239264958365096147563377826372743584215641021728515625	0.80368166372567440003393812730791978538036346435546875	-1.5923118005035644	0.7452579588061751	CDH6;TTC14;TFAP2C;MAFB;PAX3;BCOR;WDR44;PHF8
Heart Development_Homo sapiens_WP1591	4/47	0.038695703023576243084757919632465927861630916595458984375	0.6262314851147656735719237985904328525066375732421875	0.052789125004093363779933412160971784032881259918212890625	0.80368166372567440003393812730791978538036346435546875	-1.504314972913679	0.7040723467355259	TBX1;BMP2;FOXC1;IRX4
