Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ectoderm Differentiation_Homo sapiens_WP2858	20/139	0.000020718948811240364324924578820485976393683813512325286865234375	0.005987776206448465303455730435189252602867782115936279296875	0.00015229638155163553541425469628478595041087828576564788818359375	0.04401365426842267225548965825510094873607158660888671875	-1.848387204453858	9.460110751217911	TTC14;TFAP2C;EDA;ARX;PAX3;SORCS1;PAX6;FOXL1;HDAC6;WDR44;PHF8;CDH6;ARHGEF9;MAFB;HESX1;ROR2;BCOR;TBL1X;MZF1;FOXA2
Heart Development_Homo sapiens_WP1591	10/47	0.00009216657615756257567428411103804819504148326814174652099609375	0.01331807025476779149375516908548888750374317169189453125	0.000528848538267430467486873713056638734997250139713287353515625	0.076418613779643707051292267351527698338031768798828125	-1.8843928520760465	8.138002098387886	TBX1;BMP2;FOXC1;FGF8;IRX4;FOXH1;GATA4;PITX2;FGF10;FOXA2
Heart Development_Mus musculus_WP2067	9/44	0.000282587912867334725870727130114801184390671551227569580078125	0.0272226356062199130458889584360804292373359203338623046875	0.00127481399358131343609035202035784095642156898975372314453125	0.12280708138166653020650898042731569148600101470947265625	-1.7518923102317674	6.313305636227273	BMP2;FOXC1;FGF8;IRX4;FOXH1;GATA4;PITX2;FGF10;FOXA2
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	17/150	0.001434726021147144682521545888675973401404917240142822265625	0.06910597001858746757374518665528739802539348602294921875	0.004851434600522948163703329527152163791470229625701904296875	0.2336774332585219993152492179433465935289859771728515625	-2.0156055953563325	5.3859282425405866	GSN;EGF;MSN;FGD1;EGFR;FGF3;FGF5;FGF16;FGF8;FGF20;PAK6;RAC3;FGF13;ARHGEF7;FGF12;FGF11;FGF10
Regulation of Actin Cytoskeleton_Mus musculus_WP523	17/148	0.00123728194678660008941351033939781700610183179378509521484375	0.06910597001858746757374518665528739802539348602294921875	0.00429090092949198191607518282353339600376784801483154296875	0.2336774332585219993152492179433465935289859771728515625	-1.9660010992896457	5.253379366441971	GSN;EGF;MSN;FGD1;EGFR;FGF3;FGF5;FGF16;FGF8;FGF20;PAK6;RAC3;FGF13;ARHGEF7;FGF12;FGF11;FGF10
Cardiac Progenitor Differentiation_Homo sapiens_WP2406	9/53	0.0011791089813670409085222257061786876874975860118865966796875	0.06910597001858746757374518665528739802539348602294921875	0.0038992490183355102244255885324264454538933932781219482421875	0.2336774332585219993152492179433465935289859771728515625	-1.8251768182975394	4.877080811814884	MESP1;T;IRX4;IGF2;PAX6;GATA4;ROR2;SCN5A;FOXA2
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	16/150	0.0036106048809144667029180642003893808578141033649444580078125	0.1304331013230351221654501614466425962746143341064453125	0.01033048226621464775465408791887966799549758434295654296875	0.337953566947256367480889593934989534318447113037109375	-1.8578002230581594	3.7841436457417403	CAMK2B;KCNB1;ADCY4;ADCY2;ADRA1D;ATP2B2;ADCY7;CACNA1E;ADRA1A;CACNA1H;ADCY5;RGS3;PRKAR1B;GJA3;GJB6;GNAS
ESC Pluripotency Pathways_Mus musculus_WP339	13/117	0.005874473897878593371679745160918173496611416339874267578125	0.1414769130405761077273751880056806840002536773681640625	0.01493082938612400566158466830302131711505353450775146484375	0.359584141049153149793937700451351702213287353515625	-1.8494151880782195	3.6167509886288016	FZD1;EGF;WNT7B;EGFR;FGF3;FGF5;FGF16;FGF8;FGF20;FGF13;FGF12;FGF11;FGF10
Hair Follicle Development: Induction (Part 1 of 3)_Homo sapiens_WP2804	7/42	0.0045493965490935490969537369210229371674358844757080078125	0.134410805414275802416312899367767386138439178466796875	0.01145040525114504430248540955972202937118709087371826171875	0.337953566947256367480889593934989534318447113037109375	-1.652278574455151	3.315882620850518	FZD1;EDA;CDH3;EGF;GJB6;FGF20;EGFR
Dopaminergic Neurogenesis_Homo sapiens_WP2855	6/30	0.00331880244929953598098659739434879156760871410369873046875	0.1304331013230351221654501614466425962746143341064453125	0.0089854989780214465644458954329820699058473110198974609375	0.337953566947256367480889593934989534318447113037109375	-1.5721713399995758	3.2023476541968448	CDKN1C;FGF8;LMX1B;NKX6-1;FOXA2;NKX2-2
Monoamine GPCRs_Mus musculus_WP570	6/32	0.004650892920909197210399543820358303491957485675811767578125	0.134410805414275802416312899367767386138439178466796875	0.01169389505007807465719604778087159502319991588592529296875	0.337953566947256367480889593934989534318447113037109375	-1.586070808826713	3.1830132713311277	HRH1;HTR2C;ADRA1D;DRD2;ADRA1A;DRD5
Monoamine GPCRs_Homo sapiens_WP58	6/33	0.005447494710561284932126557833953484077937901020050048828125	0.1414769130405761077273751880056806840002536773681640625	0.0132438211523823075321804054738095146603882312774658203125	0.347951301185316974606820394910755567252635955810546875	-1.6114217017952146	3.1513264682993687	HRH1;HTR2C;ADRA1D;DRD2;ADRA1A;DRD5
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	15/149	0.00803704797347085282688272656059780274517834186553955078125	0.1786697587948520293821275117807090282440185546875	0.0198833603347705924202504235154265188612043857574462890625	0.41343267375013270648054231060086749494075775146484375	-1.6967237811726894	2.922125013259065	CAMK2B;KCNB1;ADCY4;ADCY2;ADRA1D;ATP2B2;ADCY7;CACNA1E;ADRA1A;ADCY5;RGS3;PRKAR1B;GJA3;GJB6;GNAS
Gastric Cancer Network 2_Homo sapiens_WP2363	5/31	0.018085474457067297893164692368372925557196140289306640625	0.290372339894024944495498630203655920922756195068359375	0.0345227580774252473805319141320069320499897003173828125	0.5542820602431053345071632065810263156890869140625	-1.223904486845656	1.5134695778820462	FANCI;RNF144B;OTUD5;SNURF;EGFR
Dopaminergic Neurogenesis_Mus musculus_WP1498	5/29	0.0137235459518397495681796272037900052964687347412109375	0.24788154875510548524886189625249244272708892822265625	0.027667192753962045748128417699263081885874271392822265625	0.49973866911843944915716519972193054854869842529296875	-0.9983946203225146	1.3925650824704672	FGF8;LMX1B;NKX6-1;FOXA2;NKX2-2
Serotonin and anxiety_Mus musculus_WP2141	4/17	0.0088894954362566357131125727164544514380395412445068359375	0.183504584362726264057386060812859795987606048583984375	0.0200278803892797833963168585569292190484702587127685546875	0.41343267375013270648054231060086749494075775146484375	-0.8145507245581908	1.3810834840173312	CAMK2B;FMR1;HTR2C;ADRA1A
Metapathway biotransformation_Mus musculus_WP1251	12/132	0.033773933244597910408035801310688839294016361236572265625	0.42437681337777377610365192595054395496845245361328125	0.06346970839937866870617000358834047801792621612548828125	0.7975106838008885201674047493725083768367767333984375	-1.4267902205799416	1.2229497064081203	HS3ST3B1;CHST7;GAL3ST1;CYP26C1;GSR;NAT8L;HS3ST4;SULT4A1;HS6ST2;HS3ST2;HS6ST3;CHST3
Neural Crest Differentiation_Homo sapiens_WP2064	10/101	0.0302875553240124217868611822268576361238956451416015625	0.42437681337777377610365192595054395496845245361328125	0.056287868888037766168519482334886561147868633270263671875	0.77938786906745505245197591648320667445659637451171875	-1.4213747483728774	1.2183079237198435	CDH6;FOXD3;FGF8;TLX2;PAX7;SNAI1;PAX3;OLIG1;ZIC5;HDAC6
G Protein Signaling Pathways_Mus musculus_WP232	9/88	0.032305643375153590690640470484140678308904170989990234375	0.42437681337777377610365192595054395496845245361328125	0.05854054982632821146903978615227970294654369354248046875	0.77938786906745505245197591648320667445659637451171875	-1.370505994999606	1.1747066107125934	AKAP12;GNA15;PRKAR1B;ADCY4;GNAS;AKAP7;ADCY2;ADCY7;ADCY5
Small Ligand GPCRs_Homo sapiens_WP247	4/19	0.01336890571335562494237336750302347354590892791748046875	0.24788154875510548524886189625249244272708892822265625	0.02735898638788135384114497128393850289285182952880859375	0.49973866911843944915716519972193054854869842529296875	-0.8348742470855534	1.1644861671726547	PTGER4;CNR1;GPR50;S1PR4
G Protein Signaling Pathways_Homo sapiens_WP35	9/95	0.048987803285104554451567793194044497795403003692626953125	0.566299005975808622537215342163108289241790771484375	0.08302041080956479301988792940392158925533294677734375	0.95461167760196896647784114975365810096263885498046875	-1.3068386619020456	0.7431116687596453	AKAP12;GNA15;PRKAR1B;ADCY4;GNAS;AKAP7;ADCY2;ADCY7;ADCY5
Non-odorant GPCRs_Mus musculus_WP1396	18/256	0.09455004851548422240004043715089210309088230133056640625	0.74665811686258309887165296458988450467586517333984375	0.1615173288546657148767593525917618535459041595458984375	0.99473544917183487346079573399038054049015045166015625	-1.1921329256089135	0.34827909914262695	FZD1;PTGER4;NPY5R;TACR3;HTR2C;GPR50;ADRA1D;AVPR1A;CELSR1;ADRA1A;CRHR1;SSTR4;HRH1;CNR1;FFAR1;DRD2;S1PR4;DRD5
Mesodermal Commitment Pathway_Homo sapiens_WP2857	7/76	0.0865918089341987939899780712948995642364025115966796875	0.74665811686258309887165296458988450467586517333984375	0.1300661766177310940673095274178194813430309295654296875	0.99473544917183487346079573399038054049015045166015625	-0.9799485221129294	0.28628987687200563	TBX1;FOXC1;LEFTY1;FGF8;FOXH1;SNAI1;GDF3
BDNF signaling pathway_Homo sapiens_WP2380	11/144	0.10918471373247805311645919346119626425206661224365234375	0.7888595567171539091333443138864822685718536376953125	0.1676794496690189040233320838524377904832363128662109375	0.99473544917183487346079573399038054049015045166015625	-1.1406270255051312	0.27051906193391484	SHC4;RPS6KA3;BMP2;SHC3;CDKL5;BDNF;CNR1;EIF4EBP1;KCNN2;IKBKG;EIF2S2
Differentiation Pathway_Homo sapiens_WP2848	5/48	0.09160729902626528475817480057230568490922451019287109375	0.74665811686258309887165296458988450467586517333984375	0.1320005454867204941482583535616868175566196441650390625	0.99473544917183487346079573399038054049015045166015625	-0.7975079270774318	0.23299024499282317	LEFTY1;FGF8;EGF;WNT7B;FGF10
Endochondral Ossification_Homo sapiens_WP474	6/64	0.10120490302701679041774696088396012783050537109375	0.75988710098435863216081997961737215518951416015625	0.14602280651011889656132325399084948003292083740234375	0.99473544917183487346079573399038054049015045166015625	-0.78682192987207	0.21604982069468656	CDKN1C;ADAMTS5;SCIN;IHH;IGF2;NKX3-2
