Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glutathione metabolism_Homo sapiens_hsa00480	4/52	0.0004065355556379056096820423515936226976918987929821014404296875	0.04309276889761799733680192048268509097397327423095703125	0.00041657579293699815471685443668548032292164862155914306640625	0.04415703405132180570102917727126623503863811492919921875	-1.8937836183035999	5.954813343749258	GGT5;ODC1;SMS;GPX7
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	5/148	0.0032239639648287388672132092182209817110560834407806396484375	0.1708700901359231638654279095135279931128025054931640625	0.0027278202772609565392170072328781316173262894153594970703125	0.144574474694830701348990942278760485351085662841796875	-1.8342389138468627	3.24082817617186	CAMK2B;PPP2R2C;CACNA2D3;CACNA2D2;ADRA1D
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563	2/25	0.0120848016075344767694677017288995557464659214019775390625	0.4269963234662181861267526983283460140228271484375	0.01261937955738106319214519857041523209773004055023193359375	0.445884744360797558027087461596238426864147186279296875	-1.423327522285156	1.2112230783361413	PIGA;PIGM
Insulin secretion_Homo sapiens_hsa04911	3/85	0.019492556361587858038131315652208286337554454803466796875	0.5165527435820782553577146245515905320644378662109375	0.0182512806052889699215402430354515672661364078521728515625	0.483658936040157694247199060555431060492992401123046875	-1.8120863826017612	1.197024177992566	CAMK2B;RIMS2;FFAR1
Dopaminergic synapse_Homo sapiens_hsa04728	3/129	0.05592663508363050761662549348329775966703891754150390625	0.667059405070990596442470632609911262989044189453125	0.05139873682941693833203800068076816387474536895751953125	0.64789559712479827258135856027365662157535552978515625	-1.7076699616109898	0.6913948804391147	CAMK2B;PPP2R2C;DRD5
Arachidonic acid metabolism_Homo sapiens_hsa00590	2/62	0.06493500456085866956446039921502233482897281646728515625	0.667059405070990596442470632609911262989044189453125	0.06251103992457270053240137031025369651615619659423828125	0.64789559712479827258135856027365662157535552978515625	-1.6773524036773677	0.6791200235792165	GGT5;GPX7
Arginine and proline metabolism_Homo sapiens_hsa00330	2/50	0.044284720232955217256165525441247154958546161651611328125	0.667059405070990596442470632609911262989044189453125	0.043125811671136403402382342164855799637734889984130859375	0.64789559712479827258135856027365662157535552978515625	-1.6709778863639877	0.6765391333985498	ODC1;SMS
Amphetamine addiction_Homo sapiens_hsa05031	2/67	0.07432181863761551376956759895620052702724933624267578125	0.667059405070990596442470632609911262989044189453125	0.07131665754517162170156296951972763054072856903076171875	0.64789559712479827258135856027365662157535552978515625	-1.6486907711019592	0.6675156114427111	CAMK2B;GRIN3B
Oxytocin signaling pathway_Homo sapiens_hsa04921	3/158	0.09004123130531084540084663103698403574526309967041015625	0.667059405070990596442470632609911262989044189453125	0.08258248411061962224177790403700782917439937591552734375	0.64789559712479827258135856027365662157535552978515625	-1.6312205509852746	0.6604423355636735	CAMK2B;CACNA2D3;CACNA2D2
Calcium signaling pathway_Homo sapiens_hsa04020	3/180	0.12044237148167750983684953780539217405021190643310546875	0.667059405070990596442470632609911262989044189453125	0.110558648048732666158144866130896843969821929931640625	0.6484796789819611273486543723265640437602996826171875	-1.5293375353051997	0.6191923299838783	CAMK2B;ADRA1D;DRD5
