Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels_Homo sapiens_R-HSA-112308	2/13	0.0033113034592775424623523061740115736029110848903656005859375	0.32230020336968079330830505568883381783962249755859375	0.0023469513107628793037451320202535498538054525852203369140625	0.2284365942475869160066537233433336950838565826416015625	-2.082264015968237	2.3576889486347503	CACNA2D3;CACNA2D2
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells_Homo sapiens_R-HSA-210744	2/7	0.000915315540209512092974242225551506635383702814579010009765625	0.2672721377411775289800743848900310695171356201171875	0.0008197840387567018917425176738333902903832495212554931640625	0.22095351440537192022617318798438645899295806884765625	-1.6909686573085858	2.231212677830241	ONECUT3;NEUROG3
Phase 0 - rapid depolarisation_Homo sapiens_R-HSA-5576892	3/44	0.00318670500372414920720043340907068341039121150970458984375	0.32230020336968079330830505568883381783962249755859375	0.00151338023565323232140500397946425437112338840961456298828125	0.22095351440537192022617318798438645899295806884765625	-1.9315333398012418	2.1870208456978033	CAMK2B;CACNA2D3;CACNA2D2
Synthesis of glycosylphosphatidylinositol (GPI)_Homo sapiens_R-HSA-162710	2/16	0.00502777145243208344049801183928138925693929195404052734375	0.367027316027542072074396628522663377225399017333984375	0.0033882137189584714785650643165126894018612802028656005859375	0.2473396014839684131647601361692068167030811309814453125	-1.9157459426343697	1.9201885634230178	PIGA;PIGM
Metabolism of polyamines_Homo sapiens_R-HSA-351202	3/84	0.0188951168555170807838994306848690030165016651153564453125	0.546590197788078935303701655357144773006439208984375	0.008639978056951345963820898532503633759915828704833984375	0.317200866314302221127263692324049770832061767578125	-2.157168935697249	1.3030507064116579	SLC6A8;ODC1;SMS
Phase 2 - plateau phase_Homo sapiens_R-HSA-5576893	2/26	0.01303494931386604827050490484907641075551509857177734375	0.546590197788078935303701655357144773006439208984375	0.0081160985098956660299673870895276195369660854339599609375	0.317200866314302221127263692324049770832061767578125	-2.117108331384877	1.2788518604684023	CACNA2D3;CACNA2D2
Post-translational modification: synthesis of GPI-anchored proteins_Homo sapiens_R-HSA-163125	2/25	0.0120848016075344767694677017288995557464659214019775390625	0.546590197788078935303701655357144773006439208984375	0.007559674509572227030229640831748838536441326141357421875	0.317200866314302221127263692324049770832061767578125	-2.064390891003442	1.2470075775323328	PIGA;PIGM
Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	5/335	0.07506938147675080996723551152172149159014225006103515625	0.546590197788078935303701655357144773006439208984375	0.0240904722578414338951535711430551600642502307891845703125	0.41347269017992116513227074392489157617092132568359375	-2.018792285233179	1.219463468919846	QDPR;SLC6A8;PSAT1;ODC1;SMS
Amine ligand-binding receptors_Homo sapiens_R-HSA-375280	2/43	0.033643480206976404678353986810179776512086391448974609375	0.546590197788078935303701655357144773006439208984375	0.0201729086648631435185752280858650919981300830841064453125	0.41347269017992116513227074392489157617092132568359375	-2.0055623882257185	1.2114718710639494	ADRA1D;DRD5
Regulation of beta-cell development_Homo sapiens_R-HSA-186712	2/32	0.01938096003557199242806063921307213604450225830078125	0.546590197788078935303701655357144773006439208984375	0.01182454782151919937815964800620349706150591373443603515625	0.38364088487595626730808362481184303760528564453125	-1.992483200430612	1.2035713100027936	ONECUT3;NEUROG3
Phase 1 - inactivation of fast Na+ channels_Homo sapiens_R-HSA-5576894	2/27	0.01401657262571241735482630019760108552873134613037109375	0.546590197788078935303701655357144773006439208984375	0.008690434693542525845799673334113322198390960693359375	0.317200866314302221127263692324049770832061767578125	-1.9835073429203958	1.1981493899687203	CACNA2D3;CACNA2D2
Cardiac conduction_Homo sapiens_R-HSA-5576891	3/135	0.062372673462795825971571872514687129296362400054931640625	0.546590197788078935303701655357144773006439208984375	0.0294306905518230410567781518693664111196994781494140625	0.41347269017992116513227074392489157617092132568359375	-1.707081359228677	1.031172632905599	CAMK2B;CACNA2D3;CACNA2D2
Ion transport by P-type ATPases_Homo sapiens_R-HSA-936837	2/55	0.05254381646988430520917034982630866579711437225341796875	0.546590197788078935303701655357144773006439208984375	0.0313474896279201387105928233722806908190250396728515625	0.41347269017992116513227074392489157617092132568359375	-1.6322802263061005	0.9859885643413763	CAMK2B;ATP11C
Amyloid fiber formation_Homo sapiens_R-HSA-977225	2/68	0.076248713392222722262658862746320664882659912109375	0.546590197788078935303701655357144773006439208984375	0.04558953596528535212595301118199131451547145843505859375	0.41347269017992116513227074392489157617092132568359375	-1.6012586291350708	0.9672497843419032	GSN;USP9X
Neuronal System_Homo sapiens_R-HSA-112316	4/301	0.14392504464384925366715606287471018731594085693359375	0.57841600940462922775253673535189591348171234130859375	0.060481831910825116505048271164923789910972118377685546875	0.41347269017992116513227074392489157617092132568359375	-1.6471955697661265	0.9017768652892904	CAMK2B;KCNC4;CACNA2D3;CACNA2D2
Regulation of insulin secretion_Homo sapiens_R-HSA-422356	2/80	0.10052249523660257424229058642595191486179828643798828125	0.56332901153353265311096720324712805449962615966796875	0.0604487215606309968851661551525467075407505035400390625	0.41347269017992116513227074392489157617092132568359375	-1.5054439563874582	0.8639613873195304	CACNA2D2;FFAR1
Muscle contraction_Homo sapiens_R-HSA-397014	3/196	0.1446040023511573069381341838379739783704280853271484375	0.57841600940462922775253673535189591348171234130859375	0.07253332755484297178494301761020324192941188812255859375	0.415091023667200131885834935019374825060367584228515625	-1.5209240664629902	0.8326480244193286	CAMK2B;CACNA2D3;CACNA2D2
Transmission across Chemical Synapses_Homo sapiens_R-HSA-112315	3/211	0.1685714670974413353921050884309806860983371734619140625	0.60310493886421101539241362843313254415988922119140625	0.08593614236313322496396693850329029373824596405029296875	0.4182225595005817364580025241593830287456512451171875	-1.5464557572847373	0.7819871114203194	CAMK2B;CACNA2D3;CACNA2D2
S Phase_Homo sapiens_R-HSA-69242	2/124	0.2019112893607876435542181070559308864176273345947265625	0.60310493886421101539241362843313254415988922119140625	0.125572074500386765549819756415672600269317626953125	0.4455748769928067343215616347151808440685272216796875	-1.4124091643762144	0.7142045657571193	POLA1;STAG2
Integration of energy metabolism_Homo sapiens_R-HSA-163685	2/110	0.1681846815340386214199241976530174724757671356201171875	0.60310493886421101539241362843313254415988922119140625	0.1033577811218318320829467893418041057884693145751953125	0.4261017046122030915711320631089620292186737060546875	-1.4106183540480723	0.7132990173190158	CACNA2D2;FFAR1
Interferon gamma signaling_Homo sapiens_R-HSA-877300	2/93	0.1288387042683915850727061069846968166530132293701171875	0.57841600940462922775253673535189591348171234130859375	0.07813843348426073587287277177892974577844142913818359375	0.417512316968841779019072646406129933893680572509765625	-1.2659527668775001	0.6930609447190199	CAMK2B;IRF8
FGFR3 ligand binding and activation_Homo sapiens_R-HSA-190239	1/13	0.083707289260761486016093613216071389615535736083984375	0.546590197788078935303701655357144773006439208984375	0.066236573722130709374056323213153518736362457275390625	0.41347269017992116513227074392489157617092132568359375	-1.080883559085786	0.6529141329212756	FGF16
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	2/121	0.19461123851615791391367338292184285819530487060546875	0.60310493886421101539241362843313254415988922119140625	0.12071671890470990484711677481755032204091548919677734375	0.4455748769928067343215616347151808440685272216796875	-1.229685304071035	0.6218076749734482	HS3ST4;CHST3
FGFR3c ligand binding and activation_Homo sapiens_R-HSA-190372	1/13	0.083707289260761486016093613216071389615535736083984375	0.546590197788078935303701655357144773006439208984375	0.066236573722130709374056323213153518736362457275390625	0.41347269017992116513227074392489157617092132568359375	-1.0066539376257042	0.6080752892500146	FGF16
FGFR2c ligand binding and activation_Homo sapiens_R-HSA-190375	1/13	0.083707289260761486016093613216071389615535736083984375	0.546590197788078935303701655357144773006439208984375	0.066236573722130709374056323213153518736362457275390625	0.41347269017992116513227074392489157617092132568359375	-0.9567016651523277	0.577901322410342	FGF16
Signaling by activated point mutants of FGFR3_Homo sapiens_R-HSA-1839130	1/12	0.07752298265993624870606737431444344110786914825439453125	0.546590197788078935303701655357144773006439208984375	0.061651128326317396199929277145201922394335269927978515625	0.41347269017992116513227074392489157617092132568359375	-0.9305291636585823	0.5620916674521123	FGF16
Signaling by FGFR3 in disease_Homo sapiens_R-HSA-5655332	1/22	0.1375464355018611584124954561048070900142192840576171875	0.57841600940462922775253673535189591348171234130859375	0.1065322046311124315476348556330776773393154144287109375	0.4261017046122030915711320631089620292186737060546875	-1.0202824043958574	0.5585657739940073	FGF16
SHC-mediated cascade:FGFR3_Homo sapiens_R-HSA-5654704	1/18	0.1140169457060200286502293920420925132930278778076171875	0.57841600940462922775253673535189591348171234130859375	0.0888373232942466783956803055843920446932315826416015625	0.418395135514839200396863816422410309314727783203125	-0.9902192428972535	0.5421073375857879	FGF16
FGFR3 mutant receptor activation_Homo sapiens_R-HSA-2033514	1/12	0.07752298265993624870606737431444344110786914825439453125	0.546590197788078935303701655357144773006439208984375	0.061651128326317396199929277145201922394335269927978515625	0.41347269017992116513227074392489157617092132568359375	-0.8964977337036983	0.5415347800850238	FGF16
Signaling by FGFR3 point mutants in cancer_Homo sapiens_R-HSA-8853338	1/22	0.1375464355018611584124954561048070900142192840576171875	0.57841600940462922775253673535189591348171234130859375	0.1065322046311124315476348556330776773393154144287109375	0.4261017046122030915711320631089620292186737060546875	-0.9730167751539305	0.532689641398676	FGF16
Activated point mutants of FGFR2_Homo sapiens_R-HSA-2033519	1/17	0.1080357008420473607923639747241395525634288787841796875	0.56332901153353265311096720324712805449962615966796875	0.08436036541493720231077446669587516225874423980712890625	0.417512316968841779019072646406129933893680572509765625	-0.9257260067868822	0.5312662233010554	FGF16
SHC-mediated cascade:FGFR2_Homo sapiens_R-HSA-5654699	1/26	0.16045558109520607903419886497431434690952301025390625	0.60310493886421101539241362843313254415988922119140625	0.1238911107872040784361189480478060431778430938720703125	0.4455748769928067343215616347151808440685272216796875	-1.0292301124170171	0.5204446870235316	FGF16
