Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Serotonin and anxiety_Mus musculus_WP2141	2/17	0.005673248781398419586519121793344311299733817577362060546875	0.316813361341970967099967992908204905688762664794921875	0.007918306458532635427882695466905715875327587127685546875	0.415272509093905395349821674244594760239124298095703125	-2.043750273758357	2.349173309549626	CAMK2B;FMR1
Urea cycle and metabolism of amino groups_Homo sapiens_WP497	2/20	0.0078225521319005182629968686569554847665131092071533203125	0.316813361341970967099967992908204905688762664794921875	0.0105524877283096098212755720169298001565039157867431640625	0.415272509093905395349821674244594760239124298095703125	-2.028959224374453	2.3321718495967914	ODC1;SMS
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	6/305	0.016949843858350140124446880918185343034565448760986328125	0.3327801265126766327995255778660066425800323486328125	0.0221490768635865808988683056668378412723541259765625	0.415272509093905395349821674244594760239124298095703125	-2.110102405111019	2.321689310920497	CAMK2B;EFNB1;MAFB;SV2B;LMX1B;FKTN
Monoamine GPCRs_Homo sapiens_WP58	2/33	0.0205419831180664591574469568513450212776660919189453125	0.3327801265126766327995255778660066425800323486328125	0.02563410549962379103572374106079223565757274627685546875	0.415272509093905395349821674244594760239124298095703125	-1.9496179886657081	2.14511259439342	ADRA1D;DRD5
Monoamine GPCRs_Mus musculus_WP570	2/32	0.01938096003557199242806063921307213604450225830078125	0.3327801265126766327995255778660066425800323486328125	0.0242781463456520386900994168399847694672644138336181640625	0.415272509093905395349821674244594760239124298095703125	-1.9321530197477914	2.1258963556203296	ADRA1D;DRD5
SIDS Susceptibility Pathways_Mus musculus_WP1266	2/59	0.05951217775483362559807432035086094401776790618896484375	0.42840012572032970528113082764321006834506988525390625	0.07020186341540834984442653876612894237041473388671875	0.477077036381073515958206598952529020607471466064453125	-1.8740027085514142	1.588587686405275	TLX3;LMX1B
Non-odorant GPCRs_Mus musculus_WP1396	4/256	0.093561138399823773337260490734479390084743499755859375	0.42840012572032970528113082764321006834506988525390625	0.1136480962141417638822105118379113264381885528564453125	0.477077036381073515958206598952529020607471466064453125	-1.7395078405313384	1.4745767032586448	ADRA1D;FFAR1;CELSR1;DRD5
Ectoderm Differentiation_Homo sapiens_WP2858	3/139	0.06685378110493349346210578687532688491046428680419921875	0.42840012572032970528113082764321006834506988525390625	0.0804034318379372170415564369250205345451831817626953125	0.477077036381073515958206598952529020607471466064453125	-1.6947419620836819	1.4366287734351957	MAFB;PAX3;BCOR
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	8/808	0.1753252476248938485081652061126078478991985321044921875	0.42840012572032970528113082764321006834506988525390625	0.221593264449457760800754613228491507470607757568359375	0.477077036381073515958206598952529020607471466064453125	-1.6628273713556132	1.4095748499718386	CAMK2B;EFNB1;MAFB;SV2B;LMX1B;PITX2;UBQLN2;FKTN
Primary Focal Segmental Glomerulosclerosis FSGS_Homo sapiens_WP2572	2/72	0.08411144554130635386801628783359774388372898101806640625	0.42840012572032970528113082764321006834506988525390625	0.09782890377701873585447600589759531430900096893310546875	0.477077036381073515958206598952529020607471466064453125	-1.660684819205492	1.4077586135557265	CAMK2B;LMX1B
