Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ESC Pluripotency Pathways_Mus musculus_WP339	2/117	0.04820299694483227981312012389025767333805561065673828125	0.325590597785004709496803343427018262445926666259765625	0.069874892596005377942702807558816857635974884033203125	0.397771281011914279446273212670348584651947021484375	-2.1488502788380313	2.4112561031706674	FGF16;WNT7B
Regulation of Actin Cytoskeleton_Homo sapiens_WP51	2/150	0.07460123400076125455004927289337501861155033111572265625	0.325590597785004709496803343427018262445926666259765625	0.1062876997641382381676322665953193791210651397705078125	0.397771281011914279446273212670348584651947021484375	-2.0156055953563325	2.261740308876231	FGF16;GSN
Regulation of Actin Cytoskeleton_Mus musculus_WP523	2/148	0.07289131355963519853791154901045956648886203765869140625	0.325590597785004709496803343427018262445926666259765625	0.10395060012949804140180987133135204203426837921142578125	0.397771281011914279446273212670348584651947021484375	-1.9660010992896457	2.206078383490633	FGF16;GSN
Metapathway biotransformation_Mus musculus_WP1251	2/132	0.059702829450519072362890682370561989955604076385498046875	0.325590597785004709496803343427018262445926666259765625	0.085827926770071394368954997844411991536617279052734375	0.397771281011914279446273212670348584651947021484375	-1.9619589920762563	2.2015426762876045	HS3ST4;CHST3
Serotonin and anxiety_Mus musculus_WP2141	1/17	0.049813621756214225555492447483629803173243999481201171875	0.325590597785004709496803343427018262445926666259765625	0.06419527740933499149189600530007737688720226287841796875	0.397771281011914279446273212670348584651947021484375	-1.949196462281421	2.187221656269246	FMR1
Metapathway biotransformation_Homo sapiens_WP702	2/178	0.09980351610245545568300684635687503032386302947998046875	0.325590597785004709496803343427018262445926666259765625	0.14042665482385452424551885997061617672443389892578125	0.397771281011914279446273212670348584651947021484375	-1.9479843909362538	2.1858615734113127	HS3ST4;CHST3
Gastric Cancer Network 2_Homo sapiens_WP2363	1/31	0.08899765790646092800120214860726264305412769317626953125	0.325590597785004709496803343427018262445926666259765625	0.111385260911083416868194717608275823295116424560546875	0.397771281011914279446273212670348584651947021484375	-1.9313172608516835	2.1671591447058143	OTUD5
Ectoderm Differentiation_Homo sapiens_WP2858	2/139	0.06536225172557752483015747202443890273571014404296875	0.325590597785004709496803343427018262445926666259765625	0.09362618628705356160768502604696550406515598297119140625	0.397771281011914279446273212670348584651947021484375	-1.7715645832687699	1.9878983452852272	MAFB;PAX3
Trans-sulfuration and one carbon metabolism_Homo sapiens_WP2525	1/32	0.0917349076720891665193136077505187131464481353759765625	0.325590597785004709496803343427018262445926666259765625	0.11466758533373035133795525553068728186190128326416015625	0.397771281011914279446273212670348584651947021484375	-1.7294320679979447	1.9406208380576677	PSAT1
Notch Signaling Pathway_Homo sapiens_WP268	1/46	0.129217781034082157542997038035537116229534149169921875	0.325590597785004709496803343427018262445926666259765625	0.159422280451125886191476865860749967396259307861328125	0.397771281011914279446273212670348584651947021484375	-1.5932397545553196	1.7877974653790285	DTX1
Notch Signaling Pathway_Mus musculus_WP29	1/46	0.129217781034082157542997038035537116229534149169921875	0.325590597785004709496803343427018262445926666259765625	0.159422280451125886191476865860749967396259307861328125	0.397771281011914279446273212670348584651947021484375	-1.5896815495619598	1.783804751884252	DTX1
Differentiation Pathway_Homo sapiens_WP2848	1/48	0.134446776464645256776719861591118387877941131591796875	0.325590597785004709496803343427018262445926666259765625	0.165636729430119922223951789419515989720821380615234375	0.397771281011914279446273212670348584651947021484375	-1.5289484730208927	1.715655284740749	WNT7B
Type II interferon signaling (IFNG)_Mus musculus_WP1253	1/32	0.0917349076720891665193136077505187131464481353759765625	0.325590597785004709496803343427018262445926666259765625	0.11466758533373035133795525553068728186190128326416015625	0.397771281011914279446273212670348584651947021484375	-1.5207229893463914	1.7064253500603315	IRF8
Type II interferon signaling (IFNG)_Homo sapiens_WP619	1/37	0.1053003079473766312457172489303047768771648406982421875	0.325590597785004709496803343427018262445926666259765625	0.1309063589978933517254944263186189346015453338623046875	0.397771281011914279446273212670348584651947021484375	-1.4585639827674808	1.636675826114219	IRF8
Translation Factors_Mus musculus_WP307	1/46	0.129217781034082157542997038035537116229534149169921875	0.325590597785004709496803343427018262445926666259765625	0.159422280451125886191476865860749967396259307861328125	0.397771281011914279446273212670348584651947021484375	-1.4557828758798366	1.6335551056887696	EIF2S2
Cell Differentiation - Index_Homo sapiens_WP2029	1/49	0.1370496831019107075722018862506956793367862701416015625	0.325590597785004709496803343427018262445926666259765625	0.1687274840936745790020978574830223806202411651611328125	0.397771281011914279446273212670348584651947021484375	-1.4072168918383101	1.5790585097277223	TLX3
Wnt Signaling Pathway_Mus musculus_WP403	1/58	0.1601321304560184566323499666395946405827999114990234375	0.325590597785004709496803343427018262445926666259765625	0.1960567934592996885978521959259524010121822357177734375	0.397771281011914279446273212670348584651947021484375	-1.4019603849756919	1.573160107042962	WNT7B
Translation Factors_Homo sapiens_WP107	1/51	0.1422324264812111771494329559573088772594928741455078125	0.325590597785004709496803343427018262445926666259765625	0.1748762384735382813261139745009131729602813720703125	0.397771281011914279446273212670348584651947021484375	-1.3874417304379567	1.5568685139484115	EIF2S2
SIDS Susceptibility Pathways_Mus musculus_WP1266	1/59	0.162659062179498992151138736517168581485748291015625	0.325590597785004709496803343427018262445926666259765625	0.199039885137666960890356904201325960457324981689453125	0.397771281011914279446273212670348584651947021484375	-1.3676955423590662	1.5347110295538602	TLX3
