Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Glycolysis_Homo sapiens_R-HSA-70171	1/32	0.0111480474267740929661396620531377266161143779754638671875	0.0557402371338704683001452622193028219044208526611328125	0.01099013212436350528378170565702021121978759765625	0.05495066062181752641890852828510105609893798828125	-2.352352701749136	6.791366930881255	TPI1
Gluconeogenesis_Homo sapiens_R-HSA-70263	1/32	0.0111480474267740929661396620531377266161143779754638671875	0.0557402371338704683001452622193028219044208526611328125	0.01099013212436350528378170565702021121978759765625	0.05495066062181752641890852828510105609893798828125	-2.0428497207152647	5.897815420157689	TPI1
Glucose metabolism_Homo sapiens_R-HSA-70326	1/79	0.0273285470855544367074774214643184677697718143463134765625	0.05739013948959816036055059385034837760031223297119140625	0.0265032960946553382275414634250410017557442188262939453125	0.05563204650343082924290882829154725186526775360107421875	-1.9650330506547407	5.615834110344125	TPI1
TGF-beta receptor signaling activates SMADs_Homo sapiens_R-HSA-2173789	1/32	0.0111480474267740929661396620531377266161143779754638671875	0.0557402371338704683001452622193028219044208526611328125	0.01099013212436350528378170565702021121978759765625	0.05495066062181752641890852828510105609893798828125	-1.944972539765728	5.615238811006222	UCHL5
Downregulation of TGF-beta receptor signaling_Homo sapiens_R-HSA-2173788	1/26	0.00906594147580630504990040208213031291961669921875	0.0557402371338704683001452622193028219044208526611328125	0.008997946311209259473429256104282103478908538818359375	0.05495066062181752641890852828510105609893798828125	-1.9112443233213217	5.517863662446303	UCHL5
NRAGE signals death through JNK_Homo sapiens_R-HSA-193648	1/45	0.015646416564563947471100391339859925210475921630859375	0.05739013948959816036055059385034837760031223297119140625	0.01529737175113307125207118275511675165034830570220947265625	0.05563204650343082924290882829154725186526775360107421875	-1.8491248110251242	5.284581948674347	FGD1
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	1/73	0.025275673386581855306420862916638725437223911285400390625	0.05739013948959816036055059385034837760031223297119140625	0.0245319904922801819424638125610727001912891864776611328125	0.05563204650343082924290882829154725186526775360107421875	-1.8436037462169128	5.268803392652074	UCHL5
G alpha (12/13) signalling events_Homo sapiens_R-HSA-416482	1/75	0.0259603768566062827194418360932104405947029590606689453125	0.05739013948959816036055059385034837760031223297119140625	0.025189387764049268880750531707235495559871196746826171875	0.05563204650343082924290882829154725186526775360107421875	-1.8084682240037127	5.168390188882347	FGD1
Cell death signalling via NRAGE, NRIF and NADE_Homo sapiens_R-HSA-204998	1/61	0.02115878253503590544770673886887379921972751617431640625	0.05739013948959816036055059385034837760031223297119140625	0.02058139919286387786723224735396797768771648406982421875	0.05563204650343082924290882829154725186526775360107421875	-1.7960722109617058	5.132963836714693	FGD1
p75 NTR receptor-mediated signalling_Homo sapiens_R-HSA-193704	1/83	0.0286950697447990767108283449715599999763071537017822265625	0.05739013948959816036055059385034837760031223297119140625	0.027816023251715414621454414145773625932633876800537109375	0.05563204650343082924290882829154725186526775360107421875	-1.7480038371121607	4.995590059004896	FGD1
