	name	feature.name	dist.to.feature	prom	exon	intron
1	Zfp85	NM_001001130	81	1	1	1
2	Scap	NM_001001144	35351	0	0	1
3	Fbxo41	NM_001001160	18188	0	1	0
4	Fbxo41	NM_001001160	24732	0	1	0
5	Taf9b	NM_001001176	301	1	0	1
6	Taf9b	NM_001001176	85	1	1	1
7	Taf9b	NM_001001176	105	1	1	1
8	Taf9b	NM_001001176	102	1	1	1
9	Taf9b	NM_001001176	294	1	0	1
10	Taf9b	NM_001001176	221	1	1	0
11	Taf9b	NM_001001176	233	1	1	0
12	Taf9b	NM_001001176	291	1	0	1
13	Taf9b	NM_001001176	246	1	1	0
14	Taf9b	NM_001001176	252	1	1	0
15	Ccdc148	NM_001001178	-24239	0	0	0
16	Ccdc148	NM_001001178	-22538	0	0	0
17	Ccdc148	NM_001001178	-24104	0	0	0
18	Ccdc148	NM_001001178	-24099	0	0	0
19	Ccdc148	NM_001001178	55119	0	0	1
20	BC048546	NM_001001179	-6467	0	0	0
21	Baz2b	NM_001001182	54529	0	0	1
22	Baz2b	NM_001001182	-4763	0	0	0
23	Tmem204	NM_001001183	22814	0	1	1
24	BC048507	NM_001001185	35016	0	0	0
25	Zfp456	NM_001001186	-8186	0	0	0
26	Dis3l	NM_001001295	-14073	0	0	0
27	Thnsl1	NM_001001297	64073	0	0	0
28	Thnsl1	NM_001001297	31788	0	0	0
29	Thnsl1	NM_001001297	31542	0	0	0
30	Pramel4	NM_001001319	-18384	0	0	0
31	St5	NM_001001326	-11940	0	0	0
32	Spag6	NM_001001334	112474	0	0	0
33	Cyp2c44	NM_001001446	16523	0	0	1
34	AF067063	NM_001001449	7857	0	0	0
35	Atp8b1	NM_001001488	-12181	0	0	0
36	Mfsd4b5	NM_001001489	-4093	0	0	0
37	Oxgr1	NM_001001490	-107210	0	0	0
38	Oxgr1	NM_001001490	-112547	0	0	0
39	Oxgr1	NM_001001490	53498	0	0	0
40	Oxgr1	NM_001001490	-199	1	0	0
41	Oxgr1	NM_001001490	108614	0	0	0
42	Oxgr1	NM_001001490	-38306	0	0	0
43	Oxgr1	NM_001001490	-40813	0	0	0
44	Wdr83os	NM_001001493	719	1	0	1
45	Tnip3	NM_001001495	-97861	0	0	0
46	Gja6	NM_001001496	34508	0	0	1
47	Chpf	NM_001001566	9668	0	1	0
48	Dab2ip	NM_001001602	40887	0	0	0
49	Dab2ip	NM_001001602	17835	0	1	0
50	Dab2ip	NM_001001602	-24007	0	0	1
51	Dab2ip	NM_001001602	-166	1	0	1
52	Dab2ip	NM_001001602	40727	0	0	0
53	Dab2ip	NM_001001602	27897	0	1	0
54	Dab2ip	NM_001001602	-28895	0	0	1
55	Dab2ip	NM_001001602	54992	0	0	0
56	Dab2ip	NM_001001602	-29966	0	0	1
57	Dab2ip	NM_001001602	-23802	0	0	1
58	Dab2ip	NM_001001602	40897	0	0	0
59	Sohlh1	NM_001001714	59	1	1	0
60	Whsc1l1	NM_001001735	-1119	0	0	0
61	Whsc1l1	NM_001001735	-1139	0	0	0
62	Itprip	NM_001001738	22713	0	1	0
63	Zfp239	NM_001001792	8553	0	1	0
64	Zfp239	NM_001001792	8628	0	1	0
65	Prrxl1	NM_001001796	5968	0	0	1
66	Prrxl1	NM_001001796	5934	0	0	1
67	Prrxl1	NM_001001796	-14126	0	0	0
68	Prrxl1	NM_001001796	-394	1	0	0
69	Prrxl1	NM_001001796	-15219	0	0	0
70	Atp11c	NM_001001798	-198	1	0	0
71	Atp11c	NM_001001798	-137	1	0	0
72	Atp11c	NM_001001798	-319	1	0	0
73	Atp11c	NM_001001798	-273	1	0	0
74	Atp11c	NM_001001798	-117	1	0	0
75	Atp11c	NM_001001798	-288	1	0	0
76	Atp11c	NM_001001798	-287	1	0	0
77	Atp11c	NM_001001798	-126	1	0	0
78	Atp11c	NM_001001798	-427	1	0	0
79	Atp11c	NM_001001798	-278	1	0	0
80	Atp11c	NM_001001798	-269	1	0	0
81	Atp11c	NM_001001798	-274	1	0	0
82	Atp11c	NM_001001798	-263	1	0	0
83	Zfp36l2	NM_001001806	5583	0	0	0
84	Zfp36l2	NM_001001806	5618	0	0	0
85	Zfp36l2	NM_001001806	-37	1	0	0
86	Zfp36l2	NM_001001806	5617	0	0	0
87	Zfp36l2	NM_001001806	-91222	0	0	1
88	Zfp36l2	NM_001001806	24472	0	0	0
89	Zfp36l2	NM_001001806	11357	0	0	0
90	Mpzl1	NM_001001880	-2111	0	0	0
91	2510009E07Rik	NM_001001881	66421	0	0	1
92	2510009E07Rik	NM_001001881	52573	0	0	1
93	2510009E07Rik	NM_001001881	98875	0	0	1
94	2510009E07Rik	NM_001001881	81837	0	0	1
95	2510009E07Rik	NM_001001881	66374	0	0	1
96	2510009E07Rik	NM_001001881	66551	0	0	1
97	Nckap5l	NM_001001884	30806	0	1	0
98	Nckap5l	NM_001001884	10639	0	0	1
99	Nckap5l	NM_001001884	30697	0	1	0
100	Tmem151a	NM_001001885	111	1	1	0
101	Eea1	NM_001001932	207668	0	0	0
102	Eea1	NM_001001932	135314	0	0	0
103	Eea1	NM_001001932	322957	0	0	0
104	Eea1	NM_001001932	135403	0	0	0
105	Eea1	NM_001001932	322948	0	0	0
106	Megf10	NM_001001979	88111	0	0	1
107	Megf10	NM_001001979	4563	0	0	1
108	Limch1	NM_001001980	105431	0	0	1
109	A430105I19Rik	NM_001001982	2242	0	1	0
110	A430105I19Rik	NM_001001982	131	1	1	0
111	A430105I19Rik	NM_001001982	-1616	0	0	0
112	A430105I19Rik	NM_001001982	-1653	0	0	0
113	A430105I19Rik	NM_001001982	295	1	0	1
114	A430105I19Rik	NM_001001982	3085	0	1	0
115	A430105I19Rik	NM_001001982	2251	0	1	0
116	Kdm2a	NM_001001984	-1454	0	0	0
117	Nat8l	NM_001001985	1438	0	0	1
118	Nol4l	NM_001001986	-10113	0	0	1
119	Nol4l	NM_001001986	-10141	0	0	1
120	Gp1bb	NM_001001999	-2442	0	1	0
121	Gp1bb	NM_001001999	-2804	0	1	0
122	Gp1bb	NM_001001999	-1962	0	1	0
123	Tdrd1	NM_001002238	-3437	0	0	0
124	Rpl17	NM_001002239	-7812	0	0	0
125	Tdrd1	NM_001002241	19718	0	0	1
126	Tmem158	NM_001002267	-2499	0	0	0
127	Adgrg6	NM_001002268	-42	1	0	0
128	Adgrg6	NM_001002268	263346	0	0	0
129	Adgrg6	NM_001002268	-60308	0	0	0
130	Adgrg6	NM_001002268	263370	0	0	0
131	Rab44	NM_001002786	22633	0	1	0
132	Ccin	NM_001002787	1531	0	1	0
133	Ccin	NM_001002787	1335	0	1	0
134	AI413582	NM_001002895	1442	0	0	1
135	AI413582	NM_001002895	1433	0	0	1
136	AI413582	NM_001002895	-9728	0	0	0
137	AI413582	NM_001002895	-9719	0	0	0
138	Bfsp2	NM_001002896	5750	0	0	1
139	Bfsp2	NM_001002896	8712	0	0	1
140	Bfsp2	NM_001002896	-18762	0	1	0
141	Bfsp2	NM_001002896	7013	0	0	1
142	Bfsp2	NM_001002896	5628	0	0	1
143	Bfsp2	NM_001002896	-19416	0	1	0
144	Bfsp2	NM_001002896	-12520	0	0	1
145	Bfsp2	NM_001002896	-18647	0	1	0
146	Higd1c	NM_001002900	8140	0	0	1
147	Gm5409	NM_001003664	10131	0	0	0
148	Krt87	NM_001003668	955	1	0	1
149	Pcdhac2	NM_001003672	-26	1	0	1
150	Pcdhac2	NM_001003672	12376	0	0	1
151	Osbpl8	NM_001003717	28267	0	0	1
152	Erbb2	NM_001003817	3178	0	0	1
153	Erbb2	NM_001003817	6416	0	0	1
154	Ankib1	NM_001003909	791	1	0	1
155	Adamts7	NM_001003911	-2993	0	0	0
156	Arhgef11	NM_001003912	1721	0	0	1
157	Usp7	NM_001003918	-35150	0	0	0
158	Usp7	NM_001003918	848	1	0	1
159	Ddx11	NM_001003919	109895	0	0	0
160	Ddx11	NM_001003919	153980	0	0	0
161	Brsk1	NM_001003920	16512	0	1	0
162	Brsk1	NM_001003920	16144	0	1	1
163	Pid1	NM_001003948	-329	1	0	0
164	Rab3ip	NM_001003950	11039	0	1	0
165	Ces5a	NM_001003951	-28094	0	0	0
166	Ces5a	NM_001003951	4424	0	0	1
167	Ces5a	NM_001003951	-39623	0	0	0
168	Ces5a	NM_001003951	-63843	0	0	0
169	Rab11fip5	NM_001003955	7402	0	0	1
170	Dnmt3b	NM_001003960	37138	0	1	0
171	Ppp3r2	NM_001004025	8129	0	0	1
172	Fam170a	NM_001004061	4944	0	0	0
173	Crtc1	NM_001004062	-13274	0	1	0
174	Crtc1	NM_001004062	18101	0	0	1
175	Crtc1	NM_001004062	-13064	0	1	0
176	Crtc1	NM_001004062	-13095	0	1	0
177	Usp22	NM_001004143	3094	0	0	1
178	Fbll1	NM_001004147	5118	0	0	0
179	Zfp366	NM_001004149	53660	0	0	1
180	Zfp366	NM_001004149	-34960	0	0	0
181	Zfp366	NM_001004149	-2332	0	0	0
182	Rtp1	NM_001004151	-11464	0	0	0
183	Rtp1	NM_001004151	-11403	0	0	0
184	Psg22	NM_001004152	16193	0	0	0
185	Psg22	NM_001004152	30859	0	0	0
186	9930012K11Rik	NM_001004155	-382	1	0	0
187	9930012K11Rik	NM_001004155	-5854	0	0	1
188	9930012K11Rik	NM_001004155	-8517	0	1	0
189	9930012K11Rik	NM_001004155	-843	1	0	0
190	Scarf1	NM_001004157	1705	0	1	0
191	Scarf1	NM_001004157	871	1	1	0
192	Gnptab	NM_001004164	32853	0	0	1
193	Gnptab	NM_001004164	11226	0	0	1
194	Sgpp2	NM_001004173	12794	0	0	1
195	Sgpp2	NM_001004173	238	1	0	1
196	Sgpp2	NM_001004173	54002	0	0	1
197	Sgpp2	NM_001004173	54039	0	0	1
198	Maml3	NM_001004176	80492	0	0	1
199	Maml3	NM_001004176	66807	0	0	1
200	Maml3	NM_001004176	60285	0	0	1
201	Maml3	NM_001004176	176960	0	0	1
202	Maml3	NM_001004176	176940	0	0	1
203	Maml3	NM_001004176	58937	0	0	1
204	Maml3	NM_001004176	176915	0	0	1
205	Maml3	NM_001004176	124873	0	0	1
206	Maml3	NM_001004176	-25320	0	0	0
207	Maml3	NM_001004176	176949	0	0	1
208	Maml3	NM_001004176	60246	0	0	1
209	Maml3	NM_001004176	59992	0	0	1
210	Maml3	NM_001004176	60279	0	0	1
211	Maml3	NM_001004176	60274	0	0	1
212	Maml3	NM_001004176	60275	0	0	1
213	Maml3	NM_001004176	59971	0	0	1
214	Fam222a	NM_001004180	10123	0	0	1
215	Fam222a	NM_001004180	43048	0	1	0
216	Fam222a	NM_001004180	10391	0	0	1
217	Fam222a	NM_001004180	42865	0	1	0
218	Fam222a	NM_001004180	40872	0	0	1
219	Fam222a	NM_001004180	23073	0	0	1
220	Fam222a	NM_001004180	10083	0	0	1
221	Fam222a	NM_001004180	-33022	0	0	0
222	Fam222a	NM_001004180	-45383	0	0	0
223	Fam222a	NM_001004180	43389	0	1	0
224	Fam222a	NM_001004180	23090	0	0	1
225	Fam222a	NM_001004180	-7633	0	0	0
226	Fam222a	NM_001004180	10054	0	0	1
227	Fam222a	NM_001004180	28585	0	0	1
228	Fam222a	NM_001004180	31321	0	0	1
229	Fam222a	NM_001004180	-45347	0	0	0
230	Tmem178b	NM_001004182	20353	0	0	1
231	Slc28a1	NM_001004184	13764	0	0	1
232	Slc28a1	NM_001004184	-3183	0	0	0
233	Whamm	NM_001004185	56343	0	0	1
234	Whamm	NM_001004185	56327	0	0	1
235	2610020H08Rik	NM_001004187	18108	0	0	1
236	Gm5617	NM_001004191	22618	0	0	0
237	Rhox8	NM_001004193	907	1	1	0
238	Cntnap2	NM_001004357	-634286	0	0	0
239	Cntnap2	NM_001004357	-121419	0	0	0
240	Cntnap2	NM_001004357	196676	0	0	1
241	Nuak1	NM_001004363	154351	0	0	0
242	Nuak1	NM_001004363	46489	0	0	1
243	Nuak1	NM_001004363	-43099	0	0	0
244	Nuak1	NM_001004363	-43054	0	0	0
245	Nuak1	NM_001004363	-42577	0	0	0
246	Nuak1	NM_001004363	48045	0	0	1
247	Nuak1	NM_001004363	146370	0	0	0
248	Nuak1	NM_001004363	65125	0	1	0
249	Actr3b	NM_001004365	77694	0	0	1
250	Actr3b	NM_001004365	77869	0	0	1
251	Actr3b	NM_001004365	128701	0	0	0
252	Scube3	NM_001004366	2997	0	0	1
253	Scube3	NM_001004366	-5904	0	0	0
254	Scube3	NM_001004366	-21534	0	0	0
255	Scube3	NM_001004366	-26779	0	0	0
256	Cxxc4	NM_001004367	544	1	0	1
257	Wapl	NM_001004436	-422	1	0	0
258	Pigu	NM_001004721	-10617	0	0	0
259	Gpr158	NM_001004761	475	1	1	0
260	Gpr158	NM_001004761	155201	0	0	1
261	Znhit3	NM_001005223	15373	0	1	0
262	Olfr1197	NM_001005225	12281	0	0	0
263	Dbx1	NM_001005232	100992	0	0	1
264	Dbx1	NM_001005232	101037	0	0	1
265	Dbx1	NM_001005232	113514	0	0	1
266	Dbx1	NM_001005232	19947	0	0	0
267	Dbx1	NM_001005232	111879	0	0	1
268	Dbx1	NM_001005232	-59533	0	0	0
269	Dbx1	NM_001005232	-59499	0	0	0
270	Dbx1	NM_001005232	78426	0	0	1
271	Dbx1	NM_001005232	79874	0	1	0
272	Dbx1	NM_001005232	-56623	0	0	0
273	Ypel2	NM_001005341	38516	0	0	1
274	Ypel4	NM_001005342	2884	0	1	0
275	Ado	NM_001005419	135	1	1	0
276	Ado	NM_001005419	-11271	0	0	0
277	Ado	NM_001005419	-157653	0	0	0
278	Ado	NM_001005419	-11502	0	0	0
279	Ado	NM_001005419	-11262	0	0	0
280	Ado	NM_001005419	-11266	0	0	0
281	Ppp1r26	NM_001005420	-22654	0	0	0
282	Ppp1r26	NM_001005420	-103491	0	0	0
283	Ppp1r26	NM_001005420	-33305	0	0	0
