	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	7925	0	0	1
2	Scap	NM_001001144	8113	0	0	1
3	Scap	NM_001001144	35351	0	0	1
4	Scap	NM_001001144	2002	0	0	1
5	Fbxo41	NM_001001160	17924	0	0	1
6	Fbxo41	NM_001001160	18719	0	1	0
7	Fbxo41	NM_001001160	18183	0	1	0
8	Fbxo41	NM_001001160	18238	0	1	0
9	Fbxo41	NM_001001160	24738	0	1	0
10	Fbxo41	NM_001001160	21083	0	0	1
11	Fbxo41	NM_001001160	18188	0	1	0
12	Fbxo41	NM_001001160	18373	0	1	0
13	Taf9b	NM_001001176	52	1	1	1
14	Taf9b	NM_001001176	246	1	1	0
15	Taf9b	NM_001001176	337	1	0	1
16	Taf9b	NM_001001176	105	1	1	1
17	Taf9b	NM_001001176	251	1	1	0
18	Taf9b	NM_001001176	291	1	0	1
19	Ccdc148	NM_001001178	37508	0	0	1
20	BC048546	NM_001001179	2209	0	0	1
21	BC048546	NM_001001179	9653	0	0	1
22	BC048546	NM_001001179	9664	0	0	1
23	BC048546	NM_001001179	1414	0	0	1
24	BC048546	NM_001001179	2213	0	0	1
25	BC048546	NM_001001179	-6467	0	0	0
26	BC031181	NM_001001181	2898	0	1	0
27	Baz2b	NM_001001182	36061	0	0	1
28	Baz2b	NM_001001182	-4764	0	0	0
29	Baz2b	NM_001001182	18349	0	0	1
30	Baz2b	NM_001001182	-4763	0	0	0
31	Baz2b	NM_001001182	-4743	0	0	0
32	Baz2b	NM_001001182	-4802	0	0	0
33	Baz2b	NM_001001182	18328	0	0	1
34	Baz2b	NM_001001182	54455	0	0	1
35	Tmem204	NM_001001183	22824	0	1	1
36	Tmem204	NM_001001183	22947	0	1	1
37	Tmem204	NM_001001183	-3568	0	0	1
38	Tmem204	NM_001001183	-3518	0	0	1
39	Tmem204	NM_001001183	22814	0	1	1
40	BC048507	NM_001001185	-524	1	0	0
41	BC048507	NM_001001185	-352	1	0	0
42	BC048507	NM_001001185	495	1	1	0
43	BC048507	NM_001001185	-348	1	0	0
44	BC048507	NM_001001185	-360	1	0	0
45	Dis3l	NM_001001295	-16766	0	0	0
46	St5	NM_001001326	-20318	0	0	0
47	Hexdc	NM_001001333	-11169	0	0	1
48	Hexdc	NM_001001333	-11065	0	0	1
49	Hexdc	NM_001001333	-11210	0	0	1
50	Spag6	NM_001001334	-8789	0	0	0
51	Spag6	NM_001001334	-9931	0	0	0
52	Spag6	NM_001001334	-10034	0	0	0
53	Spag6	NM_001001334	-4547	0	0	0
54	Spag6	NM_001001334	481	1	0	1
55	Spag6	NM_001001334	101908	0	0	0
56	Spag6	NM_001001334	82455	0	0	0
57	Defb29	NM_001001444	1257	0	1	0
58	Defb29	NM_001001444	-14449	0	0	0
59	Trpv1	NM_001001445	3561	0	0	1
