	name	feature.name	dist.to.feature	prom	exon	intron
1	BC048546	NM_001001179	9653	0	0	1
2	Mfsd4b5	NM_001001489	-4093	0	0	0
3	Itprip	NM_001001738	22465	0	1	0
4	Itprip	NM_001001738	22618	0	1	0
5	Prrxl1	NM_001001796	-321	1	0	0
6	Zfp36l2	NM_001001806	24248	0	0	0
7	2510009E07Rik	NM_001001881	98718	0	0	1
8	Panx2	NM_001002005	7957	0	1	0
9	Tdrd1	NM_001002238	-4258	0	0	0
10	Tdrd1	NM_001002238	-4254	0	0	0
11	Rpl17	NM_001002239	249	1	0	1
12	Erbb2	NM_001003817	6790	0	0	1
13	Erbb2	NM_001003817	6785	0	0	1
14	Crtc1	NM_001004062	-13091	0	1	0
15	Zfp619	NM_001004139	34913	0	0	0
16	Whamm	NM_001004185	405	1	1	0
17	Whamm	NM_001004185	22457	0	1	0
18	Nuak1	NM_001004363	-17197	0	0	0
19	Cxxc4	NM_001004367	-221749	0	0	0
20	Ado	NM_001005419	-117923	0	0	0
21	Ado	NM_001005419	-117946	0	0	0
22	Mreg	NM_001005423	90564	0	0	0
23	Eif2a	NM_001005509	-187	1	1	0
24	Phactr1	NM_001005748	-206427	0	0	1
25	Phactr1	NM_001005748	-204929	0	0	1
26	Mtus1	NM_001005863	20227	0	0	1
27	Best3	NM_001007583	14959	0	0	1
28	Unc13d	NM_001009573	14277	0	1	0
29	Slc25a51	NM_001009949	-58993	0	0	1
30	Slc38a8	NM_001009950	22380	0	0	0
31	Scgb2b20	NM_001009952	36645	0	0	0
32	Hrh2	NM_001010973	72910	0	0	0
33	Rnase13	NM_001011687	-9567	0	0	0
34	Zfp708	NM_001012448	4140	0	0	1
35	Fut10	NM_001012517	32002	0	0	1
36	Usp13	NM_001013024	-128	1	0	0
37	E2f8	NM_001013368	-646	1	0	0
38	Zfp930	NM_001013379	-32412	0	0	0
39	Dync1li2	NM_001013380	254	1	1	0
40	Lrrc52	NM_001013382	6495	0	0	1
41	Tmem151b	NM_001013749	4422	0	1	0
42	Lingo3	NM_001013758	143	1	0	1
43	Zfp488	NM_001013777	3264	0	0	1
44	Maml2	NM_001013813	-58969	0	0	0
45	Dyrk2	NM_001014390	-14491	0	0	0
46	Dyrk2	NM_001014390	-14478	0	0	0
47	Dyrk2	NM_001014390	527	1	0	1
48	Dyrk2	NM_001014390	-14733	0	0	0
49	Dppa4	NM_001018002	734	1	0	1
50	Anks6	NM_001024136	-7891	0	0	0
51	Mctp2	NM_001024703	849957	0	0	0
52	Mctp2	NM_001024703	849947	0	0	0
53	Mctp2	NM_001024703	849931	0	0	0
54	Mctp2	NM_001024703	849927	0	0	0
55	Triobp	NM_001024716	-5894	0	0	1
56	Apol7b	NM_001024848	13165	0	0	1
57	Ntrk2	NM_001025074	269273	0	0	1
58	Ntrk2	NM_001025074	71305	0	0	1
59	Mbp	NM_001025254	27274	0	0	1
60	Eno1b	NM_001025388	141095	0	0	0
61	Eno1b	NM_001025388	141095	0	0	0
62	Eno1b	NM_001025388	21369	0	0	0
63	Eno1b	NM_001025388	21369	0	0	0
64	Eno1b	NM_001025388	21374	0	0	0
65	Eno1b	NM_001025388	21374	0	0	0
66	Camk2d	NM_001025439	42339	0	0	1
67	Sox6	NM_001025560	137	1	1	1
68	Sox6	NM_001025560	111	1	1	1
69	Kcnc2	NM_001025581	177915	0	0	1
70	Kcnj6	NM_001025590	125517	0	0	0
71	Kcnj6	NM_001025590	6519	0	0	1
72	Pknox2	NM_001029838	118318	0	0	1
73	Vrk1	NM_001029844	174655	0	0	0
74	Pdzd4	NM_001029868	695	1	0	1
75	Pdzd4	NM_001029868	260	1	1	0
76	Bbs1	NM_001033128	-8995	0	0	1
77	Sdhaf1	NM_001033140	276	1	1	0
78	Fbxo33	NM_001033156	-212055	0	0	0
79	Fbxo33	NM_001033156	-301351	0	0	0
80	Skap1	NM_001033186	75788	0	0	1
