	name	feature.name	dist.to.feature	prom	exon	intron
1	Zfp85	NM_001001130	81	1	1	1
2	Scap	NM_001001144	35351	0	0	1
3	Scap	NM_001001144	7925	0	0	1
4	Fbxo41	NM_001001160	18373	0	1	0
5	Fbxo41	NM_001001160	24732	0	1	0
6	Fbxo41	NM_001001160	18188	0	1	0
7	Fbxo41	NM_001001160	18750	0	1	0
8	Fbxo41	NM_001001160	18267	0	1	0
9	Taf9b	NM_001001176	290	1	0	1
10	Taf9b	NM_001001176	333	1	0	1
11	Taf9b	NM_001001176	246	1	1	0
12	Taf9b	NM_001001176	102	1	1	1
13	Taf9b	NM_001001176	332	1	0	1
14	Taf9b	NM_001001176	85	1	1	1
15	Taf9b	NM_001001176	221	1	1	0
16	Taf9b	NM_001001176	233	1	1	0
17	Taf9b	NM_001001176	251	1	1	0
18	Ccdc148	NM_001001178	37383	0	0	1
19	Ccdc148	NM_001001178	-24104	0	0	0
20	Ccdc148	NM_001001178	55119	0	0	1
21	Ccdc148	NM_001001178	-24099	0	0	0
22	BC048546	NM_001001179	-6478	0	0	0
23	BC048546	NM_001001179	-6669	0	0	0
24	BC048546	NM_001001179	-6467	0	0	0
25	Baz2b	NM_001001182	18328	0	0	1
26	Baz2b	NM_001001182	-4763	0	0	0
27	Baz2b	NM_001001182	54529	0	0	1
28	Baz2b	NM_001001182	114737	0	0	1
29	Tmem204	NM_001001183	-8247	0	0	1
30	Tmem204	NM_001001183	22814	0	1	1
31	BC048507	NM_001001185	305090	0	0	0
32	BC048507	NM_001001185	35016	0	0	0
33	BC048507	NM_001001185	-363	1	0	0
34	Zfp456	NM_001001186	-8186	0	0	0
35	Dis3l	NM_001001295	-14073	0	0	0
36	Thnsl1	NM_001001297	76510	0	0	0
37	Thnsl1	NM_001001297	31542	0	0	0
38	Thnsl1	NM_001001297	31788	0	0	0
39	Thnsl1	NM_001001297	31478	0	0	0
40	Thnsl1	NM_001001297	64073	0	0	0
41	Pramel4	NM_001001319	-18384	0	0	0
42	Hexdc	NM_001001333	-1347	0	1	0
43	Spag6	NM_001001334	481	1	0	1
44	Spag6	NM_001001334	101596	0	0	0
45	Spag6	NM_001001334	101908	0	0	0
46	Spag6	NM_001001334	112474	0	0	0
47	Spag6	NM_001001334	-10034	0	0	0
48	Defb29	NM_001001444	-14339	0	0	0
49	Defb29	NM_001001444	1257	0	1	0
50	Cyp2c44	NM_001001446	16523	0	0	1
51	AF067063	NM_001001449	7857	0	0	0
52	Ssxb2	NM_001001450	-14869	0	0	0
53	Ttyh1	NM_001001454	307	1	0	1
54	Ttyh1	NM_001001454	203	1	1	0
55	Atp8b1	NM_001001488	-12181	0	0	0
56	Oxgr1	NM_001001490	-199	1	0	0
57	Oxgr1	NM_001001490	-79586	0	0	0
58	Oxgr1	NM_001001490	-79462	0	0	0
59	Oxgr1	NM_001001490	-79609	0	0	0
60	Oxgr1	NM_001001490	108445	0	0	0
61	Oxgr1	NM_001001490	108614	0	0	0
62	Oxgr1	NM_001001490	-38306	0	0	0
63	Oxgr1	NM_001001490	53498	0	0	0
64	Oxgr1	NM_001001490	-40813	0	0	0
65	Wdr83os	NM_001001493	570	1	0	1
66	Wdr83os	NM_001001493	719	1	0	1
67	Tnip3	NM_001001495	-97861	0	0	0
68	Gja6	NM_001001496	51790	0	0	1
69	Gja6	NM_001001496	34508	0	0	1
70	Chpf	NM_001001566	9668	0	1	0
71	Chpf	NM_001001566	1846	0	1	0
72	Chpf	NM_001001566	1811	0	1	0
73	Dab2ip	NM_001001602	40727	0	0	0
74	Dab2ip	NM_001001602	-28895	0	0	1
75	Dab2ip	NM_001001602	-24007	0	0	1
76	Dab2ip	NM_001001602	709	1	0	1
77	Dab2ip	NM_001001602	-28816	0	0	1
78	Dab2ip	NM_001001602	-28883	0	0	1
79	Dab2ip	NM_001001602	-24132	0	0	1
80	Dab2ip	NM_001001602	-28761	0	0	1
81	Dab2ip	NM_001001602	40887	0	0	0
82	Dab2ip	NM_001001602	-28728	0	0	1
83	Dab2ip	NM_001001602	-29966	0	0	1
84	Dab2ip	NM_001001602	-28736	0	0	1
85	Dab2ip	NM_001001602	893	1	0	1
86	Dab2ip	NM_001001602	-24146	0	0	1
87	Dab2ip	NM_001001602	-28762	0	0	1
88	Dab2ip	NM_001001602	40897	0	0	0
89	Dab2ip	NM_001001602	26881	0	1	0
90	Dab2ip	NM_001001602	27897	0	1	0
91	Dab2ip	NM_001001602	-13752	0	0	1
92	Dab2ip	NM_001001602	-23802	0	0	1
93	Dab2ip	NM_001001602	17835	0	1	0
94	Dab2ip	NM_001001602	28562	0	1	0
95	Dab2ip	NM_001001602	-28796	0	0	1
96	Prss48	NM_001001650	5322	0	0	1
97	Prss48	NM_001001650	-52	1	0	0
98	Sohlh1	NM_001001714	59	1	1	0
99	Whsc1l1	NM_001001735	-1139	0	0	0
100	Itprip	NM_001001738	22503	0	1	0
101	Itprip	NM_001001738	24445	0	1	0
102	Itprip	NM_001001738	12061	0	0	1
103	Itprip	NM_001001738	21561	0	1	0
104	Itprip	NM_001001738	19638	0	0	1
105	Itprip	NM_001001738	25464	0	0	0
106	Itprip	NM_001001738	24276	0	1	0
107	Itprip	NM_001001738	22645	0	1	0
108	Itprip	NM_001001738	14202	0	0	1
109	Itprip	NM_001001738	22626	0	1	0
110	Itprip	NM_001001738	22713	0	1	0
111	Itprip	NM_001001738	21508	0	1	0
112	Zfp239	NM_001001792	8553	0	1	0
113	Zfp239	NM_001001792	8628	0	1	0
114	Prrxl1	NM_001001796	-14126	0	0	0
115	Prrxl1	NM_001001796	5934	0	0	1
116	Prrxl1	NM_001001796	-15219	0	0	0
117	Prrxl1	NM_001001796	231	1	0	1
118	Prrxl1	NM_001001796	-394	1	0	0
119	Prrxl1	NM_001001796	-15302	0	0	0
120	Prrxl1	NM_001001796	-2179	0	0	0
121	Prrxl1	NM_001001796	-1697	0	0	0
122	Prrxl1	NM_001001796	5968	0	0	1
123	Prrxl1	NM_001001796	-2153	0	0	0
124	Prrxl1	NM_001001796	-1915	0	0	0
125	Atp11c	NM_001001798	-427	1	0	0
126	Atp11c	NM_001001798	-566	1	0	0
127	Atp11c	NM_001001798	-363	1	0	0
128	Atp11c	NM_001001798	-43	1	0	0
129	Atp11c	NM_001001798	-137	1	0	0
130	Atp11c	NM_001001798	-188	1	0	0
131	Atp11c	NM_001001798	-346	1	0	0
132	Atp11c	NM_001001798	-117	1	0	0
133	Atp11c	NM_001001798	-263	1	0	0
134	Atp11c	NM_001001798	-288	1	0	0
135	Atp11c	NM_001001798	-287	1	0	0
136	Atp11c	NM_001001798	-354	1	0	0
137	Zfp36l2	NM_001001806	24472	0	0	0
138	Zfp36l2	NM_001001806	11357	0	0	0
139	Zfp36l2	NM_001001806	5634	0	0	0
140	Zfp36l2	NM_001001806	41840	0	0	0
141	Zfp36l2	NM_001001806	5583	0	0	0
142	Zfp36l2	NM_001001806	5617	0	0	0
143	Zfp36l2	NM_001001806	-37	1	0	0
144	Zfp36l2	NM_001001806	-91222	0	0	1
145	Zfp36l2	NM_001001806	-81753	0	0	1
146	Zfp36l2	NM_001001806	37597	0	0	0
147	Zfp36l2	NM_001001806	5618	0	0	0
148	Mpzl1	NM_001001880	-2111	0	0	0
149	Mpzl1	NM_001001880	-11385	0	0	0
150	2510009E07Rik	NM_001001881	66421	0	0	1
151	2510009E07Rik	NM_001001881	66374	0	0	1
152	2510009E07Rik	NM_001001881	81837	0	0	1
153	2510009E07Rik	NM_001001881	66551	0	0	1
154	2510009E07Rik	NM_001001881	29644	0	0	1
155	2510009E07Rik	NM_001001881	66391	0	0	1
156	2510009E07Rik	NM_001001881	-36590	0	0	0
157	2510009E07Rik	NM_001001881	52573	0	0	1
158	2510009E07Rik	NM_001001881	-6963	0	0	0
159	Nckap5l	NM_001001884	31746	0	1	0
160	Nckap5l	NM_001001884	31287	0	1	0
161	Nckap5l	NM_001001884	29604	0	1	0
162	Nckap5l	NM_001001884	30697	0	1	0
163	Nckap5l	NM_001001884	10639	0	0	1
164	Nckap5l	NM_001001884	23652	0	1	0
165	Nckap5l	NM_001001884	2441	0	0	1
166	Nckap5l	NM_001001884	23639	0	1	0
167	Nckap5l	NM_001001884	31818	0	1	0
168	Tmem151a	NM_001001885	4474	0	1	0
169	Eea1	NM_001001932	322948	0	0	0
170	Eea1	NM_001001932	-177242	0	0	0
171	Eea1	NM_001001932	135403	0	0	0
172	Eea1	NM_001001932	269915	0	0	0
173	Eea1	NM_001001932	-177247	0	0	0
174	Eea1	NM_001001932	191630	0	0	0
175	Eea1	NM_001001932	289626	0	0	0
176	Eea1	NM_001001932	289822	0	0	0
177	Eea1	NM_001001932	322957	0	0	0
178	Megf10	NM_001001979	4478	0	0	1
179	Megf10	NM_001001979	88111	0	0	1
180	Megf10	NM_001001979	4563	0	0	1
181	Limch1	NM_001001980	105431	0	0	1
182	Limch1	NM_001001980	-226	1	0	0
183	A430105I19Rik	NM_001001982	-43	1	0	0
184	A430105I19Rik	NM_001001982	-1616	0	0	0
185	A430105I19Rik	NM_001001982	131	1	1	0
186	A430105I19Rik	NM_001001982	2251	0	1	0
187	A430105I19Rik	NM_001001982	-80	1	0	0
188	A430105I19Rik	NM_001001982	2242	0	1	0
189	A430105I19Rik	NM_001001982	6543	0	1	0
190	A430105I19Rik	NM_001001982	508	1	0	1
191	A430105I19Rik	NM_001001982	3085	0	1	0
192	A430105I19Rik	NM_001001982	32	1	1	0
193	Kdm2a	NM_001001984	-1439	0	0	0
194	Kdm2a	NM_001001984	-1413	0	0	0
195	Nol4l	NM_001001986	-38027	0	0	1
196	Nol4l	NM_001001986	45037	0	1	0
197	Nol4l	NM_001001986	-10113	0	0	1
198	Gp1bb	NM_001001999	-1962	0	1	0
199	Tdrd1	NM_001002238	-3476	0	0	0
200	Tdrd1	NM_001002238	-3437	0	0	0
201	Tdrd1	NM_001002241	19718	0	0	1
202	Adgrg6	NM_001002268	263370	0	0	0
203	Adgrg6	NM_001002268	-45087	0	0	0
204	Adgrg6	NM_001002268	263346	0	0	0
205	Adgrg6	NM_001002268	-42	1	0	0
206	Rab44	NM_001002786	30448	0	0	1
207	Rab44	NM_001002786	51156	0	0	1
208	Rab44	NM_001002786	22633	0	1	0
209	Ccin	NM_001002787	1531	0	1	0
210	Ccin	NM_001002787	1387	0	1	0
211	Ccin	NM_001002787	1335	0	1	0
212	Ccin	NM_001002787	1287	0	1	0
213	Ccin	NM_001002787	624	1	1	0
214	Ccin	NM_001002787	1254	0	1	0
215	AI413582	NM_001002895	-28753	0	0	1
216	AI413582	NM_001002895	-9728	0	0	0
217	AI413582	NM_001002895	-24000	0	0	1
218	AI413582	NM_001002895	1433	0	0	1
219	AI413582	NM_001002895	1442	0	0	1
220	Bfsp2	NM_001002896	5628	0	0	1
221	Bfsp2	NM_001002896	5890	0	0	1
222	Bfsp2	NM_001002896	8712	0	0	1
223	Bfsp2	NM_001002896	-18647	0	1	0
224	Bfsp2	NM_001002896	-18762	0	1	0
225	Bfsp2	NM_001002896	-12520	0	0	1
226	Bfsp2	NM_001002896	-21686	0	0	1
227	Bfsp2	NM_001002896	-19416	0	1	0
228	Bfsp2	NM_001002896	7013	0	0	1
229	Bfsp2	NM_001002896	-12193	0	0	1
230	Bfsp2	NM_001002896	371	1	1	0
231	Atg9b	NM_001002897	9539	0	1	0
232	Atg9b	NM_001002897	8819	0	1	0
233	Higd1c	NM_001002900	8140	0	0	1
234	Penk	NM_001002927	-42277	0	0	0
235	Penk	NM_001002927	505	1	0	1
236	Nup85	NM_001002929	-8648	0	0	0
237	Gm5409	NM_001003664	10131	0	0	0
238	Krt87	NM_001003668	955	1	0	1
239	Pcdhac1	NM_001003671	76	1	1	1
240	Pcdhac1	NM_001003671	-171	1	0	1
241	Pcdhac2	NM_001003672	684	1	1	1
242	Pcdhac2	NM_001003672	-26	1	0	1
243	Pcdhac2	NM_001003672	12376	0	0	1
244	Osbpl8	NM_001003717	28267	0	0	1
245	Osbpl8	NM_001003717	84	1	1	0
246	Erbb2	NM_001003817	12433	0	0	1
247	Erbb2	NM_001003817	-27	1	0	0
248	Erbb2	NM_001003817	9179	0	0	1
249	Erbb2	NM_001003817	6416	0	0	1
250	Erbb2	NM_001003817	3178	0	0	1
251	Ankib1	NM_001003909	791	1	0	1
252	Adamts7	NM_001003911	-2993	0	0	0
253	Adamts7	NM_001003911	19752	0	0	1
254	Adamts7	NM_001003911	19601	0	0	1
255	Adamts7	NM_001003911	19748	0	0	1
256	Adamts7	NM_001003911	19598	0	0	1
257	Adamts7	NM_001003911	30888	0	1	0
258	Arhgef11	NM_001003912	1721	0	0	1
259	Usp7	NM_001003918	-36993	0	0	0
260	Usp7	NM_001003918	-35150	0	0	0
261	Usp7	NM_001003918	848	1	0	1
262	Ddx11	NM_001003919	109891	0	0	0
263	Ddx11	NM_001003919	122823	0	0	0
264	Ddx11	NM_001003919	109895	0	0	0
265	Ddx11	NM_001003919	122784	0	0	0
266	Ddx11	NM_001003919	153980	0	0	0
267	Ddx11	NM_001003919	114874	0	0	0
268	Ddx11	NM_001003919	147073	0	0	0
269	Ddx11	NM_001003919	104676	0	0	0
270	Brsk1	NM_001003920	16144	0	1	1
271	Brsk1	NM_001003920	16512	0	1	0
272	Pid1	NM_001003948	-354	1	0	0
273	Pid1	NM_001003948	-329	1	0	0
274	Pid1	NM_001003948	137380	0	0	1
275	Tmem259	NM_001003949	6536	0	1	1
276	Tmem259	NM_001003949	6768	0	1	1
277	Tmem259	NM_001003949	6735	0	1	1
278	Tmem259	NM_001003949	4626	0	1	1
279	Rab3ip	NM_001003950	11039	0	1	0
280	Ces5a	NM_001003951	-63843	0	0	0
281	Ces5a	NM_001003951	-135429	0	0	0
282	Ces5a	NM_001003951	-39623	0	0	0
283	Ces5a	NM_001003951	-63830	0	0	0
