	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	1988	0	0	1
2	Fbxo41	NM_001001160	18183	0	1	0
3	Fbxo41	NM_001001160	18579	0	1	0
4	Taf9b	NM_001001176	102	1	1	1
5	Taf9b	NM_001001176	190	1	1	0
6	Taf9b	NM_001001176	336	1	0	1
7	Taf9b	NM_001001176	172	1	1	0
8	Taf9b	NM_001001176	85	1	1	1
9	Taf9b	NM_001001176	301	1	0	1
10	Taf9b	NM_001001176	222	1	1	0
11	Taf9b	NM_001001176	337	1	0	1
12	Taf9b	NM_001001176	300	1	0	1
13	BC048546	NM_001001179	2213	0	0	1
14	Baz2b	NM_001001182	-4743	0	0	0
15	Baz2b	NM_001001182	-4802	0	0	0
16	Baz2b	NM_001001182	-4764	0	0	0
17	Baz2b	NM_001001182	-4763	0	0	0
18	Tmem204	NM_001001183	22824	0	1	1
19	BC048507	NM_001001185	-352	1	0	0
20	Dis3l	NM_001001295	-16766	0	0	0
21	St5	NM_001001326	-20318	0	0	0
22	Hexdc	NM_001001333	-11065	0	0	1
23	AF067063	NM_001001449	11394	0	0	0
24	Ssxb2	NM_001001450	-14210	0	0	0
25	Oxgr1	NM_001001490	-79609	0	0	0
26	Wdr83os	NM_001001493	618	1	0	1
27	Usp17ld	NM_001001559	-25155	0	0	0
28	Chpf	NM_001001566	2038	0	1	0
29	Chpf	NM_001001566	2022	0	1	0
30	Chpf	NM_001001566	2025	0	1	0
31	Dab2ip	NM_001001602	40201	0	0	0
32	Dab2ip	NM_001001602	709	1	0	1
33	Prss48	NM_001001650	-11769	0	0	0
34	Prss48	NM_001001650	28487	0	0	0
35	Itprip	NM_001001738	18277	0	0	1
36	Itprip	NM_001001738	22503	0	1	0
37	Itprip	NM_001001738	22626	0	1	0
38	Itprip	NM_001001738	22333	0	1	0
39	Itprip	NM_001001738	19638	0	0	1
40	Itprip	NM_001001738	22618	0	1	0
41	Itprip	NM_001001738	22718	0	1	0
42	Itprip	NM_001001738	22645	0	1	0
43	Itprip	NM_001001738	22367	0	1	0
44	Itprip	NM_001001738	22465	0	1	0
45	Itprip	NM_001001738	22713	0	1	0
46	Itprip	NM_001001738	22674	0	1	0
47	Itprip	NM_001001738	22464	0	1	0
48	Prrxl1	NM_001001796	-2178	0	0	0
49	Atp11c	NM_001001798	-117	1	0	0
50	Atp11c	NM_001001798	-137	1	0	0
51	Atp11c	NM_001001798	-288	1	0	0
52	Zfp36l2	NM_001001806	24248	0	0	0
53	Zfp36l2	NM_001001806	-91242	0	0	1
54	Zfp36l2	NM_001001806	-120335	0	0	1
55	Zfp36l2	NM_001001806	-91222	0	0	1
56	Zfp36l2	NM_001001806	5618	0	0	0
57	Zfp36l2	NM_001001806	6204	0	0	0
58	Zfp36l2	NM_001001806	5634	0	0	0
59	Zfp36l2	NM_001001806	6281	0	0	0
60	Zfp36l2	NM_001001806	-91249	0	0	1
61	Zfp36l2	NM_001001806	28892	0	0	0
62	Olfr279	NM_001001807	-3947	0	0	0
63	2510009E07Rik	NM_001001881	29584	0	0	1
64	2510009E07Rik	NM_001001881	98875	0	0	1
65	2510009E07Rik	NM_001001881	29587	0	0	1
66	2510009E07Rik	NM_001001881	98859	0	0	1
67	2510009E07Rik	NM_001001881	98718	0	0	1
68	Nckap5l	NM_001001884	32149	0	1	0
69	Nckap5l	NM_001001884	32108	0	1	0
70	Nckap5l	NM_001001884	32134	0	1	0
71	Nckap5l	NM_001001884	31705	0	1	0
72	Nckap5l	NM_001001884	32150	0	1	0
73	Tmem151a	NM_001001885	191	1	0	1
74	Eea1	NM_001001932	-166164	0	0	0
75	Eea1	NM_001001932	-166148	0	0	0
76	Limch1	NM_001001980	-29367	0	0	0
77	A430105I19Rik	NM_001001982	2070	0	1	0
78	Nat8l	NM_001001985	-192	1	0	0
79	Nol4l	NM_001001986	23872	0	1	0
80	Nol4l	NM_001001986	-37884	0	0	1
81	Nol4l	NM_001001986	20058	0	0	1
82	Gp1bb	NM_001001999	-1646	0	0	1
83	Panx2	NM_001002005	7934	0	1	0
84	Panx2	NM_001002005	7931	0	1	0
85	Panx2	NM_001002005	7957	0	1	0
86	Rpl17	NM_001002239	-6074	0	0	0
87	Tdrd1	NM_001002241	19932	0	0	1
88	Adgrg6	NM_001002268	-60308	0	0	0
89	Smg6	NM_001002764	3615	0	1	0
90	Smg6	NM_001002764	3625	0	1	0
91	Smg6	NM_001002764	3653	0	1	0
92	Rab44	NM_001002786	-472	1	0	0
93	Rab44	NM_001002786	-508	1	0	0
94	Ccin	NM_001002787	1047	0	1	0
95	Ccin	NM_001002787	1049	0	1	0
96	Ccin	NM_001002787	637	1	1	0
97	AI413582	NM_001002895	-14259	0	1	0
98	AI413582	NM_001002895	-14218	0	1	0
99	AI413582	NM_001002895	-14394	0	1	0
100	AI413582	NM_001002895	-21861	0	0	1
101	Bfsp2	NM_001002896	5628	0	0	1
102	Bfsp2	NM_001002896	5726	0	0	1
103	Bfsp2	NM_001002896	5750	0	0	1
104	Higd1c	NM_001002900	15700	0	0	1
105	Penk	NM_001002927	-42277	0	0	0
106	Krt87	NM_001003668	5116	0	1	1
107	Erbb2	NM_001003817	6440	0	0	1
108	Erbb2	NM_001003817	6626	0	0	1
109	Erbb2	NM_001003817	6833	0	0	1
110	Erbb2	NM_001003817	6785	0	0	1
111	Erbb2	NM_001003817	6790	0	0	1
112	Adamts7	NM_001003911	19752	0	0	1
113	Usp7	NM_001003918	-31023	0	0	0
114	Ddx11	NM_001003919	109305	0	0	0
115	Ddx11	NM_001003919	37416	0	0	0
116	Ddx11	NM_001003919	146881	0	0	0
117	Ddx11	NM_001003919	145556	0	0	0
118	Ddx11	NM_001003919	145514	0	0	0
119	Ddx11	NM_001003919	69599	0	0	0
120	Ddx11	NM_001003919	145555	0	0	0
121	Ddx11	NM_001003919	145602	0	0	0
122	Brsk1	NM_001003920	7966	0	0	1
123	Tmem259	NM_001003949	4687	0	1	1
124	Tmem259	NM_001003949	4671	0	1	1
125	Ces5a	NM_001003951	-63843	0	0	0
126	Ces5a	NM_001003951	4418	0	0	1
127	Crtc1	NM_001004062	8153	0	0	1
128	Zfp619	NM_001004139	141365	0	0	0
129	Zfp619	NM_001004139	141496	0	0	0
130	Zfp619	NM_001004139	20099	0	1	0
131	Zfp619	NM_001004139	141385	0	0	0
132	Zfp619	NM_001004139	141508	0	0	0
133	Zfp619	NM_001004139	141360	0	0	0
134	Usp22	NM_001004143	-71	1	0	0
135	Rtp1	NM_001004151	-11464	0	0	0
136	AU018091	NM_001004153	-9390	0	0	0
137	9930012K11Rik	NM_001004155	-383	1	0	0
138	Scarf1	NM_001004157	1954	0	1	0
139	Gnptab	NM_001004164	26532	0	0	1
140	Gnptab	NM_001004164	11226	0	0	1
141	Gnptab	NM_001004164	32853	0	0	1
142	Gnptab	NM_001004164	27271	0	0	1
143	Sgpp2	NM_001004173	12794	0	0	1
144	Sgpp2	NM_001004173	54100	0	0	1
145	Maml3	NM_001004176	1956	0	0	1
146	Maml3	NM_001004176	-75554	0	0	0
147	Maml3	NM_001004176	151042	0	0	1
148	Maml3	NM_001004176	151229	0	0	1
149	Maml3	NM_001004176	67611	0	0	1
150	Maml3	NM_001004176	154875	0	0	1
151	Fam222a	NM_001004180	8244	0	0	1
152	Fam222a	NM_001004180	10402	0	0	1
153	Fam222a	NM_001004180	-17334	0	0	0
154	Fam222a	NM_001004180	-7720	0	0	0
155	Fam222a	NM_001004180	-45383	0	0	0
156	Slc28a1	NM_001004184	46925	0	0	1
157	Slc28a1	NM_001004184	-17413	0	0	1
158	Whamm	NM_001004185	22370	0	1	0
159	Whamm	NM_001004185	22457	0	1	0
160	Whamm	NM_001004185	29186	0	0	0
161	Whamm	NM_001004185	22264	0	0	1
162	2610020H08Rik	NM_001004187	18108	0	0	1
163	Gm5617	NM_001004191	422	1	1	0
164	Gm5617	NM_001004191	410	1	1	0
165	Gm5617	NM_001004191	284	1	1	0
166	Nlrp4e	NM_001004194	10638	0	0	1
167	Nlrp4e	NM_001004194	11212	0	0	1
168	Amigo1	NM_001004293	938	1	1	0
169	Cntnap2	NM_001004357	720525	0	0	1
170	Nuak1	NM_001004363	28756	0	0	1
171	Nuak1	NM_001004363	51493	0	0	1
172	Nuak1	NM_001004363	28739	0	0	1
173	Nuak1	NM_001004363	51514	0	0	1
174	Nuak1	NM_001004363	-17190	0	0	0
175	Nuak1	NM_001004363	-17197	0	0	0
176	Nuak1	NM_001004363	-17216	0	0	0
177	Nuak1	NM_001004363	65811	0	1	0
178	Nuak1	NM_001004363	51542	0	0	1
179	Scube3	NM_001004366	11167	0	0	1
180	Scube3	NM_001004366	11106	0	1	0
181	Scube3	NM_001004366	3088	0	0	1
182	Scube3	NM_001004366	3769	0	0	1
183	Cxxc4	NM_001004367	-46381	0	0	0
184	Pik3r6	NM_001004435	25587	0	0	1
185	Gpr158	NM_001004761	1208	0	1	0
186	Pla2g4c	NM_001004762	7067	0	0	1
187	Dbx1	NM_001005232	77957	0	1	0
188	Dbx1	NM_001005232	78017	0	1	0
189	Dbx1	NM_001005232	77984	0	1	0
190	Dbx1	NM_001005232	78030	0	1	0
191	Dbx1	NM_001005232	78023	0	1	0
192	Dbx1	NM_001005232	179382	0	0	1
193	Dbx1	NM_001005232	50544	0	0	1
194	Dbx1	NM_001005232	77973	0	1	0
195	Dbx1	NM_001005232	77972	0	1	0
196	Dbx1	NM_001005232	179389	0	0	1
197	Dbx1	NM_001005232	0	1	1	0
198	Dbx1	NM_001005232	179337	0	0	1
199	Ypel2	NM_001005341	1563	0	0	1
200	Ypel2	NM_001005341	87260	0	0	0
201	Sp9	NM_001005343	5850	0	0	0
202	Ado	NM_001005419	-117946	0	0	0
203	Ado	NM_001005419	-117770	0	0	0
204	Ado	NM_001005419	-117923	0	0	0
205	Ado	NM_001005419	-117803	0	0	0
206	Ado	NM_001005419	-33447	0	0	0
207	Ppp1r26	NM_001005420	-509	1	0	0
208	Mreg	NM_001005423	90535	0	0	0
209	Mreg	NM_001005423	14139	0	0	1
210	Mreg	NM_001005423	16910	0	0	1
211	Mreg	NM_001005423	13383	0	0	1
212	Mreg	NM_001005423	37986	0	0	1
213	Mreg	NM_001005423	90564	0	0	0
214	Gm996	NM_001005424	629	1	1	0
215	Gm996	NM_001005424	2171	0	1	0
216	Gm996	NM_001005424	2030	0	1	0
217	Barhl2	NM_001005477	70874	0	0	0
218	Barhl2	NM_001005477	425	1	1	0
219	Barhl2	NM_001005477	-115795	0	0	0
220	Barhl2	NM_001005477	-6659	0	0	0
221	Barhl2	NM_001005477	-8460	0	0	0
222	Barhl2	NM_001005477	9916	0	0	0
223	Barhl2	NM_001005477	1966	0	0	1
224	Barhl2	NM_001005477	-42484	0	0	0
225	Smg7	NM_001005507	-279	1	0	0
226	Smg7	NM_001005507	-298	1	0	0
227	Arhgap30	NM_001005508	627	1	0	1
228	Arhgap30	NM_001005508	-8900	0	0	1
229	Arhgap30	NM_001005508	642	1	0	1
230	Syne2	NM_001005510	22709	0	0	1
231	Syne2	NM_001005510	22866	0	0	1
232	Syne2	NM_001005510	18694	0	0	1
233	Itgb4	NM_001005608	912	1	0	1
234	Itgb4	NM_001005608	863	1	0	1
235	Itgb4	NM_001005608	878	1	0	1
236	Phactr1	NM_001005740	116977	0	0	1
237	Phactr1	NM_001005740	340	1	0	1
238	Phactr1	NM_001005740	117007	0	0	1
