	name	feature.name	dist.to.feature	prom	exon	intron
1	Prrxl1	NM_001001796	-321	1	0	0
2	Panx2	NM_001002005	7957	0	1	0
3	Rpl17	NM_001002239	249	1	0	1
4	Erbb2	NM_001003817	6785	0	0	1
5	Crtc1	NM_001004062	-13091	0	1	0
6	Zfp619	NM_001004139	34913	0	0	0
7	Cxxc4	NM_001004367	-221749	0	0	0
8	Ado	NM_001005419	-117923	0	0	0
9	Ado	NM_001005419	-117946	0	0	0
10	Eif2a	NM_001005509	-187	1	1	0
11	Unc13d	NM_001009573	14277	0	1	0
12	Scgb2b20	NM_001009952	36645	0	0	0
13	Hrh2	NM_001010973	72910	0	0	0
14	Zfp708	NM_001012448	4140	0	0	1
15	Fut10	NM_001012517	32002	0	0	1
16	Usp13	NM_001013024	-128	1	0	0
17	E2f8	NM_001013368	-646	1	0	0
18	Zfp930	NM_001013379	-32412	0	0	0
19	Dync1li2	NM_001013380	254	1	1	0
20	Lingo3	NM_001013758	143	1	0	1
21	Zfp488	NM_001013777	3264	0	0	1
22	Maml2	NM_001013813	-58969	0	0	0
23	Dyrk2	NM_001014390	527	1	0	1
24	Dppa4	NM_001018002	734	1	0	1
25	Mctp2	NM_001024703	849947	0	0	0
26	Mctp2	NM_001024703	849927	0	0	0
27	Mctp2	NM_001024703	849931	0	0	0
28	Ntrk2	NM_001025074	269273	0	0	1
29	Eno1b	NM_001025388	21374	0	0	0
30	Eno1b	NM_001025388	21374	0	0	0
31	Camk2d	NM_001025439	42339	0	0	1
32	Sox6	NM_001025560	111	1	1	1
33	Vrk1	NM_001029844	174655	0	0	0
34	Pdzd4	NM_001029868	695	1	0	1
35	Pdzd4	NM_001029868	260	1	1	0
36	Sdhaf1	NM_001033140	276	1	1	0
37	Fbxo33	NM_001033156	-212055	0	0	0
38	Fbxo33	NM_001033156	-301351	0	0	0
39	Gtf3c3	NM_001033194	-50186	0	0	1
40	Ccdc114	NM_001033243	606	1	0	1
41	Gm266	NM_001033248	-178	1	0	0
42	Qrich2	NM_001033267	391	1	0	1
43	Spata13	NM_001033272	-47544	0	0	0
44	Shb	NM_001033306	23551	0	0	1
45	Zbtb16	NM_001033324	10879	0	0	1
46	Lrrc30	NM_001033340	80295	0	0	0
47	Cdc42bpg	NM_001033342	442	1	0	1
48	Ccdc27	NM_001033455	-21723	0	1	0
49	Adamts17	NM_001033877	27695	0	0	1
50	Fam92b	NM_001033980	-51956	0	0	0
51	Limk2	NM_001034030	2811	0	1	1
52	Atp11c	NM_001037863	160	1	1	0
53	Gm6878	NM_001037931	5582	0	0	1
54	Glrx2	NM_001038594	13575	0	1	0
55	Defb25	NM_001039122	8085	0	0	0
56	Cd226	NM_001039149	113366	0	0	1
57	Triobp	NM_001039156	3410	0	0	1
