	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	35	1	1	0
2	Fbxo41	NM_001001160	18363	0	1	0
3	Hexdc	NM_001001333	-11065	0	0	1
4	Spag6	NM_001001334	-318	1	0	0
5	Spag6	NM_001001334	-344	1	0	0
6	Spag6	NM_001001334	68147	0	0	0
7	Spag6	NM_001001334	101406	0	0	0
8	Spag6	NM_001001334	101605	0	0	0
9	Atp8b1	NM_001001488	211	1	1	0
10	Atp8b1	NM_001001488	2054	0	0	1
11	Atp8b1	NM_001001488	-449	1	0	0
12	Oxgr1	NM_001001490	-40625	0	0	0
13	Oxgr1	NM_001001490	-106262	0	0	0
14	Tpm4	NM_001001491	662	1	0	1
15	Chpf	NM_001001566	9757	0	1	0
16	Dab2ip	NM_001001602	27934	0	1	0
17	Prss48	NM_001001650	-32064	0	0	0
18	Itprip	NM_001001738	21493	0	1	0
19	Itprip	NM_001001738	24598	0	1	0
20	Prrxl1	NM_001001796	-1839	0	0	0
21	Prrxl1	NM_001001796	-1838	0	0	0
22	Prrxl1	NM_001001796	150	1	0	1
23	Prrxl1	NM_001001796	-31931	0	1	0
24	Atp11c	NM_001001798	-43	1	0	0
25	Atp11c	NM_001001798	-67	1	0	0
26	Zfp36l2	NM_001001806	1490	0	1	0
27	Zfp36l2	NM_001001806	41839	0	0	0
28	2510009E07Rik	NM_001001881	29584	0	0	1
29	Hecw2	NM_001001883	-4679	0	0	0
30	Nckap5l	NM_001001884	31287	0	1	0
31	Nckap5l	NM_001001884	30697	0	1	0
32	Tmem151a	NM_001001885	-16	1	0	0
33	Limch1	NM_001001980	-273	1	0	0
34	Limch1	NM_001001980	14	1	1	0
35	A430105I19Rik	NM_001001982	295	1	0	1
36	A430105I19Rik	NM_001001982	304	1	0	1
37	A430105I19Rik	NM_001001982	-35	1	0	0
38	Nat8l	NM_001001985	1536	0	0	1
39	Adgrg6	NM_001002268	-596	1	0	0
40	Adgrg6	NM_001002268	-511	1	0	0
41	Rab44	NM_001002786	3003	0	1	0
42	Rab44	NM_001002786	49302	0	0	1
43	Ccin	NM_001002787	1414	0	1	0
44	Ccin	NM_001002787	-1155	0	0	0
45	Ccin	NM_001002787	1287	0	1	0
46	Bfsp2	NM_001002896	331	1	1	0
47	Bfsp2	NM_001002896	-12193	0	0	1
48	Bfsp2	NM_001002896	402	1	1	0
49	Pcdhac2	NM_001003672	42	1	1	1
50	Cltc	NM_001003908	78	1	1	0
51	Adamts7	NM_001003911	19752	0	0	1
52	Atg9a	NM_001003917	5247	0	1	0
53	Ddx11	NM_001003919	120744	0	0	0
54	Brsk1	NM_001003920	13825	0	0	1
55	Pid1	NM_001003948	-8949	0	0	0
56	Pid1	NM_001003948	373803	0	0	0
57	Tmem259	NM_001003949	4751	0	1	1
58	Tmem259	NM_001003949	6590	0	1	1
59	Tmem259	NM_001003949	4714	0	1	1
60	Ces5a	NM_001003951	-135429	0	0	0
61	Fam170a	NM_001004061	143759	0	0	0
62	Crtc1	NM_001004062	-13091	0	1	0
63	Crtc1	NM_001004062	-13106	0	1	0
64	Zfp619	NM_001004139	141496	0	0	0
65	Zfp619	NM_001004139	222822	0	0	0
66	Zfp619	NM_001004139	222816	0	0	0
67	Usp22	NM_001004143	15787	0	1	0
68	Git1	NM_001004144	-1533	0	0	0
69	Fbll1	NM_001004147	984	1	1	0
70	Slc13a5	NM_001004148	213	1	0	1
71	Slc13a5	NM_001004148	240	1	0	1
72	Slc13a5	NM_001004148	4663	0	0	1
73	Zfp366	NM_001004149	44048	0	1	0
74	A4galt	NM_001004150	-42047	0	0	0
75	AU018091	NM_001004153	-14924	0	0	0
76	9930012K11Rik	NM_001004155	-5900	0	0	1
77	Scarf1	NM_001004157	1907	0	1	0
78	Gnptab	NM_001004164	11226	0	0	1
79	Sgpp2	NM_001004173	270	1	0	1
80	Sgpp2	NM_001004173	51390	0	0	1
81	AA467197	NM_001004174	452	1	1	0
82	Maml3	NM_001004176	42869	0	0	1
83	Maml3	NM_001004176	60279	0	0	1
84	Maml3	NM_001004176	32113	0	0	1
85	Celsr2	NM_001004177	-288	1	0	0
86	Fam222a	NM_001004180	3405	0	0	1
87	Fam222a	NM_001004180	43801	0	1	0
88	Fam222a	NM_001004180	43641	0	1	0
89	Fam222a	NM_001004180	43808	0	1	0
90	Fam222a	NM_001004180	3205	0	0	1
91	Fam222a	NM_001004180	3711	0	0	1
92	Fam222a	NM_001004180	10280	0	0	1
93	Fam222a	NM_001004180	28601	0	0	1
94	Gm5617	NM_001004191	313	1	1	0
95	Nlrp4e	NM_001004194	10591	0	0	1
96	Cntnap2	NM_001004357	265979	0	0	1
97	Nuak1	NM_001004363	13929	0	0	1
