	name	feature.name	dist.to.feature	prom	exon	intron
1	Mfsd4b5	NM_001001489	-4093	0	0	0
2	Crtc1	NM_001004062	-13091	0	1	0
3	Unc13d	NM_001009573	14277	0	1	0
4	Scgb2b20	NM_001009952	36645	0	0	0
5	Hrh2	NM_001010973	72910	0	0	0
6	Fut10	NM_001012517	32002	0	0	1
7	Tmem151b	NM_001013749	4422	0	1	0
8	Sox6	NM_001025560	137	1	1	1
9	Sox6	NM_001025560	111	1	1	1
10	C77080	NM_001033189	22274	0	0	1
11	Qrich2	NM_001033267	391	1	0	1
12	Limk2	NM_001034030	2811	0	1	1
13	Atp11c	NM_001037863	160	1	1	0
14	Cldn19	NM_001038590	1646	0	0	1
15	Defb25	NM_001039122	8085	0	0	0
16	Edem3	NM_001039644	124517	0	0	0
17	Selt	NM_001040396	-19735	0	0	1
18	Dear1	NM_001040461	-20286	0	0	0
19	Nrp2	NM_001077404	19198	0	0	1
20	Sdhaf3	NM_001077713	55838	0	0	1
21	Mcur1	NM_001081059	5072	0	0	1
22	Prickle2	NM_001081146	-22893	0	0	0
23	L1td1	NM_001081202	-13069	0	0	1
24	Zfp777	NM_001081382	23493	0	1	0
25	Camta1	NM_001081557	296102	0	0	1
26	Xirp2	NM_001083919	-45971	0	0	0
27	Zfp467	NM_001085416	6182	0	1	1
28	Kif26a	NM_001097621	31671	0	1	0
29	Myof	NM_001099634	57753	0	0	1
30	Pklr	NM_001099779	11294	0	1	0
31	Slc35g2	NM_001101483	-12133	0	0	0
32	Stx16	NM_001102423	-89126	0	0	0
33	Skor2	NM_001109743	15871	0	0	1
34	Apold1	NM_001109914	-18664	0	0	0
35	Plcl1	NM_001114663	91893	0	0	1
36	Epb41	NM_001128607	-17779	0	0	0
37	Golga7b	NM_001141983	-16418	0	0	0
38	C5ar2	NM_001146005	4288	0	0	1
39	C5ar2	NM_001146005	4257	0	0	1
40	C5ar2	NM_001146005	4256	0	0	1
41	Wdfy4	NM_001146022	75446	0	1	0
42	H2afy	NM_001159514	18354	0	0	1
43	Nfasc	NM_001160316	-18007	0	0	1
44	Cdkn1c	NM_001161624	15930	0	0	0
45	Kif26b	NM_001161665	386360	0	1	0
46	Enthd1	NM_001163189	129857	0	0	0
47	Ntf3	NM_001164035	22491	0	0	1
48	Irf2bp2	NM_001164598	-8220	0	0	0
49	Soga1	NM_001164663	30094	0	0	1
50	Mia2	NM_001165253	5820	0	0	1
51	Slc39a11	NM_001166503	169136	0	0	1
52	Slc35b3	NM_001170431	-213371	0	0	0
53	Cpeb2	NM_001177379	-571555	0	0	0
54	Gm7102	NM_001177513	97267	0	0	1
55	Tsc22d1	NM_001177751	22	1	1	1
56	Hk3	NM_001206391	14868	0	1	0
57	Fam19a5	NM_001252310	-110154	0	0	0
58	Slc6a15	NM_001252330	242119	0	0	0
59	St6gal1	NM_001252506	10332	0	0	1
60	Sulf2	NM_001252578	56942	0	0	1
61	Rhobtb1	NM_001252636	-216561	0	0	0
62	Tbc1d7	NM_001252639	-40327	0	0	1
63	7530416G11Rik	NM_001256072	-4507	0	0	0
64	Eif4g3	NM_001256198	57529	0	0	1
65	Grip1	NM_001277292	-404	1	0	0
66	Pex5	NM_001277330	4339	0	0	1
67	Aqp1	NM_007472	-41419	0	0	1
68	C1qc	NM_007574	2449	0	1	0
69	Cdh15	NM_007662	28284	0	0	0
70	Col4a4	NM_007735	58594	0	0	1
71	Edn3	NM_007903	-58540	0	0	1
72	Enpep	NM_007934	45351	0	0	1
73	Esr1	NM_007956	9422	0	0	1
74	F9	NM_007979	-432051	0	0	0
75	Hsd17b3	NM_008291	94910	0	0	0
76	Klra5	NM_008463	-17331	0	0	0
77	Lamb1	NM_008482	37426	0	0	1
78	Marcks	NM_008538	-248125	0	0	0
79	Smad6	NM_008542	51625	0	0	1
80	Tnfrsf11b	NM_008764	25670	0	0	1
81	Pdgfa	NM_008808	16269	0	0	1
82	Ppl	NM_008909	-4594	0	0	0
83	Sst	NM_009215	-10954	0	0	0
84	Tle3	NM_009389	10120	0	0	1
85	Top2b	NM_009409	-56660	0	0	1
86	Xrcc1	NM_009532	690	1	1	0
87	Atp8a1	NM_009727	41217	0	0	1
88	S1pr3	NM_010101	-15645	0	0	0
89	Efna5	NM_010109	15498	0	0	1
90	Epha7	NM_010141	303698	0	0	0
91	Ephb2	NM_010142	57532	0	0	1
92	Gsr	NM_010344	13095	0	0	1
93	Hrc	NM_010473	6626	0	0	1
94	Klf9	NM_010638	-82468	0	0	0
95	Krt18	NM_010664	1297	0	1	0
96	Pde4d	NM_011056	194278	0	0	1
97	Plaur	NM_011113	4331	0	0	1
98	Rasgrp1	NM_011246	-95270	0	0	0
99	Sox14	NM_011440	820	1	1	0
100	Dctn6	NM_011722	13498	0	0	1
101	Dctn6	NM_011722	13497	0	0	1
102	Lypla2	NM_011942	2968	0	1	0
103	Map3k1	NM_011945	7388	0	0	1
104	Etv3	NM_012051	-25289	0	1	0
105	Frg1	NM_013522	-141294	0	0	0
106	Hprt	NM_013556	479	1	0	1
107	Lifr	NM_013584	10302	0	0	1
108	Sult4a1	NM_013873	18954	0	0	1
109	Hunk	NM_015755	15532	0	0	1
110	Chst3	NM_016803	35568	0	1	0
111	Ppp1r3c	NM_016854	20286	0	0	0
112	Rab11a	NM_017382	64414	0	0	1
113	Zfp326	NM_018759	101851	0	0	0
114	Ntsr1	NM_018766	-11433	0	0	0
115	Dfna5	NM_018769	-16499	0	0	0
116	Pebp1	NM_018858	56377	0	0	1
117	Uchl5	NM_019562	77	1	1	0
118	Uchl5	NM_019562	84	1	1	0
119	Uchl5	NM_019562	97	1	1	0
120	Uchl5	NM_019562	102	1	1	0
121	Uchl5	NM_019562	86	1	1	0
122	Ykt6	NM_019661	31762	0	0	1
123	Pex14	NM_019781	24626	0	0	1
124	B4galt5	NM_019835	-23151	0	0	0
125	Pmfbp1	NM_019938	-35477	0	0	0
126	Stard10	NM_019990	12519	0	0	1
127	Xpo4	NM_020506	-31150	0	0	1
128	Caln1	NM_021371	293537	0	0	1
129	Rnf32	NM_021470	-10611	0	0	0
130	Arhgap23	NM_021493	50290	0	1	0
131	Moxd1	NM_021509	53950	0	0	1
132	Rab2a	NM_021518	-109311	0	0	0
133	Oca2	NM_021879	123638	0	0	1
134	Ube4b	NM_022022	25414	0	0	1
135	Ptges	NM_022415	-17089	0	0	0
136	Pmepa1	NM_022995	-2666	0	0	0
137	Npc2	NM_023409	12432	0	0	1
138	Anapc4	NM_024213	-10104	0	0	0
139	Commd5	NM_025536	-9171	0	1	0
140	2610301B20Rik	NM_026005	48858	0	0	0
141	Tmed9	NM_026211	2185	0	0	1
142	Pop5	NM_026398	-612	1	0	0
143	Zdhhc21	NM_026647	97429	0	0	0
144	Ccdc167	NM_026782	-58882	0	0	0
145	1700008P02Rik	NM_027048	-200809	0	0	0
146	2010107G23Rik	NM_027251	52977	0	0	0
147	Cpm	NM_027468	9813	0	0	1
148	Dhrs2	NM_027790	-52309	0	0	0
