	name	feature.name	dist.to.feature	prom	exon	intron
1	Scap	NM_001001144	35351	0	0	1
2	Scap	NM_001001144	2002	0	0	1
3	Scap	NM_001001144	1988	0	0	1
4	Scap	NM_001001144	7925	0	0	1
5	Fbxo41	NM_001001160	18579	0	1	0
6	Fbxo41	NM_001001160	18593	0	1	0
7	Fbxo41	NM_001001160	24175	0	0	1
8	Fbxo41	NM_001001160	24792	0	0	1
9	Fbxo41	NM_001001160	18183	0	1	0
10	Fbxo41	NM_001001160	24418	0	1	0
11	Fbxo41	NM_001001160	18725	0	1	0
12	Fbxo41	NM_001001160	18221	0	1	0
13	Fbxo41	NM_001001160	18238	0	1	0
14	Taf9b	NM_001001176	332	1	0	1
15	Taf9b	NM_001001176	293	1	0	1
16	Taf9b	NM_001001176	300	1	0	1
17	Taf9b	NM_001001176	190	1	1	0
18	Taf9b	NM_001001176	336	1	0	1
19	Taf9b	NM_001001176	105	1	1	1
20	Taf9b	NM_001001176	102	1	1	1
21	Taf9b	NM_001001176	204	1	1	0
22	Taf9b	NM_001001176	290	1	0	1
23	Taf9b	NM_001001176	270	1	0	1
24	Taf9b	NM_001001176	222	1	1	0
25	Taf9b	NM_001001176	251	1	1	0
26	Taf9b	NM_001001176	101	1	1	1
27	Taf9b	NM_001001176	277	1	0	1
28	Taf9b	NM_001001176	172	1	1	0
29	Taf9b	NM_001001176	344	1	0	1
30	Taf9b	NM_001001176	233	1	1	0
31	Taf9b	NM_001001176	84	1	1	1
32	Taf9b	NM_001001176	275	1	0	1
33	Taf9b	NM_001001176	301	1	0	1
34	Taf9b	NM_001001176	294	1	0	1
35	Taf9b	NM_001001176	333	1	0	1
36	Taf9b	NM_001001176	337	1	0	1
37	Taf9b	NM_001001176	85	1	1	1
38	Ccdc148	NM_001001178	55189	0	0	1
39	Ccdc148	NM_001001178	-22558	0	0	0
40	Ccdc148	NM_001001178	-24289	0	0	0
41	BC048546	NM_001001179	2209	0	0	1
42	BC048546	NM_001001179	-6467	0	0	0
43	BC048546	NM_001001179	9653	0	0	1
44	BC048546	NM_001001179	2213	0	0	1
45	BC031181	NM_001001181	2898	0	1	0
46	Baz2b	NM_001001182	-4743	0	0	0
47	Baz2b	NM_001001182	-4763	0	0	0
48	Baz2b	NM_001001182	88219	0	0	1
49	Baz2b	NM_001001182	-4764	0	0	0
50	Baz2b	NM_001001182	18349	0	0	1
51	Baz2b	NM_001001182	18328	0	0	1
52	Baz2b	NM_001001182	54455	0	0	1
53	Baz2b	NM_001001182	-4802	0	0	0
54	Baz2b	NM_001001182	18475	0	0	1
55	Tmem204	NM_001001183	2936	0	0	1
56	Tmem204	NM_001001183	-3695	0	0	1
57	Tmem204	NM_001001183	22824	0	1	1
58	BC048507	NM_001001185	-524	1	0	0
59	BC048507	NM_001001185	-329	1	0	0
60	BC048507	NM_001001185	-352	1	0	0
61	Zfp456	NM_001001186	-8194	0	0	0
62	Dis3l	NM_001001295	-107	1	0	0
63	Dis3l	NM_001001295	-14024	0	0	0
64	Dis3l	NM_001001295	-16766	0	0	0
65	Slc35d2	NM_001001321	178	1	0	1
66	Slc35d2	NM_001001321	-1030	0	0	0
67	St5	NM_001001326	-11696	0	0	0
68	St5	NM_001001326	-20318	0	0	0
69	Hexdc	NM_001001333	-11169	0	0	1
70	Hexdc	NM_001001333	-11065	0	0	1
71	Hexdc	NM_001001333	-11210	0	0	1
72	Spag6	NM_001001334	101908	0	0	0
73	Spag6	NM_001001334	-10034	0	0	0
74	Spag6	NM_001001334	82455	0	0	0
75	Spag6	NM_001001334	101440	0	0	0
76	Spag6	NM_001001334	82477	0	0	0
77	Spag6	NM_001001334	101459	0	0	0
78	Spag6	NM_001001334	481	1	0	1
79	Spag6	NM_001001334	119372	0	0	0
80	Defb29	NM_001001444	1257	0	1	0
81	Trpv1	NM_001001445	3561	0	0	1
82	AF067063	NM_001001449	-7775	0	0	0
83	AF067063	NM_001001449	7808	0	0	0
84	AF067063	NM_001001449	7913	0	0	0
85	AF067063	NM_001001449	11394	0	0	0
