	name	feature.name	dist.to.feature	prom	exon	intron
1	Fbxo41	NM_001001160	21930	0	1	0
2	Fbxo41	NM_001001160	18737	0	1	0
3	Fbxo41	NM_001001160	41	1	1	0
4	Fbxo41	NM_001001160	18373	0	1	0
5	Fbxo41	NM_001001160	24562	0	0	1
6	Fbxo41	NM_001001160	24409	0	1	0
7	Fbxo41	NM_001001160	18221	0	1	0
8	Fbxo41	NM_001001160	18750	0	1	0
9	Taf9b	NM_001001176	204	1	1	0
10	Ccdc148	NM_001001178	55370	0	0	1
11	Ccdc148	NM_001001178	37372	0	0	1
12	BC048546	NM_001001179	1414	0	0	1
13	Baz2b	NM_001001182	18349	0	0	1
14	Baz2b	NM_001001182	54529	0	0	1
15	Baz2b	NM_001001182	68376	0	0	1
16	Tmem204	NM_001001183	-8304	0	1	0
17	Tmem204	NM_001001183	22806	0	1	1
18	Tmem204	NM_001001183	22824	0	1	1
19	Tmem204	NM_001001183	2855	0	0	1
20	Tmem204	NM_001001183	-9621	0	1	0
21	Tmem204	NM_001001183	29437	0	0	1
22	BC048507	NM_001001185	359	1	1	0
23	BC048507	NM_001001185	16839	0	0	0
24	BC048507	NM_001001185	-363	1	0	0
25	BC048507	NM_001001185	367	1	1	0
26	BC048507	NM_001001185	325197	0	0	0
27	BC048507	NM_001001185	-329	1	0	0
28	Zfp456	NM_001001186	-8186	0	0	0
29	Thnsl1	NM_001001297	52353	0	0	0
30	Itga8	NM_001001309	-14695	0	0	0
31	Slc35d2	NM_001001321	178	1	0	1
32	Spag6	NM_001001334	68147	0	0	0
33	Spag6	NM_001001334	-314	1	0	0
34	Spag6	NM_001001334	101697	0	0	0
35	Spag6	NM_001001334	82383	0	0	0
36	Spag6	NM_001001334	-9971	0	0	0
37	Spag6	NM_001001334	101822	0	0	0
38	Spag6	NM_001001334	101561	0	0	0
39	Spag6	NM_001001334	-10013	0	0	0
40	Spag6	NM_001001334	112474	0	0	0
41	Spag6	NM_001001334	450	1	0	1
42	Spag6	NM_001001334	101798	0	0	0
43	Spag6	NM_001001334	112478	0	0	0
44	Trpv1	NM_001001445	99	1	1	0
45	Trpv1	NM_001001445	-15285	0	1	0
46	Trpv1	NM_001001445	138	1	1	0
47	Trpv1	NM_001001445	100	1	1	0
48	Trpv1	NM_001001445	3529	0	0	1
49	Trpv1	NM_001001445	144	1	1	0
50	Zscan22	NM_001001447	44	1	1	0
51	Ssxb2	NM_001001450	-14793	0	0	0
52	Tas2r144	NM_001001453	12276	0	0	0
53	Tas2r144	NM_001001453	12347	0	0	0
54	Ttyh1	NM_001001454	70	1	1	1
55	Ttyh1	NM_001001454	187	1	1	0
56	Ttyh1	NM_001001454	184	1	1	0
57	Ttyh1	NM_001001454	60	1	1	1
58	Ttyh1	NM_001001454	46	1	1	1
59	Ttyh1	NM_001001454	59	1	1	1
60	Ttyh1	NM_001001454	229	1	1	0
61	Ttyh1	NM_001001454	15	1	1	1
62	Atp8b1	NM_001001488	-124	1	0	0
63	Atp8b1	NM_001001488	-105389	0	0	0
64	Atp8b1	NM_001001488	-263	1	0	0
65	Atp8b1	NM_001001488	-105350	0	0	0
66	Atp8b1	NM_001001488	255	1	1	0
67	Mfsd4b5	NM_001001489	-4060	0	0	0
68	Oxgr1	NM_001001490	108425	0	0	0
69	Oxgr1	NM_001001490	-40813	0	0	0
70	Oxgr1	NM_001001490	-47554	0	0	0
71	Oxgr1	NM_001001490	-106495	0	0	0
72	Oxgr1	NM_001001490	-104080	0	0	0
73	Oxgr1	NM_001001490	-93535	0	0	0
74	Oxgr1	NM_001001490	-107210	0	0	0
75	Oxgr1	NM_001001490	-106262	0	0	0
76	Oxgr1	NM_001001490	-104058	0	0	0
77	Oxgr1	NM_001001490	-106506	0	0	0
78	Oxgr1	NM_001001490	20107	0	1	0
79	Oxgr1	NM_001001490	-95686	0	0	0
80	Tpm4	NM_001001491	662	1	0	1
81	Lca5l	NM_001001492	665	1	0	1
82	Lca5l	NM_001001492	373	1	0	1
83	Lca5l	NM_001001492	11136	0	0	1
84	Wdr83os	NM_001001493	719	1	0	1
85	Wdr83os	NM_001001493	670	1	0	1
86	Gja6	NM_001001496	34508	0	0	1
87	Chpf	NM_001001566	9757	0	1	0
88	Chpf	NM_001001566	1830	0	1	0
89	Chpf	NM_001001566	2160	0	1	0
90	Chpf	NM_001001566	4172	0	1	0
91	Chpf	NM_001001566	2971	0	0	1
92	Chpf	NM_001001566	2765	0	1	0
93	Dab2ip	NM_001001602	40195	0	0	0
94	Dab2ip	NM_001001602	27885	0	1	0
95	Dab2ip	NM_001001602	-23586	0	0	1
96	Dab2ip	NM_001001602	-23559	0	0	1
97	Dab2ip	NM_001001602	-28761	0	0	1
98	Dab2ip	NM_001001602	40278	0	0	0
99	Dab2ip	NM_001001602	-28817	0	0	1
100	Prss48	NM_001001650	31334	0	0	0
101	Prss48	NM_001001650	-11286	0	0	0
102	Prss48	NM_001001650	31036	0	0	0
103	Prss48	NM_001001650	-2446	0	0	0
104	Prss48	NM_001001650	5322	0	0	1
105	Whsc1l1	NM_001001735	-6	1	0	0
106	Itprip	NM_001001738	15883	0	0	1
107	Itprip	NM_001001738	22464	0	1	0
108	Itprip	NM_001001738	25464	0	0	0
109	Itprip	NM_001001738	19526	0	0	1
110	Itprip	NM_001001738	24466	0	1	0
111	Itprip	NM_001001738	16017	0	0	1
112	Itprip	NM_001001738	22645	0	1	0
113	Itprip	NM_001001738	21493	0	1	0
114	Zfp239	NM_001001792	8483	0	1	0
115	Zfp239	NM_001001792	8448	0	1	0
116	Prrxl1	NM_001001796	-1838	0	0	0
117	Prrxl1	NM_001001796	-1915	0	0	0
118	Prrxl1	NM_001001796	-1701	0	0	0
119	Prrxl1	NM_001001796	-31931	0	1	0
120	Prrxl1	NM_001001796	150	1	0	1
121	Prrxl1	NM_001001796	-2048	0	0	0
122	Prrxl1	NM_001001796	126	1	1	0
123	Prrxl1	NM_001001796	-937	1	0	0
124	Prrxl1	NM_001001796	59	1	1	0
125	Prrxl1	NM_001001796	-2178	0	0	0
126	Prrxl1	NM_001001796	353	1	0	1
127	Prrxl1	NM_001001796	564	1	0	1
128	Prrxl1	NM_001001796	-2009	0	0	0
129	Atp11c	NM_001001798	-451	1	0	0
130	Atp11c	NM_001001798	-460	1	0	0
131	Atp11c	NM_001001798	-448	1	0	0
132	Atp11c	NM_001001798	-456	1	0	0
133	Spink7	NM_001001803	-2486	0	0	1
134	Ephx4	NM_001001804	212	1	1	0
135	Ephx4	NM_001001804	-149	1	0	0
136	Zfp36l2	NM_001001806	5695	0	0	0
137	Zfp36l2	NM_001001806	6186	0	0	0
138	Zfp36l2	NM_001001806	30563	0	0	0
139	Zfp36l2	NM_001001806	41839	0	0	0
140	Zfp36l2	NM_001001806	24472	0	0	0
141	Zfp36l2	NM_001001806	-81163	0	0	1
142	Zfp36l2	NM_001001806	5155	0	0	0
143	Zfp36l2	NM_001001806	30558	0	0	0
144	Zfp36l2	NM_001001806	-96537	0	0	1
145	Zfp36l2	NM_001001806	-391	1	0	0
146	Mpzl1	NM_001001880	-33684	0	0	1
147	Mpzl1	NM_001001880	-337	1	0	0
148	Mpzl1	NM_001001880	-11259	0	0	0
149	Mpzl1	NM_001001880	-22989	0	1	0
150	2510009E07Rik	NM_001001881	66391	0	0	1
151	2510009E07Rik	NM_001001881	98718	0	0	1
152	2510009E07Rik	NM_001001881	-36469	0	0	0
153	2510009E07Rik	NM_001001881	-208	1	0	0
154	2510009E07Rik	NM_001001881	-36590	0	0	0
155	2510009E07Rik	NM_001001881	-337	1	0	0
156	2510009E07Rik	NM_001001881	35912	0	0	1
157	2510009E07Rik	NM_001001881	130794	0	0	1
158	Rtel1	NM_001001882	232	1	0	1
159	Nckap5l	NM_001001884	30714	0	1	0
160	Nckap5l	NM_001001884	30440	0	1	0
161	Nckap5l	NM_001001884	31787	0	1	0
162	Nckap5l	NM_001001884	32149	0	1	0
163	Nckap5l	NM_001001884	30806	0	1	0
164	Nckap5l	NM_001001884	31017	0	1	0
165	Nckap5l	NM_001001884	10640	0	0	1
166	Nckap5l	NM_001001884	23639	0	1	0
