	name	feature.name	dist.to.feature	prom	exon	intron
1	Panx2	NM_001002005	7957	0	1	0
2	Rpl17	NM_001002239	249	1	0	1
3	Crtc1	NM_001004062	-13091	0	1	0
4	Cxxc4	NM_001004367	-221749	0	0	0
5	Ado	NM_001005419	-117946	0	0	0
6	Unc13d	NM_001009573	14277	0	1	0
7	Zfp708	NM_001012448	4140	0	0	1
8	Fut10	NM_001012517	32002	0	0	1
9	E2f8	NM_001013368	-646	1	0	0
10	Zfp930	NM_001013379	-32412	0	0	0
11	Dync1li2	NM_001013380	254	1	1	0
12	Maml2	NM_001013813	-58969	0	0	0
13	Dyrk2	NM_001014390	527	1	0	1
14	Dppa4	NM_001018002	734	1	0	1
15	Mctp2	NM_001024703	849947	0	0	0
16	Mctp2	NM_001024703	849927	0	0	0
17	Kcnc2	NM_001025581	177915	0	0	1
18	Vrk1	NM_001029844	174655	0	0	0
19	Bbs1	NM_001033128	-8995	0	0	1
20	Fbxo33	NM_001033156	-212055	0	0	0
21	Fbxo33	NM_001033156	-301351	0	0	0
22	Gtf3c3	NM_001033194	-50186	0	0	1
23	Qrich2	NM_001033267	391	1	0	1
24	Spata13	NM_001033272	-47544	0	0	0
25	Shb	NM_001033306	23551	0	0	1
26	Lrrc30	NM_001033340	132442	0	0	0
27	Lrrc30	NM_001033340	80295	0	0	0
28	Cdc42bpg	NM_001033342	442	1	0	1
29	Ccdc27	NM_001033455	-21723	0	1	0
30	Limk2	NM_001034030	2811	0	1	1
31	Atp11c	NM_001037863	160	1	1	0
32	Cldn19	NM_001038590	1646	0	0	1
33	Glrx2	NM_001038594	13575	0	1	0
34	Triobp	NM_001039156	3410	0	0	1
35	Mex3c	NM_001039214	-136479	0	0	0
36	Mex3c	NM_001039214	29286	0	0	0
37	Edem3	NM_001039644	124517	0	0	0
38	Nynrin	NM_001040072	10189	0	1	0
39	Med15	NM_001040683	-3919	0	0	0
40	Txnrd1	NM_001042523	-3723	0	0	0
41	Bdnf	NM_001048139	564	1	0	1
42	Sdhaf3	NM_001077713	55838	0	0	1
43	Hdx	NM_001080549	-197811	0	0	0
44	Gtf2i	NM_001080749	17968	0	0	1
45	Rapgefl1	NM_001080925	-6526	0	0	1
46	Ptpn23	NM_001081043	-5126	0	0	0
47	Trappc10	NM_001081055	-100	1	0	0
48	Aunip	NM_001081099	-4034	0	1	0
49	Prickle2	NM_001081146	-22893	0	0	0
50	Npat	NM_001081152	-157	1	0	0
51	Lama5	NM_001081171	20876	0	0	1
52	Lama5	NM_001081171	1392	0	0	1
53	L1td1	NM_001081202	-13069	0	0	1
54	L1td1	NM_001081202	29674	0	1	0
55	Fam186b	NM_001081254	7848	0	1	0
56	Tmem28	NM_001081283	-969	1	0	0
57	Rimbp2	NM_001081388	107060	0	0	1
58	Camta1	NM_001081557	391925	0	0	1
59	Camta1	NM_001081557	299325	0	0	1
60	Camta1	NM_001081557	296102	0	0	1
61	Dytn	NM_001081658	81629	0	0	0
62	Lhx6	NM_001083127	6459	0	0	1
63	Ptchd2	NM_001083342	31147	0	1	0
64	Xirp2	NM_001083919	-45971	0	0	0
65	1600014C10Rik	NM_001085385	-11407	0	0	0
66	Pramef6	NM_001085414	18295	0	0	0
67	Gm436	NM_001085504	25001	0	0	0
68	Gm436	NM_001085504	9542	0	0	1
69	Myadm	NM_001093766	4114	0	1	0
70	Kif26a	NM_001097621	31671	0	1	0
71	Nr1i2	NM_001098404	89311	0	0	1
72	Tox2	NM_001098799	-36789	0	0	0
73	Ptrh2	NM_001098810	14075	0	0	1
74	Tekt5	NM_001099275	10031	0	0	1
75	Ajap1	NM_001099299	20682	0	0	1
76	Ajap1	NM_001099299	538	1	1	0
77	Myof	NM_001099634	57753	0	0	1
78	Gsg1l	NM_001101488	122201	0	0	1
79	Stx16	NM_001102423	-89126	0	0	0
80	Skor2	NM_001109743	15871	0	0	1
81	Apold1	NM_001109914	-18664	0	0	0
82	Banp	NM_001110100	123690	0	0	0
83	Keap1	NM_001110305	11284	0	0	0
84	Sprtn	NM_001111141	14853	0	0	1
85	Synj2	NM_001113351	-16202	0	0	1
86	Shank2	NM_001113373	-42525	0	0	1
87	Lrrc32	NM_001113379	-10653	0	0	0
88	Sept9	NM_001113487	-1439	0	0	1
89	Sox5	NM_001113559	159386	0	0	1
90	Mtcl1	NM_001114098	107975	0	0	1
91	Plcl1	NM_001114663	91893	0	0	1
92	Tfap2a	NM_001122948	20216	0	0	0
93	Sema4c	NM_001126047	-11465	0	0	1
94	Snx10	NM_001127348	9585	0	0	1
95	Psen2	NM_001128605	-7300	0	0	0
96	Jade1	NM_001130186	19561	0	0	1
97	Nucb2	NM_001130479	79928	0	0	0
98	Nucb2	NM_001130479	139584	0	0	0
99	Prr23a1	NM_001134660	-11175	0	0	0
100	CK137956	NM_001134733	211781	0	0	0
101	CK137956	NM_001134733	211788	0	0	0
102	Ppp2r5c	NM_001135001	-73685	0	0	0
103	3110062M04Rik	NM_001135611	-39	1	0	0
104	H2-Q4	NM_001143689	-60	1	0	0
105	Arhgap40	NM_001145015	38076	0	0	0
106	Arhgef33	NM_001145452	15241	0	0	1
107	C5ar2	NM_001146005	4256	0	0	1
108	C5ar2	NM_001146005	4288	0	0	1
109	C5ar2	NM_001146005	4257	0	0	1
110	Hk1	NM_001146100	10535	0	0	1
111	Smoc1	NM_001146217	276	1	1	0
112	Sh3rf2	NM_001146299	13367	0	0	1
113	Ces3b	NM_001159415	15504	0	0	0
114	H2afy	NM_001159514	18354	0	0	1
115	Tfap2c	NM_001159696	188033	0	0	0
116	Klhdc7b	NM_001160178	-3798	0	0	0
117	Ppp2r3a	NM_001161362	-365657	0	0	0
118	Fscb	NM_001163271	1066116	0	0	0
119	Clrn2	NM_001163317	9703	0	0	1
120	Snx11	NM_001163389	102174	0	0	1
121	Ntf3	NM_001164035	22491	0	0	1
122	Mb	NM_001164048	23733	0	0	0
123	Amigo2	NM_001164602	-137128	0	1	0
124	Robo3	NM_001164767	-27387	0	0	0
125	Slc38a1	NM_001166458	-15181	0	0	0
126	Slc39a11	NM_001166503	169136	0	0	1
127	Ephb1	NM_001168296	387181	0	0	1
128	Ephb1	NM_001168296	361500	0	0	1
129	Tinagl1	NM_001168333	668	1	1	0
130	Dynll2	NM_001168472	35716	0	0	0
131	Mapk14	NM_001168513	-279	1	0	1
132	Slc35b3	NM_001170431	-213371	0	0	0
133	Rbms3	NM_001172121	63388	0	0	1
134	Nfkb2	NM_001177370	10095	0	0	1
135	Cpeb2	NM_001177379	-571555	0	0	0
136	Gm7102	NM_001177513	97267	0	0	1
137	Nsmf	NM_001177654	-14687	0	1	0
138	Rreb1	NM_001177869	41378	0	1	1
139	Adamtsl3	NM_001190374	75692	0	0	1
140	Adamtsl3	NM_001190374	149669	0	0	1
141	Dlk1	NM_001190703	42938	0	0	0
142	Gm5294	NM_001195128	1099	0	0	1
143	Arhgef2	NM_001198913	12828	0	0	1
144	Lgals8	NM_001199043	-16527	0	1	0
145	Iffo2	NM_001205173	-18703	0	0	1
146	Gramd4	NM_001205353	55108	0	0	1
147	Hk3	NM_001206391	14868	0	1	0
148	Arntl	NM_001243048	73552	0	0	1
149	Slc6a15	NM_001252330	242119	0	0	0
150	Cyfip2	NM_001252460	2934	0	0	1
151	Tbc1d7	NM_001252639	-40327	0	0	1
152	Atg7	NM_001253717	82295	0	0	1
153	Fstl5	NM_001253719	686951	0	0	0
154	Scn5a	NM_001253860	-6949	0	0	1
155	Scn5a	NM_001253860	15069	0	0	1
156	Scn5a	NM_001253860	10216	0	0	1
157	7530416G11Rik	NM_001256072	-4507	0	0	0
158	7530416G11Rik	NM_001256072	-4513	0	0	0
159	7530416G11Rik	NM_001256072	-4489	0	0	0
160	Eif4g3	NM_001256198	57529	0	0	1
161	Cdc7	NM_001271566	87434	0	0	0
162	Cdc7	NM_001271566	87418	0	0	0
163	Ano5	NM_001271879	-439	1	0	0
164	Ube2dnl1	NM_001276396	-209682	0	0	0
165	Grip1	NM_001277295	-22162	0	0	1
166	Umod	NM_001278605	2462	0	1	0
167	Acvr2a	NM_007396	-1128530	0	0	0
168	Adcy7	NM_007406	410	1	0	1
169	Arf6	NM_007481	16208	0	0	0
170	Arf6	NM_007481	16207	0	0	0
171	Arg1	NM_007482	-88886	0	0	0
172	Art2a-ps	NM_007490	12023	0	0	0
173	Bmp7	NM_007557	23123	0	0	1
174	Cd48	NM_007649	13642	0	1	0
175	Cd9	NM_007657	3382	0	0	1
176	Cit	NM_007708	68588	0	0	1
177	Col4a4	NM_007735	58594	0	0	1
178	Cox6a1	NM_007748	-9143	0	0	0
179	Cox7c	NM_007749	-1081698	0	0	0
180	Cox7c	NM_007749	-1081595	0	0	0
181	Cyb561	NM_007805	154095	0	0	1
182	Ddost	NM_007838	5682	0	0	1
183	Enpep	NM_007934	51988	0	1	0
184	F9	NM_007979	-432051	0	0	0
185	Igfbp7	NM_008048	-175	1	0	0
186	Grin2d	NM_008172	285	1	1	0
187	H3f3a	NM_008210	14086	0	0	0
188	Hes1	NM_008235	25189	0	0	0
189	Hsd17b3	NM_008291	94910	0	0	0
190	Irf8	NM_008320	168490	0	0	0
191	Itga2	NM_008396	-56624	0	0	1
192	Itga6	NM_008397	37232	0	0	1
193	Cuzd1	NM_008411	22713	0	0	0
194	Klra5	NM_008463	-17331	0	0	0
195	Lama1	NM_008480	91169	0	0	1
196	Sh2b3	NM_008507	19157	0	1	0
197	Marcks	NM_008538	-248125	0	0	0
198	Met	NM_008591	-65416	0	0	0
199	Mmp2	NM_008610	230	1	1	0
200	Pdcd2	NM_008799	-9395	0	0	0
201	Pet2	NM_008821	92094	0	0	0
202	Phox2b	NM_008888	2592	0	1	0
203	Ppl	NM_008909	-4594	0	0	0
204	Ppm1a	NM_008910	-9145	0	0	0
205	Rps29	NM_009093	15786	0	0	0
206	Sstr3	NM_009218	475	1	1	0
207	Tacr2	NM_009314	34089	0	1	0
208	Thy1	NM_009382	-22827	0	0	0
209	Tle3	NM_009389	10128	0	0	1
210	Tle3	NM_009389	10120	0	0	1
211	Top2b	NM_009409	-56660	0	0	1
212	Tpi1	NM_009415	265	1	1	0
213	Tpi1	NM_009415	279	1	1	0
214	Tpi1	NM_009415	274	1	1	0
215	Tpi1	NM_009415	-3716	0	1	0
216	Tnfsf4	NM_009452	-70583	0	0	0
217	Vamp3	NM_009498	-233036	0	0	1
218	Wnt11	NM_009519	-3577	0	0	0
219	Wnt11	NM_009519	32098	0	0	0
220	Wnt11	NM_009519	-3580	0	0	0
221	Xrcc1	NM_009532	690	1	1	0
222	Zfp64	NM_009564	23836	0	0	1
223	Adra2b	NM_009633	-6808	0	1	0
224	Ap3b1	NM_009680	3581	0	0	1
225	Ap3b1	NM_009680	78808	0	0	1
226	Bfsp1	NM_009751	468	1	1	0
227	Bfsp1	NM_009751	515	1	1	0
228	C1qb	NM_009777	24148	0	0	0
229	Car2	NM_009801	1686	0	0	1
230	Casq2	NM_009814	48433	0	0	1
231	Noct	NM_009834	-162514	0	0	0
232	Cdh11	NM_009866	1678411	0	0	0
233	Cdkn1b	NM_009875	-3810	0	0	0
234	Celsr1	NM_009886	54899	0	1	0
235	Celsr1	NM_009886	4191	0	0	1
236	Igf2bp1	NM_009951	162	1	1	0
237	Cyp2a4	NM_009997	28182	0	0	0
238	Cyp2a4	NM_009997	28231	0	0	0
239	Dhfr	NM_010049	-78234	0	0	1
240	Dio2	NM_010050	12905	0	1	0
241	Dlx6	NM_010057	-7681	0	0	1
242	Dst	NM_010081	17616	0	1	1
243	Dtna	NM_010087	-104546	0	0	0
244	S1pr3	NM_010101	-15645	0	0	0
245	Efna5	NM_010109	15498	0	0	1
246	Epha7	NM_010141	303751	0	0	0
247	Epha7	NM_010141	303698	0	0	0
248	Ephb2	NM_010142	57532	0	0	1
249	Ext1	NM_010162	-178962	0	0	1
250	F2rl2	NM_010170	66351	0	1	0
251	Fcgr2b	NM_010187	12882	0	0	1
252	Gab2	NM_010248	-51094	0	0	1
253	Gbx2	NM_010262	-9014	0	0	0
254	Tsc22d3	NM_010286	628	1	0	1
255	Gsr	NM_010344	13095	0	0	1
256	Hap1	NM_010404	168	1	1	0
257	Hey1	NM_010423	-50749	0	0	0
258	Htr5b	NM_010483	27142	0	1	0
259	Il6ra	NM_010559	221	1	0	1
260	Klf12	NM_010636	-158728	0	0	0
261	Kpna2	NM_010655	-13133	0	0	0
262	Lrrn2	NM_010732	48287	0	0	1
263	Smad2	NM_010754	-19102	0	0	0
264	Man1a2	NM_010763	-34221	0	0	0
265	Cited2	NM_010828	-194118	0	0	0
266	Myd88	NM_010851	1901	0	1	0
267	Nefl	NM_010910	-34438	0	0	0
268	Oit3	NM_010959	2834	0	0	1
269	Pax9	NM_011041	129027	0	0	1
270	Prkce	NM_011104	48545	0	0	1
271	Plaur	NM_011113	4331	0	0	1
272	Plod1	NM_011122	14413	0	0	1
273	Pole2	NM_011133	7439	0	0	1
274	Ptpn1	NM_011201	-192	1	0	0
275	Rad51	NM_011234	145	1	1	0
276	Pitpnm2	NM_011256	-2545	0	0	0
277	Sub1	NM_011294	675	1	0	1
278	Scn8a	NM_011323	50295	0	0	1
279	Tbx5	NM_011537	32019	0	0	1
280	Dctn6	NM_011722	13497	0	0	1
281	Dctn6	NM_011722	13498	0	0	1
282	Sept3	NM_011889	-6793	0	0	0
283	Gnpda1	NM_011937	-9926	0	0	0
284	Map3k1	NM_011945	7388	0	0	1
285	Pclo	NM_011995	24709	0	1	0
286	Arhgef28	NM_012026	150774	0	0	1
287	St6galnac5	NM_012028	-140153	0	0	0
288	Rps3	NM_012052	270	1	0	1
289	Anxa3	NM_013470	-16563	0	0	1
290	Cpe	NM_013494	25214	0	0	1
291	Frg1	NM_013522	-141294	0	0	0
292	Hprt	NM_013556	479	1	0	1
293	Eif2ak1	NM_013557	-53718	0	0	0
294	Lifr	NM_013584	10279	0	0	1
295	Lifr	NM_013584	10302	0	0	1
296	Kitl	NM_013598	-85745	0	0	0
297	Oprd1	NM_013622	-21297	0	0	0
298	Srsf3	NM_013663	-7462	0	0	0
299	Zfp30	NM_013705	8226	0	1	0
300	Csnk1e	NM_013767	15756	0	1	0
301	Ror1	NM_013845	80107	0	0	1
302	Ndrg2	NM_013864	2777	0	1	0
303	Bcar3	NM_013867	-62864	0	0	0
304	Cabp1	NM_013879	-106	1	0	0
305	Pcsk1n	NM_013892	121	1	1	0
306	Adat1	NM_013925	3236	0	0	1
307	Gbx1	NM_015739	736	1	1	0
308	Aqp3	NM_016689	2498	0	0	1
309	Gpc3	NM_016697	142	1	1	1
310	C6	NM_016704	-42511	0	0	0
311	Batf	NM_016767	-17771	0	0	0
312	Tpmt	NM_016785	61	1	1	0
