	name	feature.name	dist.to.feature	prom	exon	intron
1	Prrxl1	NM_001001796	-321	1	0	0
2	Zfp36l2	NM_001001806	5634	0	0	0
3	A430105I19Rik	NM_001001982	304	1	0	1
4	Nat8l	NM_001001985	165	1	1	0
5	Panx2	NM_001002005	7957	0	1	0
6	Rpl17	NM_001002239	249	1	0	1
7	Brsk1	NM_001003920	13825	0	0	1
8	Zfp619	NM_001004139	34913	0	0	0
9	Slc13a5	NM_001004148	4615	0	0	1
10	Eif2a	NM_001005509	-187	1	1	0
11	Lmtk3	NM_001005511	10254	0	1	0
12	Mtus1	NM_001005864	-28028	0	1	0
13	Unc13d	NM_001009573	14277	0	1	0
14	Slc25a47	NM_001012310	9437	0	1	1
15	E2f8	NM_001013368	-646	1	0	0
16	Zfp930	NM_001013379	-32412	0	0	0
17	Dync1li2	NM_001013380	254	1	1	0
18	Lingo3	NM_001013758	143	1	0	1
19	Capn11	NM_001013767	-10793	0	0	1
20	Dyrk2	NM_001014390	527	1	0	1
21	Snx13	NM_001014973	142692	0	0	0
22	Fam189b	NM_001014995	-1327	0	0	1
23	Otol1	NM_001018031	325540	0	0	0
24	Gm5458	NM_001024706	285700	0	0	0
25	Ankrd34a	NM_001024851	61	1	1	0
26	Sept10	NM_001024910	172326	0	1	0
27	Bod1	NM_001024919	36489	0	0	0
28	Eno1b	NM_001025388	63381	0	0	0
29	Eno1b	NM_001025388	63381	0	0	0
30	Sdhaf1	NM_001033140	276	1	1	0
31	Fbxo33	NM_001033156	-212055	0	0	0
32	Gm732	NM_001033252	-265855	0	0	0
33	Zbtb16	NM_001033324	10879	0	0	1
34	Cdc42bpg	NM_001033342	442	1	0	1
35	Tmem211	NM_001033428	-12618	0	0	0
36	Wdr72	NM_001033500	337844	0	0	0
37	B020004J07Rik	NM_001033790	18921	0	0	0
38	Fam92b	NM_001033980	-51956	0	0	0
39	Fam92b	NM_001033980	-117214	0	0	0
40	Agap1	NM_001037136	84346	0	0	1
41	Col28a1	NM_001037865	118118	0	0	1
42	Cd226	NM_001039149	113366	0	0	1
43	Rbfox3	NM_001039167	706	1	0	1
44	AI429214	NM_001039220	111450	0	0	0
45	Pigl	NM_001039536	-4	1	0	0
46	Defb41	NM_001040027	-128075	0	0	0
47	Txnrd1	NM_001042523	-3723	0	0	0
48	Eml1	NM_001043336	-22139	0	0	0
49	Hhipl1	NM_001044380	5603	0	1	0
50	Cyb5d1	NM_001045525	-84	1	0	0
51	Pik3r1	NM_001077495	21898	0	0	1
52	Pigw	NM_001077636	-13300	0	0	1
53	Sdhaf3	NM_001077713	221299	0	0	0
54	Sdhaf3	NM_001077713	55838	0	0	1
55	Bcl11b	NM_001079883	-85642	0	0	0
56	Bcl11b	NM_001079883	-47070	0	0	0
57	Bcl11b	NM_001079883	-565	1	0	0
58	Gsg1	NM_001080553	-9032	0	0	0
59	Gtf2i	NM_001080749	17968	0	0	1
60	Prdm13	NM_001080771	-2949	0	0	0
61	Trappc10	NM_001081055	-100	1	0	0
62	Slc9a3	NM_001081060	-402	1	0	0
63	Lrp2	NM_001081088	93620	0	1	0
64	Npat	NM_001081152	-157	1	0	0
65	Chsy1	NM_001081163	-381	1	0	0
66	Lama5	NM_001081171	20876	0	0	1
67	Adgrf5	NM_001081178	-55328	0	0	0
68	B3glct	NM_001081204	293	1	0	1
69	Prdm14	NM_001081209	-31346	0	0	1
70	Myh13	NM_001081250	101591	0	0	0
71	Mphosph9	NM_001081323	101	1	1	0
72	Hs3st2	NM_001081327	-141321	0	0	0
73	Hs3st2	NM_001081327	-65	1	0	0
74	Rimbp2	NM_001081388	107060	0	0	1
75	1810013L24Rik	NM_001081400	383375	0	0	0
76	Camta1	NM_001081557	296102	0	0	1
77	Lhx6	NM_001083125	-3414	0	0	0
78	Spata31d1c	NM_001083890	19711	0	0	0
79	Xirp2	NM_001083919	-45971	0	0	0
80	Nr1i2	NM_001098404	13658	0	0	1
81	Nr1i2	NM_001098404	89311	0	0	1
82	Tox2	NM_001098799	-36789	0	0	0
83	Ajap1	NM_001099299	538	1	1	0
84	Ajap1	NM_001099299	-118322	0	0	0
85	Sult2a4	NM_001101534	-469	1	0	0
86	Serac1	NM_001111017	44323	0	1	0
87	Cd34	NM_001111059	99	1	1	0
88	Sox5	NM_001113559	159386	0	0	1
89	Epha7	NM_001122889	-962097	0	0	0
90	Prdm12	NM_001123362	14582	0	1	0
91	Pparg	NM_001127330	538	1	0	1
92	Epb41	NM_001128606	65	1	1	1
93	CK137956	NM_001134733	211788	0	0	0
94	CK137956	NM_001134733	211781	0	0	0
95	Ppp2r5c	NM_001135001	-73685	0	0	0
96	3110062M04Rik	NM_001135611	-39	1	0	0
97	Tpx2	NM_001141977	15	1	1	0
98	Tcf7l2	NM_001142924	102407	0	0	0
99	H2-Q4	NM_001143689	-60	1	0	0
100	Arhgef33	NM_001145452	15241	0	0	1
101	Rfx8	NM_001145660	32574	0	0	1
102	Gse1	NM_001145896	13308	0	0	1
103	Mrps10	NM_001146211	-12	1	0	0
104	Gjc1	NM_001159382	425	1	0	1
105	Celf2	NM_001160292	-102177	0	0	1
106	Myh11	NM_001161775	19576	0	0	1
107	Mroh1	NM_001162489	10821	0	0	1
108	Troap	NM_001162506	1840	0	0	1
109	Cog5	NM_001163126	181	1	0	1
110	Etv1	NM_001163154	185091	0	0	0
111	Etv1	NM_001163154	185119	0	0	0
112	Cdc42ep4	NM_001163346	-104400	0	0	1
113	Tmem170b	NM_001163572	148	1	0	1
114	Pdik1l	NM_001163794	990	1	0	1
115	Tgif1	NM_001164077	139414	0	0	1
116	Tia1	NM_001164079	59	1	1	0
117	Irf2bp2	NM_001164598	672	1	1	0
118	Rnf14	NM_001164621	-12	1	1	0
119	Soga1	NM_001164663	13236	0	0	1
120	Fam47c	NM_001164739	-59713	0	0	0
121	Robo3	NM_001164767	-27387	0	0	0
122	Mia2	NM_001165253	459	1	0	1
123	Lingo2	NM_001166001	289250	0	0	0
124	Hnrnpf	NM_001166427	416	1	0	1
125	Vmn1r238	NM_001167539	117705	0	0	0
126	Ankrd50	NM_001167883	45291	0	0	0
127	Ephb1	NM_001168296	382162	0	0	1
128	Phf14	NM_001168382	271	1	1	0
