	name	feature.name	dist.to.feature	prom	exon	intron
1	Mfsd4b5	NM_001001489	-4093	0	0	0
2	2510009E07Rik	NM_001001881	98718	0	0	1
3	Panx2	NM_001002005	7957	0	1	0
4	Rpl17	NM_001002239	249	1	0	1
5	Ado	NM_001005419	-117923	0	0	0
6	Ado	NM_001005419	-117946	0	0	0
7	Best3	NM_001007583	14959	0	0	1
8	Unc13d	NM_001009573	14277	0	1	0
9	Slc25a51	NM_001009949	-58993	0	0	1
10	Scgb2b20	NM_001009952	36645	0	0	0
11	Hrh2	NM_001010973	72910	0	0	0
12	Fut10	NM_001012517	32002	0	0	1
13	E2f8	NM_001013368	-646	1	0	0
14	Zfp930	NM_001013379	-32412	0	0	0
15	Dync1li2	NM_001013380	254	1	1	0
16	Tmem151b	NM_001013749	4422	0	1	0
17	Triobp	NM_001024716	-5894	0	0	1
18	Apol7b	NM_001024848	13165	0	0	1
19	Ntrk2	NM_001025074	269273	0	0	1
20	Eno1b	NM_001025388	141095	0	0	0
21	Eno1b	NM_001025388	141095	0	0	0
22	Sox6	NM_001025560	137	1	1	1
23	Sox6	NM_001025560	111	1	1	1
24	Pknox2	NM_001029838	118318	0	0	1
25	Vrk1	NM_001029844	174655	0	0	0
26	Pdzd4	NM_001029868	695	1	0	1
27	Bbs1	NM_001033128	-8995	0	0	1
28	Fbxo33	NM_001033156	-212055	0	0	0
29	C77080	NM_001033189	22274	0	0	1
30	Qrich2	NM_001033267	391	1	0	1
31	Spata13	NM_001033272	-47544	0	0	0
32	Gxylt1	NM_001033275	141515	0	0	0
33	Shb	NM_001033306	23551	0	0	1
34	Zbtb16	NM_001033324	15884	0	0	1
35	Zbtb16	NM_001033324	10879	0	0	1
36	Cdc42bpg	NM_001033342	442	1	0	1
37	Ifitm6	NM_001033632	-837	1	0	0
38	Adamts17	NM_001033877	27695	0	0	1
39	Fam92b	NM_001033980	-30535	0	0	0
40	Limk2	NM_001034030	2811	0	1	1
41	Cldn19	NM_001038590	1646	0	0	1
