	name	feature.name	dist.to.feature	prom	exon	intron
1	Dab2ip	NM_001001602	-29087	0	0	1
2	A430105I19Rik	NM_001001982	304	1	0	1
3	Panx2	NM_001002005	7957	0	1	0
4	Rpl17	NM_001002239	249	1	0	1
5	Slc13a5	NM_001004148	4615	0	0	1
6	Lmtk3	NM_001005511	10254	0	1	0
7	Mtus1	NM_001005864	-28028	0	1	0
8	Unc13d	NM_001009573	14277	0	1	0
9	Sept11	NM_001009818	54889	0	0	1
10	A3galt2	NM_001009819	13589	0	0	0
11	A3galt2	NM_001009819	13621	0	0	0
12	E2f8	NM_001013368	-646	1	0	0
13	Zfp930	NM_001013379	-32412	0	0	0
14	Dync1li2	NM_001013380	254	1	1	0
15	Dyrk2	NM_001014390	527	1	0	1
16	Btbd11	NM_001017525	10323	0	0	1
17	Trim15	NM_001024134	9181	0	1	0
18	Gm5458	NM_001024706	285700	0	0	0
19	Ankrd34a	NM_001024851	61	1	1	0
20	Sept10	NM_001024910	172326	0	1	0
21	Cadm1	NM_001025600	27751	0	0	1
22	Fbxo33	NM_001033156	-212055	0	0	0
23	Qrich2	NM_001033267	-2321	0	0	0
24	Cdc42bpg	NM_001033342	442	1	0	1
25	Gm5820	NM_001033789	-77257	0	0	0
26	Gm4907	NM_001034864	261011	0	0	0
27	Agap1	NM_001037136	84346	0	0	1
28	Col28a1	NM_001037865	118118	0	0	1
29	AI429214	NM_001039220	111450	0	0	0
30	Edem3	NM_001039644	124517	0	0	0
31	Defb41	NM_001040027	-128075	0	0	0
32	Txnrd1	NM_001042523	-3723	0	0	0
33	Hhipl1	NM_001044380	5603	0	1	0
34	Sdhaf3	NM_001077713	221299	0	0	0
35	Sdhaf3	NM_001077713	55838	0	0	1
36	Gtf2i	NM_001080749	17968	0	0	1
37	Trappc10	NM_001081055	-100	1	0	0
38	Prickle2	NM_001081146	-22893	0	0	0
39	Npat	NM_001081152	-157	1	0	0
40	Lama5	NM_001081171	20876	0	0	1
41	Prdm14	NM_001081209	-31346	0	0	1
42	Arhgef26	NM_001081295	-180491	0	0	0
43	Rimbp2	NM_001081388	107060	0	0	1
44	1810013L24Rik	NM_001081400	383375	0	0	0
45	Agmat	NM_001081408	3340	0	0	1
46	Camta1	NM_001081557	296102	0	0	1
47	Spata31d1c	NM_001083890	19711	0	0	0
48	Xirp2	NM_001083919	-45971	0	0	0
49	Nr1i2	NM_001098404	89311	0	0	1
50	Tox2	NM_001098799	-36789	0	0	0
51	Pik3c2b	NM_001099276	17426	0	0	1
52	Ajap1	NM_001099299	-118322	0	0	0
53	Ajap1	NM_001099299	538	1	1	0
54	Sult2a4	NM_001101534	-469	1	0	0
55	Sox5	NM_001113559	159386	0	0	1
56	Fam189a2	NM_001114174	55386	0	1	0
57	Epha7	NM_001122889	-962097	0	0	0
58	Il9r	NM_001134458	71168	0	0	0
59	CK137956	NM_001134733	211781	0	0	0
60	CK137956	NM_001134733	211788	0	0	0
61	Ppp2r5c	NM_001135001	-73685	0	0	0
62	3110062M04Rik	NM_001135611	-39	1	0	0
63	Tpx2	NM_001141977	15	1	1	0
64	Tcf7l2	NM_001142924	102407	0	0	0
65	H2-Q4	NM_001143689	-60	1	0	0
66	Ppfia4	NM_001144855	19444	0	0	1
67	Arhgap40	NM_001145015	38076	0	0	0
68	Arhgap40	NM_001145015	11957	0	0	1
69	Arhgef33	NM_001145452	15241	0	0	1
70	Rfx8	NM_001145660	32574	0	0	1
71	Gse1	NM_001145896	13308	0	0	1
72	Ces3b	NM_001159415	15504	0	0	0
73	Ces3b	NM_001159415	15467	0	0	0
74	Celf2	NM_001160292	-102177	0	0	1
75	Myh11	NM_001161775	19576	0	0	1
76	Mroh1	NM_001162489	10821	0	0	1
77	Etv1	NM_001163154	185119	0	0	0
78	Sult6b1	NM_001163625	2485	0	0	1
79	Nlrx1	NM_001163742	-5003	0	1	0
80	Tgif1	NM_001164074	-18683	0	0	0
81	Tgif1	NM_001164077	139414	0	0	1
82	Fam47c	NM_001164739	-59713	0	0	0
83	Robo3	NM_001164767	-27387	0	0	0
84	Mapk14	NM_001168513	-279	1	0	1
85	Gm6760	NM_001177377	496172	0	0	0
86	Gm6588	NM_001177504	22285	0	1	0
87	Gm6588	NM_001177504	37527	0	0	1
88	Gm7102	NM_001177513	97267	0	0	1
89	Gm3985	NM_001177589	-30040	0	0	0
90	Dcdc2c	NM_001177964	29799	0	0	1
91	Arhgef2	NM_001198913	12828	0	0	1
92	Slc7a9	NM_001199015	-13440	0	0	1
93	Sult2a8	NM_001199306	68150	0	0	0
94	Lactbl1	NM_001243262	38056	0	1	0
95	Slc6a15	NM_001252330	242119	0	0	0
96	Cdh23	NM_001252635	115500	0	0	1
97	Tbc1d7	NM_001252639	-40327	0	0	1
98	Fstl5	NM_001253719	78022	0	0	1
99	Fstl5	NM_001253719	686951	0	0	0
100	7530416G11Rik	NM_001256072	-4489	0	0	0
101	7530416G11Rik	NM_001256072	-4507	0	0	0
102	Epha10	NM_001256432	-8326	0	0	0
103	Cdc7	NM_001271566	87434	0	0	0
104	AA414768	NM_001272033	-19944	0	0	0
105	Tbxa2r	NM_001277265	3979	0	1	0
106	Ank1	NM_001277281	-203	1	0	1
107	Grip1	NM_001277295	-22162	0	0	1
108	Pex5	NM_001277330	4284	0	0	1
109	Umod	NM_001278605	2462	0	1	0
110	Acvr2a	NM_007396	-1128530	0	0	0
111	Adcy7	NM_007406	410	1	0	1
112	Arg1	NM_007482	-88886	0	0	0
113	Bmp2	NM_007553	24577	0	0	0
114	Cacng1	NM_007582	80346	0	0	1
115	Cbx4	NM_007625	5125	0	1	0
116	Chl1	NM_007697	476899	0	0	0
117	Cit	NM_007708	68588	0	0	1
118	Cmah	NM_007717	86557	0	0	0
119	Cox7c	NM_007749	-1081698	0	0	0
120	Cox7c	NM_007749	-1081595	0	0	0
121	Cyb561	NM_007805	154095	0	0	1
122	Cyp3a11	NM_007818	-58791	0	0	0
123	Ddost	NM_007838	5664	0	0	1
124	F9	NM_007979	-432051	0	0	0
125	Igfbp7	NM_008048	-175	1	0	0
126	Gja4	NM_008120	1247	0	1	0
127	Gnai2	NM_008138	-8433	0	0	0
128	Grin2d	NM_008172	285	1	1	0
129	Hmgb3	NM_008253	831	1	0	1
130	Foxa3	NM_008260	8849	0	1	0
131	Hsd17b3	NM_008291	94910	0	0	0
132	Ibsp	NM_008318	4008	0	0	1
133	Irf8	NM_008320	168490	0	0	0
134	Il3ra	NM_008369	804	1	0	1
135	Il7	NM_008371	-54786	0	0	0
136	Itgb2l	NM_008405	17388	0	1	0
137	Napsa	NM_008437	246	1	1	0
138	Lama1	NM_008480	91169	0	0	1
139	Lcat	NM_008490	-6254	0	1	0
140	Marcks	NM_008538	-258713	0	0	0
141	Mc3r	NM_008561	-68647	0	0	0
142	Mc3r	NM_008561	-70858	0	0	0
